title,context
"더불어민주당 충남도당·미래통합당 충남도당선거대책위원회, 성명 발표하고 ...","더불어민주당 충남도당(위원장 어기구, 이하 더불어민주당)과 미래통합당 충남도당선거대책위원회(이하 미래통합당)이 공식선거운동 마지막 날인 14일 성명을 발표하고, 지지를 호소했다. 더불어민주당 CI / 더불어민주당..."
"박정 (더불어민주당, 파주시을) 국회의원 후보, 마지막 지지 호소","이운안?기자?=?제21대?총선에서?재선?국회의원에?도전하는?박정?국회의원(더불어민주당,?파주시을)은?선거일을?하루?앞둔?14일?지역구?전역을?돌며?마지막?유세전을?펼쳤다. 박정?국회의원은?이른..."
"[포토뉴스] ""개표만 남았다""...개표 상황실 준비 끝낸 더불어민주당 미래통합...","제21대 국회의원 선거를 하루 앞둔 14일 더불어민주당 대구시당 사무실에서 당직자가 개표상황판을 설치하고 있고(왼쪽), 미래통합당 대구시당 강당엔 개표상황을 시청할 수 있도록 의자가 마련돼 있다. 우태욱..."
더불어민주당 “시민들의 깨어있는 힘을 투표로 보여주길“,더불어민주당 공동선거대책위원장단은 14일 “시민들의 결집되고 깨어있는 힘을 투표로 보여주길 간곡히 호소한다”고 밝혔다.공동선대위원장단은 선거운동 마지막 날 ‘대전시민 여러분께 드리는 글’을 통해...
"이강래 더불어민주당 도당상임선대위원장 ""문재인 정부 위한 새로운 도약""","이번 선거를 준비하면서 더불어민주당 전북지역 후보들은 오로지 전북의 발전과 도민의 행복, 안위를 위한 각종 정책을 제시했습니다. 선거를 준비하는 동안 전북도민 여러분이 보내주신 성원과 지지는 저희..."
"허대만 후보(더불어민주당 포항남·울릉) ""함께 아름다운 기적을 만들어 달라...","김진호?기자?=?허대만?후보(더불어민주당?포항남·울릉)가?13일간의?격렬했던?선거운동을?마무리하며?""허대만과?함께?아름다운?기적을?만들어?달라""고?호소했다. 허?후보는?14일?호소문을?내고?""21대..."
더불어민주당 경남 민홍철 “열심히 하는 文 정부에 힘 실어야”,"‘아무도 흔들 수 없는 대한민국’, 더불어민주당이 도민 여러분과 함께 만들겠습니다. 사랑하는 경남도민 여러분! 더불어민주당 후보에게 힘을 모아 주십시오. 우리 모두 힘을 모아 코로나19 바이러스가 물러난 이후..."
더불어민주당 부산 김영춘 “국난 극복의 길에 함께 해주길”,4.15 총선 부산 부산진갑에 출마한 더불어민주당 김영춘 후보가 투표일을 하루 앞둔 14일 오후 부산진구 부암동에서 지지를 호소하는 연설을 하고 있다. 정종회 기자 jjh@ 코로나19 국난은 지금껏 한 번도 겪어 보지 못한 국가...
"더불어민주당 울산 이상헌 “울산 재도약 씨앗, 이제 싹틔울 때”",이제 싹을 틔워야 합니다. 울산에 애정 어린 눈길을 줄 수 있는 민주당에 울산시민 여러분들이 다시 한번 힘을 실어 주시기 바랍니다. 울산의 재도약을 위해 더불어민주당을 선택해 주십시오.
"선거 하루 전…더불어민주당, 수도권·PK 유세 총력",선거 하루 전 더불어민주당이 수도권과 부산·경남(PK) 지역에서 마지막 유세에 총력을 가하고 있다. 이해찬 대표는 14일 울산 북구 이상헌 후보 선거사무소에서 비례 정당인 더불어시민당과 함께 선대위를 개최해 막판 PK...
