,ID,Comment
0,H Q              ,이재명은 대통령이 되려고 애쓰는것이 아니라 대통령의 권한으로 기울어져가고 있는 대한민국 국운을 바로 잡을려고 하는데 있다 .이것이 다른 후보들과의 최대 차이점!!!  그래서 이재명을 좋아 한다!!!!!!
1,오까모토 미노루딸년 척살조장닭년 잡으러              ,"< 제가 생각하는 개혁과 시나리오..>길어도 끝까지 읽어주시길...저는 이재명시장 지지자입니다.그러나 그가 인간적이어서, 그가 소탈해서 사랑하고 지지한다는글을 보면 솔직히 조금 불편한 생각이 듭니다.저는 이재명시장의 그런점을 판단하여 그를 지지하고 이렇게 시간들여서 여러분을 설득해보려하고 있는것이 아닙니다.그가 대통령이 되지않는다면 또 다시 내삶에 정치가 아무 영향도 미치지못한다는 좌절감과 절망감때문에 아픈것이지 이재명개인에대한 안타까움이나 미안함은 없습니다.문재인이나 이재명이나 어차피 둘다 재산 15억도 넘는분들이고 그분들은 우리는 꿈도 못꿀 명예를 이미 성취하신분들입니다.우리가 그들이 대통령못됐다고 안타까워하고 불쌍해하는것은 그야말로 웃기는 이야기입니다.저의 시선은 오직 피눈물흘리고계신 세월호유가족분들, 실업에시달리며 하루하루를 힘들게 버텨나가는 청년들, 그리고 노인빈곤율oecd1위와 노인자살률1위인 대한민국에서 살고계신 우리 어르신들, 대학등록금때문에 사회나가기도전에 신용불량자가 되버린 우리학생들,그리고 국가1년예산의 3배인 1300조의 빚을지고있는 불쌍한 서민들에게 향할뿐입니다.제 머리속에는 어떻게하면 대한민국전체부의 60%를 갖고있는 10%의 계층들에게 세금을 적절히 거둬서 겨우 2%의 부를가지고 서로싸우고있는 하위 50%국민들에게 되돌려줄 수 있을까?하는 생각밖에는 없습니다.제머리속에는 어떻게하면 770조의 사내유보금을 쌓아두고, 실질적인법인세는 일반중소기업보다 적게내는 기업들에게 세금을 더 거둘수있을까라는 생각밖에는 없습니다.제머리속에는 어떻게하면 oecd꼴찌인 10.4%의 사회복지지출비율을 oecd평균수준으로 늘려서 우리불쌍한 국민들에게도 정당한 복지혜택을 누리고 할수있을까?라는 생각밖에는 없습니다.그렇다면 이 모든문제들중에는 대통령이 혼자할수있는것도 있고, 국회와 함께해야할일도 있는데 어떻게 이 문제들을 해결해나가야하는지 오래전부터 생각해 봤습니다.김영삼 대통령이란 사람자체에 대한 저의평가는 너무야박하지만 그의 몇가지 성과와 방법론에 대해서 이야기해보고 싶습니다.하나회척결, 금융실명제도입, 조선총독부폭파..이모든것들을 김영삼은 어떻게했을까요?하나회척결같은경우는 대한민국근현대사에서 가장 큰 성취중하나입니다.김영삼은 그들에게 대응할 시간도 주지않고 그냥 바로 실행해버렸습니다.임기초에 개혁드라이브걸어버린것입니다.금융실명제도 마찬가지입니다. 본인의 재산미리 전부 다 공개해버리고 밀어붙였습니다.이 뒤에는 신한국당이라는 과반이상의 여당이 있었습니다.그때는 국회선진화법도 없었습니다.이런것들을 김대중이었다면 못했을것이라는것이 역사가들의 평가입니다.현재 우리가 가장 시급해처리해야할 세월호특별법.현재의 국회선진화법으로는 문재인이 집권해도 통과못시킵니다.123석의 의석으로는 대통령권한으로 못합니다.현재 야당의석이 167석인데 왜 아직도 통과를 못시키고있을까요?야당이 분열되있기때문에 힘이 한곳에 집중되있지않고 똘똘뭉쳐서 그힘으로 국민들 동의이끌어낼 시도조차못하고  있는겁니다.이재명이 대통령되면 국민의당, 정의당과 야권연합정부 구성하겠다고 이미 수도없이 밝혔습니다.안철수, 심상정에게도 여러차례 제안했고안철수도 심상정도 정말 그렇게됐으면 좋겠다고 말했습니다.현재 더민주후보들중 야권연합정부구성에서 가장 적극적이고 유리한위치에 서있는 후보가 이재명입니다.이재명은 이미 자유한국당, 바른정당과 연합은 없다고 밝혔고 그들과의 타협도 없기에 정부를 야권이 함께구성해서 그 끈끈한힘으로 국민들을 설득하고 개혁드라이브걸겠다고 했습니다.이게 그의 구상입니다.그런데 문재인이 집권했을때를 생각해봤습니다.제가 겪은 문재인은 분명히 초기에 탕평책이네 뭐네하면서 통합이란이름으로 저쪽사람들 기용하고 야당들과 각세우려하지않을것입니다.참여정부시절 노대통령은 야당과 임기초부터 각세우지않겠다고 한나라당의 법인세인하법안에 대해 거부권행사하지 않았습니다.거기다가 문재인이 집권하면 국민의당, 바른정당, 자유한국당, 심지어 정의당까지 여당을 비판하기 시작할것입니다.민주진영끼리의 힘이 한군데로 모이지못하고 또다시 분산될것이며 문재인은 123석을 갖고있는 아무것도하지못하는 대통령이 될것입니다.야권연합정부없이 123석의 힘없는, 그것도 가장 적이 많은 대통령이 무엇을 할수있습니까?그리고 문재인은 김영삼처럼 밀어붙일 스타일도 절대아닙니다.박근혜사면시키지않겠다는 약속을하자는 이재명의 제안도 거부했습니다.저는 이재명이 대통령되면 임기초기부터 자신감을 갖고 야권이 똘똘뭉쳐서 겁먹지않고 밀어붙일수있는 최고의 후보라는 결론을 얻었습니다.기본소득제 내년부터 바로 시행될겁니다.여러분은 보건복지부장관 심상정, 교육부장관 안철수를 보시게될지도 모릅니다.저는 국민의당 더민주 누가옳은지 그른지 야권끼리 지지고볶고싸우고 대통령은 힘이없어 아무것도 못하는 정부보고싶지않습니다.이성적으로 판단합시다.제발 피눈물흘리고있는 국민을 생각하십시오.[............가져온 글 입니다!!!!]"
2,Guangshan Jin              ,"이재명시장님 ,  제발 대통령 되십시요. 일제 잔재 청산하고 자주권이 있는 나라를 만드십시요."
3,ilsimusi              ,이재명후보 토론 할수록 빛난다.문후보는 시간이 갈수록 바닥이 보인다.국민을 지지기반으로 하는 이재명후보.정치 경제 언론 기득권층을 지지기반으로 한 문재인.세상은 이미 바뀌었다.국민은 이미 깨어났고다 보고  있다.이재명을 촛불대통령으로깨어난 의식 촛불이 만든다.
4,sean              ,"살면서 이렇게 간절했던 때가 있었나 생각해 보게 됩니다.  아는 만큼 보이는 법입니다.  이번 경선, 대선은 제발 공부 좀 하고 투표합시다.  더 이상 그 사람의 배경, 이미지만 보고 투표하면 어떻게 되는지 이번 기회에 다 아셨을겁니다.  토론만 봐서는 판단하기 힘듭니다.  어차피 자기포장하느라 바쁘니까.  유튜브에서  각 후보들 검색해 보시고 하루에 30분 정도만 공부하세요."
5,남헌영              ,이재명 후보님 만이 대통령 감이다..이런분 놓치면 국민모두가 땅을 치고 후회활것이다..제발 눈을 뜨고 귀를 열어서 투표하길 바랍니다..
6,우탕탕탕              ,"자기 공약도 모르는 문그네가 대통령이 되면 나라가 망한다. 제2의 박근혜...이미지정치를 하는 문그네. ""허~허~ 웃으며 우리는 한 팀입니다"" 이 나라를 어떻게 이끌고갈 것인지를 말해야지 자기가 말한 공약도 모르고...써 준 대본만 읽으니 알 수가 있네..뒤에 있는 최손실 좋거네..문그네가 대통령되면 ~ 이재명만이 이 나라가 살길이다"
7,성길최              ,문구라는 첫인사 에서 준비된 대통령이라면서 손석희 에게는 왜 토론을 피하냐고 하니 자기는공략을 준비했는데 다른 출마자들이 준비가 않되어서 그렇다면서 지금은 정작 본인이 아무것도 준비된 공략은 없다문구라 의 거짓말의 종합편
8,거니갓              ,"문재인, 정말 아니다.우리에겐 이재명 뿐이다.우리국민은 이제 더이상 개돼지가 아니다.시장님,  존경합니다."
9,이초              ,지방정치를 잘하신 세후보와실적없는 문재인후보와 겨룬다는 자체가 비교되는거 같다.첨부터 공약만 열거한 것 만 봐도
