,ID,Comment
0,Saints Kang              ,민주당 응원합니다 강력하게 드라이브 걸어주세요
1,mi sea              ,일하는 국회  국민을 먼저  생각하는  국회   ~~~21대 국회  기대하고 있습니다   화이팅
2,디딤돌              ,멋지다. 멋있게  국회에서 일해주세요.  대한민국의 미래는 밝습니다. ^ ^
3,삼색고양이              ,보는것만으로도 든든한데보는것만이 아니 정말 일하는 국회국민을 대표하는 일 잘하는 국회의원들이 되어주었으면 하는 바람입니다
4,김성호              ,"거대 여당! 화이팅! 다만, 개개인의 의견은 존중하지만, 국민적 열망을 아는 여당 국회의원이 개혁에 대한 딴소리는 버려주기 바람! 제발~~~~~~!"
5,Bs Oh              ,민주당 화이팅 기대합니다!!
6,느림의미학              ,"협치는 사람이랑 하는 것이죠 안아무인, 후안무치 미통당은 가겹게 무시해주시길 바랍니다더민주 응원합니다"
7,Kevin Kim              ,21대 국회에서는 언론개혁 검찰개혁 국방개혁(단계적 모병제 도입 등) 사법개혁 등 다양한 분야에서 혁신이 이루어지길 바랍니다
8,이현희              ,든든~합니다!검찰개혁!언론개혁 민주당의 힘을 국민들은 절실히 믿고있습니다!협치따위는 없습니다!
9,헤카테님              ,이런거보면 안철수가 대단해.. 민주당 고인물들 싹다 데리고 나가줫잖아 ㅋㅋ
10,정의로운파란나라              ,똑순이 이재정의원👍
11,김쓩              ,그치 이게 위크숍이지. 골프치러 가는게 워크숍이 아니라.
12,전연순              ,와 김남국당선자님 우리동네 ~화이팅 ~
13,Kim Louis              ,고민정의원님 남편분은 전생에 나라를 구한게 확실합니다..ㅎ
14,인고의삶              ,잔머리 쓰지말고..당당하게 개혁과 적폐청산에 최선을 다 하라!
15,young su Jang              ,자랑스럽다. 이 기대 져버리지 말아주세요
16,황승현              ,이명박근혜를 거쳐온 우리가 촛불들어서 너희들을 거대 정당으로 바꾸어 줬다 이젠 그 기대를 보답해라. 다만 이거하나 기억해라  촛불은 아직 들 수 있다
17,인디고              ,하 진짜 볼때마다 제가 다 가슴이 벅차고 뿌듯합니다. 앞으로 새로운 대한민국 국회를 꾸려나가리라 믿습니다. 더민주 파이팅
18,lydia jjang              ,보기만 해도 흐뭇하네요. 응원하고 지지하고 열심히 지켜보겠습니다.
19,최고의국민              ,오!!!!!!!!멋지다!멋져!!!더불어민주당 화이팅♥♥♥
20,Christopher Kang              ,민족과 국가의 장래가 여러분의 어깨 위에 놓여 있습니다.사리사욕을 거부하고 희생과 헌신의 자세로 일해 주세요.끝까지 최선을 다하신다면 끝까지 응원하겠습니다.
