,ID,Comment
0,강순해              ,문재인 대통령님!!!!! 축하드립니다.  국민들에 간절함이  문재인대통령을 뽑았습니다. 이제 희망에 불꽃이피어올랐습니다.  촛불에간절함이 이제서야 빛을보게됐고 세월호에 눈물을 닦아줄수있게 되었습니다. 미국에 오바마 보다 더 훌륭한 대통령님이 되어주십시요!!!!어떠한일이 있어도 뇌물 같은 괴물은 벋지도 마십시요. 쳐다보지도 마십시요. 노무현 대통령님처럼 은 안됍니다!!!!이제는 대통령을 지켜주는 대한민국에 한사람으로서 뿌듯하고 기쁩니다!!저희식구들다 1번찍었습니다...참고로 대식구입니다.ㅎㅎㅎㅎㅎ 경사났습니다.ㅎㅎㅎㄹㅎㅎ흥겨운 노래소리가 언제나 울려퍼지는  아름답고 훌륭한 대한민국을 만듭시다.
1,해을              ,문재인!!!문재인!!!!(12살인대이런거에관심있는나)저는선거운동할때트럭옆에서도와드렷어욤💝
2,nara k              ,정말 수고많으셨어요 이제 진짜 시작이겠네요더민주 모두 대선기간 보여주신 역대급 시간들만큼만 해주신다면  걱정없이 믿습니다.당신들 뒤엔 국민들이 있다는거 믿고 서로 좋은 나라 만들어보아요이니 하고픈거 다해~~
3,j서연              ,"정말 감격스럽습니다  진정성있는 말씀에 마음이 찡하고 뭉클했습니다 울림을 주시는 후보님이 참 좋았습니다부디 5년임기  무사히 잘 마치시고, 국민들께 존경받는 대통령이 되어주세요 마음으로나마 5년내내 응원하겠습니다 그리고 지켜드리겠습니다.   어깨가 많이 무거우실거라생각합니다 건강잘챙기시고 힘내세요 더 불어민주당의원님들도 고생많으셨습니다더불어민주당 화이팅! 사랑합니다💙💙💙"
4,황라영              ,이니는 얼른 짐 싸서 청와대로 go
5,기철이              ,뜬금없지만여기다씁니다 노무현대통령님의 문재인 친구연설을듣고 왔습니다 정말 감동을먹어 평소에안흘리던눈물을 몇년만에쏟았습니다 이제드디어 9년만에 제데로된정치를봅니다 진짜 국민을위한사람이누군지 그리고 과묵하지만 국민을위해말하는사람이 누군지는 모두들 알고있을거라생각합니다 전 대통령님을존경합니다 사실 노무현 전대통령님을존경했지만 노무현대통령님께서 정말완벽하다고하는친구인 문재인 대통령님이 있다는사실에 너무든든하고 이제 새세상이열린것같습니다 전9년간 정말힘들게살고 극단적인생각을해왔습니다 절망뿐이였지만 희망이보입니다 삶에 빛이보였고 평화가보입니다 이제국민들이 정말제데로된 대통령이누군지 알고있다는사실이 너무감동스럽습니다 항상존경합니다 대통령님 우리대한민국을이끌어가주세요 응원합니다 문재인대통령님!!!!
6,Francisco HEO              ,"우병우,송민순,홍준표 반듯이 법의 엄정함으로 처넣어야,국민은 법의 평등함을 납득 할것 입니다."
7,톰톰톰              ,이겨주셔서 감사합니다. 저는 다른거 안바랄게요. 절대 아프지 말고 건강하게 지내주세요.
8,코끼리끼리              ,대통령님 당선축하드려요 ㅠㅠㅠㅠ 영상 전부 없어진줄알고 많이 놀랐어요 이 보물같은 영상들 ㅠㅠ
9,베리민트              ,좋아여
10,최윤석              ,굿~~
11,이름할게없음ᄂ              ,진짜 문재인대통령님인가요?
12,용득이엄마              ,대통령님 축하드립니다 제 인생 두번의 대선에 모두 대통령님께 투표했어요! 너무 뿌듯하고 기쁩니다👍🏻헬퍼가 되어 좋은 공약들 모두 이루실수 있도록 기원하겠습니다 !
13,맑은혼              ,당선 축하드립니다. 항상 건강하세요. ^^
14,겜창8년생              ,당선 축하드립니다
15,별밤비              ,문재인 대통령님 축하드립니다!!!!!
16,j서연              ,"정말 감격스럽습니다  진정성있는 말씀에 마음이 찡하고 뭉클했습니다 울림을 주시는 후보님이 참 좋았습니다부디 5년임기  무사히 잘 마치시고, 국민들께 존경받는 대통령이 되어주세요 마음으로나마 5년내내 응원하겠습니다 그리고 지켜드리겠습니다.   어깨가 많이 무거우실거라생각합니다 건강잘챙기시고 힘내세요 더 불어민주당의원님들도 고생많으셨습니다더불어민주당 화이팅! 사랑합니다💙💙💙"
17,이민호              ,진심으로 축하드립니다!!
18,Roco로코              ,문재인님 기대하겠습니다 ㅎㅎ
19,강만영              ,아무튼 거짓말쟁이궁물당홍씨
20,강만영              ,거짓말쟁이 홍가 안가 내가 역전한다 하여튼 사이비 들  자기들이 다이긴다네
21,TheRandomEnthusiast              ,대통령님 정말 축하드립니다!!!!!!!!!
22,TV흑곰              ,대통령 문재인 체널 계속 이여 가야죠...
23,강만영              ,홍가안가박가궁물당박씨손씨 이긴다구 역전이라구 이양반들아
24,hight이트              ,갓☆재☆인 대통령님 앞으로 우리나라를 위해 많은 일을 해주시기 바랍니다!!
25,이성욱              ,진짜 대통령 문제인!!!
26,Z Hey              ,문재인대통령님 조직스토킹 범죄도 조사좀 부탁드립니다. 무고한 피해자가 고통받지않는 나라를 만들어주세요.
27,김성미              ,"당선이 되시면( 절대 되셔야 한다고 생각하지만) 꼭 강원도 산불 피해 가족들에게 위로의 말씀을 주시면 좋을 것 같아요. 문재인 후보를 지지하는 모두에게 행복한 시간이지만, 집과 재산이 다 타버린 사람들에게는 더 괴리가 느껴질 것 같아서입니다. 국민 한사람도 소외되지 않고 당선의 기쁨을 누리면 좋겠어요."
