,ID,Comment
0,김승주              ,"이해찬대표팀고생이많으싶니다,         인재영입감동적이고 국가를위해큰  일할전문인재분들영입정말잘하셔읍니다,드루킹사태잏지마시고가짜  선거브로커,잡아내는전담반필히작동시켜주세요,화팅하세요 아~~자,"
1,Dennie              ,멋지신 우리 해찬들대표님! 건강하시고 복많이 많이 받으셔서 총선에 압승하시길 두손모아 기원합니다^^ 건승하십쇼👏👏👏
2,Jason Byun              ,"정치인의 품격이 느껴지는 인터뷰 였네요. 시덥지 않은 검사, 판사 출신보다도, 훨씬 품위와 격이 느껴집니다. 건강하세요~"
3,하얀고슴도치              ,"이해찬 대표님이 진두지휘하셔서 얼마나 든든한지 모릅니다. 이번 총선, 더불어민주당의  압승으로 우리 대통령님께서 남북문제 과감하게 풀어나가실 수 있도록 힘을 실어줘야 합니다."
4,Si Yoon Kim              ,"이해찬 대표의 건강을 함부로 씨부리지 마라. 지금 우리가 누리는 민주주의는 독재자에게 고문 받은 이해찬의 피눈물 값이다. 이해찬 대표님, 건강하세요.^^"
5,고밍밍              ,"이해찬 대표님, 너무 잘하고 계십니다. 시스템이 중요하지요, 강력하고 합리적인 시스템을 구축해 놓으셨으니  잡음이 없을 수밖에요."
6,hyun              ,김총수님 농에 진지한 대표님 꿈쩍도 안하시네요. 민주당 잘 이끌고 계십니다. ^^
7,민주실록              ,당선될 험지 ㅋㅋㅋㅋ황교안에게 어울리는 전략이네요.
8,The grinder              ,이해찬 대표님 화이팅!!!
9,화평              ,이해찬 대표님이 중심을 잘 잡아주셔서 민주당에 분열도 없고 비례의석 10석 이상 포기하면서 공수처 검경수사권조정 유치원3법이 통과되어 국민 입장으로서는 정말 다행입니다. 앞으로 기레기들과 자유당이 갈라치기하고 꼬투리 잡아서 공격해도 흔들림 없이 굳건하게 꼭 총선 승리 했으면 좋겠습니다:)
10,가끔은그냥              ,이해찬대표님. 잘 대비하셔야 합니다.모든 기렉들과 검찰이 공격하며 방해작전 만만치 않을텐데..긴장 늦추지 마시고.제발 언론기렉들 어떻게 해주세요 받아쓰기 하며 가짜뉴스로 단독거리는데..저들이 수를 노릴텐데 큰일
11,Sujin Back              ,이해찬 대표님 홧팅. 민주당 너무 잘하고 있어서 든든합니다. 건강 챙기시고 이번 총선에는 꼭 이겨서 올해 국회는 일 많이 하는 국회 만들자구요.
12,푸른하늘              ,이해찬 대표는 대중성이 좀 부족할 뿐 능히 일국의 대통령을 하고도 남았을 큰 인물이라 생각함항상 응원하고 존경합니다
13,짱캔디              ,더불어민주당 4월 총선에선 한일전입니다이해찬대표님의 지휘로 반드시 필승 기대합니다 승리의 그날까지 홧팅~!!!
14,이춘실              ,대표님  앞으로 친일보수당 한테  정권빼앗겨서는 안됩니다.   더더 열심히 일하셔서  국민들 지지  잃지 말아주세요   뒤에서 소리없이 열심히 응원하겠습니다
15,을지이도              ,"고 김홍일 의원은 80년 신군부가 ""김대중 내란음모 사건""을 조작하여 자신에게 혹독한 고문을 가하자 혹시라도아버지에게 불리한 진술을 허위자백하게 될 걱정에 책상 위로 올라 가서 붕떠서 거꾸로 콘크리트 바닥에 자신을쳐박아 버렸다. 그 후유증으로 말년에 하킨스병으로 고생했다. 그때 근처 가까운 방에는 이해찬 의원이 있었다.젊은 날에 두들겨 맞을 경우 그 후유증은 말년에 나타난다.이해찬 대표의 건강이 걱정되는 이유이다.건강하세요..."
16,최선중              ,항상 변함없으신 대표님 존경하고 사랑합니다 건강 잘 챙기시길 바랍니다!!!^^
17,AG NK              ,당선될 험지 ㅋㅋㅋ 이해찬대표님 진짜 멋지십니다. 당의 리더가 당신이라서 든든하군요.
18,백프로              ,40대 남성입니다 몸이 불편해서 지금까지 투표를 한번도 해본적이 없었습니다 하지만 이번 4월에는 기어서라도 야당심판 하려 합니다
19,광해              ,이해찬대표님 격하게  응원합니다 너무나도 잘하고계십니다 홧팅입니다 ♥️♥️♥️♥️👍👍👍👍
20,Io Tyu              ,제가 정치에 전혀 관심이 없었는데 박근혜탄핵때부터 관심을 갖기시작했습니다..관심이 없을때는 인상때문에 이해찬대표님을 별로 좋아하지않았는데..지금은 존경하게되었습니다!!건강하십쇼!! 4.15총선은 여당의 대승이 될겁니다!!
21,김경웅              ,7전 7승. 선거의 달인! 민주당 165석. 정의당 20석.대한민국의 정의와 번영의 길을 열어주시리라 굳게 믿습니다.
22,신촌길냥이Music              ,이해찬 대표님 나왔당 ㅎㅎㅎ
23,워니소리              ,최근 민주당 총선 시스템 보고 이해찬 대표님의 능력을 인정합니다.  꼭 승리하여  이나라 풀뿌리 민주주의를 꼭 이뤄냅시다.♡♡
24,양계식              ,우리의 호프 이해찬의원 화이팅 !꼭 총선의 대승리하십시요.
25,김귀경              ,당대 최고의 해찬들! 기획통 민주화운동 소신파 국무총리 충청대표인물 대쪽 청렴 정의사회구현 천재적감각 추진력 끝까지 당대표 잘 부탁드립니다 이해찬 대표님 화이팅!
26,사법언론개혁              ,능력이 출중하신 이해찬대표님을 지지하며 건강하시길 기원합니다.
27,Giftyou              ,이해찬대표가 있는한 선거불패이다!! 더불어민주당 화이팅💙💙
28,Saints Kang              ,"민주당 이해찬 대표님 응원합니다 민주당 인재영입 1호 최혜영 교수, 3호 김병주 예비역대장, 4호,‘전관예우 거부’소병철 전 고검장, 5호 소방관 오영환, 6호 스타트업 이끄는 워킹맘 변호사 홍정민7호 이용우 카카오뱅크 대표, 8호 기후환경전문 이소영 변호사, 9호 세계은행 출신 최지은 박사, 10호 사법농단 의혹을 알린 이탄희 전 판사, 11호 국방 방위산업 전문가 최기일 박사...민주당 총선 압승 응원합니다"
29,Ted2000 Yoon              ,정치에 관심을 가지고 투표하는 것이 내 삶에도 대한민국에도 얼마나 중요한지 이번에 알게되었습니다 이해찬 대표님 공장장님 화이팅♥♥
30,조성주              ,이해찬 대표님. 든든합니다. 늘 건강하세요~~~
31,오동주              ,야당이 제일 썩어서 그런거지.
32,柳美貞              ,해찬들 대표님민주당을 잘 이끌어 주시고 문프를 잘 호위해 주셔서 감사해요♡해찬들 화이팅 응원합니다!^^
33,루카              ,당선될험지 ㅋㅋㅋㅋ 이대표님 빵터졌슴요
34,신현희              ,이해찬대표님 건강하세요^^
35,ᆞYYKim              ,탄핵은 아직 미완성ᆢ이번 총선은 수구 적폐세력을 완전히 탄핵하는  선거가 되어야 합니다
36,claireyoon              ,똑 부러지는 해찬들 대표님 응원합니다.
37,제니              ,우리 이해찬대표님 고생많으셨습니다~ 항상 지지하고 응원합니다건강하세용~~♥️♥️♥️
38,이상호              ,진정한 보수 이해찬 대표 극우하고의 싸움에서 이겨주세요.항상 응원합니다. 극일
39,나명흠              ,역시이해찬 의원님 덕분에 저는 정말 감사합니다 응원합니다 여러분 모두 힘내세요 희망을 그림니다 💖💓💖
40,오드아이              ,"오늘 22일 정경심교수 첫공판이네요. 보석청구결과가 어떻게 될지,,,어서 집으로 가시길 바래봅니다."
41,Mo Cuishle              ,이해찬 대표님! 총선에서 좋은 결과 있기를 기대하며 응원합니다!
42,땡쟈땡쟈              ,이해찬만세~!!!!
43,citrus citrus              ,무얼 하시든 그럴만한 이유가 반드시있을거라 의심하지 않게 하시는 분들문재인 유시민 이낙연 이해찬
44,Madame J              ,상식적으로 생각하고 꼭! 투표합시다.민주당 홧팅! 이해찬 대푯님 건강하세요.
45,이제인              ,당대표에 훌륭한 모델 이해찬!욕안먹는 몇안되는 정치인
46,양현철              ,해찬들 화이팅!
47,Shin Peter Bang              ,정말로 감사합니다. 대표님 크게 입을 벌려 220석 갑시다.검찰개혁 도 더해야되고.언론개혁도..사학개혁 도 급선무...또 군.사학등 연금개혁을 해야 대학감축 반으로줄여야.21대 국회할일이 많이 많이 있다. 국민들이여 민주당 을 밀어준다면 이모든개혁이
48,박미자              ,이해찬 대표님의 리더십이  민주당을총선에 승리하는 최고의 여당을 만들어 내리라 생각합니다. 현정부의 반대하는 사람들은 검찰의 인사를 어떻게하든 피해자 프레임으로 기레기 언론을 동원해 반대여론을 제기할 것이니 국가와 민족을 위한 법무부 장관께선 검찰인사를 시스템으로 정비해야 합니다.
49,Tasha Kim              ,해찬들 항상 건강하세요 ♡
50,별과달              ,나중에 후회하시지 말고 정당투표도 모두 민주당을 찍어 50%를 얻을 수 있도록 노력 합시다. 그렇게 되면 과반을 넘길 수 있습니다.
51,엄혜영              ,인재 영입을 잘하셔서 믿음이 갑니다.자한당의 인재 영입과는 비교되네요.자한당은 인재가  아니라 구재입니다 ㅋㅋ
52,두현              ,와 이해찬 대표님 나오셨네요..ㅎㅎ 성공된 문재인 정부와 함께 하시는데 노고가 항상 많으십니다... 항상 대표님을 존경합니다. 그외 더불어 민주당 모든 의원님들을 응원합니다...반드시 이번 총선에는 한일전에서 승리하여 반드시 토착왜구 친일 뿌리를 아에 근원지를 국회내에서 뽑아내야 합니다..^^
53,나머지              ,"이해찬 대표, 현재 우리 정치에서 찾아보기 힘는 어른이자 원로시지요."
54,최영희              ,이해찬 대표님 힘내시고끝까지 응원합니다♥
55,Spencer Kim              ,"이해찬, 30년 봐왔는데... 어떻게 이렇게 군더더기가 없는 사람이 있을까 생각한다.    맑은 윗물이다."
56,레인메이커              ,고맙습니다항상 응원하겠습니다
57,이강호              ,문재인 대통령과 민주당과 협력적 관계가 아닌 세력에게는 절대 표를 줘서는 안됩니다
58,레모닝              ,귀여우신 해찬들 선생님 사랑합니당💙 해맑지만 강단있는 해찬들....!
59,캐틀리스트              ,이해찬 대표님이 계시기 때문에 더불어민주당이 이렇게 조용하고 평온하게 가는 겁니다든든합니다
60,YR K              ,이해찬 대표님이 계셔서 든든함
61,씨민              ,진짜 대단한분..
62,적패청산              ,이혜찬 대표님 사랑합니다!~
63,Ted2000 Yoon              ,저는 보수지만 공정한 대한민국을 바라는  문빠 민주당 지지자입니다 진정한 보수~~~
64,oᄉo냠냠냠              ,민주당 잡음없이 잘 돌아가서 너무 좋음. 이해찬 대표님  건강하시구 새해 복 많이 받으세요💙
65,티끌모아태산              ,이해찬 대표님 말이 필요없는 분대한민국 이해찬보유국♥♥♥♥♥♥♥
66,Moon CH              ,415총선 승리!
67,문덕순              ,이해찬대표님수고만이만이많~이하셨습니다.사랑하고존경합니다.👍👍👍
68,나나              ,이해찬 대표님 열렬하게 지지합니다♡
69,한로즈              ,이해찬대표님 건강하시고 새해복많이받으세요 너무 좋아요
70,이정배              ,이번 총선은 똘똘 뭉치는 것만이 답입니다.민주당 1당 가즈아!! ♡♡♡
71,jin lee              ,조심 조심 한걸음 한걸음 나아가서 완전한 승리!!!
72,kyonghwa33              ,실은 정치의 최고의 달인은 박지원님이 아니고 이해찬님 이라는 생각...말이 적지만한 마디의 말에도 빈틈이 없으신 분.꼭 할 때 만 하시는 분.생기신대로...냉철 하신 분.존경합니다.
73,k.s Hong              ,이해찬 대표님 감사하고 든든합니다. 자일당 기레기들 협공에 철저히 대비해주세요. 한일전 총선에서 막말당을 폭망시켜야 합니다.더불어민주당 화이팅!!!
74,갓수우              ,이해찬 대표님 말씀처럼 이번에 무조건 제1당 확보하실수 있을겁니다
75,joonyoung              ,이해찬대표님 적폐판사가 김경수지사껀을 총선 직전에 유죄주려고 수작부리는것 같습니다 끝까지 긴장 늦추지마시고 모든 경우의 수에 대비해주세요 격하게 응원합니다!!!👏👏👏👏👏👏👏👏
76,정가              ,항상 응원합니다 화이팅!!!👍👍👍
77,깨시민H.K.              ,이해찬 대표님 이어폰으로 들으면 들숨 폐소리가 너무 안좋게 들리네요 건강 조심하셔요 오래오래 건강하셔야합니다
78,Jeong K              ,이 시기에 참으로 적절한 당대표이시다. 민주당의 진정한 어른!
79,윤빵이              ,이해찬대표님 무조건 지지합니다. 4.15총선 지지자들 민주당 힘합쳐서 반드시 승리합시다
80,신말희              ,잘못된관행은반드시바로잡아야한다생각합니다
81,윤여은              ,이해찬 대표님 감사합니다
82,콩이러브              ,❤️이해찬대표님❤️사랑합니다! 든든합니다!그리고 감사합니다 지켜주셔서
83,이상용              ,여당대표 국가의전서열 7위뉴스공장 출연 최고위해찬대표 홧팅뉴공 짱
84,타르타르              ,믿음직하다 존경도하고
85,Ryul K.              ,비례는 무조건 민주당줍시다. 정의당은  안주는게 상책
86,WestTree in Park              ,이제 이해찬 대표님도 연세가 많이 드셔서 말씀이 어눌하시지만.. 정말 명불허전의 정치인이 느껴집니다.. 존경합니다.
87,더이쁜수연              ,이해찬대표님  총선압승 만수무강하세요♡♡♡♡♡
88,진형도              ,적폐청산. 자한당 해체. 검찰 해체. 토착 왜구 박멸하자. 왜구 언론 박멸하자.
89,에요루루              ,민주당 잡음없는건 다 해찬대표 덕분임.
90,커커로우              ,"대표님 진짜 응원하고, 잘 하고 계십니다ㅠ 가끔 터지는 말 사고만 주의해주세요ㅠㅠ"
91,장우영              ,이해찬 대표님 말씀은 귀기울여  듣게됩니다♡
92,김분이              ,대표님이서민주당은든든합니다
93,떵가이              ,민주당 이해찬 대표님 힘내셔요. 이번 선거엔 비례도 1번 찍을게요!
94,으라찻차              ,당선될 험지 ㅎㅎ. 이번처럼 잡음 없이 일사불란한 민주당의 모습은 처음 보는듯 합니다.  이해찬대표님의 노고에 감사드리며 총선때까지 잘 부탁드리겠습니다. 힘껏 응원하겠습니다 !
95,Chong Kim              ,"내년 4월 총선은 친일,종미 보수기득권의 반평화,반민주 세력과 부정부패로 썩어빠진 정치검찰의심판이며 아울러대한민국이 미래로 나아가느냐 친일,종미로 주저앉느냐를 결정하는 중차대한 선거이다. 단순한 국회의원가 아니다."
96,善閒山賊백준현              ,말씀이 군더더기 없이 깔끔하시네요
97,pain killer              ,당선 될 험지ㅋㅋㅋ 그야말로 황~ 무인도 여야 가능ㅋㅋㅋ
98,akemi ukigaya              ,이해찬님 귀요미에 카리스마 민주당 파이팅
99,susan lee              ,흔들림없이 4.15  총선에서반드시 더 민주 승리하자
100,이현숙              ,언제나 든든합니다총선승리 기원합니다
101,난써니              ,ㅋㅋ웃기도 하시는군요 맨날 화나있는 ㅋ
102,박만윤              ,더민주   홧팅   이해찬   홧팅.
103,난써니              ,김씨 아저씨가 유심히 듣는 거 오랜만에 보네요 ㅋ
104,Ser Hwa              ,그냥 지역구 180석 갑시다..ㅋ
105,최양규              ,대한민국의 진정한 출발일은4월총선일이지.진정한 다수결의 민주국가는그때에 결판난다.필요한만큼 깨어있는 국민이기에 이번총선의 결과는 누구나가 인정할 수 있기에 이런 주장을 할 수 있다.1일여3추를 실감한다.
106,쓰담쓰담              ,해찬들님 은퇴하시면 안되요ㅠㅠ 건강 챙기세요♥♥♥♥♥♥
107,자유한국똥당              ,이해찬 대표님  응원합니다!!!항상 건강 하세요!!!♥4월은  한.일전!!!꼭 이겨냅시다!!!
108,수택김              ,진정한 새 정치는 민주당에서 이뤄진다
109,김진희              ,국민을 위해 일하는 국회를 만들기 위해서라도 민주당 압승해야지요 꼭!!! 대표님 건강챙기시고 힘내주세요
110,GOTSKY KAPITAN              ,이해찬 대표 앞에서 깐쪽대는 사람은 총수가 유일할거 같다 ㅋㅋㅋ
111,나머지              ,"김어준이 말 적게 하고 게스트 말씀 제대로 들을 수 있어서 좋네. 이런게 인터뷰지, 진행자가 혼자 떠들면 그게 인터뷰냐? 김어준이 말 좀 줄여라."
112,이동진              ,태어나실때 부터 진지한 얼굴을 뉴스공장에서 봐서 반가웠습니다 정치100단 분의 말씀 잘 들었습니다 이번투표가 정말 중요하단걸 다시한번 느꼈습니다
113,Ser Hwa              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ당선될 험지...!!교활이 답다.
114,정영수              ,방가워요
115,폴드모모              ,가짜뉴스 처벌 기레기 박멸을 위해서 힘써주세요~ 항상 응원하고 존경합니다^^
116,육부장              ,제발욕심내시고할수 있습니다차기 대통령은 이해찬으로100년 민주정부의 뿌리를 내려주세요100년 민주정부를 위허여
117,펭하pengsoo              ,"이해찬 대표님은 정치경험으로 보나 선거 달인 전략가 입니다.카리스마가 있으시고,,선거때만 되면 공천 문제로 시끄러운데이번 민주당은  조용한 공천으로 승리 할것 같네요."
118,이상현              ,총선 승리 가자!
119,조수정              ,지지합니다~
120,ingrey0928              ,"대표님, 응원합니다. 힘내세요!!!"
121,so tired              ,당선될 험지 띵언 탄생ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
122,syounjoo90              ,"현 생존 정치인 중 가장 존경하는  이해찬 대표님. 가혹만 고문에도 당신의 민주화를 위한 투쟁에 깊은 존경을 표합니다 부디 건강하시고 민주당 총선 승리 기대합니다 정치 천재, 대쪽같은 이해찬 당신을 믿습니다"
123,이강호              ,긴장합시다올해 총선은 문재인 대통령을 지키기 위해서는 완전한 승리가 필요합니다
124,changsu bae              ,민주당화이팅..
125,SH Lee              ,해찬들 화이팅~!
126,하트여왕              ,이해찬대표님♥♥♥♥♥공장장님♥♥♥♥♥두분이    있어   우린  행복 행복해요👍👍😻😻
127,koh슈바봉              ,와아~~최고👍😻교활이도 나오나??
128,모모              ,대표님 평생을 한국 정치를 위해 희생 하셨는데 이번 총선 마무리 잘하시고 남은 여생 편안히 보내시길 바랍니다 감사합니다
129,초여름              ,이해찬대표님 신뢰가 갑니다. 앞으로도 건강하셔서 나라와 민주당을 위해서 많은 일을 해주세요~!!!
130,정              ,대표님! 이번 법안 통과에 정말 고생많으셨습니다^^
131,Maverick K              ,정치를 외면한 가장 큰 대가는 가장 저질스러운 인간들에게 지배당한다는 것이다. (플라톤)
132,Il faut tenter de vivre              ,언론개혁 시급합니다!!!!징벌적손해보상 제도의 도입으로 기레기 전부 지 아가뤼에 책임져야 함!!
133,J RHEE              ,"황교안이 나경원이 난리 법석을 떨고 G랄을 할때 이해찬대표님 너무 조용히 있어서 실망했었는데, 역시 내공과 저력이라는 것이 어디 가는게 아니네요. 이해찬대표님 응원합니다. 이번 총선 과반 꼭 넘기도록 화이팅하세요. 친일정당 쪽박깨서 진정한 대한민국 독립해야 합니다."
134,박상진              ,항상 응원드립니다....이해찬대표님!!!!!!!
135,myp0tato              ,당선될 험짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
136,들뢰즈 경제학 토론클럽              ,진중권이 언제부터 보수인가요?
137,김유진              ,싹다~~갈아엎어주세용~~!  응원합니다 깨시민들 민주당 적극지지 화이팅
138,안종섭              ,더불어민주당 160석자한당 80석으로 가즈아
139,이종원              ,오는 총선에서 자한당의 negative 공세를 극복하고 반드시 승리의 깃발을 들읍시다.
140,성막시마              ,야당심판론의 여론이 승승장구 하여 더민주 총선압승으로 !
141,이정의리              ,내가봐도 200석이 무난하게 나올것이다.내분을 일으키는 일만없구 말 실수를 하지않은다면 올바른 국민들이 다 알고있으니까?자한당 발목 잡는 것보고일반 보수당도 질렸다.
142,윤유투브다시듣기              ,공장장~~~힘내슈~~설 잘보내시고~~
143,이천원              ,이해찬대표님  이번선거 꼭 승리해주세요 응원합니다
144,소나무              ,은근매력뿜뿜 대표님^^
145,Jung BK              ,의원니임~ 건강 챙기세요오~~♥
146,金成海              ,이해찬 대표님 화이팅 ~~
147,거긴어때 HowAboutThere              ,항상 감사합니다
148,youngran kim              ,황교안 당선될 험지를 찾아 ㅎㅎ
149,장태영              ,당선가능한 험지? ㅋㅋㅋㅋ
