,ID,Comment
0,we can yes              ,캬 기분짱조타~~~😄😙
1,오백명기적              ,김종인이.할배더불어를버리고.모지리.잡탕당으로.촉이떨어지셨구만.국물당은.김대중.노통때.배신자들만가있다.호남의민심은더불어다.배신자들은지금부터라도골라내서깨끗한정치해야한다
2,Luna Im              ,야~~~기분조타!!!!!!
3,정선욱              ,이재정의원 왼쪽에 있는분 누구에요?
4,별다섯개              ,븅
5,young gyun lee              ,절성캐크프찬황고를를리중종르르201777744https://youtu.be/pl_6vBGzyS8 여스라고https://youtu.be/jlGoOcHxdys 욀리드 올리https://youtu.be/N5olSWkuV3g 지나소실https://youtu.be/hzaaG035hdE 아따비남ㄴhttps://youtu.be/CjbXBqK8_VA 먼미리이https://youtu.be/0-vVbN5kn2E 레디고인레드https://youtu.be/LGhSP1Wbfrw 시트릿https://youtu.be/9N6Ley6JYcM 징닝https://youtu.be/UWEQmB0QVfw 휴대홍있다. https://youtu.be/oJOm0ppuKk8 희망잉https://youtu.be/-HZw4LhBZgE 택https://youtu.be/QnotJuiDPes 정https://youtu.be/hGMDr-wMnLM 홀홀소차잉https://youtu.be/EnaQevQjxZo 머.04.01]
6,nalong731              ,"김종인 꼴 뵈기 싫어.........최순실 사건 터졌을 때 ,영수회담 무효됐다고 더민주 의총여는데 와가지구 눈을 부라리고 있었다고ㅋㅋㅋㅋ하긴ㅋㅋㅋ 총리 자기 뺏겼는데 겁나 억울한가 봄 ㅋㅋㅋㅋㅋㅋ"
7,팩트폭격기              ,절라도  것들  다.조작하는거다.  대한민국  거꾸로가게하는  미친자들.  팩트
8,팩트폭격기              ,민주당  개당일  뿐.
9,팩트폭격기              ,절라도것들  정치하면안된다.  조작자들  무뇌충. 뿐
10,팩트폭격기              ,절라도   것들  원조빨깽이다 정치하면안된다. 팩트
