,ID,Comment
0,이영주              ,청진파출소 출동경찰 전원 징계하라손녀 앞에서 저렇게...그 손녀 어디갔냐?송파경찰서장 종로경찰서장 파면해야 할것이다
1,ltagoras P              ,"내가 지지한 대통령이라서가 아니라, 지나고 봐도 볼수록 품격있고 자유를 수호하는 애국대통령 이기에 사랑합니다.😂😂😂쓰레기 뭉가 미친놈의 실정을 3년 겪으니 더욱 그러합니다."
2,깨어나라              ,"""다뭉쳐라"" 라는 박근혜 대통령님의 호소에 절대 공감한다. 모든 야당은 하나로 뭉쳐라. 국민의 명령이다.미래통합당은 열린마음으로 하나가돼라."
3,문mamooda              ,박근혜대통령의 무사 귀환을 바랍니다  나라꼴이 말이 아니네요  중국공안같은  경찰이라니  정말  견.찰.이네요
4,Ru Ru              ,박근혜 대통령 비판하던 분들 이번 기회에 반성하셨으면 합니다
5,iron Jo              ,문제인 대통령은 국민의 생명과 안전을 지켜야할 의무를 소홀히 한 책임의죄 미필적 고의  살인죄로 고발합시다!
6,George Khim              ,박근혜 대통령을 향한 일편단심 감동적이다총선 싹쓸이로 대한민국 살리고 불쌍한 박근혜 대통녕을 살려내자
7,이희숙              ,큰일입니다.한국이 중에 뺏길 수도 있습니다 국민여러분 야튼 선거를 잘 하여야 되겠습니다.
8,전주홍              ,누구의 죄가 더큰가 박대통령은 누명을 쓰고 문죄앙은 중국몽 진짜  기생충  한번도경험 하지못한나라
9,정해영              ,나라를 정신나간놈이 망치고 있으니 세상 돌아가는 꼬라지하고는...
10,훈파파              ,중공과 함께하면 멸망할것이고 미국과 자유서방국과 함께하면 흥할것이라는게 교과서이자 백과사전이다!
11,Psychedelic rock              ,더듬어 공산당 더듬어 조작당 더듬어 나불당 더듬어 간간당더듬어 막말당참내 이름도 많다 야 니들은 대한민국에 기생하는 기생충 이다
12,TiesofLove J              ,견찰들 정신차려 니들이 어느나라견찰이냐 못된것들 일반시민들에 대한 견찰들의 횡포도 반드시 처벌되어여마땅하다
13,아량              ,외교부 장관은 아무나하나?유치원 문턱만 넘어도 이정도보다 낫겠다
14,是心磨.              ,무조건 이번 4.15 선거로 결정을 내야 하는데 박근혜 대통령 말씀과 같이  대 통합이 문제로다
15,quseocks              ,민주당과 지금 정부는 막말제조부가 따로 있는 것 같다.그렇지 않다면 저럴 수가 없다~
16,이성조              ,민가인을 체포하는것은 이정권이 독재를 하고있다는확실한 증거이다. 여성을 강재체포한 견찰 멀지않아대가를 치를 것이다.
17,이화월백              ,A원사  애국지사가 될수 있겠는데...국민의적 죄인이를 골로 보낼수 있겠네....민족의 영원한 적 중공 친구 죄인이 잘가...
18,손수태              ,조선족들 한국에서 추방 한족추방 그냥두면 나라망한다.문재인도추방 강경화도 추방 ᆢ
19,소금창고              ,꼼수쓰는 시민단체 바퀴벌레들 태워없애든지 싹쓸어 청소해야한다  뇌가 썩어도 너무 썩은것들이다
20,송정희              ,"전자개표폐기, 청원,국회청원10명넘으면국회법사위상정됨,청원합시다"
21,나사라              ,지금 저런 유학생들이 4년재 대학을 졸업하면 영주권과 투표권이 주어지는 법률이 통과 됬나요?
22,백하늘백하늘              ,뉴스데일리베스트  관계자분들께 감사드립니다 감사합니다 ~~~~~!정확한 뉴스 팩트입니다 ~~~~~~!옳바른 뉴스를  전해주셔서감사드립니다 감사합니다 ~~~우리조국대한민국을 지켜내시고 계신 우리조국애국자동지님분들께 감사드립니다 감사합니다 ~~~~~!많은분들께 알려주십시요 ~감사합니다 ~~~~~!
23,바꿨다나 이름              ,그 부사관이 영웅이 될 수 있는 기회네. 문재인만 걸리게 만들면.
24,전Caterina              ,강경화 장관님은 빼고 이야기하고 싶습니다 강경화는 일반인보다 못한 장관입니다경찰들이 미쳤나 여기가 북한인냐 공산국가가 따로없네
25,진주              ,자유보다 평화를 외치며 경찰은 민중의 지팡이가 아니라 권력의 지팡이로
26,Namsoon kim NAM SOON              ,박대통령님 사랑합니다건강챙기십시요메세지 속에는 대통령님의 생각이 다 들어있음을 봅니다더욱 건강챙기시고 건강한 모습으로 뵈요~~^^
27,han oc lee              ,진정한 애국보수라면 박근혜대통령의 옥중편지를 읽고 모두가 눈물이 날것입니다..  일편단심 나라를 걱정하시는 그 마음은 하늘과 땅이 인정할것 입니다..  항상 옥체보전 하시길 기원합니다...
28,인현왕후              ,미대사관저를 침입한 자들과 1인 시위를 한 분과 누가 더 죄가 중대할까?우방국 주궏을 침탈한 자들에겐 여성이라서망설였다는 경찰의 발언이 모든걸 알게한다.
29,이선희              ,감사합니다   속이 후련  합니다  청화대 의 사람들은 여론조작  찬재들 거짓말쟁이들  믿을수 없는  자들  없어져야 될자들  입니다
30,무궁화              ,자유대한민국 대통령은 박근혜 대통령님!   끝까지 조원진대표님 지지를 합니다 가시밭길로 함께 하겠습니다 화이팅입니다!
31,Hanna Lee              ,박근혜 대통령의 메시지는  미래통합당이 김무성 유승민  촛불 안철수등과만 통합하는 것이 아니라  아스팔트에서 좌빨과 투쟁해 온 태극기 애국민과 연대하여 뭉쳐서 후보를 내고  좌빨을 몰아내야 한다   미래통합당은 더 이상 태극기 애국민을 외면하고 무시하지 마라
32,Han Kim              ,박근혜대통령님 말씀대로 대통합을 해서 문재인을 끌어 내려야 합니다. 그다음 김무성 유승민 등을 엄격하게 처단해야 합니다.
33,조정옥              ,중국유학생들은 잠재적 간첩이라고 본다. 중국 공산당에서 시키는대로 한다고 생간한다.공자학원은 정보수집 및 공산당 선전단체다~우리가 깨어나야 한다
34,Sung-Taek Yoon              ,미국에서 공자학원을 폐쇄했다고 뉴스에 나와어요 간첩활동했다는 이유로
35,두산              ,박대통령님은 세기에 한사람 나오기어려울 분이다 .빨리 자유로운 세계로 나오셔야 할텐데 그것이 국가을 위한 일인것을!!!!
36,박정희              ,우리 대통령님 강건하셔야할텐데 걱정입니다 뉴스데일니베스트 오늘 구독30만갑시다~
37,장성택김경수              ,정치의 시녀...법을 악용하는사례...전기충격기 소지해야 하겠네요...수류탄 소지해야 하겠네요...다 때려죽여버려야...하네요....사람이《란 잡는 게》먼저다.
38,김성광              ,사기꾼 문재인 탄핵 구속하라 중국인 유학생 입국 금지하라 민주당 민생당 정의당 민중당 빼고 투표 합시다
39,문정숙              ,눈물나내요 이런정부처음보내요😭😛😜😜 그동안너무행복한시절이그립읍니다🇰🇷🇰🇷🇰🇷🇱🇷🇱🇷🇱🇷🇱🇷
40,Mi Park              ,"박근혜 대통령이 무슨죄가 있냐 있다면 사기,조폭 집단이 꾸민 마녀 사냥 당해서 옥중에 갇혀 있는것이지 ....개만도 못한 정권 ,개만도 못한 경찰..이놈들 다 쓸어버려야 한다"
41,김상헌              ,국민절반이아니라  98%국민를  체포해야겠네~2%중국놈들은  사람으로보면 안되고.....
42,멸공방첩              ,중공의음모. 세계을 향한 중공의 바이러스 전쟁.
43,맨블랙              ,건강이 염려가 됍니다! 박근혜 대통령 각하 건강 하십시요! 얼마 되지 안아 좋은 소식 있을 테지요! 그때 까지 건강하게 계셔 주십시요!
44,손수태              ,문재인이 인권은 어디갔는느냐 갯ㆍ니들ᆢ
45,k에밀리              ,여태  몰라던방송  오늘처음보았는대  너무  좋네요아나운서  음성도  참 좋네요정치을  어려서 부터배운  박대통령정부 때는 살기 편했는대  이정부는자기들 배속만  채우고  사기와 거짓말 북한 처럼  국민들 눈 귀을막고 자기네들  잔치만하는  정권정말  징그럽다
46,김지예              ,박근혜를 빼냅시다.밀폐된 공간이라.중공폐렴에 위험할 수 있다
47,ranata ma              ,시민단체가 드디어 정체를 드러내고 있네요다 묶어서 북한으로 보냅시다
48,조정옥              ,경희대가 공산주의자 이념교육시키냐?중국유학생 많이 받고.공자학원 까지. 문재인 공산주의자까지 배출했내.~
49,양철수              ,고발? 잘됐네요.마스크가 어떻게  뭔 꼼수로 중국에 계속 갔는지  실체적 진실을 국민이 알아야 겠지요.
50,노대감              ,오래전부터 의심은 해왔지만 상상 그이상이군요...
51,wonyoung kong              ,역시 우리의 대통령.태극기 세력은 통합에 참여하는 게 맞다. 대통령님을 위해서도.
52,박성춘              ,경찰은 이래서 안된다는 거다.문쩝쩝이의 견찰들아~~
53,현민              ,지성과 애국심인 박근혜를 감옥에 가둔 놈들은 대한민국을 감옥에 가둔것이다 .네놈들 자자손손 천벌을 받으라
54,홍순익              ,대통령 욕해다고  잡아가는 것은 정은이 공화국 형태입니다..예행연습..앞으로 많이 볼것 같은 예감이 듭니다
55,hudsonriver              ,예쁘신 앵커의 시원 멘트 맘에 듭니다. 응원 합니다.
56,박순혜              ,유학생들 다 추방합시다. 추방에 청원서 올립시다.5.18광주사태랑같구만. 북한에서 들어와 일으킨 것
57,주사빠              ,"더불어 성추행당, 총선후 검찰조사 들어가면, 기가 막히고 코가 막힐 기절초풍할 일이 벌어질것이다~!!!"
58,정세균문재인              ,대깨문들....초딩 수준이요...신경쓸필요없어요....
