,ID,Comment
0,금강산              ,아니 저런 수준이 안된 후보를 내냐 자한당아 왜 깃발만꽂으면 된다는건가 통영을 뭘로보고
1,흙.풀.꽃.허니팜              ,그저 웃음이 나온다 자한당 후보를 보니 쯧쯧~!양문석 후보는 정말 진심이 보이고 노력도 많이 하고 있다 라는 생각이 듭니다~! 통영 고성분들 이방송 보시면 답나오네요
2,ditto K              ,공안검사  ? 하ㆍ.........통영고성분들. 이건 아니지 않나요? 몇십년 밀어줬음. 이제 한번 바꿔주세요. 보궐하는 이유가 뭡니까.자유당이 사고쳐서 하는거잖아요. 양문석 1년만 시켜보시고 판단해보세요.
3,曺사범              ,부산시민인데요. 관전해 보니 양후보가 논리적이네요.
4,채승우              ,어이공안검사출신새퀴야 깜은 니가 안되보인다
5,AriranGo              ,양후보님은 직접 발로 뛰는 국민의 일꾼답다. 국회의원 자리는 국민의 일꾼이 필요하지 국민의 상전은 필요없지.기호 1번 양문석 승이네요.
6,kh oh              ,점식이는 말뿐이네~~황교안 빽만믿고~~
7,willis un              ,자유당 대표는 왜 기억을 못하는게 이렇게 많나? 믿지 못할 사람일세.
8,y kim              ,"양문석 후보, 응원합니다.화이팅, 꼭 당선해야 됩니다."
9,charlie kim옆집아저씨이야기              ,꽃길만  걸어온  개검이라서..말주변이  더럽게  없네..중간중간  눈깔  굴리는  모습은  영  믿음이  안가네..
10,바꿀수있는체바퀴              ,양문석이 완전히 발라버리네 오랜시간 동안 통영누리면서 땀을 흘린게 느껴지네요
11,황황좌동              ,양문석 당선.
12,유국상              ,양문석 후보님!구미에서 응원합니다.꼭 당선 되시길 바랍니다...
13,상식으로지헤를 얻는다.              ,양문석후보자 참다움의 열정이 멋지다.이데올로기가 아니다.살빠진 실핏줄에 피를 통하게 하겠다는 연설에서 그의 의지에 생명력이 있다.잘 살하겠다는 진정한 의지가 느껴진다.
14,요가              ,1번 양문석👍 1번 양문석통영~고성 살릴사람 힘있는 일꾼 양문석후보를 응원합니다👍양문석 화이팅👍👍👍내사랑 전주에서도 홧~팅💕
15,中村裕子              ,자한당 정치 잘모른 내가보아도. 참 한심하다.  60대 인 나도. 자한당. 후보처럼. 말하것다     ㅋㅋ
16,나너아아앙응오어어어              ,걸려야 하는 사람보이네요 바로 감성팔이 하는 사람을 거릅니다.
17,Alex Yoon              ,양문석 후보가 더 똑똑해보이네... 통영 고성분들 현명한 선택 부탁드립니다. 기호1번 양문석 화이팅!!
18,박보수잡는박판사              ,양문석후보님 꼭당선되시길 그리고 통영 고성 시민여러분 후회하지마시고 일잘할사람 양문석  꼭뽑아 통영고성 신바람나는도시만들어요 꼭당선시켜
19,charlie kim옆집아저씨이야기              ,문제는  통영.고성같은  개.돼지 같은  가방끈  잛은 인간들이  이 방송을  보지도 않는다는  점이  안타깝네요..야들은  투표은  좃나게  해요..결과는 지켜볼  수 밖에..
20,rays devil              ,개돼지가 되지말자구요....언제까지 정담만을 보고 뽑을 건가요???? 나라를 팔아먹어도 한나라당 찍겠다는 그런 개돼지는 되지말지구요.
21,박인용              ,양후보 힘내랏 ~ !!  화이팅 ^^
22,철면조박그냔              ,ㅋㅋㅋ 자한당 후보 수준보소..... 황교안이 수준이 예상이 된다.
23,churl jeong              ,가장 국민가까이하는 자가 승리해야지.
24,Hester Kim              ,1분 45초 대박!!
25,번개              ,자한당 동문서답잘들었다 진짜 깜도안되고 껌수준이네ㅎㅎ통영 고성여러분들 축하드려요 진정성있는 양문석의원님이 계셔서 든든하겠네요 통영고성 화이팅~
26,전미화              ,여수에서 응원합니다 양문석 후보님 꼭 당선 되셔서 밝고 깨끗한 도시 만들어 주세요 양문석 화이팅 화이팅 화이팅
27,김만추              ,깜이 아니네 ^^ 양문석 후보님 화이팅!
28,방에서십만              ,대우조선도팔아넘기는판에 ㅋㅋㅋㅋ성동조선살린다하네ㅋㅋ
29,남이사              ,말빨만...ㅉㅉㅉ
30,나의뇌는개출중              ,ㅋㅋㄱㅋㅋ  개콘을  더이상  죽이지마라
31,마리아              ,양문석 후보님 화이팅👍👍👍
32,푸른숲              ,양문석 후보 지지합니다 화이팅!
33,임영우              ,양문석씨 예전부터 방송에서보구 넘좋아했는데 꼭당선되서 국민위한 참일꾼되길바랍니다
34,Dismas Oh              ,양문석이 답*
35,신윤희              ,정점식 후보 화이팅!!!
36,Byungyeul Lee              ,계획중인 남부내륙ktx는 김천<->거제간 191km로 기본설계로 되어있습니다.현재 김천<->부산간 250km 정차역이 김천역-대구역-경주역-울산역-부산역 5개로역간 평균 구간거리가 평균 60km정도 입니다.그런데 김천-거제ktx구간 191km로 3개 정도의 ktx역사의 설치가 예상됩니다. 고성과 통영에 2개의 ktx역사를 유치한다고 하는 정점식후보의 정말 무리한 공약입니다.김천-거제간 191km구간의 9개시군은 지역활성화차원에서  ktx역사의 유치에 사활을 건다고 보는데ktx최종목적역이 거제역으로 정해진것이므로 통영고성에 ktx역사 1개를 유치하는 것도 힘들수도 있습니다. 왜냐하면 통영고성과 거제의 거리가 현 ktx역간 거리 평균 60km의 반거리도체 되지 않기때문에 1개의 ktx 역사의 유치도 힘들수가 있습니다. 천문학적인 엄청난 비용이드는 ktx 역사를 고성과 통영에 각 유치한다고. 한마디로 정점식후보의 주장은 터무니없는 거짓 공약으로 밖에 볼수가 없습니다.저 개인적인 생각은 남부내륙ktx역사의 통영고성유치에 성공할려면 지역민들이 합심하여양문석후보의 공약인 고성과 통영의 중간지대에 미리 장소를 선점하여 정부와 협의를집중해야  통영고성이 ktx역사의 유치에 성공확율이 높다고 봅니다. 정점식 후보의 고성 ktx역사와 통영ktx각 두개 ktx역사 설치 주장으로 무리하게 추진할 경우 혼란으로 인해 1개의 ktx역사도 통영고성에 유칙하기도 힘들수 있습니다.
37,Sung Lee              ,양문석 사람냄새 난다.
