,ID,Comment
0,유해대              ,검찰개혁사법개혁잘하실거라마음이뿌듯합니다
1,데이비드니콜라스              ,추미애대표님 항상 응원하고 있어요문재인 정부와 함께 적폐 청산 확실히 하길 빌어요
2,Cake Blue              ,추미애 대표님~ 강단있는 행보~ 엄지척!!!
3,한광희              ,"여성정치가 로서휼륭하십니다,특히정치입문시절김대중정치가옆에일하기어러운시기였죠"
4,빅볼              ,청문회  이달안에  합니다   야당에서는   정치공세  허벌나게  합니다자산도   없고  무신  아무  문제도  없고   정치공세   등.. 쓰잘데기  없는 청문회지겨워~~~~
5,平間富月              ,우리추미애장관님은.깊은속과.판단역이 적중입니다.미래가밝아보입니다.나라을위해.깔끔한정치.부탁합니다.청탁같은건하지 마시고.화이팅♥♥울김대중대통령님 추장관.도와 주세요 화이팅♥♥
6,BH J              ,다수이 국민이 원하는것은 검경수사권에 경찰은 수사을 검사는 기소을  이것에 힘쓰는 당 은 총선에 의석을 많이 나온다 시중에 소리다
7,최명순0              ,잘 완수하실거라 믿습니다.
8,최연순              ,추미애 의원님은  여성들의  자존심이십니다  정말  훌륭하십니다  장하십니다  정말  법무장관수행 잘마무리해  주세요  어러울때  넘 무거운  짐을  지워드린것 같은데요.
9,小笠原貢              ,추대표? 자녀분들 봉사표창장? 조금 걱정됨..... 청문회? 걱정 ㅡ 응원💃
10,vvw              ,잔다르크 나라를 구한 여성추미애님  정말존경 합니다
11,이영자              ,민주당자유당에끌려다니지마라자한당에속지마세요
12,천사맘              ,추미애장관님 응원합니다.든든합니다.
13,정은영              ,추다르크님!!!!!!    우울한시대의  영웅국민대다수는 추다르크님을  믿습니다.  악마 윤짜장을 반드시  국민의 이름으로 처형대에 세워주세요.  허위로 조작해 조국 가족을 패망시킨 악마을 제발 심판해조세요~~~~~
14,심봉주              ,민주당도만족하고자한당도만족하고국민도편안하고우리나라대한민국도빛나고그길을찾으세요ㅡ추의원님은하실수있으리라믿슴니다ㅡ추의원님 ㅡ회이팅 ㅡㅡㅡ
15,schewa schewa              ,성공적인 당정청 공조를 위해 항상 노력해주는 추추트레인 추대표님 감사해요!
16,vvw              ,추미애님인성 모든것을 사랑합니다 🌷
17,초안산              ,추다르크 화이팅사랑합니다~
18,이영자              ,추장관님ㆍ화히팅입니다추장관님잘하실꺼라민고싶읍다그러나~윤석렬한태대통령도ㆍ국민도속았는대!!!!!
19,오민주              ,외모도 이쁘시고 많은지식과 똑똑하심과 여자로서 존경스럽고 앞으로 법무장관님으로써지금 시국에 필요한 검찰개혁의임무를 기대합니다존경하고 사랑합니다
20,오치임              ,사회자 질문의말  여자가  없다고 이상히 여기지 마세요 !!!!!!! 여자여자  나름이지요 ~~~  많으면  미친🐕🐕자한당  🐕여자들   저질당 보라 지겹다××××이렇게 똑똑한 추미애대표님 총장님  힘이나고  빛이납니다★★★♥♥♥👍👍👍 최고입니다👍👍👍👍👍👍👍👍👍👍👍👍👍 짱입니다♥♥♥
21,김은숙              ,박영선과는 결이 좀 다른 여성 정치인 자신만의 유불리를 따져 방향을 정하지 않은 용자 추다르크흥해라~!
