,ID,Comment
0,김선수              ,외부의 적보다 내부의 적이 더 문제지
1,유성희              ,나중에 이언주처럼...아닌사람은 바로 아웃시키는게 현명한 대책~~자꾸 당~시끄럽게 하고 나중에 짐보다리 싸가지고 나가서 찍어준 유권자 무시하고  다른곳에 가서 주둥이 함부러 놀리는 배신자 언주처럼 만드느니 미리~~정치를 할려면 지조있게 해라~
2,조정호              ,"자기당 소속 시의원을, 오죽했으면   오죽 심했으면  제명을 했을까....."
3,김대영              ,새누리당에서 판세보고 민주로 넘어온 얘들 대부분이다.. 시의적절한 변절자들은 정당도 정당이지만 국민을 위해서 빠른 제거가 필요하다.
4,Steven Song              ,뒤에 마스크맨들은 뭐죠?  시민들 의견 대변 한답시고 ..해당행위 하신건 아니시죠?
5,js k              ,저여자말에 믿음이 안감
6,범죄집단 자한당박멸              ,그나마 규정이 제대로 작동하는 더민주가 보수구나웃기네 저기 경남쪽이니  토착왜구매국당 자한당같이 또 개소리짓꺼리했나보네잘했다 제명 저런것들은 초반부터 싹 잘라야한다이언주같은 개잡뇬  또 만들라
7,여기어디냐              ,먼 뉴스가 이따구냐뭘 어떻게 잘못했는지 구체적인 이유가 없냐 나만 그리 느끼나....
8,김재은              ,도발적인 의원이네 벌하지요.이언주  같으네.
9,K상파이              ,잘했습니다 그런 비양심적 이중인격자가 더러 있지요 뒷탈이 없게 일찌기 찾아 잘 제명 했네요 보아하니민주당가면쓰고 자한당행세 하면 경고받죠 그래도 알갱이가 변치않으니 당연히 내어 보내야지요.
10,조유길              ,김영애 인터뷰하는 모습만 보아도 진심은 보이지 않고 억지스러운 느낌이다. 이런 애들이 방관하면 후일 큰 소동을 벌인다. 더민주가 일찌감치 잘 해치웠네.
11,무심바위              ,시도의원  없애자!!!아무쓸모가  없다!!!
12,스나이퍼              ,딱 말하는게 당규와 필요없이 매국노당 대변인역 핸가보네 잘 하셨슈 제명
13,MODERN MARVELS              ,아 스파이였나?
14,puropachi123승빈              ,기초의회는  당을 떠나서  ~ 음 이말투가 민주당이 아닌  스스로  자한당 짓을 했다는것으로 보여짐
15,ᅥ내음악1              ,이언주 학습효과?
16,이만준              ,정청래전 의원  처럼 행동으로 보여라.
17,parksw59 park              ,떳떳치 못해 마스크로 얼굴 덮고출연?
18,어쩔건데장모              ,짜를건 빨리잘라야 합니다
19,Anelka              ,"""기초의회는 당명을 떠나서(?)""....저 말에 본심이 보이는듯...당명을 떠나서 할꺼면 왜 당에 가입을 하냐?...."
20,오팡              ,물에 미원 땄나요? 기사가 왜 이래요? 제명을 했으면 그 구체적인 내용이 무엇인지 알려주는게 기사잖아요.
21,우짜노              ,잘짤렸다~  자한당측이였으면
22,inyoke choi              ,"기초위회 당명을 떠나서 활동하거면 민주당이 아니라 ""무소속""으로  당선됐어야지.? 당신 민주당으로 나와서 당선 됐으면 당입장에서도 활동해야지."
23,hee park              ,한국당 동네에서 힘이드셨나?세상이 바뀌어 가고 있습니다. 오직하면 제명했겠나!!
24,So good              ,뒤에 검정마스크 끼고 뭐냐.....별로 좋아보이지 않는 퍼포먼스다
25,냥요미              ,민주당은 짜르기라도 하는데 한국당은..
26,홍성대              ,누가 옳은지는 모르겠네요.진실을 감추기 위한 다수의 폭력일까아니면 정말 퇴출시킬만 해서 쫓아 낸 것인가이 내용만 봐서는 도무지 알 수가 없네요
27,캐나다베이              ,제2의 이언주같은 사람은 절대 만들지 맙시다!!
28,이하루              ,잘가라 ㅆㄴㅇ
29,Sang Lee              ,무슨 제명당할짓을 한건지 알수가 없는기사구먼..  ㅡㅡ
30,박지원              ,해당행위를 하믄 제명해야제!!
31,Charles              ,생긴게 좀 불량하게 생겼네... 불량품은 버려야지.
32,JJ N              ,자유주의 정당답네 뭐...아무리 부패해도 사고가 비정상적이어도 우리가 남이가~ 패거리주의 영남지역주의로 먹고사는 모 정당보다야?
33,문용휘              ,싹수가 보이네....나중에 거의 이언주급......초반에 자르는게 좋음...이제 진행상황을 보면알게됨...민주당의 갑질로 인해 피해를 본냥...코스프레하면서 자한당 들어갈거같음.....
34,진격              ,이 기사로는 이유가 명확하지 않아 일단 판단은 보류하고 본인 언급대로 현 위치에서 시민들을 위해 열심히 일하다면 굳이 당도 필요 없겠지
35,김김희교              ,토착왜구년이민주당의원이였다니.경상동애들은절대로믿으면안됨.언제나.본색을드러낼수있음.왜놈피가흐르는곳경상도
36,Kokizzim              ,똥파리 간부중 한 명인가?
37,gs ha              ,시의원 도의원 무슨 대단한 감투인줄 아는 사람 많은듯...시의원이 무슨일 하는사람들인지도 궁금하네
38,박종수              ,제2의 이언주제명이 정답
39,궁글게파란              ,자한당에서 심어놓은건가 이언주 꼴나것네
40,옥수수              ,시민들의 대변자? ㅋㅋㅋ기초적 세금 낭비자들이죠~~^^니들 없어도 전혀 느낌없는 정치의 꿈을가진미래의 오만방자.안하무인을 세금으로키우는 집단이 기초의원이다.제발 없에고 어려운 노인.학생에 투자하자^^♡♡저 여자도 뒤에 알바 마스크생 세운거보니뇟속 우동마인드는 기존 정치꾼들과 똑같은 성향 가진 여자네...한심하다^^♡♡
41,선민규              ,어이!! 김영애 씨?? 시의원일수록 자기자신이 처신을 똑바로 했어야 되는 거 아니고?? 글고 같은 당 사람 끼리 와그라노??
42,어쩌그냐              ,사천은 아직도 한국당이 7명 이구나
43,Mr강              ,정치색이 안맞는데 같이가는게 이상하지 ㅋ
44,Hello              ,철새.규율도 못지키는 사람은보나마나 ~~~~~~~~~~
