,ID,Comment
0,사람사는세상노무현재단              ,"고칠레오 9회 박주민 의원 발언에 정정사항이 있어 바로잡습니다. “제헌헌법에서 인구 10만명당 1명의 국회의원을 뽑아야 한다는 전제가 있었다“라는 표현은 사실과 다릅니다. 제헌헌법이 아닌 제헌의회를 구성함에 있어 ”인구 10만명당 1명의 국회의원을 뽑아야 한다” 가 올바른 표현입니다. 제헌헌법에서부터 명확하게 규정이 있던 것은 아님을 다시 한 번 알려드립니다. 시청자 여러분께 혼란을 드려 죄송합니다. 신속하고 정확한 내용을 전달하는 알릴레오 제작진이 되도록 더욱 노력하겠습니다.------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------아래의 내용을 추가합니다.(2019.03.13. 오전 11시)보충자료1> 박주민의원 페이스북( https://www.facebook.com/joomin.park.739 )바로 잡습니다.제가 오늘 고칠레오에 출연해서 오늘 나경원 원내대표가 한 ""국회의원 정수가 300명을 넘는 것은 불문(不文)의 헌법정신을 위배한 것이다""라는 취지의 발언에 대해 비판한 바 있습니다. 비판을 하면서 제헌헌법시부터 인구 10만명당 1명의 국회의원을 뽑아야 한다고 구상하였기에 제헌헌법에서부터 국회의원 정수가 200명 이상이어야 한다는 표현이 있다고 이야기한 부분은 잘못된 표현임을 알려드립니다. 제헌헌법은 제헌의회를 구성하여 제헌의회에서 만들어졌는데 제헌의회를 구성함에 있어서 인국 10만명당 1명의 국회의원을 뽑아야 한다고 하여 그렇게 제헌의회를 구성했고(당시 인구가 대략 2000만명이었기에 선출된 국회의원은 198명이었습니다), 그러한 정신이 계속 이어져서 현행 헌법에 국회의원의 정수를 200명 이상으로 한다는 하한 규정은 두되 상한을 제한하는 규정이 없는 것(인구가 늘면 그에 따라 국회의원 수가 늘어야 하기 때문에)이라는 취지로 이야기를 했어야 하는데 제헌헌법에서부터 명확하게 그런 규정이 있었다는 식으로 이야기를 한 것입니다. 급하게 확인하고 말하다보니 그렇게 되었다고는 하나 잘못은 잘못입니다. 혼동과 혼란을 드려 대단히 죄송하며, 알릴레오 제작진, 유시민 작가님 그리고 알릴레오를 사랑하는 분들께 심려를 끼쳐드린 점도 깊이 사죄드립니다. 다시 한 번 죄송하다는 말씀을 드립니다. 그러나 국회의원이 300명을 넘을 수 없다는 것이 불문의 헌법정신이라는 표현은 위에서 보는 바와 같이 1)현행 헌법의 규정에도 반하고, 2)제헌헌법 제정 당시에 형성되어서 이후 이어져온 헌법정신에 반하는 것은 분명합니다. 보충자료2> 헌법헌법 제41조 ② 국회의원의 수는 법률로 정하되, 200인 이상으로 한다. 보충자료3> 국회입법조사처 2012.02.24. <국회의원 정수의 적정성과 위헌논쟁> https://goo.gl/LuBaxm(2) 국회의원 정수의 헌법 연혁제헌헌법 이래 헌법에 국회의원 정수에 관한 규정이 명문화된 것은 제5차 개정헌법에서 시작한다.1962년 12월 26일 제5차 개정헌법은 ‘국회의원 수는 150인 이상 200인 이하의 범위 안에서 법률로 정한다’(제36조제2항) 고 규정하였다.1969년 10월 21일 제6차 개정헌법(소위 3선개헌)에서는 ‘국회의원 수는 150인 이상 250인 이하의 범위 안에서 법률로 정한다’(제36조제2항)고 규정하였다.1972년 12월 27일 제7차 개정헌법(소위 유신헌법)에서는 국회의원 수에 대한 규정이 없다.1980년 10월 27일 제8차 개정헌법에서는 ‘국회의원의 수는 법률로 정하되, 200인 이상으로 한다’(제77조제2항)로 규정하였다. 그리고 이 조문은 현행 헌법에 그대로 승계되었다."
1,비타민세개              ,자유당 여자국회의원들은 다 애기하는 얼굴이표독스러운지 온화하게 하면 안될까
2,yk S              ,국회의원은 왜 월급이 그리 많아 최저임금수준으로 받으라그래
3,Mingquan Li              ,유시민 멋져욤
4,M AX              ,그래서 최저임금 올리는 게 옳다?ㅋㅋ웃기는 소리ㅋㅋ 시간당 2만원씩 주자 소득주도성장되게
5,황금도깨비              ,특권의식과 권력을 내려놓고 국민에 봉사하는 마음으로 일해야 한다고 생각해요~북유럽 선진국 같이 명예직으로 하고 버스 자전거 타고 출퇴근 해야 합니다~~ 그럼 아무도 안할까요...(국개의원)최저임금보다 좀 높게주고요.
6,샤넬넘버5              ,이런것들이  나대는국회 담에는볼수없도록  잘뽑아요.근데  지지율이 올라가는 국민성도 참 답이없다는...정말  저녀ㄴ 안보살수있는세상이 되면 소원이없겠어요박수치는것들도 똑같아요
7,R골짜기              ,"국회의원수는 지역의 대표성, 인구의 비례성, 올바른 국민주권 반영을 고려하여야 합니다. 국민주권이 반영되지 않는 싹쓸이 정치는 개선되어야 합니다. 누구든지 어떤 분야든지 특권과 특혜를 없애야 합니다."
8,김선영              ,나베 보면 초딩들 웅변대회 나온거 같아 ㅋㅋㅋㅋㅋ
9,조중동폐간              ,아따시와 니혼진 데쓰: 나베상
10,rea KO              ,참~ 너무 많이 알아서 뻔뻔스럽군요~~
11,Dk J              ,많이 야위었네요. 건강챙기세요.이제야 진정한 언론인의 참말을 들을수 있네요.  쌩큐!  나경원말은 가짜요. 반대적인경우가 대부분입니다.  적폐 일호입니다.
12,강봉중              ,국회의원 님들 최저 임금 어덯읍니까 하는일 없시 너무 세비많이 받는것 아닌가요 염치가 있어면 세비좀 내리시죠
13,쵸리처리              ,진짜 보기 힘들다..
14,CARENA CATA              ,나 나르시스 말 논의할 가치 도 없는데요..
15,Ben Lee              ,반민특위 발언은 정말 ...
16,정허브              ,여기서도 저여자를 봐야합니까.가능하면 영상을 금해주십시요.
17,o8282              ,줄줄이다른뱃지는무었인고  갈릴레오 ㅋㅋㅋ
18,버독              ,출산율최저찍고 초고령화사회인데 먼ㅋㅋ10만명당1명.인구자체가 많앙서 하는것만이 정답이냐 빡구야
19,아파치              ,나 씨는  자리장소 따라 말이 달라  표리부동 의 대표자얼마나 잘  처무코  살라고
20,Kyu Kim              ,그냥 ~ㅁㅊㄷ~ㄴㅁㄷ~ㅇㅂㄷ~그리고~ㅈㅇㄴ~ㅁㅊㄴ~이게답~
21,Selina Workroom              ,"빠른 영상!! 감사합니다~^^b파면당한 박근혜씨랑 똑같은 말투... ㅠㅠ뭔가 4선의원에 대한 선입견이 생기는 순간입니다!! @,@"
22,허정호              ,정말 국대급 ㅆㄴ
23,진토착왜구 박멸              ,나~베을 없어지면 안될까?저것이 앖어져야 나라가 발전이 되는데 친일당이 아예 없어져라!!
24,코스모스              ,으아악!!! 저여자~돌겟네요🤐🤐🤐누가 저여자입좀 꿰매줘요
25,우보만리사과나라 뉴턴의 정원              ,이승만이 놈 부관참시해야
26,알파리포산              ,일본자민당한국파견대표 나경원상의 연설 잘 들었습니다. 이제 본국 열도로 추방합시다.
27,NCT NCT              ,잘 듣고 있습니다~!♥
28,삼꼬쪼려김성진              ,너 나고칠래요?
29,황어흥              ,나:  나  대표님!  사람들의경:  경멸을  진정원: 원하십니까?
30,이덕진              ,국회의원은  정신감정과 특정국 간첩인지등 철저한 검증이 필요하다
31,하세요              ,청와대에서 모욕죄로 고소하면 안 되나요?
32,유투미              ,오함마로 아가리를찍어주겨도시원치않을 왜넌
33,JUNG DAE GIL              ,https://www.youtube.com/watch?v=IfIyxToggbc보고 정신좀 차리시길바랍니다.
34,험악한세상              ,고치고싶어요?ㅋㅋㅋㅋ
35,잘해보자              ,많이 배우고 갑니다.^^
36,pose ex              ,일본 아베 정부의 대변인인가 .....주어는 없다..
37,장가              ,자한당에현재 범죄혐의자만 빠져두 한 10명은 빠지지않것나 바로실행하자채용비리 몇명? 권.김.한.염 4명이완영 곧갈거구 원유철.등 생각이안나내
38,김기수              ,북에서 핵쏜다는데 이런건 안 알릴레요?ㅋㅋㅋ
39,주니워니              ,(자)주 나와서 지겹다 (유)치한 말만 나불대네 (한)사람도 빠짐없이 처벌하시오 (국)민이 명령합니다 (당)장 실행 하십시오!!!
40,강관중              ,이뿐입에서개소리야그레도판사야판사입에서도개소리하내ㅎㅎㅎㅎㅋㅋㅋㅋ
41,제이야기는요              ,와 오늘일이 바로 올라왔다...
42,닉네임              ,솔직히 최근에 민주당의 일부 행태도 마음에 안들지만 자한당이 하는 행태는 여전히 개막장급이라...똥오줌 못가리는 강아지 싫다고주인을 무는 개새끼를 키울수는 없잖아?
43,despot 37              ,나경원이 대권 준비한다고 하더니 정말인가 보네.
44,천둥소리              ,의장님 참는모습 보셨나요.... 진정한 어른에 모습......
45,저도 그렇게 생각합니다.              ,마지막 기회일지도 모른다.https://youtu.be/IfIyxToggbc이 영상보고 위 영상이 얼마나 근거없는 개소리인 지를 깨닫기 바란다. 객관적 자료를 제시하지도 않고 가벼운 입으로 떠들기만 하는 걸 곧이 곧대로 믿는 것이 가장 어리석은데. 위 두 사람은 종일 입으로만 얘기하다 입으로 끝낸다.없는 사실을 얘기하거나 왜곡한다. 자신들에게 불리한 사실에 대해서는 거론하지 않는다.유시민의 감성팔이논리에 속았던 한 사람으로서 많은 이들이 빨리 눈을 떴으면 좋겠다. 스스로 모순되는 짓을 서슴치 않고 염치없이 하는 사람들이 위선자이며 범인이다.
46,마리아테레지아              ,꼭 저난동을 피울 소리를 해야 인지도가 올라가나?적당히 하세요. 어느나라 사람인지 .. 원.
47,저도 그렇게 생각합니다.              ,https://youtu.be/IfIyxToggbc위 영상 반박한 영상입니다.보고 무엇이 진짜고 가짜인 지를 분별해보세요.그냥 내가 지지하는 사람이니까 옹호하지 마시고 객관적 사실을 토대로 비교해보세요. 진실은 하나입니다.그리고 그 무엇도 절대자로 섬기면 안됩니다. 무신론자이지만 섬겨야 할 것이 있다면 크리스찬이 말하는 하나님? 정도이지. 그 무엇도 사람을 함부로 신념 믿듯이 해서는 안됩니다. 아니 위험합니다.그 사람이 좋은 사람인 지 사실을 얘기하는 것인지는 객관적 증거를 토대로 그리고 사화에서 벌어지는 현상과 결과물을 가지고 얘기해야합니다.
48,김성식              ,어용 광대들 ...ㅉㅉ
49,신종현              ,88888888888888내가 8을 연속으로 친 이유는 국가원수모독죜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
50,네이트              ,아 내눈!!
51,환경자연주의              ,"나씨 우리나라를 저희나라라고 말하는 수준..참 무식, 저렴.."
52,요리하는아빠              ,어휴~~~한숨만  나온다
53,신축구              ,정의정의 거리는게 존나 우습네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ유시민 조카 마약 실드치려고 탄원서 까지 내놓고 뭔 정의정의 아오
54,indi harm              ,두분 너무 멋집니다~~ 우리들의 희망입니다~~~  자한당은 인간쓰레기집단이라고 생각합니다.
55,Angel Park              ,349205
56,yoo간디정신              ,자유한국당이 총선에서 자멸해서 한국정치에 정책과 이념으로 합리적으로 토론하고 입법하는 보기좋고 멋진 진보 보수가 싸우는 국회를 보고싶습니다
57,Nicole 9              ,허..광고 7분짜리다. 근데  이광고 재밌네요^^
58,eecara Soul              ,"이건 다른 얘긴데요 유튜브 인기는 무엇을 기준으로 하는건가 궁금합니다가짜뉴우스, 좌파 빨갱이, 태극기 유투브가 매번 위에 있는데 조회수는 그저 그런데 뭘까요"
59,IN J              ,실제 외신 보도를 이용해 말한건데 ㅋㅋㅋㅋ
60,Won Pyo Hong              ,체널A어
61,buyng gok kim              ,나베도 칠푼이랑 같은과네...
62,최범기              ,전혀 동떨어진 문제로 말하고있습니다. 재벌개혁을 재벌독점을 해소해야합니다 구멍가계까지모든 유통업을 재벌의 종속적으로 두고 어떻게 분배의 공평성과  과세의 공정성과 공평성을 유지합니까? 모든악은  자유한국당이  만들어 놓은 결과입니다.
63,조은솔              ,역겹다... 위선자 좌파정권...
64,자유민주주의수호              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
65,kim개똥              ,입을 바눌로 꿔매야 합니다
