,ID,Comment
0,양일옥              ,참귀가막힘니다   이정권이렇게무모한일을벌리고있는데도  야당은무얼하는지원네지도부는맞서지못할무능한원네지도부국민혈세반납하라
1,배상열              ,친노잔당 문빠들의 검은본색 이성을 잃은 광신도의 집단광기를보는듯하네요
2,노하선              ,우리나라헌법싸움은우리나라헌법으론해결못함니다해결하는방법은국제판사들11명모셔김경수박근혜손혜원을재판하게하면서로간에싸울일업을겁니다꼭해야함니다
3,포청천              ,혜워니부터 압수수색을해야지 왜목포시청부터여?
4,카론              ,"경수일병은 뜻대로 되기는 어렵겠고,  손벌집은 건드려놨고,  레임덕은 당연히오고, 손안대고 코풀어 볼까'!!"
5,김july              ,손혜원만행 망언중 자신의돈을다내놓겠다. 목숨걸겠다. 지켜봅시다
6,노양이              ,문재인과 연결되어있다는 증거가 발견되면  줄줄히 엮여 들어갈 좌파들이 한트럭은 될거 같아서 필사적으로 막는듯.
7,김진분              ,손해 원  김정숙이 등에업고  권력  을휘들르고 있다.확실하게 밝히고 김경싀또한 무기징역   에처해라!
8,백성리              ,김경수 죄가 너무약하다.인간하나 잘못뽑아 나라가 히청거리고있다.이게얼마나 큰죄가되는지는 알꺼다.이런인간은10년은 살려야함 2년말도안된다.
9,wings ppp              ,손혜원과 김정숙간에 남은 증거 자료가 전부 삭제 했나보군.....
10,블루빛              ,더불당 은 해체시켜야  할 당인  듯 요  법과는 무관한  막가파식 당
11,포타츠              ,김경수가 다 불까봐서요 그럼 침몰하거든요
12,auf rhd Wkd ro              ,뭉가도  수사해서   구속 시키자
13,나그네              ,누굴 원망하랴.전부  미쳐버린 세상...한번도 경험해 보지 못한희망이 없는 나라...
14,이상권              ,"왜 조선일보 1면에 기사화하지 않나요? 헌정무력화, 사법부 길들이기가 그렇게 가벼운 문제입니까?"
15,Pauluo Mistery              ,오만 방자한 청와대와 민주당의 오판이었다. 김경수를 경남지사에 내보낸게 악수를 둔 것이다.
16,전영천              ,"공산,사회주의보다더한놈들!"
17,고영주              ,재수없는 민주당원들
18,배현주              ,한 번에 깊숙히.급소.찔러야합니다.
19,dydxor jung              ,권력을 이용해서 법을 우습게여기는 이놈들은 지구를 떠나거라.
20,김재영              ,이놈들이 몸통을 잡아갈까봐 안달이났구나
21,김운              ,"몰리니까 수사하는척하는거지,,,제대로 수사할지는 두고볼일"
22,이키신저              ,"이재명처럼 문씨아들 언급해라  혜원아! 아님, 딸내미! 넌 할수있어. 그렇게 해서 정수기와 머리끄댕이 끌어잡고  싸워라. 오랜만에 웃어보자."
23,김미숙              ,경수바둑이놈2년 말이안된다
24,Olivia Chang              ,문빠들은 완전 또라이들이야ㅡ
25,이상권              ,김정숙 꼬리 자르기다
26,휘석              ,손혜원의원 집은 왜 압수수색은 하지않나?
27,김박사              ,해찬아   도지사가뭔대   갱수가 뭔대  죄가 얼마나 중한데 갱수 몸통도 깜방보내야 한다그래야 대한민국이  살아난다
28,오창율              ,손혜원이 입열차례군
29,한순옥              ,대단한  힘 과시   인간으로  회복하길    ㅡ국민 혈세ㅡ돈  국민세금이  무한대로   수단과방법   불법이하늘 찌르고ㅡ
30,횃불 든작은거인              ,답은 정해저 있는걸 문재인어게로 니들이 아무리 그래봐라 손바딕으로 하늘을가리지
31,반공해야산다              ,군력의주구인개검이 쇼하는게아닐까요미리연락해주고 압수수색하는쇼동생손현씨만 3번이나불러수사하고 손혜원이는아예부르지도않고 모든게쇼경수는 2년은짧다 최소10년은때려야한다사법부는김명수개새까부터짤라야한다
32,서ds              ,"손혜원도 문제지만 검찰발 블렉리스트 사건 문다혜 해외이주 사건등 봇물처럼 터지는 적패에도 제1야당 자한당은 천하태평이니 이 나라를 누가 구한단 말입니까, 국민이 횟불을 들어야 마지못해  따라 오겠나요, 한국당 좀 정신차리시요, 한국당에 다시한번 기대를 걸어 봅니다"
33,jw lee              ,김경수2년? 너무약함.
34,Sonia Choi              ,바둑이 목줄 잡고 있는놈누구냐?바둑이 주인 그놈이 두목이다두목과 그 하수인들이바둑이를 빼돌리려고꼼수를 부리고 있는데어쩌냐?니들의 망국적 저질의 꼼수를국민들이 훤히 알고있으니 ᆢ좋게 자리 비워라
35,문정숙              ,전라도 떡됐네 한푼도 못 받네 문 지지 왕창하더니만
36,백선우              ,해골차이랑 갑수이를 강제로 결혼시키면 좋켔땅~갑수이 동창생은 경인선 가야지 하면서 사회보고~ 쩝쩝이는 A4 용지 들고 개다리 번쩍 들어 책상다리 넘어가는 퍼포먼스 하면서 주례보고~재 미 만 땅!
37,바른소리              ,다른도 시 군  면  은국민이아니고 투표권이없나 선거때보면알겠구만병신유갑떠내? 잘해봐라ㅡ
38,nosung park              ,해찬아!힘들지?까는 소리하지말고집으로가서 편히 쉬어알겠지?
39,나대로              ,손혜원 자택압수수색을 해야지!   빨리도 한다.
40,yoon ok joo              ,김 갱수 석방 시키면 대한민국 뒤집어진다
41,김성덕              ,짧고 간결하지만 팩트체크가 확실하시고 불의 앞에 열정적이고 당당한 문인의모습 감사합니다.좋은방송을 통해서 바른 가르침 잘 받고 있습니다.늘 아름다운 젊은불꽃같은 열정 고맙습니다.
42,coara m              ,모범이 되어야할 대통령 총리 장관 등등 나라를 책임지는 사람은 정직하길 바란다
43,구성림              ,정신차려라.  잘못한거는 잘못했다고 시인할줄 알아야지..권력은 무상한거야. 그럴수록 지지율은 떨어진다.
44,최정희              ,김경수가구속되면  몸 통이위험하니깐요 문세력들의적페가들어나도 방송언론들이 덮어버리면 허지부지넘어가고 한국은 좌파들의횡포와 무법천국이되고 자신들 입맛에맞은정치  정권이될것 나라는종북좌파들의천국이되고 페망힌것입니다
45,박울타리              ,이 건들아 내로남불 만 하는 자 들...
46,케리              ,김광일 입으로 언제 문재인정권이 폭방하겠오드루킹주범 문재인 처리문제 어떻게 할까요?
47,돈키호테              ,왜  손혜원 주범부터 불러조사해야됨이 순서인듯
48,무릉도원              ,더불어적폐당
49,유비유비              ,박근혜정부가  대구에  5조4천억 주었다면  더불 쌕끼들 어떻게  했을까
50,김용기Fotomine              ,미쳐도  그냥  미치지 않고는 그런작태냐  해찬아
51,금보라              ,손혜원 목포 신나게 쇼핑했는데...
52,강희남              ,이번 깡패집단이 헌정질서와 사법을 알겠습니까?법원은 정신차려야한다.깡패집단의공갈에 넘어가면 안된다!
53,오짜              ,얼마나 해처먹었으면 감당이 안되노. 근데 정수기는 같이 안했나?
54,H SK              ,대통령도  대법원장도 구속되어 있는데  지사 정도가 구속되는 게 무슨 큰 일이야.. 이해찬 이는 국민 알기를 우습게 알아
55,밀알              ,김경수는 특검이 밝힌건  댓글 범죄의 일부분입니다  몸통으로 알고 있는 문재인대통령과 김정숙여사는 특검으로 가면 여죄가 밝혀질것입니다
56,광풍              ,목포는 호구다
57,s m kim              ,노망은 지구를 떠나는 일
58,Myeong Soo Lee              ,자유한국당 지지율이 약간 내려간건 5.18 발언때문아니다 명단공개하라는게 무슨 망언이냐고 자당의 편은 못들망정 민주당편들고 사과하나하는 김병준등등 광주를 민주화의성지 운운하는 그런 인간들이 소속된 당이라 고개를 잠시돌렸 을거라고본다
59,yg kim              ,이해골찬이 김경수를 구하기 나선다는데 이씨가 사법부 도 접수했다는 말인가?
60,대헌터              ,자업자득이지 수단과 방법을 가리지 않고 정권을 탈취했지만 그 정권을 감당하기에는 소양 미달인게야
61,여국성 TV              ,애국 국민 여러분 자한당이 무능당이 된 이유 여국성TV에서 꼭 확인해 보세요
62,김현숙              ,서점 점원으로 일했던놈 리헬찬 해골바가지 속은 오로지 빨짓할때 물든 빨간사상으로 개돼중을거처뇌무현으로 됀꼴통
63,손태현              ,정말 꼴보기 싫은 정당이로다!!  법도 상식도 통하지 않은 내로남불의 집단입니다 !!!     ㅋㅋㅋ
64,김동명              ,"대한민국이 이해찬 같은 , 수치도 모르는 당대표가 나라를 휘젓고 돌아다난다도대체 이나라의정치는 정화될수 없는건가대한민국을 살리기 위해서는 강력한 살생부가 필요하다"
65,임인기              ,정수기 믿고  탄해키획에 참여한년이고또 뭉가빽으로 안하무인 뻔순이 아니던가?
66,파도죠아              ,앞뒤안가리고 쏫아부을 겁니다
67,최웅환최웅환              ,김경수 보석으로 꺼내려고 mb나 또누구 끼워서 석방 냄새가 나네
68,김개미              ,버러지 넘의 주딩이질^  가히 감축하나이다 ^^ 상왕 나리^  이제 똥냄새는 안 나시는지요 ^^
69,JY P              ,신재민 분당서울대병원 81병동 완전폐쇠병동에 구금중입니다이런 개뼉닥귀들이 있나? 멀쩡한사람을.
70,신동호              ,"세상이 어지러우니 손, 같은게  정수기 하고 세상을 더욱 개판으로 몰고가네~~"
71,최웅환최웅환              ,여러소리 필요없고 니들이하면 않되고 내가 왕이여 그러니 돌도 금이라 하면 금이 되는거여
72,임병희              ,그럼    빨리 갑순이 핸드폰부터 압수하라   오만과  독선   우리국민은   끝까지 지켜볼것이다
73,김용득              ,웃기는 개그. 경남도민을 더이상 우렁하지마라.
74,장세호              ,공무원 문제는 김영삼 전대통령님 사회 계급사회 임시직 계약직등 김대중 전대통령님 귀족 강성노조 노동시장 파괴는 노무현 전대통령님정지를 인기위주에 연예인 정치가 나라를 망친다는 사실 정치는 인기가 아니라 나라와 국민 모두를 행복하게 만드는것
75,김수영              ,필요없다 ㆍ원세훈 하고 공평한차원에서 징역800년이상때려라
76,H SK              ,손혜원은  이재명 처럼  문준용이를 들먹이면 된다..  딸도  ..
77,배기동              ,더불어터진당정말국민들한태역풍맞절것이다사법부삼권불입을하면서까지죄인경수를지킬라고할까
78,오직예수베드로              ,외나무다리  염소  머리박기  지식구  이용해먹고  차버린는 태도  오늘 내일 않이고  법무부와 전쟁선포법무부 박달나무는 망치는  호락 호락 하지  않습니다
