,ID,Comment
0,윤옥이              ,어쩌다 우리나라가??
1,갸오오              ,저급한 정치인들 때문에 이 나라 국민성이 후진적으로 퇴보 되어져가고 있다
2,봄날              ,민주당 인간들은원래부터 주식투기세력과 절친 했었지...그래서 부지불식간에검은머리외국인 이라는 말이튀어 나왔어~
3,정자김              ,하태경 화이팅👍👍👍👍👍더불당은망신망신개망신👎👎👎👎청와대는 외신기자들물음에답하시요국제적망신이젠그만하십시요
4,이태명              ,어물전망신은꼴뚜기더부러당망신은이해찬...
5,박지영              ,늘 감사드립니다그리고 멋지십니다시원 시원해서  좋아요!♡
6,윤초롱초롱              ,오랫만에 하태경의원이 올바른 말을 했네요
7,고상원              ,시원합니다   언제나 정곡을찌르는김광일의 입     화이팅입니다
8,J언덕저편에              ,이번주에 20만명 구독 축하 미리 드립니다  김광일 국장님 ㅎㅎㅎ 진급하셔요
9,하이              ,"자유한국당 나경원 원내대표님이 백번 잘했습니다.더민주당은 운동권,독재입니다. 야만적인 국수주의 맞습니다.김광일 기자님 논평에 속이 후련합니다"
10,법원칙              ,운동권 좌파들 사상 무덤에 가 있어야 하는데 나라가 큰일입니다의견의 자유도 없는 나라가 자유민주주의 나라입니까완전 주사파 정권이라는것을 입증하는것 입니다
11,김충식              ,외국언론사에 근무하는 우리나라 국민이 왜 집중포화를 당해야 하는지요국가가 나서서 우리 국민을 보호해야지요
12,kimjy9937              ,"민주화를 방패로 비민주적 독선,독재의 칼이 숨겨져 있더구만...."
13,문종대              ,저런인간들이정치한다고나대니 나라꼴이이모양 이꼴이지 더불당 잘들놀고있다~~
14,김창민              ,문재인이  곧 국가다.. 미친  후진거지나라 북한인줄 ㅋㅋㅋ
15,Kill Seung              ,창원 통영 야당통합하라!!! 이 기회 놓치면 안됩니다. 좌파정권 지긋지긋합니다. 좀 더 진지하게 나아갑시다!!!
16,베스트              ,이해찬 눈빚은 따스함 인자함찾아볼수없는 냉정한  악마형얼굴은 마음에창 이라는데해찬이 인상두고하는말독재 더불당 폭망이 답이다
17,charlesy1023              ,이것들이 이제 막장을 향해서달려가고 있군요.
18,이현숙              ,시원합니다속이확뚫리는기분입니다최고입니다
19,김치맨Kimchiman              ,대한민국 최고존엄 남쪽대통령을 모독한 블룸버그 기자인가요? 매국노? 그 기자가 남한을 팔아먹었나요? 그것 참!
20,이영숙              ,지금 우리나라는 철저한 언론탄압국이다. 독재국이다.반드시 언론탄압에 맹열히저항해서. 자유를 찾아야한다.하루빨리 문씨를 탄핵시켜야한다
21,박인규              ,그냥두세요. 자기들. 마음대로 하라고. 그래야. 국민이. 알지요.
22,리틀young              ,"사이비교주 문 데리고 북한을 꿈꾸는 민주당 광신도들 ,,,,안될껄요,,,국민을 개,돼지로 아나봐,,,멍청한 민주당,,,미쳐가고 있죠"
23,gea sun yun              ,썩을넘들 두고보자 너거들 뜻대로 되는지  국민들이 두눈시퍼렇게 뜨고 지켜보고있다
24,Phœnicia 페니키아              ,유시민 누나 유시춘 ebs사장 아들... 유시민 조카... 마약 판매 3년형 받았다는데... 인터넷에 난리났네... 팩트체크 파봐라. 진짜인지... 😛😛
25,장세호              ,수고 많으십니다 엉아 형님
26,adman NAH              ,아직까지 이런 정권은 없엇다...민주정권 인가.......공산 정권 인가......사회주의 인민공화국 인가...
27,집나간큰아버지ᆞ              ,김광일의  입을 보면하루의 스트레스 가 확 날아갑니다감사합니다
28,김정              ,이해찬   무식이극치다
29,미소가              ,해골찬 박지원이 디져야 나라가 평안합니다~~
30,영오로라              ,매국노는  지금  문재인 정부가   하는 짓이 아닐까요?
31,julio kim              ,하여간  좌뻘들의  뻔뻔함에는 ........
32,나라사랑              ,이해찬 통영가서 김경수 당선 시켜주셔서 감사합니다~~~😲😲헉!!말이냐 방귀냐범죄인을 당선시켜줘서 고맙다는 말이 어떻게 집권당대표라는 사람의 입에서 ....  말세다 말세
33,박보라              ,반박하고 오리발 내미네!
34,선샤인              ,해골 골룸 이해ㅊ 곧 사라질 겁니다 재수없어요
35,케미빛              ,좋아요  꾹  하고 갑니다 시원 시원  합니다
36,권봉일              ,ㅋㅋㅋ여지가 있다고본다?그래서 대변인한다고본다!!!
37,이소망              ,외신기자님들~~ 화이팅!!!♡♡♡
38,장동호              ,아해찬 해골 바가지 웃긴닼ㅋㅋ ~ ^^
39,대한민국만세              ,개잡놈들의 집단입니다
40,진실이              ,김광일의 입! 시원~합니다~~~
41,-일력              ,김경수는수갑도않차고법정까지왔답니다그러니서민서량한힘없는사람은포승에수갑까지채우고호송하잖아요
42,최임선              ,“더불어 공산당”
43,양기석              ,어게인516어게인516또다른  영웅을 기다려봅니다
44,신동건              ,베리.  굿~~!!!!
45,Malsun Jung              ,역시 김광일의 입 쵝오~~~👏👏👏
46,SAM CHOI              ,민주당의 저급함은 어제 오늘 일이 아닙니다.
