,ID,Comment
0,다달아              ,저런사람이  대통령 챙피하다
1,Sunwoo Park              ,더불어공산당 인거 같습니다 박사님!
2,허정              ,김동길박사님항상건강하시길기원드립니다~^앞으로도공산화되고있는대한민국의재건을위해좋은충고말씀감사합니다~^
3,꽃차고운꿈              ,Must 문재인이 정신감정해봐야 함
4,최형철              ,"교수님  건강하세요또,  오래사세요"
5,마고소양              ,지금시대가 어느시대인데나라가 무지막지하게 역행하고있는지 진짜 어이없습니다. 나라를정말 통째로말아먹는데 일순위입니다.자격.깜도없는사람이 대통령이라뇨. 오천만국민을 저 인간때문에 운명이 거꾸로가고있습니다
6,달.!              ,노환에도 나라걱정 정말 존경함니다 문정권의 전체주의 공산화되는현실정 정말 걱정됨니다.정세현의 70년한미 혈맹을 한순간 재로 만들려는언행 정말 국민의한사람으로 실망을넘어 어쳐구니 업습니다 아무쪼록 건강하게 오래오래 지내길!
7,김복연              ,연세90세에  멋진박사님  좋은말씀 감사합니다 그데 미주당 걸고 너어질것 없으니 빨간 목도로  걸고 넘어지나 빨갱이는  문재인 대통령이다
8,john lee              ,더불어 공산당하새요 거짓 국민속이지말고 잠못드는밤 교수님 감사합니다
9,st hwang              ,능력없는 사람몇이 이나라를 위기로몰아가고 있습니다.절대로 정은이에게 바치는 꼴 못봅니다.
10,여성전희경 당신이 계셔 든든 합니다              ,교수님 핵심을 찔러주셔 감사합니다건강히 오래 오래 사셔서 삐딱길로가는 문죄앙 질주를  막아주세요
11,Peter Yoo              ,유익한 말씀 감사드립니다.우리가 많이 부족하여 어르신들을 편히 모시지 못하는 지경에 이르게되니 안타깝고 죄송합니다.하지만 자유 대한민국의 정신에 뿌리를 둔 우리중 누구도 사회주의적 공산화의 시도는 결단코 좌시하지 않으리라 믿습니다.늘 건강하시고 변함없는 채찍과 격려를 부탁드립니다.
12,scarlet 0403              ,절대더블어사회당은  야당이잘되길원하는사람 한사람도없습니다  그게이나라실정입니다 지금의정부와더블어사회당빼놓고  야당은물론이고보수우파국민들을포함하여 괘멸시켜야하는 다적폐라고합니다
13,마고소양              ,옳습니다. 좋은말씀입니다.문재인은 정말이지 미쳤습니다.사상이 너무 불순하고 대한민국국민.대통령이 전혀 아닙니다.
14,역사잼              ,그냥 공산당이죠긴말 필요할까요 ㅎ
15,Captin허브              ,"김박사님,건강하시죠 항시 정확한 팩트의 말씀 잘듣고있읍니다.건강하세요,^^"
16,횃불 든작은거인              ,아침에 단 댓글이 공중분해 되었네요  참으로 치사하기 짝이없는 인간들입니다박사님 계속 쓴소리 많이 해주세요
17,묘행무주              ,교수님 비타민 연설 들을수록 구수합니다 20년만 더해주십시요
18,최경성              ,박사님 언제나 건강하셔서 나라를 위해 언제나 좋은 말씀 해주세요.
19,행복              ,"쓴소리, 바른소리로 힘주시는 박사님, 건강하셔야 합니다."
20,Younghee lee              ,"문대통령(?)은 흑암으로 걸어가고 있습니다 본인이 인정을 안하려고,아니 솔직히 안할 뿐이지혼자서 걸어가지 왜? 대한민국을 끌고 같이 가려고하는지 어서 속히 대통령자리에서 내려와야합니다.거짓말과 도데체가 상식이없는 자가 어찌 한나라의 지도자가 되었는지한심하기 짝이 없습니다.도데체가 머리 속에 무슨 생각이 들어있는지 그냥 봐도 알것같습니다."
21,박상진              ,건강하십시요!!오랜동안 자유대한민국을 지켜주소서!
22,천블밈              ,"존경하는 김동길박사님, 정곡을 찌르시네요"
23,백두산              ,김동길 교수님 존경합니다  정말  중요한 말씀입니다  문재인  아무것도  모르는 무식한 자로  이 나라의 대통령 이란것이 정말 끄럽습니다  좋은 말씀 감사합니다
24,serabe517              ,기자들도 정권눈치보고방송도 정권눈치보고최저임금 정하고시간제52시간 정하고왜 정부에서 정하는가이건 사회주의로 가는것인가...
25,insight LEE              ,교수님 말씀이 너무 감사합니다. 정말 나라가 걱정입니다.
26,라사              ,선생님 고맙습니다
27,cjdahr LEE              ,이제 많이 연세를 느끼게 합니다 늘 건강하시기 바랍니다 늘 바른 말로 이끌어 주셨는데  건강하셔야지요........
28,진진              ,청와대 우리 문 주사님께선 경제고 뭐고 전부 내팽겨치고 뻘건 얘기들엔 이리도 신날꼬 저 우렁찬 목소리 보소!!! 이십일 세기 이 대명천지에 그렇게도 힘쓸 때가 없단 말인가!!!! 살다살다 별 희얀한....
29,김학희              ,"연로하신 박사님께서 편히 쉬지도 못하시고 누란의위기에 처한 나라걱정애 노심초사 충언과 충고 경고의 말씀을주시니 고맙기 한이 없습니다, 더불어 민주당은 김정은 추종 공산독재 사회주의 정당으로 보아야 맞는것 같습니다, 민주당이름은 속임수로 붙인것입니다 용어전술로...."
30,Sanrio Horton Plaza              ,더불어 사회당 나라 망치고 있습니다.
31,정명자              ,이정부 공산화되가는듯 합니다 문재인후보때 그런소문있을때 설마 이나라대통령 출마할사람이 이나라를 사회주의로 만들라고할까 말도안되는 소리라고 했는데 요즘이정부보며 너무이이 없습니다~가정주부인 제가봐도 전방을 허물고 김정은이는 핵을 버릴생각 추호도 없다는것도 세계만방사람이 다아는데 이정부는 동문서답 하니
32,나침판TV              ,박사님은 정신은 청년 같으세요. 늘 건강하세요
33,Young Hee Kim              ,대통령의.3.1절에 대한 연설이 이정도 수준이하라니 망신스럽고 창피한 일입니다.
34,Aligo yim              ,왜 댓글이 마구 삭제되는겁니까??  표현의 자유가 있는 자유대한민국 인데 어이없네요 ㅠ
35,김승헌              ,역시 선생님 이십니다
36,김덕화              ,아무리 좋은 말을 해도 문가는 귀 쳐닫고 안들어요!!!답답합니다.
37,Kum Hyang Begin              ,박사님은 넘 멋쟁이 이세요. 괭장히 조화가 잘되어 보입니다. 존경합니다.
38,김득복              ,문정부는 좌파들은 정상적인 것을팔아먹고 비정상적으로 세상을 바라보고 열심히 사는 더불어 양아치당 국민을 우습게 보는 맹한국민으로 여기고 있다.
39,전바다              ,김동길티비 자막 참 잘만드는 거  같아요 참 보는 데 즐겁습니다~~♡
40,anie hyun              ,앞에 대표로 나와서  떠들거면 사전조사좀 하고하지 ......  어째 이나라에  이런일이 .....  누워계신   순국열사들    뛰어나오실지도 모르겠어요 !!!
41,포항조소장              ,박사님! 말씀 잘듣고 갑니다.
42,남빵때림              ,어리석은 현정부는 김동길 선생님의 말씀을 들으라
43,신현수              ,네교수님  더불당  은  멍멍멍   당  입니다 정답  맞죠     난  착한학생  입니다   개목거리는  정은이가  잡고잇고요   다들  멍멍멍    이웃집  개짓는 소리만  하네요   늑대소년도  나오네요   교수님  재미잇어요
44,김영기              ,박사님   너무시원합니다
45,나산              ,더불어 라는 말 자체가  공산당의 共공이지요. 그들은 한국을 공산혁명 중인 것 같습니다.
46,글라스수단              ,비뚤어진  지도자를  뽑아놓으니 세상돌아가는게 가관이네요
47,박상한              ,공산당이져 ㅋㅋㅋㅋㅋㅋ
48,김창수              ,그렇다면  문재인이역사릏 한점 모르는 무식한것아니가 그럼에도 왜 이 무뇌같은 자를선택한것인가누가 왜  ?
49,대한민국              ,김동길박사님 말씀이 맞습니다 꼭 건강하시고요
50,노숙자              ,더불어공산당이 정답입니다~
51,윤우리              ,박사님 방송 즐겨듣고  있습니다  감사드려요
52,바다              ,문제인 정부 너무 기가 막혀 말이 안옵니다.  좋은 말씀 감사드립니다. 항상응원합니다
53,김권희              ,감사 감사 합니다고맙고.  감사드립니다♡♡♡♡♡
54,영도운막              ,더불어이간질당더불어공산당   더불어외곡당진정 자유라는 것을 거부하는 분열조장당  ㅡ  내년선거  확실히 해야 해야 합니대
55,차승훈              ,ㅎㅎㅎㅎ우습지도   않네. 죄앙아!!교수님. 감사드림니다.오래 오래 건강하세요. ♡
56,배성룡의 시네마 포임 Cinema Poem              ,선생님의 고견 감사드립니다.
57,Hong Steve              ,"어른신!, 옛날의 방식대로 시원스럽게 말씀 하세요, 뭐가 두렵습니까? 국민들이 역시 김동길 박사 이다. 이렇게 말입니다.  연세 드시고, 애들러 말씀 하시는 방식은 절대 금물입니다."
58,이옥점              ,세상은깨끗하게마감 을해야한다ㆍ또지들이뮌가흔들거리니다시임종석 이해찬등등모이는것이고야당을분산시킬려고하니정신차려서나갑시다
59,TiesofLove J              ,어떻게 저렇게 말짱 거짓사실을 만인앞에 버젓이 공언할수 있지? 빨갱이=독립투사란 말이자나
60,김sm              ,오늘아침에 방송보고 후기댓글달아놓은게 전부삭제됐어요다른분들 수백명이 달아놓은것도전부삭제됐어요 조회수 좋아요 숫자전부다 조작됐어요  어떤것들이 이런짓을하는거죠??
61,나는자연인이다              ,더듬어 불알당 입니다.
62,최홍근              ,자격도 없고 무능한 면만 보여주고 있는 문재인 정권을 빨리 종결 시켜야만 대한민국이 정상적인 방향으로 지향될 수 있다.
63,전흥탁              ,댓글이 없어 졌내요 문가 이놈 치매 맞아요
64,jy shin              ,"더불어 사회당 맞는것 같아요,더불어 공산당도 맞는것 같구요~ 김정은이가 당수이고~ 문재앙과 더불당 하는것 보면 정은이 한테 대한민국 상납 못해  안달난 것 같다는 생각이 듭니다.안보해체는 물론이고, 종북, 친북을 노골화 하고,  정은이가 비핵화 할 맘도 없는데,  문재앙이 설레발치고 국민을 속이고, 미국도 속이고,  재앙이는 그야말로 대한민국의 재앙 수준입니다.국민들도 정신 차려야 합니다. 정신 못차리면 더불어사회당, 더불어공산당은 물론 대한민국이 더불어북한이 될수도 있지 않겠습니까?"
65,문sg              ,독립운동가가 빨갱이래?ㅋㅋㅋㅋㅋㅋㅋㅋ
66,김소연              ,더불어.사회당.맞고요
67,김갑산              ,김동길 큰 형님 여전히 정정하십니다~!!좋은 말씀 감사합니다~!!!
68,申今子              ,감사함니다  건강해주세요  박사님
69,chun david              ,쩝쩝이 색퀘
70,조수영              ,저 쩝쩝이를  어떻게  청산해야되나 ??
71,Myengseop Park              ,더불어 북괴당
72,제주홍              ,더불어 공산당  인듯
73,이성배              ,더불어사회당이 아니고 더불어공산당 입니다.
74,sukjung kang              ,"그렇습니다. 더불어 민주당은 더불어 사회당으로 바꾸어야 합니다. 그것이 당당하지 않겠습니까? 비겁하게 숨어서 뭘 시도하려고 하지 마십시오.   사회주의가 좋으면 그대로 당당하 게 표방하고 그기에 맞는 정책으로 국민을 설득하십시요. 말로는 자유민주주의, 편리할 때도 민주주의, 그러면서 당당하지 못함은 비겁한 것이지요  과연 민주당의 사람들은 정말로, 정말로 사회주의를 좋아합니까? 정말입니까?  한사람의 통치자가, 대대로 임금처럼 행동하며  국민을 마음대로 조종하는 북의 사회주의가 좋습니까? 그렇지 않을것입니다. 저는 그렇지 않으리라 생각 합니다.  사회주의, 말만들어도 끔찍한 이념이지요."
75,리틀young              ,"민주당,,북 공산당서울지부 쯤 됀다고 할께요,,,,"
76,유재억              ,우리는 빨갱이라부르지말고  벌건이라부릅시다
77,Aligo yim              ,문재인이 공산주의자란것을 모르고 말씀하시는건가요?
78,김홍도              ,더불어민주당이 아니라 더불어더듬이당혹은 더불어성폭행당 입니다
79,Ki Hyung Kim              ,"김박사님, 문재인은 자신의 당이 ""다 불어터진 사회당"" 이라는데요,~~ 어떻게 처치 하면 될까요??????"
80,姜聖喜              ,博士任🎵👋😃博士は一世記を向けているご年齢で❗然もお元気で大変お嬉しく思っています‼だが！博士のトレドマクの鼻の下の髯が無かったら十年、やぁ最もお若くなりましょ⁉大変失礼な口を出して済みませんです‼お許しを‼
81,옳바른신앙              ,감사합니다
82,김정순              ,저도 박사님 의견에 동감입니다.문재인은 우리 대통령이 아닌것 같아요
83,홍복희              ,김동길 교수님! 오랫동안  건강하셔서 이렇게 정곡을 찌르는 말씀 저희에게 들려주세요. 교수님이 연세 드셔서 안타까워요. . 이렇게 바른말 하시는 분이 계셔서 우리는 든든합니다.
84,김미애              ,김동길 교수님~~존경합니다!!
85,grace jeong              ,"감사합니다 박사님,  건강하시고 항상 대한민국 을 위한 지혜로운 조언을 주십시오."
86,chungen123              ,영원한 젊은오빠~~!!!동길 오라버니 화이팅!!!~~~~
