,ID,Comment
0,라오스              ,정답이네요   이해찬의원님
1,여행자시간              ,오래오래 건강하세요 두분^^
2,mini Mini              ,꼭 이해찬위원님이 당대표해야 안정됩니다..
3,조순회              ,매력적인  해찬오라버니
4,여영              ,해찬들의 가장 오래된 수행비서가 무려 30년!! 한마디로 해찬들은 멋지다!란 두분 말씀에 격하게 공감함다~
5,Veronica van der Merwe              ,이런 분 들이 민주시민 이네요. 깨어 있는 시민의 힘을 느낍니다. 보고 있으니 참 행복 하네요 🤓😍😘
6,삼도천              ,이해찬 최고지~~암요~ 썩어빠진 대구 자유일본당 이런 개같은것들은 한꺼번에 싸서 일본 앞바다에 물고기밥으로 줘야지 암~!!!
7,짱힘내자              ,한마디로. 멋찐. 양반이여. 👍👍👍👍👍👍👍👍👍👍
8,을지문덕              ,저기 가보고싶다 진심 할어미 후덕하니 유쾌상쾌 통쾌하시니 시원시원하시내 ㅎㅎ할아버지는 음 ...
9,JH LEE              ,어르신 대박이십니다
10,미생              ,법을 어기지 않고 나라를 진정으로 사랑하는 사람이 보수다....진보다 나라를 사랑하는 사람이 제대로된 진보겠지만 보수의 가치를 제대로 아시는듯..
11,이영대              ,이집 밥맛잇을것 같은데   언제한번   가바야겟다
12,그래              ,앞으로도 사람들만 밥 많이주소.그러다보면 국회의원들 모두 사람으로 바뀌겠지.
13,백종현              ,요즘 열심히 유튜브 활동 하시는거 같은데 당대표 선거 활용에 그치지 마시고 당대표 되시고 임기때까지 꾸준히 활용하시기 바랍니다 21대 총선 승리와 20년 집권플랜에 꼭 필요하다고 생각하기 때문입니다
14,MIMO JIJON              ,오늘에서야 구독..반성합니다~~😭 그리고 밥 먹으러 가야겠어요👍💖
15,썬데이아베죽빵              ,ㅋㅋ 함 가봐야지. 개누리한테는 밥안준다.ㅋㅋ
16,이럴수가              ,멋지네요   이해찬‥.
17,다 야당때문이다              ,멋진 두분!!!이해찬 의원님 홧팅!
18,솔부엉이              ,어르신들의 혜안이 대단하시네요ㅎㅎ
19,누베이직              ,대박나시겠다 조만간 저도 밥먹으러갈게요! ㅎㅎㅎ
20,소리바람              ,으~잉. 제대로 아시네!한마디 한마디 은근 뼈를 때리고 골수까지 맛사지 하시는 듯 .. ..두 분도 완전 멋지셈!
21,Steven Chang              ,이런 분들이 세상을 바꾸는 겁니다건강 하세요 !
22,권종숙              ,정말 대단하신 내외분 이십니다요 입담도 좋으시고 의식도 최고 이십니다 부디 건강하셔서 앞으로도 쭈~~~욱 맛난 밥 해주세요^^
23,somin oh              ,밥먹으러 가고 싶어요 ~ 사장님 멋지십니다 !!!
24,BBLU cross              ,구구절절히 옳은 말씀만 하시네요~^^건강하게 오래오래 장사하시면서 진심 나라위해 일하시는분들한테 맛난 밥해주세요~^^
25,임윤경              ,멋져요~~^^
26,이은선              ,차니피플~~~^^
27,김군집              ,이게 순수국민들에 기본정서입니다 ㅡ강력한 당대표에 절대공감 ㅡ
28,seokchan yoon              ,이나라에 진정한 보수가 있었던적이 있나요?국민들이 인정하지 않는데 왜 자꾸 언론에서 보수..보수하면서 부추기나요?자꾸 부추기니깐 그들은 자기들이 진정한 보수인줄 알고 있쟌아요?국민들의 생각과 다른 정치인이 진정한 정치인이 아니쟌아요?그저 국민세금 도둑질하고 권력만 추구하는 사익추구 집단일뿐!
29,다시산이              ,응원합니다~ㅇ~!!
30,유지선              ,챠니피플~~~~~~~
31,Sunny Sunny              ,언니   대박  개념있는   언니의  포스가  짱입니다   부디  무리하지  말고  건강  잘 챙겨   더민주 소속 분들   오래 오래  밥 주셔요  고맙습니다   이해찬 대표님   꼭 만듭시다 ~~~~^^
32,왕리라              ,차니피플 앙~긔여워요 ㅎㅎ저분들 정치현안에 대해 너무 잘아신다ㄷㄷ존경스럽네요 정말~당대표는 하늘이 무너져도 해찬들!이해찬의원님이 꼭 돠실꺼에요^^!♡
33,독립운동가              ,저기간다ㅎㅎ 고맙습니다 밥 먹고싶네요
34,sbml love              ,할머니 정감있으시네. 웃음소리 좋다
35,사랑해루비야              ,"김치싸드렸나요?ㅋㅋ 참.... 정말 총리님은 자한당것들하고 싸우실땐 겁나 무섭죠! 그걸 국민들이 계속봤으니까 선입견이 생겼지만ㅋㅋ 파파이스보면서 진보진영이나 국민들대하실땐 뭐랄까 순진,순수하다고할까^^ 그런 맘이 전해지더군요! 한표드립니다!!! 7선사이다 해찬! 홧팅!"
36,binbanjin              ,내 표를 내놔라~ 내 김치를 내놔라~
37,에이드              ,인간미~ㅋㅋ
