,ID,Comment
0,JMC              ,이번 총선은 노원구 주민들 지능 테스트 아닌가ㅋㅋ
1,윤영순              ,아깝다 이준석 노원구 주민수준이다 수고했어요 똘똘한사람인데
2,도오올              ,형 동생하는 먹걸리 정치 그만하자. 이 동호회 저 동호회 돌아다니면서 토호들과 친분쌓아서 하는 정치가 바른 정치일까? 정책만 보고 경쟁하자.
3,두둥탁              ,노원구 주민들 지능 테스트
4,자연 과 힐링풍경              ,현실적인 공약을 내는사람으로 뽑아라
5,홍주원              ,이준석 왜 진거임? 김성환 ㅈㄴ 공약도 비현실적이고 지금까지 실적도 별로 없어보이던데
6,이철민              ,"진짜 언제까지 정당 색보고 결정하냐 ㄹㅇ보수고진보고 나발이고 이준석이 ㅋㅋ 하,,  빨간색 싫어하면 더불어공산당을 왜지지해줘 노원구 정말,,"
7,K K              ,어떻게 이준석이 떨어지지? ㅋㅋㅋㅋㅋㅋ 와 ㅋㅋㅋㅋㅋㅋㅋ
8,즐빡겜러POPO              ,듣기좋고 스케일큰 공약은 누구나 할 수 있다. 현실적이고 실현가능성이 높고 정말 내 지역에게 필요한 공약을 하는 인재를 뽑읍시다.
9,싱숭샘숭              ,자 김의원님 일단 축하드리구요. 차량기지부지에 한다는 그 머시기냐 그...? K-뷰티 겸 음악산업 겸 바이오단지 겸 서울대 병원? 그거 할 수 있을런지는 모르겠는데 잘 해보십쇼 응원합니다 화이띵~
10,김금귤              ,가능한지 불가능한지를 보자. 공약 거창하게 하는건 누구든지 가능하다
11,who niya              ,공약 못지키면 다시는 못나오게하는법안만들자
12,철이네 TV              ,솔직히 토론하는거 보고 좀..
13,봉황              ,"이준스가 박근혜 까고, 안철수 까고, 이제는 우파 우튜버 까고, 너는 왜 미래통합당 가있니? 안어울려~~~~!"
14,Brad Lee              ,치열한데 왜 여론조사가 없지?  돈 주고 조사할 가치가 없다는거?
15,강원도지사              ,공약집 보고 토론보고 투표합시다
16,box juke              ,여태 쟤 뭐라고 했는지 어떤 생각을 가지고 있는지 유툽 영상 보면 금방 나오자나...지금 거는 공략 보다 과거 내 뱉은 말과 그담 행동 확인하고 해라...
17,박선영              ,보수들은 이재명 능력 인정한다진보들은 이준석도 토착왜구다
18,평시민              ,ㅋㅋㅋ 누가 이길지 궁금
19,Cow Cow              ,노원구는 진짜 바뀌어야함 옛날부터 지금까지 쭉 그대로임 서울 지역구 중에서도 겉만 번지르르하게 꾸미고 잘만 가꾼 시골같음..
20,배성완              ,진짜 이준석 결과 보고 개 충격받았다... 어떻게 이준석이 떨어지지...
21,Revolution Army              ,일단 Taiwan No.1 and Hong Kong free다.
22,aadsfghjkjk k              ,아 진짜 이준석 토론 영상들 sns  홍보하고 하버드생인거 홍보만 오지게 했으면 이겼을수도..
23,사랑              ,"노원병 궁금하다. 한 15분 넘게 검색해 보고 있는데, 여론조사 결과가 하나도 없네. 누가 이기는 중인가요"
24,롯데야이기자              ,이건 노원구 지능테스트다
25,김광섭              ,멍청한 인간들은 본인보다 똑똑하고잘나보이면 무조건  까고 본다그러면서 자신들이 이준석보다 내가 낫지하며자기위로하며 흥분하는 멍청한 변태들이 많다.여기 글들보면 너무 많이 보인다.생각이라는게 진짜 없는건가 한심하다 쯧
26,yonghun choi              ,ㅋㅋㅋㅋ
27,노르웨이숲              ,토론....쩝
28,김뚜뚜              ,"4, 7호선 급행화는 이미 여러 기관에서 연구용역해서 나온 보고서도 있고 게다가 B/C 분석도 잘 나온 편이고 하니 첨단의료산단보다는 공약 현실성 측면에 있어서 가망있지 않을까요.."
29,ᆞo              ,즐라도는 아웃
30,sibe danial              ,토론에서 게발라도 의미없음 걍 당만보고뽑음ㅋㅋ 둘이 당이 바꿨다고 생각해보삼
31,J K              ,이준석은 ㄹㅇ 능력있고 인재던데
32,유락희              ,토론은 현역의원이 훨씬유리하다.일단 다 알고있어야하니까그런데도 흠.....
