,ID,Comment
0,김ᄉᄋ성구              ,인영그냥학생운동다른거뭐있나괴물정차법안만든건실책이자악수자충수가될것지금은알짐ㅅ하지만세월흐르면가슴치고통찬할날도올것이다
1,지율지헌              ,이인영 x싸고 개짓는소리하지말고 전햠부터해라!.토지개인소유를 부정하는것은 김일성 의 토지개혁한것과 같은것이다.
2,박선우              ,이제 뭘 안다고하는건지
3,신기형              ,소가 웃을일이다법과 질서를 무시하는정치가 과연올은일인지?21대선거는  각본에의한결과라고 생각지않는 지요?결과에 대한책임은무한하다는것을 아셔야합 니다 아 대한민국이여
4,치코              ,의원수 많다고 좋아할일 절대아님
5,백두산              ,인성교육  좀  받아라  도덕성이 필요없어?
6,김땅              ,콘 이인영 전대표님  그동안  고생많었습니다  대승 축하합니다 건강을기원합니다  앞으로 더큰일을~~
7,Kyung-Jae Lee              ,이인영 전 민주당대표!당신의말대로-민주당의 압도적인승리를국민들이 만들어주었다고주장는데-그건 큰오산입니다!지금까지 여기저기서 두표조작증거물이 밝혀졌는데!-민주당 스스로가 177석을 만들어냈다는 이인영 전대표는-챙피하지 않으십니까?..
8,박원석              ,"말은 바로 해야지, 이번 총선결과는 문통 덕분이지 민주당은 한참 모자라지, 어중간당."
9,노정님              ,이인영이 무슨말을 하는지 모르겠다.만의 하나 역시가 진실을 말하주지 않으면 우리 하나님께서 말해줄것이다.
10,김영순              ,이인영의원님 감사합니다   👍    늘 응원합니다
11,오재희              ,"이인영 원내대표 20대 국회 후반기 민주당 원내대표  의정활동 정말고생많았습니다.  한국당 안하면 우리도안한다, 대표도없고 실체도없는 야당붙들고 협치운운하다 문재인정권초기 아무런 도움없었다, 20대 국회 전반기  민주당   무능의 극치!! 이런 무력한 여당 첨봤다"
12,이정순              ,YTN 불게 썩은 방송
13,박서운              ,보기실어 들어가 너는이미 안좋은 인간 이미지
14,BRUCE YONG LEE              ,에고!!여기 Y T N  이네!난 ! 간다 ~~다시 환승 해야겠네~
15,davidc619              ,정말 나라위해 한것인가. 많이 화난다 어떻게 부끄럽지 않은가.한심한 노릇.리다.
16,박태용              ,이땅에 태어나지 말았어야 한 사악한 인간이었다
17,김지혜              ,이인영대표님 자주보고 방송  나와주세요 ㆍ민주당 당 대표 하셔야합니다  응원합니다
18,김숙자              ,이인영 원내 대표님 정말 수고많으셨습니다
19,순물신경p              ,이인영 이나쁜 놈아  거짓말 하지말라공수처 페스트트렉 예산안 날치기 이게 민주화가 공산화지 더불어 공산당 이지 공수처 난 헌법위반이다 본다 순 거짓말
20,이지현              ,가슴에  손을얻고  말해라  사기투표  알면서  그런말이  하느냐  국민을  바보인줄아느냐
21,체스              ,이인영   간첩.림종석 간.접
