,ID,Comment
0,자유민주대한민국              ,딱보면 알잖아? 누가 국민을 우선으로 생각하고 애국자인지 내 대가리가 깨져도 틀린걸 옳다고 할 수는 없는 것이 신념이고 옳은 것을 틀렸다고 할 수 없는게 정의를 위한 신념이다
1,주세요고량주              ,군대도 갔다오지 않은 사람들이 무슨 종북타령입니까ㄹㅇ 명언
2,vans high              ,ㅋㅋㅋㅋㅋ 금괴에서 뿜었닼ㅋㅋㅋㅋ 그럼 우리나라 국민들 금괴 부자니 현금을 금으로 쓰겠넼ㅋㅋㅋ
3,서진화              ,젊은 시절에 민주화 운동했는데 종북 몰이 왜 하는거임? 속는 사람이 병신 아님?
4,reveluv87 R              ,노무현 대통령님은 정말 대단한 분이셨다고 한다..
5,빵또아              ,맞어ㅋ  군대도 안간 사람들이 툭하면 종북이타령 안보타령ㅎㅎㅎㅎㅎㅎ
6,Annie Kim              ,"흑수저들의 선망의 대상.쌍시옷과 춤만 못춤.그리고 모두 잘하고,잘할 수 있는 문재인.아가들에게도 인기짱""안아주세요""이번이 아니면 못만날 후보 문재인.적폐청산의 적임자.적폐세력과 연대하는 안첤수그에게 표를 주면 박근혜 사면되고,이명박 4대강 방산비리 못잡습니다.정신차리고 문재인으로 단결합시다.#1번 #민주당 #문재인"
7,AR L              ,춤추는거랑 눈부은거 진짜웃기넼ㅋㅋㅋㅋㅋ
8,워후              ,인간이 하는 일이니 모든 것이 완벽할 거라고는 생각 안 합니다. 그래도 퇴임 후에는 역대 대통령 중 가장 긍정적인 평가를 받을 수 있는 대통령이 되길 바랍니다.
9,노무현고              ,쌍시옷 발음ㅋㅋㅋㅋ그래도 멋짐
10,니들이게맛을알어              ,이왕 된거 잘해줘요
11,28정예원              ,ㅏ안돼...울면...안도..ㅐ..공부 해야..되느...ㅇ...흐엉ㅇㅇ어어ㅓ어
12,manhak seo              ,멋지십니다.지난 대선때 국정원 댓글사건으로 당락이 바뀌것 국민들은 다 기억하고 있습니다.only 문재인 함께 하겠습니다.
13,sera              ,대통령님 보고 보고 또 봐도 기분 좋은 영상입니다. 응원합니다!!!🙆‍♀️💙💙💙💝💝
14,Be:mill              ,쌍시옷 못하고 춤도 못추셧도 좋아요❣
15,Myo C              ,힐링캠프의 벽장깨기 지금 봐도 화난다
16,고명환              ,최고의 대통령 콤비 문재인.노무현 그립습니다
17,dark uro              ,문재인으로 정권교체!!
18,이윤아              ,난 처음에 사람이 먼저다. 를 잘 못들어서 사람이 문제다 라고 들음...ㅋㅋㅋㅋ
19,oooxoxox              ,명왕 실버즈 문재인
20,윤최              ,멌짐
21,이성빈              ,"2012년 문재인은 뭔가 부족했다. 그것을 채우라는 신의계시 였던것 같다. 초기 40%지지율이 75%지지율까지 갔다는 것은 그만큼 자기 자신에 투자를 많이했고 노력했다는 것이다. 대통령이란 자리가 원래 욕도 먹는 곳이다. 아무쪼록 5년간 그가 말하는 "" 살기 좋은 나라 "" ""사람다운 삶 "" 을 위해 꼭 힘써주길 바란다."
22,공주영v              ,누가알았겠나 현재
23,아리랑              ,폭탄에서 웃었다ㅋㅋㅋ
24,멸공펭귄              ,포탄에서 뿜었다 ㅋㅋㅋ
25,아이언나르 원챔              ,뭐야 노형하고 문형하고 친구였어?
26,겨울도령              ,물병보고뭐? ㅋㅋ
27,플립보틀              ,28초에 M24 15배율아님?
28,비스뀌              ,2:55  ???!!!
29,달토끼[떡방아분들]              ,저 훌륭하신분이 이렇게될줄 아무도 몰랐어요...
30,건달뚱이              ,ㅋㅋㅋㅋㅋ
31,김한기              ,ㅋㅋㅋㅋㅋㅋ
32,Lil w              ,추모식에 웃으면서 춤이라니
33,Kelly Han              ,문재인 하부지 😘
34,지팬삼국              ,00:29때 보온선생
35,드문              ,아 눈물나와ㅠ
36,tirami SOOK              ,😍😍😍
37,혼글              ,모심기~잘했다 문통~
38,Kelly Han              ,the best one way 달님😍
39,김형준              ,???: 저는 페미니스트 대통령입니다
40,흑우              ,이땐 몰랏지 그가 닉값해서 재앙을 가져올줄은
41,go go              ,슬프면서도 간절히 원합니다. 촛불과 국민이 함께 합니다. 엄지척~
42,이름없음              ,대가리 아직도 안깨졌나보네 ㅋㅋㅋ
43,센본              ,이땐 몰랐지~
44,aaa              ,기회는 평등하고 과정은 공정하고 결과는 정의로울 것이다.지난 대선 슬로건 다시 들어도 정말 좋다는
45,정원조              ,0:26 제발ㅅㅂㅋㅋㅋㅋㅋㅋ 편집 미쳣다 진짜
46,앙오태띠              ,왜 그 눈 겁나게 큰 개구리 닮았네 문재인 ㅋㅋㅋㅋㅋㅋ
47,박성원              ,저기영상에 xxx가 아주잘들려요.
48,[여학생큐덕]백분보              ,현 남북정상회담과 평창동계올림픽을 성공적으로 개최한 최고의 대통령
49,sss 8864              ,누구냐 넌? 난 빨갱이다.
50,꽃게              ,재인이형 여가부만 폐지 해주면 좋겟는데
51,뱅주              ,특전사 출신이라 누구보다 군인푸대접하시는분
52,니가날사랑해주면              ,특전사 출신 개뿔...? 좋은 친구가 먼저 가네...
53,표중우              ,0:29 누구인지?
54,다하바              ,이거 전에꺼 삭제되고 다시 올라온 건가요.
55,현Felipe              ,나라 이판 됐누
56,정진              ,특전사 소속 행정병 ㅇㄷ
57,정연우              ,진짜 운명이다...두사람이 만나지 않았으면 두분다 정치않하고 편하게 살았을텐데...
58,김기수              ,군대 간 사람이 북한을 경계하지 않는것도 이상하다
59,조규현              ,다 대가리가 깨져버렸다!
60,Aiden Cho              ,참 한심하고 무능한 대통령
61,Xanotor              ,야동을 달라.경제를 살려라재앙아
62,초능력자키네시스              ,영상2:00초쯤에 문후보님이 벽돌깨는장면JTBC예능프로그램 말하는대로 그거몇회예요??다시보고싶은데....급해서 그거 말하는대로 몇회죠????
63,박하민              ,진짜 그나마 정상적인 대통령이다 진짜
64,아인젤              ,"완전히 새로운 대한민국 , 국민과 문재인이 함께갑니다~!~"
65,김영준              ,그리고 현재 그는.. .
