,ID,Comment
0,Daniel Kwon              ,종인이형 개웃기네ㅋㅅㅌㅋㅋㅋㅋ
1,Patterson R.              ,김종인 센세도 수고하셨읍니다
2,YangJae stn.              ,정치 떠나서 노래는 신나고 재밌다ㅋㅋㅋㅋㅋㅋㅋㅋ
3,나비              ,ㅋㅋㅋㅋ 정청래 ㅋㅋㅋ 신성한 재물
4,reoman0000              ,뮤비 분위기는 확실히 좋네 ㅋㅋ
5,방준식              ,엌 반다송이랑 비교하면... 아니 비교하기가 미안하다
6,J LEE              ,역대 최고 선거 로고송 ㅋㅋ
7,SY Lee              ,김종인 빠지고 1번 여당된 새버전 제작해주세여ㅋㅋㅋㅋㅋ
8,이시국              ,김종인씨 얼굴에 모자이크라도 해주실분
9,김문재              ,2020년?????
10,김정옥              ,ㅋㅋ
11,강혜민              ,인하
12,최도도              ,화질이왜이래요ㅎ노랜좋네요~
13,밥알              ,노래좋음
14,Jae-Hong Kang              ,와우!!!!! 어썸!!!!!!
15,홍반장              ,아 . .   영상 누가편집했냐 ㅠ
16,LMJHAHA              ,댓글 1등 ! 야호 !
17,우동킬러              ,이노래 나온후모든 선거 승리~~~^^2016.4.13. 20대 총선 승2017.5.9. 19대 대선 승2018.6.13. 7대 지선 승 (광역단체장)2020.4.15. 21대 총선 압승(180)
18,ᆞ꼬냥이마미              ,더민주 응원가 정말  신선합니다 ~~~^^   대~~~~~~박 ㅋㅋ
19,HL 7777              ,더더더~~
20,혀니또기              ,더더더더더~~~~~~~~~~
21,Choi Chad              ,ㅋ 이제 1번이네
22,_study슬아              ,국민과 더불어~
23,강지원              ,오직강민주
24,신수니              ,좋으네요. 신나고....
25,rkd4845              ,"2024년 22대 총선 부울경(부산,울산,경남 김해, 양산, 거제, 창원성산(정의당 단일화))에 미래통합당 혼내주고 다시 힘을 꼭 내셔야합니다!!"
26,심심한사람              ,더더더!!!
27,김문수              ,어 왜 두 번 써지지
28,김문수              ,어 왜 두 번 써지지
29,강지원              ,실버로드
30,S프레소              ,첨엔 당이름도 로고송도 에~이 뭐얌~했는데~ 시간이 지나니 더불어민주당 로고송  너무너무 좋아여^^ 중독됐음 ㅋ
31,B K              ,최고의 정당..승리하리
32,dd              ,등록금 언제 인하함
33,TH트위치              ,THE!더!^^
34,강지원              ,보여줍시다....
35,TEST              ,김종인 정청래 세상에서 가장 어색한 투샷 ㅋㅋㅋㅋㅋㅋㅋㅋ
36,음매              ,더불어 민주당을 지지합니다.
37,강지원              ,을지문덕
38,신수니              ,좋으네요. 신나고....
39,Tiberius Gracchus              ,열심히 해 주세요~~그런데 달님이 안 나오시네... 부산에서 찍어서 넣는다고 하지 않았나 ?
40,SuSu Lee              ,아니 이렇게 인터넷상에서 반응이 좋으면 뭐합니까? 꼭 투표 합시다. 제발 귀찮더라도 투표 합시다.
41,강지원              ,싸이언스 유레카 아리스토텔레스
42,강지원              ,태권브이
43,강지원              ,태권브이
44,강혜민              ,인하감사합니다
45,인디고              ,국민을 위한 정당
46,김문수              ,여기 수많은 콩이 있습니다여기 수많은 콩이 있습니다
47,김문수              ,여기 수많은 콩이 있습니다여기 수많은 콩이 있습니다
48,반란의도시              ,로고송은 있고....당가는 언제 만들어요???
49,동드윅              ,헐. 김종인....
50,강지원              ,무조건을지문덕
51,SY o              ,노래 너무 좋아 지금까지 흥얼ㅋㅋㅋ
52,신창우              ,새누리당 그래도욕하지말자
53,하하하              ,더불어문주당..
54,시골포도              ,노래개좋음
55,제대로보자!!프사              ,이게 더 좋음 새누리당 뛰뛰빵빵 존나 싫음 ㅋㅋㅋㅋ
56,임원택              ,문재인대표님대통령이되주세요
57,강지원              ,을지문덕이지스함출격준비중
58,강지원              ,우리국민이법이당
59,Alicia_ Luna              ,힘내세요 응원하겠습니다노래도 중독돼고 흥겹네요
60,강혜민              ,박수현씨 2번찍은데요땅구슨상홧팅 ㅋ
61,Kisoo Ahn              ,로고송 정말 좋다
62,강희원              ,더불어 더불어 민주당 국민과 더불어~
63,와사비              ,아ㅋㅋㅋㅋㅋㅋㅋㅋ노래개좋아 계속 맴도네ㅋㅋㅋㅋㅋㅋㄱ
64,밍뭉뭉              ,최신버전으로 다시 찍어주세요업데이트가 필요합니다...다 정말 화기애애한 분위기 좋은데 한사람(0:24 센터 오른쪽)이 망치네요^^
65,SY o              ,노래너무신나 평소에도 흥얼흥얼
66,대포한잔수류탄한잔              ,잘해야된다진짜
67,강지원              ,스티븐잡스행주치마저도리베넷저고리홧팅
68,강혜민              ,더불어민주당찍켓습니다ㅋ좋아요누름
69,Hyun Kyu Kang              ,이 영상에 싫어요를 박는 틀딱이 분들께 처벌을 내리겠습니다.틀니 5년간 압수^^
70,이성준              ,노망 추호 김종인...ㅠㅠ
71,몽준표세훈              ,kia
72,blue shin              ,2번 더민주 승리합시다!!!
73,강지원              ,더불어 민주당은 국민이우선이되어야되는다하닌가여그본거같은데여
74,we can yes              ,역시 달라 ♥♥♥♥희망이 느껴진다 ㅜ
75,엔티시드노엔              ,민주뽕에 취한다
76,최대한              ,진짜 지들 돈 아니라고 선심성 지리네ㅡㅡ 국개의원 되기 쉽네 내돈 아니니까 그냥 다해주면 뽑힐듯 ㅋ
77,강혜민              ,저도공감 내년대선때꼭꾹승리하시길 ㅋ더불민주당 응원하겠습니다.ㅋ
78,하영훈남              ,똥이나먹어
79,이창헌              ,음주단속하냐
80,하영훈남              ,국민말하네빨깽이집단
81,Marine Jung              ,"이 노래를 2년전 지방선거 유세때 들었는데, 진정으로 감탄했습니다. 이 노래를 누가 만드신 거에요? 작사 작곡하신 분 이름도 알려주세요."
82,똥고양이              ,지방선거알바 중인데 노래 로고송 중독성 강함ㅋㅋ
83,강지원              ,우리는국민과소통하는당이다
84,강지원              ,음주단속하러나가자
85,강지원              ,제가참야하나요언제까지하루가고통에나날이돼어야하나요.
86,강지원              ,마더의힘을보려줍시다
87,zpdlgustm              ,더불어 더불어 민주당..국민과 더불어~~ 노래가 착착 감기는데...좋아요!!ㅎㅎㅎ
88,김예림              ,더불어민주당꼭승리하세요유권자가많습니다응원많이하겠습니다
89,홍콩행게이바              ,아 귀여워 ㅋㅋㅋㅋㅋㅋ
90,뉴턴              ,민주당이 확실히 다른당 하고 다르게 세련됨 다른 아마추어 똥통 정당들하곤 다름
91,송호진              ,우와ㅋㅋㅋㅋ 정청래는 부처인가?
92,도끼              ,새누리 반다송 보셈들...^^ 이거 보다 잼남. ㅋㅋㅋㅋ
93,강지원              ,구한나라당은국민좀생각하세요
94,내안의향기              ,음원도  좋고 뮤비도 조으다
95,김응주              ,"현재 더불어민주당 123명 후보가 제20대 총선 국회의원으로 당선확정되었다! 이들이 경제민주화를 갈망하는 우 리국민의 간절한 염원을, 가슴 깊이 새기고 초심을 잃지 않기를 소원한다! PS 홍보비디오에 출연하신 분들과 제작진 그리고 더불어민주당을 성원해주시고 아껴준, 모든 분들과 함께 이 기쁨을 함께 나누고 싶다!!! ^^♥"
96,james on              ,승리를 기원합니다.
97,Nan-yeong Song              ,정청래 있넹ㅋㅋ
98,fine p              ,더불어민주당 총선승리 파이팅!!
99,강나래              ,들을때마다 개신명남ㅋㅋㅋㅋ
100,하영훈남              ,똥이나먹어노래굴어
101,E N              ,2019.10월 16일.조국 전 법무부장관님 관련한 영상들을 찾아보며 거르던중유튜브 알고리즘이 나의 정치적 색깔을 파악하고는 나를 이곳으로 이끌었다.
102,상상              ,참여한 사람들이 같이 부른 노래였음 더 좋았을 것 같은데... 립씽크... 되~~~~~~~~게 어색해요.
103,댁!꼬꼬              ,더더더...귀에쏙쏙!가사 같이 되려면 승리하셔야하는데... 힘내세요 더불어민주당  홧팅!
104,조성만              ,새누리당은 '싫어요'가 많은데 더불어민주당은 '좋아요'가 더많네
105,정도현              ,더더더송 나오고20대 총선 1당(123석)19대 대선 정권 탈환 7회 지선 광역단체장 17석 중 14석21대 총선 1당(163+17석)
106,강지원              ,국가에반기드는사람들잡으러가자
107,강지원              ,캅디아에보라바이러스천국이네왜가는겁니까요캄보디아백신이부족할꺼같은데요...백신개발해보세요에이즈백신은있어도애볼라바이러스백신은우리나라에서개발해보세요....
108,이동춘              ,그리고 지금 민주당 지지율 50%
109,최재환              ,"더블어민주당의 로고송, 중독 됩니다"
110,큰바위얼굴              ,와 진짜 반다송 따위와 차원이 다르다!l더민주가 훨씬 세련되다!
111,전영숙              ,똥누리당 드러운 찌꺼기ㅋ
112,전영숙              ,저는 hye daeng s 저는 4일날 더민주 한테 악수청할계획입니다.ㅋㅋ 정진석씨 삐치겟죠아마도
113,man park              ,"신 씨의 노래 '그대에게'를 무단 사용한 것과 관련해 ""음악 예술인을 존중하겠다더니 불법 사용에 심지어 저작권 인격권을 무시한 처사로도 모자라, 사과는커녕 엉뚱하게 출판사와 해결하라는 안하무인식 적반하장이 더 큰 문제. 이런 문제인과 똘마니들이 적퍠청산? 택도 없다."
114,신우              ,더불어민주당은 영상에 좋아요가 많은데 새누리당 영상은 오히려 싫어요가 많음ㅋㅋㅋㅋㅋㅋㅋ
115,전영숙              ,더민주첨찍는건데일년후에 좀 창피할것같아요 제가 태어나서 첨으로더민주  도장찍으른데ㅋㅋ
116,이도영              ,더불어 더불어 시민당용혜인과 더불어~뱃지도 당선증도함께 언박싱~더불어 더불어 시민당기소당과 더불어~의석을 나눠요함께 더시민~
117,뿌븨              ,🥳2020년 총선 승리 기념 방문🥳
118,Yayo Iori              ,새누리당이 부른 반다송보다 노래는 좋은데 공략을 지키면 좋겠네요
119,사브낫              ,매우매우 좋습니다
120,한재희              ,뭐랄까.확실히 다른당에 비해 민주당이 로고송은 잘만드는 듯
121,방준식              ,저노래 부를때는 2번이었는데... 1번이라니! 이번대선 승리로 적폐청산!
122,따끈한곰탕              ,지엠대우는 미국 으로 보내야한 그놈들은 우리혈세만 먹고 미국으로 갈거요 호주에서도 이런짓을 했었어요 그리고 귀족노조 한국자동차 노조원들 각성하라 당신들이 그정도 노동을 하는가
123,han힘내요!              ,중독성있네요 ㅎㅎ 흥나고 신나는 춤추고싶은 노래!! 힘내세요 화이팅!
124,김민경              ,오래오래 이응원가 듣고싶다!! 이응원가로 50년 gogo!!
125,김응주              ,영상에 나오는 비례대표 30번 김영웅님이 눈에 확 뛰네요^^ 정말 멋지십니다!
126,Jihoon Hwang              ,더더더 국민위해 화이팅!!
127,강지원              ,오직강민주
128,강지원              ,천지연방패연수호랑지연학연지금은여성주부9단시대....포래버여성인권사랑의풀하우스여성쉼터여성가족부홧팅모자지간키포인트삼강오륜태극기권곤권패가없당구아바헌법이미지만보세요.....더불어민주당세종특별시청.......
129,강지원              ,강민주
130,강지원              ,강민주
131,백종원              ,문재인 대통령ㄱㄱ
132,강지원              ,을지문덕
133,KIM ***              ,중독성 오진다
134,Sooh J              ,제1당 축하드립니다ㅎㅎㅎㅎ 좋은 정치 해주세요
135,고도현              ,다른 당들이랑 다르게 노래에 초등학생들 나오네;; 저 어린 애들이 뭘 안다고 정치에 끼워넣는거지?
136,김성진              ,그래도 이번총선 새누리한태 질거같다
137,멍멍멍              ,힘내세요!!
138,조은화보지꾸릉내              ,더불어공산당 ~ 더더더 더더더 더듬어만진당~
139,왕서방              ,더부러 버러지당
140,川村유키토              ,더불어민주당 이번 대선에서 반드시 정권교체 이뤄내길 바랍니다
141,마리아              ,👍👍👍👍👍👍👍👍👍👍👍
142,whansho 84              ,참 이날 이렇게 보니 감회가 새롭네요. 여러분들이 역사를 바꾸셨습니다.
143,오이런              ,이불킥
144,티맥타임              ,더민주 파이팅!!!
145,김제니              ,이 노래랑 화면에 나온분들 ...♡♡♡엄청신나에요.♡♡♡♡♡
146,nhwnah              ,실업률이 더더더 경재 성장 저하 더더더세금도 더더더더불어 더불어 민주당 북한과 더불어
147,LMJHAHA              ,정청래 김빈 나오는거 보니까 짠하네요 ㅠㅠ 문대표님은 왜 안나오시지 ㅠㅠ
148,좋아요영상              ,표창원의원님ㅋㅋㅋㅋㅋㅋ귀여우시네 ㅋㅋㅋㅋㅋㅋㅋ
149,Karlstyner21              ,응 제1당이야~
150,Blue Train              ,괴누리당보다 훠어어어어어얼씬 신선하고 중독성 있습니다 ^^ 더불어화이팅!!!
151,zpdlgustm              ,그래 국민과 더불어 한 번 싸워 보자!!!총선승리!!!더민주 화이팅!!다 삼켜 버리겟다 ㅎㅎㅎ
152,정은김              ,묘하게 빨려든다..
153,호호              ,더불어 강간당
154,문종혁              ,더불어 더불어 민주당~~힘내라
155,강혜민              ,차기 대선있는것 대한민국 화이팅!!ㅋㅋ더불어민주당최고
156,미래통합위원회              ,경재를 더 불어 먹는 문주당
157,강지원              ,한영미대사
158,강신범              ,선거1등축하드립니다
159,좆선족짱깨박멸              ,딱딱딱딱딱딱딱딱딱딱딱딱딱딱딱딱딱딱딱딱딱딱딱딱딱불어공산당
160,우동킬러              ,0:25 오른쪽 분은 이제 보기 싫네요.
161,川村유키토              ,더불어민주당 지지합니다
162,라이언은사자              ,더더더 가사가 중독성 있네....
163,강지원              ,우리국민의소리를들으시오
164,하영훈남              ,더더빨깽더빨깽이집단
165,전범석              ,민주당 아주좋아요 화이팅
166,하영훈남              ,더더빨깽이집단똥이나먹어!!!!!
167,송곤조              ,무조건 반대만 하는 당 아닌가요?
168,J CH              ,등록금 지들이 올려놓고ㅋ 양심없네
169,서태양              ,북한이냐? 이딴걸만든어?김정은 김정은~  이라고들리네 캭~퉤
170,DocWho              ,개누리 무신 노래 듣다가 눈버리고 귀버리고.. 더민주 더더더송 듣고 기분UP
171,이정혁              ,착한 영웅! 강한 천사! 더불어 민주당! 화이팅!! 👍👍👍😇😇😇🇰🇷🇰🇷🇰🇷
172,볼매그룹              ,이건 역사에 남을 로고송이다 내년총선에서도 활약 기대
173,최정민              ,아직은 일반당원 이지만 끝까지 응원지지합니다 국민이 지켜보구 있는만큼 더욱 좋은정책을 바랍니다👋👋👋👍👍👍👍👍👍👍👏👏👏👏👏👏👏👏👏👏👏👏
174,real si              ,역겹다진짜
175,jong park              ,좌불어로동당
176,강지원              ,청신호
177,kaymon              ,제1원내당이 된걸 축하합니다
178,강지원              ,그게바로나에요
179,강지원              ,강민주화이팅
180,사도자              ,국민의 당이 다음엔 정권 잡게ㅚ는건가...이재명 시장님같은 분을 베출해주셔서 감사했습니다 더불어민주당 전 이제 국민의당으로 갑니다...더불어민주당 ARS...이젠 더는 못 두고봅니다
181,문성훈              ,저작권 허락도 안받고 드라마 패러디하는 놈들보단 훨씬 낫네!
182,페코라              ,종북척결
183,강지원              ,오직더민주
184,Scarlet              ,표의원님 ㅜ
185,카메라등이용촬영죄폐지              ,"그래서 더 페미정책지원, 더 카메라등을이용한촬영죄 처벌, 더 성폭력처벌및피해자보호에관한특례법 처벌, 더 여성가족부와 여성단체 지원 하는군요. 이미 지옥으로 간 당입니다옹~ㅅ~카메라등을이용한촬영죄 폐지를 위해서 부단한 노력 부탁해요."
186,강지원              ,남성우월유전자
187,웃는공              ,공공공~~ 공산당~~
188,강지원              ,우리더불어민주화이팅문민정부화이팅
189,웅채              ,노래부를시간에 일이나 하시오 아재들요
190,J.S. SO              ,별로에요.. 중간에 개꼰대 노인네 나오는 것도 꼴뵈기 싫고.. 한마디로 구려요
191,육성준              ,"더불어대거리깨진노래.,"
192,myname youwannaknow              ,나 20살 됬는데 새누리랑 더불어는 절대 안뽑는다
193,J P J B              ,더불어 더불어 공산당인민과 더불어
194,Fun Channel              ,노래개병맛인데충격이다 ㄹㅇ민주당이고 자한당이고 할거없이 둘 다 노래 진짜 못만들었다
195,전영숙              ,새누리당 더러운찌꺼기예요 그리고 ㅋ
196,유스Youth              ,이노래 듣고 참~으로 더민주 뽑고싶겠다 ㅋ
197,ᄋᄋ              ,니들은 할 줄 아는게 새누리당 반대밖에 없냐 종북당아
