,ID,Comment
0,Gorgo K              ,대구는 김부겸 귀한줄알아라
1,stranger hello              ,그 어떤 미사여구보다 진심과 지역을 사랑하는 진정성이 담겨있는 연설이어서 참 좋았습니다. 김부겸 의원님의 바람처럼 자역주의 구도가 타파되었으면 합니다.
2,에이블맨              ,"대구... 대구에서도 재래시장... 문재인을 이야기 하기에 정말 힘든 곳입니다. 그곳에서 저렇게 당당하고 절절하게 문재인을 지지할 수 있는 정치인, 김부겸 말고 또 누가 있을까요? 대구사람으로서, 문재인 지지자로서 정말 감사드립니다."
3,이지EZ              ,아이고...  야구장이나 동성로같은 꽃길말고 하필 서문시장보다 더하다는 칠성 시장을 가셨어요ㅜㅜ 지역구 주민으로서 가슴이 아프네요
4,김동진              ,TK사람들은 자유한국당과 스스로를 일체화 시킨다.  그래서 자유당이 뭘하든 지지한다.나라 팔아먹어도 지지한다.민주당이 자유당 공격하면 자기를 공격한다고 생각하기 때문에 민주당의 논리가 정당하고 합리적이라 할지라도 밉고 싫은 것이다.이건 단시간내에 바뀔수 없다.시간이 해결해줄 것이다.
5,윤봄              ,이런 멋진 의원님을 가진 문재인후보와 더민주당은 복이 넘치네요. 김부겸의원님 너무 멋집니다. 의원님의 진심 절대 잊지 않을게요!!!
6,콜드플레이              ,대구시민입니다만 어렸을땐 김부겸 의원 잘 몰랐습니다. 선거철마다 더운날씨에 차량 타고  유세하시면서아 저런 아저씨도 있구나 하고 십몇년 보다보니 김부겸이란 이름과 얼굴정도는 알겠더라구요.수구꼴통보다 더 심한 대구 택시아저씨들도 이번에는 김부겸 뽑아줘야지 하던 생각이 나네요.말도 안통하고 논리도 안통하는 대구 아줌마 아저씨들 사이에서 유세한다는게 쉽지 않은데 대단하다고 생각합니다.우야든지 한번만 봐주이소~ 한번만 뽑아주이소~ 대구에서 잘먹히는 말들입니다. 잘아시는듯.
7,H H              ,"김부겸 의원님! 저도 대구출신인 한 학생입니다. 이 영상을 보면서 정말 계속 눈물이 나네요. 대구 사람들이 전부 그런게 아닌데.. 저렇게나 많은 어르신들한테 모진말 들으면서도 꿋꿋이 옳은소리하시는 모습이 정말 그 누구보다도 멋있습니다! 대구에서 더민주 유세현장을 많이 못봤는데..아마 영상의 아주머니들처럼 항의하시는 분들이 많아서였나보네요. 총선때만해도 대구에도 조금씩 변화의 모습이 오는듯해서 저 또한 많은 기대가 있었는데..아직도 옛날을 못잊고 똑같은 잘못을 반복하려는 사람들때문에 저 마저도 항상 착잡합니다. 그래도 주눅드시지 말았으면 좋겠어요! 모든 대구 사람들이 문후보님을, 더민주당을 배척하지않습니다! 이번 대선을 통해서 꼭 정권교체 성공해 대구 사람들도, 다른 지역 사람들도, 우리 대한민국 전국민들이 정말 살기 좋은나라가 될수있을거라 믿습니다!  청년 대구 시민 여러분! 이번 대선투표 꼭 합시다! 대구도 변화의 모습을 보여 줄 때가 왔습니다!"
8,김경수              ,내 대구 수성구 산다김부겸 민주당이지만 별로 안좋아하는데 연설 쥑인다내딸 유학가서 투표했는데 1번찍었다고 톡 보냈다
9,정도              ,저도 서부경남입니다이동네 어르신들 무조건홍준표입니다ㅠㅠ문재인 빨갱이이구요...전 샤이 문재인입니다초등학교2학년 딸아이 학교에서도다른아이들이 안철수가 대통령이되어야 한다고 하네요...우리동네 문재인 유세 하는거 한번도 못봤습니다...ㅠㅠ
10,김은영              ,"박근혜 최순실 국정농단을 보고도 개누리 패거리를 찍겠다는 그들을 깰 수 있는 것은 대구의 젊은이들입니다. ""어무이 우리 대구 살기가 너어무 팍팍해가 내가 장개도 못가고 어무이 손주도 못 안겨드린다 아입미꺼..이번에 제발 쫌 바까주이소~ 그래야 어무이 아들 딸들이 살아갈 수 있십니더..더이상 자식들 가슴에 대못 꽂지 마시고 자식들이 바라는 대통령 찍어주이소~"" 1번입니데이~"
11,이만배              ,"이분은 꼭 내각에 참여시키고 더민주에서는 선거때 비례대표로 우선순위에 배정해야 된다. 지역구는 후배에게 넘겨주기로, 항상 비례로 배정해서 대구를 개몽하는데 많은 노력을 부탁드려야 된다."
12,Lee동성              ,김부겸의원  대구가  압도적으로 당선시킨 의원입니다. 새누리 김문수를 이기고...맨날 서문시장 칠성시장 민심이 대구 전체 민심인것으로 보이는게 답답하네재래시장 상인민심  극히 일부야당에서도  좋은사람내면 쉽진않지만 당선 됩니다. 김부겸의원 보면 알수있지요... 대구도 문제지만 야당도 관심을 보이세요
13,정말차카게살자              ,"의원님, 멀리서 응원합니다. 힘내십시오! 국민의 열망을 이루는데 의원님의 진심어린 호소와 애정담긴 직언 눈물납니다."
14,Loki Limda              ,와 이 연설은 명연설은 아니지만 진심이 느껴지는... 진짜 감동적이고 한편으로는 슬픈 연설이다... 진짜 대구는 언제까지 그렇게 살건가? 새누리가 나라를 망쳐도 빨갱이 플레임에 갇혀서 끝까지 문제인 빨갱이 소리 하면서 홍준표 같은 인간을 찍어줄껀가? 너네도 알잖아... 그 인간이 어떤 인간인지... 차라리 보수면 유승민을 지지하라고 이 멍청한 인간들아... 우리나라에 아니 대구에 희망이 생길까?
15,9ayanamiify              ,김부겸의원의 진심어린 연설에 울컥합니다!! 왜 대통령이 한 지역의 우두머리입니까!! 대통령은 대한민국의 대통령이지요!! 제발 대구시민여러분 21세기에는 북한같은 나부랭이에 신경쓰지말고 온전히 대한민국만 바라보고 선택해주세요!
16,Songyi Han              ,대구에 대한 애정이 없다면 저런 말 못하죠..대단한 열정과 애정을 응원합니다. 부산경남이 조금씩 바뀌듯이 대구경북도 이제 바뀌길 바랍니다
17,내놔!!이니굿즈              ,진짜..노무현대통령 보는것 같아요.경상도에서 욕먹어가며 야당으로 살아가는 것..감히 상상도 못할 만큼 힘들고 외로우실텐데..감내하며 한걸음씩 더디게 나아가는 김부겸의원님.응원합니다.힘내세요.
18,jaden__ oiu              ,이렇게 말해도 눈귀막은 사람들 귀에 들리지도 않지... 진짜 답답하다ㅠㅠ 대구에서 유세한다고 고생이많으시네요ㅠㅠ
19,몽쉘통통              ,"진짜 타지에서 일하는 대구청년으로서 대구출신이라고 말하기 부끄럽다라는 말에 공감합니다. 제발 이번을 기회로 지역주의, 색깔론 타파합시다. 옳고 그름으로 정치인들을 판단합시다."
20,Joy En              ,대구경북 민심은 이제 전적으로 김부겸과 문재인을 열열히 지지합니다!
21,Min J              ,와......대구하면 다 그런사람들....인줄 알았는데.... 문재인후보님은 저런의원임과 함께 한다는것이 굉장히 든든한 지원군이라 생각합니다. 멋지싶니다....최고네요
22,tintara C              ,대구시 좀 어떻게 해주십시오 발전은 없고 우리동네 길바닥 또 뜯고있습니다
23,heart beat              ,노통과문후보님 부산서 김대중편이라고 빨갱이취급 당하며 살아온 세월. 부산유세를 보심 알듯이 부산은 정산차리고 있습니다.
24,담백한돼지니              ,김부겸도 물건이여;;;;;;;;; 김부겸 이재명은 물건이여...민주당은 인재가 참많아
25,khan steeled              ,"멋지다.사람으로 듣기에 감동이지만, 지나가는 소들에게는 불경이겠지."
26,soppa              ,바로 이거다. 쓴소리를 들어야한다. 대구 오야오야 케줘봐야 정신몬차린다. 직설적으로 까줘야함.
27,이야옹              ,씨바 끝까지 보는데 소름돋는다 진짜 눈물난다 ... 대구 시민여러분 김부겸같은 의원 대단합니다.. 저런사람 밀어주세요 진짜 부럽다 저런 의원은 진짜 국보급입니다.. 팍팍 밀어주세요 진짜
28,ᄆ혀니              ,김부겸의원 대구에서 노무현이 혼자 연설 할 때 처럼 정말 멋찌다. 박수 칩니다.
29,Theodoric Kim              ,TK에서 고군분투하는 김부겸 의원께 경의를 표합니다
30,공수처설치!!언론개혁              ,김부겸의원님.멋지십니다.응원합니다.
31,handsome C              ,나도 대구출신이지만 멋지다. 저기서 저런 태도 갖고 말하기 쉽지 않다. 후덜덜하다 팩트폭력 좋다!!! 이겨라 김부겸 민주당!
32,투맨              ,대구에서 당선되기 위해 박근혜 팔이 한다고 밉게만 봤던 제가 부끄럽기만 하네요 죄송합니다. 당신의 진정성을 의심의 눈초리로 봤던 제가 더없이 미안해지는 영상입니다. 다시한번 죄송합니다.
33,이수득              ,명연설이다.이것좀봐 철수야.목소리변조한다고 연설이 되는거 아니다.
34,Mark Lah              ,나도 대구사람이지만 젊은사람들은 홍준표겁나 싫어합니다 근데 못배워서 무식하고 세월지나 나이만 먹은 할매할배들이 대구다망치고 있습니다ㅗ
35,Eunju Kim              ,"힘내세요. 김부겸의원님..너무 짠하다! 더불어 민주당 화이팅!얼마나 답답했으면, 다그치면서 연설하실까?"
36,탕소고기              ,진짜 상남자네 대구에서 당선 되려면 저 정도는 되야되는구나... 괜히 대구에서 당선된게 아닌 듯
37,적폐청산친일파 겐세이 척살              ,다시보게됬네요 넘 조용하셔서 부각이 안됬어나봐요  멋있고 감동입니다 쭉 응원합니다
38,captain moonlight max lee              ,같은 대구지만..기호6번달고나온 슈래기하고 천지차이다..멋지다
39,개수작              ,내가 대구 사람이었으면 반성하게 할만한 연설이었습니다.
40,YG L              ,구미사는데 기회를 주곘습니다  화이팅
41,Kim김youngnam영남              ,김부겸의원님 지지합니다. 광주시민이지만 이번 5년후 더 큰 인물이 되어주십시요.
42,앵두연두              ,대구경북은 그냥 버리자  다카키마사오  탄실일 지내는 동네다 늙은이들이 사라져야 해결된다
43,우걱우걱              ,"정말 멋진 연설. 저 꾸짖음을 제발 들어처먹어라 정신나간 다카키 근혜, 홍준표, 자유당 찍는 대구 것들아."
44,조영연              ,패기 ㄷ ㄷ ㄷ
45,정여여              ,이런분이 대통령이되야한다.고통당하면서  진짜를 말하는 분.눈물나네.김부겸의원님 진짜 존경스럽다.말씀 진짜 잘한다.김부겸 의원님이야말로 독립투사며 애국자.사랑합니다.
46,기린              ,계속 반복해서 듣게 된다...
47,ᄋ들꽃              ,진짜 진심이 당긴 문재인후보 지원유세네요..전 집중유세에서 문재인후보님 서포트해주시는 국회의원분들도멋지시지만 이렇게 취약지약에서 문재인후보를  서포트해주시는 김부겸후보님  진짜  응원합니다
48,HOYA KIM              ,우와! 쎄다!!! 대구에서 정말 화이팅입니다!!!!
49,탱고찰리              ,아 눈물난다 김부겸 의원님 문재인 대통령 만들려고 모든거 걸고 열심히 하시는 모습 너무 큰 감동입니다 꼭 기억하겠습니다 당신의 진정성있는 연설
50,SweetTea H.              ,어휴 내가 김부겸 의원 좋아하는 편은 아닌데 진짜 TK에서 피땀흘려 고생하고...... 여러가지로 욕보십니다 ㅠㅠㅠㅠ
51,kco              ,우왕~ 김부겸  의원님 대단합니다.  그래도 대구가 마니 변화하고 있죠. 홧팅!!!!!
52,bling star              ,대구시민들 한번 도와주이소 그담에 못하면 채찍들어도 늦지않아예
53,김범수              ,김부겸  의원고맙습니다  고생하십니다
54,like wind              ,내가할말이다 대구는 정신차려야한다
55,자체발광민선              ,김부겸의원님 너무 고생 많으십니다 ㅜㅜ 대구도 정신좀 차립시다 ㅜㅜ
56,안소연              ,경상도 갠적으로 좋지도 싫지도 않지만 선거때는 참 보기싫음....저 동네가 무조건적으로 지지하는 당때문에 나라 망함--제발 사람 보고 뽑아 당만 보고 찍지 말고ㅉㅉ
57,정도현              ,김부겸 해왔던 건 비판해냐 하지만 이건 칭찬받아야지
58,조용철              ,"다음 대선은 김부겸이다,"
59,BS P              ,대구는 30년은 지나야 바뀔까?
