,ID,Comment
0,D LEE              ,김용민 후보 진짜 열심히 일하시는 분국회 가시면 더 큰 애국 하실 분입니다응원합니다민주 시민 여러분 김용민 후보 찍어주세요
1,p이뽀진희              ,비겁한 주씨는 절대 당선시키면 안됩니다. 김용민후보님 반드시 당선되시길 바랍니다.더불어 415선거에 꼭 투표하셔야 이깁니다!!
2,권평화              ,ㅋㅋㅋㅋㅋ 주진우기자님 나와서 깜놀 ㅋㅋㅋㅋㅋㅋㅋ
3,송칼있음아              ,김용민 후보 반드시 주광덕 물리치고 국회로  입성하세요  파이팅  격하게 응원합니다
4,김혜경              ,주광덕 아웃...제잘 플리즈~~~
5,see의리              ,김용민 당선확정!! 쥐와친한 주광덕 물리쳐주세요 김용민을 국회로!!!!!!!
6,moonlight              ,김용민피디 주디 휴일에도 열일하느라 감사❤️❤️김용민 후보 21대 국회 입성 가즈아!!!!!
7,jbh jbh              ,남양주김용민화이팅주굉덕아웃
8,참세상 만들자              ,주굉덕이가 국회에 들어가는걸 필살적으로 막어야 한다.
9,김혜경              ,김용민후보님 응원합니다반드시 국회입성을 해주셔야합니다.홧팅하십쇼~^^
10,밥민키              ,오늘도 열일하는 김엄마역시!!!
11,mineral s              ,반드시 주광덕 잡고 김용민님은 개혁하러 국회가서 열일 하세요 격하게 응원합니다 아자아자 파이팅👍👍👍
12,산과들소나무              ,불의를 보고 못참고 일잘하는  김용민을 국회로 보냅시다 주광덕 인성이 못된 인간
13,백종권              ,총선이 지나면 검찰내 내통한 검사를 찾아내어서 징계를 해야한다
14,다냥폴때              ,진짜 용민돼지엄마 구독자수 올려줍시다 용민돼지 파이팅 쓰러질까 걱정댄다 총선 끝나고 휴가좀 가세여
15,김은례              ,주광덕 안보고 싶네요 제발 꼭 당선되세요 화이팅!!!!
16,마스터젠              ,ㅋㅋ  깜짝 놀랬네 암튼 아무 김용민이나 당선 꼭 되시길 주광덕 저사람이 되는건 악몽임
17,Gj Ba              ,주광덕은 무조건 이겨야죠.김용민 화이팅!
18,이선              ,남양주 김용민도 좋은분이지만  우리 김용민은 정~~말 선한분입니다 김어준 이동형 못지 않은 우리의 큰 자산이며 자랑입니다 몸 잘 챙기시구요
19,포도연준              ,김어준 님이 ‘우리 돼지’로 부를 때마다 두 분다 너무 귀여웠는데 오늘 따라 보조개 미소가 귀여우십니다. 주광덕 꼭 몰아내주세요. 파이팅.
20,정재은              ,ㅋㅋㅋ제목 자체가 너무 웃겨서 들어와봄 ㅋㅋ
21,경노              ,항상 느끼는거지만김용민 씨 정말 열심히 사시네요~^남편으로서 아빠로서참 보기 좋습니다~^인성도 착하신거 같고귀염성 스럽습니다~^우리의 귀한 세비가 형편없는 국회의원에게간다는거 화가 납니다~!진영 상관없이 국민을나라를 위해 일하는사람을 뽑읍시다~!
22,참세상 만들자              ,김용민이 안알려져도 주광덕이 나쁜놈인걸 더 잘 알려졌기에...
23,김난              ,사법개혁을 막겠다는 주광덕이 법사위장이 된다면 앞이 깜깜 합니다. 절대 저지해야합니다. 약자를 위한 김용민 후보 꼭 승리하시기 바랍니다
24,배가본드              ,용민씨 용민후보를도와줘서 고마워요주광덕을 몰아냅시다
25,woo j              ,믿고보는 김용민 화이팅 ♡♡♡♡♡♡♡
26,이승호              ,김용민 화이팅
27,김미진              ,인권변호사 김용민 후보 : 정치검사 주광덕
28,C Jay              ,진심으로 응원합니다.  꼭 당선 되시길!!!!
29,zxcv306              ,우리 민주진영 큰 일꾼 김용민후보님 꼭 국회의원으로 당선 되길 바랍니다.
30,Ju Lee              ,주광덕 아웃 시켜주세요.....김용민 화이팅💙💙💙💙👏👏👏
31,chulbaick              ,선한 사람...좀 국회로 보내자...제발...김용민 후보를 국회로...가즈아!!
32,350 Q              ,용디  고맙습니다  김용민후보님께  기  팍팍 넣어주세요!!!♥
33,이숙희              ,남양주시로 이사온지  한달됐는데 주씨가  나오다니 기절할 노릇입니다.  우리식구는 6명입니다.  김용민후보님  홧팅.사전투표 완료했습니다.
34,오민주              ,주광덕 나쁜놈 싹다 몰아내어 능력자 김용민후보님께 표를 싹다 찍어주세요 김용민 선거승리 승리 승리 꼭 꼭 꼭 홧띵 입니다
35,이지영              ,너무 너무 수고많으시구요.마니 마니 감사합니다!
36,니나              ,주광덕 따위와 경합이라뇨..압도적승리해야죠!! 자존심이 있지 ..어찌 우리 민변 김용민과 막말 쓰레기 개혁대상 주광덕이 한라인에서 뜁니까!! 남양주분들 정신 바짝차리시고 김용민을 국회로 보내주세요♡♡!!
37,Moon Star              ,오늘 바람도 많이 불고 추운데..고생이 많으세요.
38,김혜미              ,저는 남양주에 살지 않아 아꿉~~ 김용민변호사님 홧팅... 이번에 국회의원 뺏지 달자...
39,ok kyu Sun              ,김용민 후보 당선 합시다..주광덕 개검출신 이번에 아웃 시켜주세요~ 남양주 시민 여러분 이번엔 민주당에 표를 주세요~
40,술잔을 들고달에게 묻다              ,이건 반칙인데김용민이 김용민을 만나러 간다는건더블 용민 뜨는건 광덕이 죽었어....
41,구름만보는하늘              ,주진우 기자님 떡볶이 사주고 싶네
42,정금순              ,"공작의 달인 주광덕 ,!깔끔하게 물리쳐 주세요 주광덕 절대 국회에 못 들어오게 박멸 합시다 김용민 후보님 ! 힘내시어 국회입성 합시다 친일 100년 청산의 첫걸음 개혁의 첫걸음 알차게 전진 합시다"
43,Djdjd Djjdd              ,"주광덕을 꽝떡으로 만들기 위해 우리 김용민박사님이 김용민후보님을 응원하시고 있네요.  우리 김용민후보님이 김용민님의 후원으로  의원님이 되시길 바라며,  검찰 빨대로 추정되는 주광덕을 잡아서 다시는 그 보기싫은 얼굴을 다시는  안보게 해주시길 바랍니다.   15일은 국회의원 선거일.... 15 일  = 1번. 5번 찍는 날.....ㅎ"
44,강탁순              ,왤케 김용민 이좋지 ^^ 목소리가 매력적이십니당^^
45,위풍당당              ,남양주의 수치 주광덕
46,sara lee              ,진짜고생하네..울김엄마^^*
47,anaroge              ,ㅎㅎㅎ듬직하다 ~용칼 홧팅입니다  당신이 잇어 가끔 살맛도 납니다 ~헉  동명이인 이닥  ㅋㅋㅋ
48,박라일락              ,김용민  후원님! 주광덕   꼭 이겨주세요    그사람  국회로 나가면  또 조국과 같은 사람 나옵니다  정치인이  될 자격이 없는 사람입니다  제발 남양주   주민들   정신차리시고  선거   잘해주세요
49,한재호              ,김용민 잘한다~
50,S.K Kim              ,용민이 고생이 많네~~응원한다~!! 진짜 잘한다~!! 김용민 화이팅~!!
51,반숙              ,국민들의 삶의 질을 높이기 위해서는 주광덕 아웃시키자~
52,이금희              ,광덕이는 꼭 막아야.ㅠ.ㅠ.
53,ESTHER              ,정의의 사도 김용민 후보님 국회입성. 검찰개혁 완수. 화이팅!주진우 기자님 떡볶이 김용민씨가 다 먹네요~ㅎㅎㅎ
54,이가치              ,주광덕이의 그동안 더러운 만행을 밝혀 나베와함께 빵으로 보냅시다~
55,양현명              ,"문재인 정부의 성공을 기원합니다. 더불어 민주당, 더불어 시민당 갑시다."
56,늘푸른              ,주광덕은 이번에 꼭 퇴출 되길...  김용민 화이팅!
57,Mio Lee              ,그냥즐겁고 웃기고 고맙고 응원하고!!!
58,정민트              ,귀여우십니다 ㅋㅋㅋ
59,유미소              ,"정의의 사도, 실력짱 김용민 변호사님 필승!꼭 당선되셔서 박주민의원님과 검찰개혁 이뤄주시기를 바랍니다! 지역은 1번 더불어민주당 김용민, 비례는 5번(셋째칸)더불어시민당!"
60,보문성              ,그 때 참 억울한 소문이었지요.저급한  쓰레기가 뽑히는 지역은 정화가 필요합니다.
61,tantandero              ,김피디 바쁘다 바뻐. 고생 많으시지. 넘 고마워요. 주기자님도 나오셨네. 떡볶이 드시러 오셨음. 잘 하셨어요. 많이 드셔주삼. 모두 사랑해~!! 김용민 후보 꼬오오옥 국회로 보내야 하는 거 다 알죠?
62,박대표              ,김용민 피디 화이팅~~
63,Support The Least              ,김용민 TV 의 김용민 선생님의 진심어린 정성에 깊이 감사드립니다!남양주병 '김용민' 후보가  김용민 TV의 김용민 선생님 도움에 큰 힘 얻으리라 확신합니다!고맙습니다!
64,JiHun SEO              ,너무 큰데... 화이팅 ^^다들 화이팅 !!!
65,심정덕              ,주광덕을 이길 사람은오직 김용민 후보 뿐입니다.'우리'는 끝까지 함께 합니다.가즈아~~~~
66,이니지니              ,안경환 씨가 유세현장 같이나와서  주광덕이 범죄사실 다 까발려버리죠
67,보문성              ,고맙습니다.응원합니다.덕소도 아파트 많아 자부심 크더라구요.
68,달이차오른다              ,ㅋㅋ 첫장면에서 표정부터 웃겼다ㅋㅋ
69,워니소리              ,짝퉁 후보님께서 ..  고생 많으십니다.  ㅋ
70,달바라기 늑대              ,국회는 무보수 명예직으로^^국민을 위한 정책만 보고선택해야합니다.세금 빨대는 더 이상 안됩니다.
71,Ju Lee              ,김용민+김용민!!!!최고💙💙💙💙💙
72,KGY 요가원              ,김용민 홧팅!!! 동생 먹여주는 주디도 홧팅!!!!......느껴진다.....진실과 정의가 ...꼭!!! 주광덕을 이겨주세요!!!!
73,참세상 만들자              ,김용민 화이팅!
74,MJ J              ,저 남양주병 지역삽니다!!!!!!!!!!!!!!!!
75,Moon Rich              ,윤호중의원님 이렇게  에너지강하고 연설  잘하시는거  몰랐네요  멋집니다 모두!!!!  당선되시길  기원합니다   !!!!
76,John Lee              ,수고 많으십니다.주광덕은 인간이 아닙니다.국가 비밀을 빼내 조국을 몰아 부친 못된 놈반드시 낙선시켜야 합니다.김용민 후보 지지하고 응원합니다.반드시 이기셔야 합니다.
77,니나              ,남양주 김용민~ 수지 김용민~모두 최고!! 응원합니다..남양주분들 김용민을 꼭 국회로!!
78,심장을뚫어버린사랑              ,어주니가 김용민 후보보고 김용민티비에 앵겨붙으라 했는데 ㅋㅋㅋㅋㅋㅋ말데로 이루어짐 ㅋㅋㅋㅋㅋㅋ
79,박선화              ,주광덕이 집으로 보내고 김용민이 국회로 보내 일꾼으로 부려보자.
80,Ju Lee              ,김용민후보님~~주광덕을 꼭 이겨주세요💙💙💙💙💙김용민 감사해요💙💙💙💙💙👏👏👏👏
81,coolhee0504              ,저희집앞에 오셨는질 몰랐네요. ㅠㅠ 너무너무 감사합니다. 김용민 후보님 꼭 당선되실거예요!!!
82,진샤인              ,"젊은분들  제발~  투표하고  볼일봅시다~~참 쉽죠잉~~투표안하고 놀면  4년동안 지옥입니다 ~아니  영원히 희망이  없습니다 ~아셨죠?   발목만  잡는 ""발목당"" 이제는  당신들  ""두손""으로 날릴수 있는  절호의 기회입니다 ~~투표  참 쉬워요ㅡ4월 15일은  열일 제쳐두고  ~ 투표장으로  갑시다"
83,이금희              ,여기도 바람 많이.ㅡ.ㅡ.아...덕소.ㅋ.
84,보문성              ,경제가 폭망이라 우기지만 실제는 안 그렇다는 데 어떻게 알려주나요.어르신들 30만원씩도 다 주는데 뭐가 문제인지?잘 되길 빕니다.
85,hyeon jin              ,남양주 시민여러분~~~김용민을 국회로 보내주십시요!!국회에서 일 잘 하실겁니다.주광덕 좀 안보이게 해주세요!!!
86,0024eyes              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 얼굴에 홀려서 나도모르게 들어와 버렸어. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ김용민 화이팅👍🏼👍🏼👏🏻👏🏻🙏🙏
87,정의봉              ,미통당 수구세력 벌주려고 1번 누르고 민주당 제발 일좀 시키려고 12번 누르고
88,송재열              ,김용민의원 되서~ 주광덕이 사악한 눈깔을 더이상 보지 않길 바란다. 박주민과 가장 잘 어울리는 콤보가 될 수 있다고 본다. 화이팅~!!
89,유수빈              ,응원합니다 전 이미 사전투표에서 더불어 더불어 찍고 왔어요 ^^
90,임소현              ,검찰 앞잽이 주광덕 제발 집으로 보내버립시다
91,qpqp qp              ,김용민 화이팅!!! 더블로 가~~~
92,Ju Lee              ,우리 민주진영에는 선하고 진실되고 착한사람들뿐이예요~~~💙💙그래서 기대가되는 21대 국회입니다👏👏👏👏👍👍😍
93,promise 2018              ,김용민 후보 국회로 가즈아~~~!!!
94,Chris Ohn              ,김용민 화이팅!!두 용민이 다... ㅋㅋㅋ마지막 한표 까지 간절한 마음으로!!!
95,Inus Angel              ,ㅋㅋㅋㅋㅋㅋㅋㅋ
96,정수환              ,주광덕! 우리는 지난 날 그대가 한 일을 알고있다!
97,노재찬              ,김용민후보 꼭 ~!! 국회로 보냅시다>>>
98,바다              ,12:38 판세가어떻게되나요? “난모르지 이동네는 떡볶이가 잘해” ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ주기자님 너무 웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
99,더불어푸른물결              ,김용민 후보 소액이지만 후원 했습니다. 김용민후보님 주광덕을 밟아 주세요.
100,NJ Y              ,"김용민님 ,김용민님  화이팅 ~~!!! 👍👍👍👍👍 힘내십시다.....!!!  💙💙💙💙💙"
101,보문성              ,검찰 앞잡이.주광덕
102,lee mr              ,남양주 병 김용민후보님 화이팅 하세요
103,Ju Lee              ,와우~~~주진우까지💙💙💙💙💙👏👏👏
104,정찬길              ,저희가 병에 살고 있습니다. 딸아이까지 해서 꾸욱  눌러 사전 투표 했습니다 주광덕이가 우리동네를 대표하면 챙피하지요! 우리동네의 수치입니다.
105,pet shop boys              ,김엄마 김용민 피디님 고생많으십니다. 미통당 악마들만은 막고자 하는 절심함이 느껴지네요
106,정환쟁이              ,주진우씨~넘 귀엽잖아요! 진짜김용민 가짜김용민 두분 다 좋아욧!!
107,위대한개츠비              ,김용민PD는 진짜 사람 좋은거 같아요. 주기자는 컨셉인가..
108,오기자              ,용민이 화이팅!
109,sunshine7              ,김용민을 국회로 !!! 멋지다 김용민후보님. 덕소.남양주도 품격있고 능력있는 김용민후보님을 선택해주세요!
110,켁켁오리              ,언젠가는 우리 김엄마도 국회에 꼭 진출하리라 믿어 의심치 않습니다. 사랑해요 용민형
111,박예림              ,00:01 바람아 덤벼라~~
112,이니지니              ,진짜 김용민 후보님이 꼭 승리하도록 힘을 모읍시다. 지인이남양주 계시면 알려주세요꼭~주광덕 저 못된넘을 떨어뜨려야합니다
113,Michael Kim              ,ㅋㅋㅋ 김용민이 김용민을 응원한다아~ 나두 해야지! 김용민 잘한다! 화이팅~!
114,John Lee              ,"주광덕 늙은이는 얼굴에서 풍기는 못된 이미지가좋지 않고, 못된 검사노릇이나 하시지,,,,황교안과 동류의 이미지!주광덕은 물러섰거라!"
115,조정현              ,젊으신 폐기로 주광덕을 이겨 국회로 가입시다!!!화이팅💙💛💙💛💙💛
116,홍길동              ,"남양주 주민들 이번에는 꼭 정신좀 차려 선거 하기를 바랍니다 !"" 정치인의 수준은 국민의 수준과 비례한다 "" 라는 처칠경의 말이 생각납니다 공수처 철저한 반대자요 공작 전문가 주광덕 후보의 당선은 남양주 시민의 수치 입니다 !"
117,etjune              ,김용민 후보 응원합니다 꼭 국회 입성하셔서 검찰개혁 완수해주세요
118,김미진              ,"주광덕이 또 국회에 가면 검찰들이 또 판친다. 김기춘 비서출신 주광덕 반드시 막고, 정의로운 인권변호사 김용민을 국회로 보냅시다 ~~~"
119,퍼주는단지              ,와아~~ 주진우다!!! 넘 반가워요^^ㅋㅋ..함께 떡볶이 시식~♡
120,promise 2018              ,생기부 유출 어쩌실겁니까? 범죄예요
121,yoonvely yun              ,김용민 화이팅💙💙💙💙💙👍👍👍👍👍👊👊👊👊👊👊
122,유형표              ,이분이 후보로. 나오신분 인줄 알았어요
123,be built언덕              ,최고다! 환상 조합~^^ 김용민이 김용민을~
124,최희숙              ,김용민 후보자님 화이팅!꼭 당선 되어 주광덕  꼭 잡으십시요
125,오민주              ,김용민 후보님 자신감 팡팡 큰소리로 잘할수 있다고 외쳐주세요후회없이 유세하셔꼭 승리하시길 바라네요
126,Eli              ,"썸네일 임팩트 있음, 아주 맘에 듬"
127,yosepina kim              ,김용민 후보님 ^*^열렬히 응원합니다대한민국의 미래와 희망!!!반드시!!!국회에 입성 하시리라 굳게!!! 믿습니다.조금만 힘!!! 내시고화이팅!!!!!💙💙💙💙💙💙💙
128,moon air              ,부지런함은 최강이다 진짜 ㅎㅎ
129,NO japan              ,주광떡을 물리쳐라 김용민후보 !김엄마가 간다🥳
130,정명미              ,덕소에 살고있는 아들부부도 어제 사전투표 김용민후보 찍었습니다~ 꼭 승리하셔서 검찰개혁해주세요!!!
131,신길동              ,덕소삼거리에서 유세하는군요.김용민후보 당선으로 가자!!!
132,rain k              ,앗!!!두 명이 나타났다ㅎㅎ김용민 두 분 화이팅👏👏👏
133,EARNEST HOPE              ,김용민 홧팅!!!주광덕 꼭 잡고국회 입성해서정치 검찰들 정리해 주세요.
134,seung hoon Jang              ,김용민 후보님 지지합니다. 반드시 좋은결과 있을겁니다.
135,앤사랑              ,너무 좋아 조런 투샷ㅎㅎ  나꼼수 포레버!!!!!!!
136,이하늘              ,김용민 지지합니다👍👍👍주광덕은 확실히 날려주세요 집으로!!
137,푸헐헐              ,"아유 우리 김용민 PD님 참 열심이십니다. 군데 정의당, 민중당까지 도와주진 말구유~ 민주당만..ㅋ.. 차기 뉴공 공장장 추천~~"
138,Yunjae Kang              ,검찰 개혁보다 지역 밀착형 공약을 먼저 내세우세요. 이렇게 선거하시면 집니다. ㅜㅜ. 서울이나 수도권 우세 지역들 후보들이 먼저 내세우는 것들을 강조하세요. 제발....
139,고영웅              ,비바람이 거센데 고생 많으시네요
140,Zen Yrots              ,김용민 김용민 김용민 화이팅 👍👍👍
141,반현정              ,남양주   갑 지역입니다.더불당조응천 의원찍었거든요.남양주가 갑.을은  민주당인데 병만 미통당이네요.그동안 머리깎고 나가놀더니 이제와서 표를구걸하는 미통당은 영원히 나가 놀았으면 합니다
142,정수환              ,김용민 후보여! 화이팅하세요!틀리없이 주광덕을 물리칠 것입니다.
143,Dongho Min              ,용민이 잘한다.... 화이팅.
144,김만수              ,남양주 병 주민입니다 김용민후보 응원합니다. 투표로 보여주겠습니다. 홧팅^^
145,haak k              ,의문있어서...이분 민주당원 맞읍니까?김용민후보 웅원합니다.
146,삼색고양이              ,주기자님 떡볶이 안주로 쐬주한잔 자셨나 왜케 웃겨요ㅋㅋ김용민후보님 꼭 당선되셔서 주광덕 좀 안볼 수 있게 해주세요
147,고영웅              ,저는 어제 사전투표 했네요
148,SA L              ,"김용민후보 화이팅,  꼭 국회에 입성하시길 바랍니다."
149,Seonghyun BONG              ,열심히 응원합니다. 그런김에 김용민닷컴에서 먹거리좀 주문하고 왔어요.. 오징어 먹으면서 15일날 즐겁게 개표방송 보자구요
150,카페라떼              ,김엄마  홧팅 !!
151,Joan Kim              ,"더불어 민주당 김용민 후보자님, 꼭 당선되세요!!!-  응원합니다!!!   축복합니다!!!!!"
152,김예은              ,김엄마도 화이팅입니다
153,내맘이다              ,김용민후보님! 꼭! 국회에 입성해서새정치의 깃발을 드시길 바랍니다
154,장군              ,김용민 유세연설 잘한다~당선  될것~광덕 마웃
155,gs woo              ,짝퉁 김용민??  ㅋㅋㅋ살찐 김용민이 바로 짝퉁!
156,슐슐              ,돼지옴마 고생이 많아요🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️ 김용민 꼭 딩선👍🏻👍🏻👍🏻
157,젤라젤라              ,김용민후보님 꼭 당선 되시길 바랍니다
158,sunny lee              ,김용민씨 너무 의리있어요~~^^
159,Ellen Sheen              ,기호 1번 더불어민주당김용민 화이팅!👏👏👏👏👏주꽝덕 잡고 국회로 갑시다!👍용민피디 응원받고 기받고 가자아!🤗주기자도 반가워요!🤗😂😘남양주 와부읍 맞습니다!😁😁😄😄번화가 덕소 삼거리로 보이네요!👍뉴욕에서 진심 응원합니다!👏👏👏👍
160,Mercy No              ,아 주기자 떡볶이 타령 왜케 웃겨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
161,John MH.              ,썩어빠진 통닭당 빼고 성실한 민주당으로ㅡ 김용민 후보👍👍
162,bin bin              ,김용민 돼지 ㅎㅎㅎ
163,김철순              ,김엄마 김용민이 우리 민주진영의 샐럽이라서 정말좋습니다
164,김은미              ,강풍 속에 열일하시는 용디~♡ 용디님도 김용민 후보님도 응원합니닷. 김용민 파이팅!!
165,카라              ,김용민 tv 날도추운데 고생많으세요 옷이  너무 추워 보이네요
166,보문동뚜벅이              ,김용민후보님!적극지지하고 응원합니다꼭 승리하세요
167,Hyunkie Park              ,먹방을~~~ㅋㅋㅋ~
168,김미원              ,김용민능력있는후보자님주광덕을꼭잡읍시다미통당을모두잡고더블어민주당압승합시다
169,Ju Lee              ,김용민 끝까지 응원할겁니다👍👍👍👍
170,강연화              ,친절 사랑 봉사 용기 열매 희망 행복
171,frank Lee              ,무조건 당선되셔야 합니다.!!!!
172,눈꽃              ,ㅋㅋㅋㅋ  귀엽당~~~화이팅!!!!!!!
173,K. Kim              ,주기자랑 용디 먹방 ㅋㅋㅋㅋ 보기 좋음ㅋㅋㅋ
174,둥이              ,여기는 꼭잡아야돼~~~~핑크당이놈 떨어지면 조사받아야지.
175,장주호              ,4.15는 한국인을 뽑는 날입니다...
176,박기중              ,"주광덕 빨때  검찰에 똥개  미친당통개당,"
177,김태영              ,ㅎㅎ짝퉁 김용민... ㅋㅋㅋ이번엔 김용민후보 꼭 좋은 결과 있었으면 합니다.
178,Fu Shun Yu              ,김용민 👍👍👍화이팅 하시길 🙏🙏🙏
179,김인복              ,주광덕 잡고 당당하게 국회입성 바랍니다.^^!!!!
180,스마트한선생님              ,아하~ 김용민변호사님! 화이팅입니다💙 응원 잘 가셨습니다.
181,풍경              ,덕소도. 아파트 천지
182,잔디나무              ,김피디 너무 추워보여요
183,Min Chong              ,"김용민,김용민,필승!"
184,허허              ,주진우 기자님 4개 먹음 내가 봄12:09 12:20 12:37 13:28
