,ID,Comment
0,허민우              ,1:17:02 이거 진짜 잘만들었다
1,우주대스타              ,박순자 신고 안당했나? 18단지에서 밥사줘서 뽑았다고 노인들이 자랑하시고 다니던데
2,jo jo              ,"오늘은 즐기자.....  걱정, 우려 하는 마음으로 투표장 가신 분들 다들 수고 하셨습니다.  화이팅!"
3,Michael Kim              ,계엄령기획에 괸련된 담마진과 짜장 등의 출금부터 해야할 것이다! 12번 고발 당한 나베 수사부터 해야 한다고 생각한다.
4,Buzz _9              ,출구조사 카운트다운 1:17:02
5,rabbit U              ,7:08:55 웃기넼ㅋㅋㅋ
6,이임순              ,MBC 제작진  여러분 장시간 고생하셨읍니다 그동안의 우호적이고 사실적인 다양한 뉴스보도  정말 고맙게 생각합니다  오늘의 선거결과는 mbc의 덕분입니다 고맙습니다
7,윤원일              ,1:37:51 신기하네 ㄷㄷ
8,ᄋᄋ              ,"이 영상 볼때면 수성갑만 보면 너무 안타깝다,,,김부겸도 안되는거면 도대체 TK는 누가 나가야한단 말이냐..."
9,Hee Won Jung              ,4:02:45 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ실수
10,땡땡              ,10시간 동안이나 해서인지 막판에 아나운서 분들 다 지쳐서 발음 꼬였음 진짜 힘들겠다 새벽까지 자지도 못하고 지쳐서 쓰러질듯
11,우비              ,이제 미래통합당 또 이름 바꾸겠네ㅋㅋㅋ
12,임상현              ,만세 다들 고생하셨습니다
13,수퍼말이오?              ,코로나 끝나면 대구 돈쯀내러 간다는 말 취소~ 그냥 어렵디 말디 니둘 알아서 살아
14,겨울              ,통합당이 많이나왔네
15,박동민              ,이제 국민들이 민주당에 힘을 싫어 줬으니 제발좀 구태 지들 박그릇 싸움 하지마라 민심 금방 돌아선다 청와대하고 잘소통해서 문재인데통령에게 힘을 싫어 드려야한다 니들끼리 치고박고 하면 진짜 두번다시 표안준다
16,chul yang              ,아베 추종세력의 몰락까지는 아직도 상당한 시간이 필요할 것같은데!
17,새벽              ,머리장식으로 달고 다니는 경상도 어떻게 미통당한테 100석이나 주냐
18,기기              ,10시간실화
19,짭버트              ,idol 추는 사람 뭐지 엄청 잘추네
20,g대한민국              ,대구사람들 정말 불쌍하다 코로나로 시민들 다죽이는 통합당 대구시장  ㅎ 멀믿고 자꾸  밀어주지 ㅎ 그러다 미국 꼴 난다 대구야  트럼프 안보이냐 ㅎ
21,J K              ,"경상도 아직도 깜깜하네, 언제까지 곰팡내나는 보수의 늪에서 허우적 댈런지..."
22,바다싸나이들              ,카운트다운 1:17:00
23,I LiKE u.              ,이게 민심인걸 어쩌겠냐 왜구들아
24,karennamm              ,이틀에걸쳐 10시간짜리방송다시봤네요: MBC개표방송은거대한파티고훌륭한프레젠테이션이네요: 너무재미있고감동적이고다들챔피온같아힘이납니다: 감사합니다
25,은기              ,이낙연 의원은 말씀 하나하나가 다른놈이랑은 차원이 다르다.
26,김S              ,엠비씨 이번 개표방송 너무 좋았어여~ 다음 선거때도 기대할게요~ 의미있는 오프닝 영상도 감사합니다 ^0^
27,OLDGAMER              ,문대통령님 정권 친북이람서??? 잘난척 하더니 강남사는것들은 간첩을 뽑아주네?? 통곡당빠들 앞으로 이빨 꽉 깨물어라 ㅋㅋㅋㅋㅋㅋ
28,치치chichi              ,박혜진 아나운서 진행 뭐야 너무 잘해 자주 나오셨으면 좋겠다
29,이태산              ,부산 사하을 제정신 이냐??조경태를뽑냐??대가리 는폼으로 달구다닌는줄 아니 생각 하라구 조물주가 만든거야 ㅄ  들아
30,for him              ,다시 봐도 재밌다. 스트레스 풀고 싶을때마다 봄ㅋㅋㅋ
31,Im탁규              ,"21대 국회에서는!!     공수처 즉시 실행바랍니다!!!        <새누리-신천지   통합당!!!>은    그동안의 모든 부정과 비리를 수사하여 주시기 바랍니다!!!       미통당 전.현재 국회의원들의 재산형성과정,  검찰, 언론 유착관계를  철저히 수사하여 주사가 바랍니다!!!         악의 뿌리를 이번에야말로,  반드시 뽑아주시기 바랍니다!!    이번에도 언론의 편파보도가 너무 심했고 악랄한 허위소문이 많았습니다!     선거때마다,  경상도 지역의 노인네들 카톡에 유포하는~~""민주당 공산당, 문재인 공산당, 간첩, 중국조작, 조선족 공작, 문재인 간첩~~ ""등등  유언비어를 퍼트리는 미통당의 공작세력을 뿌리뽑아주시기 바랍니다!!! (카톡을 수사하여,  선거때마다 나오는,  미통당의 선거개입 여론조작 세력을 철저히 수사하여 주시기바랍니다!!)"
32,MS1969 LEE              ,대구경북은 시궁창의 구더기도 미통당이름표만 달면 당선되는곳 근데 부울경도 마찬가지네
33,Alice IW              ,7:50:00 🕺댄스배틀💃
34,*푸강*              ,1:17:03출구조사 카운트다운
35,대한민국              ,민주당 통합당 눈치보지말고 마음쓰지말고 하고싶은거 다해라 그러라고 국민들이 해준거다 뜯어고칠거 다 뜯어고치고 하고싶은거 다하라
36,Kate Kang              ,"코로나 종식, 경제 안정, 검찰 및 언론 개혁, 남북 경협, 출산율 증가. 문재인 대통령님 임기 남은 과제도 만만치 않네요. 국민들이 힘을 실어드린 만큼 힘내시길 바랍니다!"
37,yunhyejun              ,꼴좋다 한나라당 후손들
38,Kingkong              ,미래통곡당 일본으로 꺼져라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
39,SPG              ,1:17:03 출구조사 카운트다운 시작
40,기묘한tv              ,1:31:32
41,이지웅              ,1:00:08 창녕 우포 늪 이 곳은 지난 2012년 아빠가 보고 싶다는 아들을 학대해서 숨진 곳이라능 >_<
42,처출              ,10:12:48
43,이블TV              ,이번엔 mbc kbs sbs셋다 출구조사 틀렸네 실제결과 더민주 180석 미통 103석 민생 0석 정의 6석 국민 3석
44,이지웅              ,1:00:46 신안 천일 염전 이 곳은 장애인 노동 착취를하는 안 좋은 추억이 있는 곳이라능 >_<
45,고딩의우주인              ,대구사람들은민주당이많이도와주는걸로아는데 왜민주당안뽑음?
46,불출이              ,강원도 아직 정신 못차렸네!~그러니! 영원한 변방소리 듣지!~영원히 첩첩산중 비탈소리듣고 살아야지요!
47,S J              ,☁️
48,Ted Jang              ,한일전에서 한국이 승리했나요? ㅋㅋ댓글에 토착왜구들 바들바들하네 ㅋㅋ
49,이창성              ,1:37:502:00:303:55:053:40:006:12:31
50,양갱님              ,전원책 아저씨 어디로 이민가나요
51,가비은              ,와 이번에는 엠비씨가 CG 열일했네ㄷㄷ
52,작은언덕              ,MBC 예측이 제일 불확실하구만. 오차가 심해~~
53,C.Y. Cho              ,코로나가 문제가 아니라. 미통당 안 뽑을 국민의 머리가 좀 자란것이다. 미통당을 도데체 뽑을 거리가 있나?
54,7080 Olle              ,Mbc 수고했습니다.오직 진실만이 사명이고 언론이 나아가야할 방향이다.
55,Joshua              ,"미통당 대구 부산 강원..이제부터 지켜보겠슴돠""~"")/"
56,이도경              ,3:16:08 에 뉴스에 나온 부분 있네요! 판단은 알아서 하시길
57,Kk K              ,자 이제 거짓말 하는 언론부터 사법처리 합시다거짓유포하는 언론 법적 처벌해야합니다오죽하면 개표mbc가 검색상위일까 그만큼 거짓언론은 거르고 싶다는 거겠지
58,A. L.              ,저 권투중계식 소리는 듣기 거슬리는듯; 비주얼로 끝내는게 적당한거같습니다.
59,톨스또씨관측              ,전역사에 이렇게 기록할껍니다. 4.15 21대 국회선거 (더불어민주당(문재인) VS 미래통합당(박근혜)) 정당 붕권 격화 시기!당이 너무많아서 기억도 안남 ! 이런 국회를 어떻게 믿지요 ?
60,유네삼              ,유리지갑에게 행운이 따르길..
61,지나가던인간              ,동쪽 서쪽 중간에 경계선끄어서 살자
62,빅볼              ,민주당  승무원  출신  아짐씨가   최소  표차로  171표로  무소속 현역  의원한테   고배를  마심.   공천도  잘못됐고본인  후보자도   설래발 치고  자빠지는 선거운동  보면서이러면  안됀다   했지만  결국  나가리  됨.  정신들  차렷~
63,김성회              ,동물들이 국회를 잡을 일은 없다!!
64,빅볼              ,대구경북은    내또불고    이번  총선에   가장  적은  표차로  탈락한지역구가  인천  미추홀  리름도  희안안  동네야    야권 미통닭대가리들이분열해서  쉽게   이길수  있는  지역을?
65,아중이쵝오              ,모냐
66,지원              ,꼼수로 미래한국당 만들더니 꼴 조오타~그러기에 황교안이는 한치 앞을 못 내다 보능겨~국민 무서운 줄 알아야지~
67,Heung W Lee              ,"조국 저격수/ 주광덕,나경원,김진태,박순자김종인 선대위원장,황교안 떨어지고 김남국,김용민,최강욱은국민의 선택으로 당선되었다."
68,김재길              ,민주당은 개헌 꼭 하시고 경제 제대로 좀 하세요  홍남기 김상조 반드시 짤라야 합니다  윤떡검놈은 반드시 장모 마누라와 함께 무료급식소에 넣으셔야 하구요
69,Im탁규              ,"이번에도 엄청나게  야당을 돕고 선거개입하려 든,    정부와 대통령에 편파보도 일삼은, 조선일보와 채널A  연합뉴스의  부정보도,  샅샅히    그동안 언론이 유포했던 모든 말을 수사하여 주시기 바랍니다.    언론이 스스로 햇던 모든 말에, 책임지고 처벌받는 사회가 되도록 하여 주시고,    친일 언론, 조중동이  반드시 폐간되기를 강력히 요청합니다!!!!이번에도 인터넷상에서,  정부와 대통령에 온갖 허위보도 와 명예회손을 일삼은,  친일 극우 유투버들를 모두 조사하여 처벌하여 주시기 바랍니다!!!~~  (신의 한수, 공병호,  모두 수사하여, 강력 처벌해야 합니다. )  나라와 대통령, 국익을 해치는 악랄한 보도를 한 ,  모든 언론사 강력하게 처벌하고, 폐간하여 주시고,   일부  공직자와 교수, 언론인, 국회의원들,   미통당의원들이  한통속이 되어  그동안 유포했던 모든말의 허위사실 유무를 조사하여,  강력히 처벌하여 주시기 바랍니다."
70,서준원              ,영호남 지역당들 제발꺼져라.내가족이다 찌거주지말고 제발 일할사람좀 뽀바.아님 나처럼 투표하지말든지.
71,남박공섭              ,이번여당압승은 방송국 신문    경찰  검찰  관공서를  완전 장악한게 주요했다
72,서준원              ,한달이 지났는데도 감동이넹.
73,Cllaudi 9              ,엠비씨 달라졌구나 칭찬하며 가족과 개표방송 봤습니다. 덕분에 지루하지 않고 깔끔한 방송 잘 봤어요. 너무 수고 많았습니다.
74,더블준우              ,아니 댓글 뭐야 우리나라 누구뽑든 지적은  왜함? 여기 지금  독재 대통령 선거야?그냥 경상도는 미통당 많이 뽑는거고 나머지는 다  민주당 뽑는데  뭐이리 불만이야?전국이 다  파래야 그래야돼? 그럼 재미없을껄?
75,Im탁규              ,"지금은  윤석열 개검이  검찰이랍시고,   하는일 없이 버티고 있어 제대로 조사되지 않고 있으니,  스스로 자정할수 없는  검찰을,  법무부 장관께서 전면수사하여, 즉시 개혁시켜 주시기 바랍니다.    그동안  국민의 고통을 가중시키고  부당하게 기소하지 않고 덮어둔, 검찰의 울산고개고기 사건,  윤석열 장모 사기사건 등,   검찰이 기소하지 않고 은폐한,  검찰의 비리사건들을,  모두 전면 재수사 하여 신속히 검찰기능을 자정시켜 주십시오!!     국민의 뜻을 받은  정부의 자정기능이 역대 그 어느 정부보다 강력히 시행하여 주시기 바랍니다!!!  이번에 mbc에서 보도한,  채널A이동재와 윤석렬의  , 선거개입건도 전혀 수사되지 않고 있습니다!!!!.   정말로 언론은 썩었습니다!!   언론은 증거,증인 있어도 죄를 철저히 수사하지도 않고,  채널A가 그대로 유지된다면, 참으로 용서가 안되는 것입니다!  강력한 처벌 바랍니다!!!       그리고,  검찰기자 의 존재가  검찰과 언론의 유착을 일으키는 주범입니다!!!   즉시, 검찰 기레기를 모두 없애주시기 바랍니다."
76,개꿀딱따구리를-천연기념물로              ,ㄹㅇ 경상도는 나라의 암이다
77,럭셔리뽀대              ,더불어 민주당의원님내들~나이먹고 아직도 여.야당 할꺼없이 국민들 세금으로 먹고살려는 자들이 많아보이내요.정치맛보면 마약보다도 강하다고하죠.나이 많은 일부의원이나 기타 여.야당에 나이많아서 거동불편하고 말도 잘못하는 의원들 몇몇있더라고요.지금까지 국민들 세금으로 먹고살았어면 됬잖아요.아직도 부족하나요.국민들 그만 우려먹고 국회의원들 정년을 정하세요.세대교체를 위해서 말입니다.
78,하하하하              ,개웃기네 ㅋㅋ 개표방송
