,ID,Comment
0,산적한라산              ,"호위무사 너무 티난다 ! 최성 너! 찐짜 눈탱이, 밤탱이  한 방 이미 날렸다! 법보다 주먹이 가깝다~ 문재인,최성 수준이하~"
1,슈퍼리치              ,"하여튼  멍청한  지지자들  진짜 많다.. 싸가지 말투?  웃긴다.. 도대체 어떤정치인들 좋아하길래.. 최성은 100% 실수였다...이재명시장님  열받을만 했어... 고양시민들은 최성이 이런사람인걸 이번에 처음알았을듯... 이재명시장님은 원리원칙 관료 다. 행정에 있어서 칼같은분 , 매우 똑똑하다.. 당신들 지지하는 사람은 어떤지 모르겠으나, 나는 이런 행정가,정치인  매우 좋아 한다.."
2,이재국              ,자료를 봐야죠 ~ 문재인삼디프린트 (쓰리디프린트라고 읽습니다^^) - 문재인할줄 아는거 단하나 허허 사람좋게 웃기!^^
3,이종례              ,걱정되네요. 나이도 있는데 퇴근때마다 쐬주 마신다니...광화문대통령! 현실적이여야지요. ㅋㅋ광화문가면 저녁에 만나겠네.
4,강혜숙              ,문재인의 대부분의 대답은 준비되었다네뭘 준비하셨는지 그걸 알고 싶은건데..구체적인 답이 없네요
5,ppp ha              ,컨디션 안좋은 상황에서도 안지사  잘하네요  응원합니다
6,Inom              ,"최성은 담부터 좀 빼자.지겹다. 자기만의 생각을 마치 당사자가 가지고있는 생각인 양 왜곡하고 논란거리도 안되는 병역,  전과문제는 나올 때마다 물고늘어지고.. 지지율 1%도 안되는 사람은 좀 빼자. 시간이 아깝다."
7,no name              ,누군가 그랬죠... 겉만 보면 문재인 후보. 자세히 보면 이재명 후보👍
8,강혜경              ,문후보는 검증됐다는건 도저히  받아들일수 없다 자신의 아들특혜 의혹이 계속 제기되고 있는데
9,hyun jung              ,"문재인 후보자님은 계속 공공기관 공무원 수 늘린다고 하는데...  4차 산업혁명 이후에는 행정직 공무원 더 필요할까요??    연금문제는 어떻게 해결하나요?   당장은 일자리 수 늘겠죠  하지만,,   몇 십년 후에 재원은요???     이재명 후보자님의 1차 기본소득 방향이 훨씬 낫다고 봅니다."
10,lee yasol              ,최성  왜나왔니 짜증
11,이승민              ,"답답네요 11한번의 경선토론을 보면서 4후보중 문후보정책은 생각나는게 없고 생각할수록 비논리적인 모순 투성이로 들리네요 지지하시는분들 본인의지라고 보지만 아이러니하네요하지만 군계일학 한분 계시네요 복지,안보,경제,외교등 이재명성남시장님 제가 외우고다닐정도로 탁월하십니다 특히 경제관념은 대단할정도네요 존경합니다"
12,신은태              ,실천하는 이재명이답이다 🖒
13,스쟁이              ,문재인 진짜 답답하다;; 말귀도 못알아듣고 얼타고;;  젊은 대통령 뽑자
14,M Y              ,이런 토론회형식 정말 좋네요 그러나 마지막토론ㅠ 네후보님들 수고하셨네요 정권교체 필승!!
