,ID,Comment
0,최두리              ,악작같이가서2번꾹찍을겁니다 비겁한인간들
1,사나이              ,니네들 아무리 그래도 이번에는 무조건 투표한다 칭구 지인들 손잡고 투표할꺼야~~
2,박증선              ,늘 잘보고 있습니다 애국우파님~~♡♡
3,김봉현              ,이사람 완전 돌아버린것 아닌가나이먹은사람들보고 투표하지말라고 완전 빨갱사상을 가지고있네
4,ᆞ애국자              ,종북좌파  기생충을 박멸 하기 위해서  모두 투표 합시다.
5,한지윤              ,2번찍을  노인에게  투표방해공작  선거법위반 맞네요!
6,이현규              ,도대체 이런 놈이 국회에서 법을 만들겠다고.그럼  평생 먹에살리던지  신서한 투표를 히지말라고  ?허헌  넌 끝났네. 끝났어.
7,비전과리더십              ,"현장 민심은 준엄합니다. 오늘 재래시장과 상가 등에서 상인들은 한숨 쉬며, 하루를 버티고 있다고 하였습니다!"
8,유철남              ,자유 우파 홧팅~^^
9,K TH              ,4.15 나라위해  온국민이 국민의힘  투표로  보여줍시다   못살겠다 갈아보자 정권심판 우리손으로 한다
10,Lae j              ,전국민이 다 투표장에 갑시다
11,홍경란              ,70세 이상은 15일  하겠다고 주변들 모두 그렇게 말하고 있던데요
12,Sooni Lee              ,사악한 정권니네들이  그런다고안할줄  아냐?나쁜놈들   15일에  꼭 투표  하러  갑니다  화이팅
13,저인간              ,미친... 이게 자유냐공산당 이지
14,성상현              ,"반드시 투표하겠습니다.코로나에 굴복하면 안됩니다,모두 투표장으로모입시다."
15,ᆞ청송              ,종북좌파로부터 대한민국을 살려내야합니다.무조건 둘째칸에 꼭 찍어야 합니다.
16,항진리              ,"얘네들은 윤리도덕, 도리, 양심 체면 등 인간 심연의 기본을 이르는 요소들은 찾아볼 수 없다. 목적을 위해선 수단과 방법을 가리지 않는 좌파들의 속성이 드러났다."
17,hjmyungs              ,민주당이 철들었나 어른공경도 다하고마지막 투표가 될지도 모르는데그래도 투표는 해야지
18,amin hoo              ,비례는 자유우파에게
19,이문영              ,"속보입니다...민주당 강남구 병의 출마한 ( 김한규 후보)가 노인 폄하 발언 논란이 되고 있다.김한규는 노인은 코로나 감염 위험이 있으니 선거를 하지 말라고 하였다고 합니다.이번 총선에서 ""민주당은"" 오만과 막말을 퍼붓고 있다...그러다가 역풍 불러서 개망신 당하지 말고 당장 제명하라."
20,박원섭              ,속지말고 투표 합시다
21,신영식              ,파이팅수고하세요
22,김도끼              ,솔직히 문제앙 문정부 더불당 보다코로나 전염이 100배 천배 약하다국민분들 무조건 투표꼭 합시다~!!!
23,김종국              ,부모님들과 주위 어르신들 꼭 모시고 투표소로 갑시다 좌파는 부모도 없고 어르신 공경 절대 없습니다 저들은 목적이 있으면 부모도 버릴수 있는자들 입니다
24,이일호              ,"그럴리야 없겠지만, 죽을 때 죽드라도 투표해야 우리 후손들에게 자유대한민주주의를 물러 줄 수 있습니다. 투표해야 삽니다. 이게 나라입니까???"
25,안개              ,선거법위반미래통압당빨리검찰에신고하세요
26,JH Woo              ,동성애와 사회주의 싫으면 무조건 두번째칸 찍으면 됩니다 !!!!좌파들은 어쩔수 없어요 숨쉬는 것 빼면 거짖 ㅡ여당  180석이라니 국민들 어떻게 생각하십니까웃기는 말 아닙니까
27,joomin114              ,이 정부가 잘 한 것은 코로나 대응밖에 없다. 그것도 메르스 사태때 얻은 교훈을 통해 시스템을 구축해 놓은 덕이지 이 정부가 잘 한 것이 아니지 않은가? 우리 국민은 왜 이리 쉽게 잊는 것일까?
28,이문수              ,더불어 망해야될 당.. 민주당만 빼고.. 2️⃣번..4️⃣번에 🚫투표합시다~👍🏻👍🏻
29,e사랑              ,민주당이 180석 운운하며 뻥을 치는 것은 밴드웨건효과를 노리고 하는 거짓말입니다. 빠짐없이 투표하면 우리가 이깁니다!📯🇰🇷
30,Heung W Lee              ,거짓말 하지마라.그런식으로 국민을 호도해서 정권을 잡아서 두 전직 대통령을 무상급식소..
31,김영언              ,코로나 바이러스 보다도 더 나쁜  정치 바이러스를 없애기 위해 꼭 투표 해야 합니다
32,에스라성환              ,역쉬 !! 호로 자석들!!너희들 늙으면 치매 병원 안가도 된다..집에 누워서 똥칠하거라!!
33,DalKyoung Park              ,이거 선거판을 뒤엎을 수 있는 대형사고다!모든 수단을 동원해서 국민들에게 알려야...
34,이월표              ,우파는꼭이기시길바랍니다화이팅입니다
35,유카리스              ,장대표님 브라보!
36,민뚜              ,어차피 민주당 실언은 중요 기사화되지도 않을 겁니다...깨끗해야할 선거가 차명진 망언기사로 시작해서 민주당 망언등 선거유세가 아닌 서로 물고뜯는 진흙탕 싸움판인 정치판이 안타깝습니다...진정 국민을 생각하는 정치인은 단 한명도 없는건가요???
37,2345pok              ,꼭 투표합시다 저희 어머니와ㅜ아버지는 투표완료
38,Byungdo Lee              ,이번엔 잠잠하다 싶었는데 이번에도 그냥넘어 갈수 없는 민주당의 '노인폄하' 발언일세.얼싸구나 좋구나~ 유촉새가 선창 하더니 꽝!
39,승리승리              ,우
40,박푸름              ,정말 어이가없어 말이 안나오네요. 죽어도 투표에 참여하겠습니다.  자유민주여!이런 몰상식한 정권을 바꾸지 못하면 우린 미래가 없습니다.
41,홍정표              ,3월하순부터  미래통합당의세가 약해졌다고 하는것은믿지못하겠다
42,사거리              ,죽일놈들.
43,김윤수              ,이건 분명 선거법위반입니다미래통합당은 반드시 짚고넘어가야합니다
44,황토가좋아              ,미통당마지막기회다 핵폭탄급사건이다 사냥개처럼 물어뜾을 용기나있는지?의문스럽다
45,나동운              ,제나이40대후반..이나라를 누가.어떻게 지켰습니까? 우리 아버지세대들이.월남파병.중동현장 독일등등..진짜 말할수없을정도로 지켜내고 이리 키워논판입니다..이런 잘짜여진.정말 잘정돈된 이나라에 좌파종북들이 배부르게 살고있네요....아버지께 전화한통 드려야겠습니다...
46,seek sky              ,강남 병 김한규 호보?노인폄하 발언!
47,방정례              ,통합당  반드시 조사하고 고소해서 설사 이번에 저 후보가 선출된다해도 퇴출시키도록 해주세요
48,Jin Eum              ,장준호 님늘 감사 하니다
49,무소유              ,진짜 도무지 이해가 안된다 아무리 좌우가 이루는 각도가 180도라지만어찌 이렇게 정반대일 수가 있을까 달라도 한참 다른 DNA왕짜증👹👹👹👹
50,김근남              ,막말의달인  더불당과 그 위성정당 아주사악한 정당입니다!
51,애둘러서              ,개판 ..김한규 .는 선거법위반 ..똑떨어짐.세상에 이정도 까지...
52,김종화              ,"아직 선거도 끝나지 않았는데, 벌써 180석 이상 얻은것 처럼 국민에게 위선과 오만을 부리고 있는 이 정권이 또 얼마나 스트레스와 절망을 안겨줄 지 화가 치민다."
53,어지럼증 공황장애 .단양장수한의원              ,얘가 크게 한껀했네.정동영  유시민 못지않다
54,천하태평              ,"뻔뻔하고 사악한 당 그래서 ""민주당만 빼고"" 찍자고 칼럼까지 쓰지 않았나 정답이라오"
55,심점순              ,이래도 더불당을 찍어야 할까요 견제할 수 있도록 통합당으로 가야 합니다
56,이종성              ,역시 좌파들의 속내음을 알수 있네요 건강을볼모로 투표를 못하게 하는 수법이네요 낭 드신 어른들 모두 투표하세요..
57,박찬석              ,정동영이 말한마디 잘못하여  좃나발 불었는데 허 허 통합당을 도와주네 ㆍㅎ ㅎ
58,강에스겔              ,더불어민주당 180석과 정의당 등 범여권정당 까지 합치면 200석 훌 쩍넘는다. 개헌하고 독재사회주의국가로 가자 ! 미군철수시키자 !  검찰도 이젠 좌파검찰로 만들자
59,물망초              ,"왠지 느낌이 않좋은데이번 선거 매우 중요함서울, 수도권 최소한 50석은 건져야지그 이하면 다 죽는다뭉쳐야 하는데  뿔뿔이 헛터져 싸우고 있는대운명의 날이 다가오고 있다피를 토할것인가? 축배를 들 것인가? 단 하루 남았다~~~파이팅"
60,조안나              ,감사합니다~~
61,박싸나이              ,ㅋㅋ 아이고 퍽이나 큰 건 터졌다.....
62,인숙박              ,지랄!~~
63,김푸른봉인              ,"미통당도 노인펌하 한다고 후보자 사퇴하셨는데... 민주당도??어제 유튜브 보니, 민주당 유시민이 이번총선에서 180  석 자신한다고 하던데요."
64,Park Daniel              ,후안무치한 놈
65,Hair White              ,노인  폄하는 TV에서 방송안하니국민모르는데다된밥에 제명으로  재뿌리는 당이어는당 ?
66,피터김              ,"이번 선거 못 이기면자유도 미래도 없다.""나는 공산당이 싫어요"""
67,아문재              ,ㅋㅋㅋ 좌빨이란 정말
68,이사랑              ,나라를위하고 후손들을 위해서할아버지 할머니 꼭 투표는합시다 저도76세인데투표하러서울집에 왔습니다🙏🙏🙏🙏🙏🙏🙏
69,손태성              ,너는 기막힌  모르고 있었는데 알려주셔서 눈물이 하염없이 나도록 고맙다 그런데 너 선거법 위반  했는데 어덯게 해야할까요
70,김경옥              ,항상감사해요
71,돈김여름              ,밥성차려줘도 뒤업는 통합당 ...... 으이구
72,dds Kkl              ,통합당 지금 당장 적극 공세로 이 나쁜 놈을 선거법위반으로 검찰에 고발 조치하라!
