,ID,Comment
0,Jason Choi              ,의원님 아버님께서  덕을 많이 쌓으셔서...의원님이잘되신거 같네요....그시절 제자들 육성회비대신내주시고 점심못먹는 아이들 돌봐주다니...대단한분이셨네요....
1,eun hye Jo              ,박경미  의원님  욍팬  넘 좋아요사랑합니다   만인에 대변인  똑순이응원합니다  팬클럽 하고싶어요나의 우상!🌹
2,김경웅              ,외모도 목소리도 참 고우시고 기품이 느껴집니다. 나라의 정의와 번영을 위해 계속 애써주시길 부탁드립니다!
3,이광석              ,"민주당에서 여자의원들, 전부다들 보석같은신데. 그중에도 의뜸이신 의원님 건강하세요. 건강하셔야 좋은일많이 하십니다."
4,베네스터              ,민주당에 똑순이 ~~~언제나 응원합니다
5,sa rang              ,심쿵할 정도로 너무 아름다우시네요. 지적인 면에서나 외적인면에서나 ^^ 나씨와 비교된다능 ㅋ
6,흳동이              ,이쁘다가 아니라 아름다우시다.
7,사람인              ,우와 굉장히 이쁘시네 기품이 느껴지네요
8,김구              ,의원님 볼수록 든든해요 💙
9,임보집사              ,서울대 수학교육학과 ㄷㄷ
10,윤맘들              ,박경미의원님 우리지역구 의원이신데 총선에서 꼭 승리하시길!!!!!!!
11,실루엣은영화배우              ,그냥 자랑스러운 국회의원 이십니다... 어쩜 수준미달의 자한당 의원들과 이렇게 대비가 될까요~  응원합니다! 화이팅!!!
12,RU              ,정말 외모도 지식도 심성도 완벽합니다. ^^  외모만 있고 지식과 심성이 꽝인 N모씨와는 너무나 ㅎㅎㅎㅎㅎ  십년 후쯤 대선 출마하시면 찍어드릴께용 ㅋㅋㅋㅋ
13,남우상              ,너무 다재다능 하셔서 고민이겠어요멀해도 잘하실것같으니그리고 너무 아름다우심  ^__^
14,虎淚              ,동안 미인
15,주리엣              ,정말 민주당에는 보석이 많다ㅎㅎ박경미의원님~ 진짜 멋지신분이었네요^^우연히 국감에서 똑부러진모습 보고 정말 눈부시다고 생각했는데 외모와 마음씨까지 정말 다 갖추신 분인듯^^
16,Dolomite              ,못하시는게 뭔지.. 박경미TV 자주 업로드하주세요.
17,September Passion              ,또랑또랑!!어른께 죄송한 표현이지만 전달력이 좋으셔서 말씀에 진심이 더욱 와닿아요..ㅎㅎ고맙습니다 의원님!!
18,웨스턴웨스턴              ,선하고 슬기롭고 의롭게 보인다.민주당엔 저렇게 능력과 자질을  갖춘 의원들이 많은데왜 자유한국당 엔 단 한명도 정의로운 의원이 없을까?
19,Ross Yi              ,3년전 얼굴이 크게 변치않아서 의정활동이 잘 맞으시는 것 같아서 얼마나 다행인지.또 민주당에 있어서 얼마나 다행인지.수학적으로 서초와 더불어!
20,성수고              ,파이팅 ㅎ 국민들을 위해 정치해주세요 박경미의원님파이팅
21,송지현              ,이게 민주당 수준이다ㆍ자한당 절대 못 따라옴ㆍ이은재ㆍ전희경ㆍ나경원ㆍ김현아 봤냐?
22,조명균              ,희망이 라는단어 현시대 꼭 필요합니다박미경 의원  고맙습니다.
23,Ho Ho              ,최순실박근혜 때문에 국회의원 다 없어졌음 했는데 이런분도 있구나...
24,이광석              ,보석과 같은 박경미 의원님. 응원합니다.
25,박YOLO              ,전희경하교 너무 비교된다~~~
26,덩모자              ,진짜로 이쁘시네요
27,이석현              ,이쪽에는 왜 박경미의원님  같은분이 없죠?품격과 인품이 고루 갖추시분같아요
28,JunoVision              ,와 ~ 누님 사랑합니다~! 존경합니다~!^^ 완전 팬입니다~!^^
29,gudang kim              ,꽃중년이심..........
30,TheLjk0325              ,언제나 응원합니다
31,Al Pachino              ,내외면이 아름답다.
32,이윤경              ,굿.응원합니다.
33,DOMOK KIM              ,"민주당 똑순이 의원님의 질의 및 발언을 유심히 듣고, 배우려고 노력하는 사람입니다. 항상 응원합니다. 정파를 떠나서열심히 일하시는 의원의 모습을 보여주셔서 감사드리며, 다음 번에도 의원으로 또 만나고 싶습니다."
34,kr2030              ,진짜? 65년생 맞아요? 미모도 아름답고 기품도 있으시네요  좋은횔동 기대합니다.
35,모젠드              ,항상 응원합니다~~~!
36,정아따              ,우아한 박경미의원님 ~작년 연말에 국회의사당 의원회관에서 뵙게되서 영광이였습니다~다시 또 뵙고 싶네요^^너무 아름다우시고 분위기 있으셨습니다~^^박경미의원님~화이팅!!!항상 응원합니다^^
37,민경일              ,"공부좀열시미할껄 ㅠ, ,ㅠ"
38,Test King English              ,컴퓨터 게임하고 있는 아들의 노트북을 망치로 내려 쳤다는 대목에서 정말 감동 받았습니다. 사실 일반인들은 그정도 화가나면 망치로 아이 머리를 내려치는게 보통이기 마련인데 머리가 아닌 노트북을 내려쳤다는 순간 짠했습니다.
39,김승일              ,다음 총선 어디에서 출마 하십니까?
40,정신일도인사불성              ,박경미tv구독 많이 해주세여^^
41,박준형              ,박경미 의원 응원합니다 나베년의   거짓을 당당하게 밝히는거 참 보기 좋았습니다 계속 불의에 대응하는 모습 계속 보여주세요 약자에게  귀 기울이는
42,이엔              ,박경미 의원 응원합니다
43,왕기다려              ,홧팅하세요^^
44,atlacpi              ,"박경미의원님 오늘따라 화면빨너무 잘 받으세요.화사하고, 이쁘게 나오시네요.22대 국회도 여의도에서 꼬~옥 뵈어요.나경원은 낙선유력하니까.. 다음국회에서는 박경미의원님의 전공을 살려고 교육관련 법제도 정비, 좋은 법 만들어 주세요. 화이팅~!!!"
45,너나가라쓰시마              ,팬입니다....화이팅
46,YR K              ,미모와 지성을 겸비한 정치인 중에 한분이시죠 ^^ 이런 정치인 몇명 없습니다.
47,딸기우유              ,너무 지적인데 귀엽기까지..이번에 팬됐어요^^
48,이채연              ,민주당에서  국민들 위한  정치  계속 부탁드립니다.
49,김선아              ,박경미의원님 의정활동  하시는거보면서  참 믿음가고  진심이 느껴져 응원하게 됩니다.
50,최유진              ,우리 서초을 비타민 박경미의원님 응원합니다 지지합니다 이젠 우리 서초을 더불어민주당 후보시지요화이팅👍💙❤
51,Sandra Kim              ,박의원님 꼭 총선때 성공하식 기원합니다.  오하이오주 애거 응원합니다 👍💙💙💙
52,김대희              ,어쩜 이렇게 지적이고 말씀도 잘 하시고 이쁘실까? ㅋㅋ
53,최국인              ,박경미 의원은 교육부장관이 걸맞를것같네여~^^
54,Daniel Youn              ,야당의원과 너무 비교된다.
55,alberto Ha.              ,박의원님~사랑합니다!
56,할리라이프              ,눈이 선하다~  너무좋앙~~♡♡♡
57,ᄏ재동이 눈크다              ,다스뵈이다 보고 놀러 왔어요. 마저 다 보고 정주행 하겠습니다.  서초 그 험지 이지만 화이팅 하세요.좋아요는 필수.
58,장용찬              ,"차후 여성대통령 됏으면 좋겠습니다   진심으로 지지 합니다 박경미 홧팅""♥"
59,jamesjoyce              ,어머니께서 인덕하십니다!!
60,동백이              ,어머님 참 따스하게 느껴져요.
61,잘하자              ,항상 응원하고 있습니다.^^
62,김시현              ,누나 싸랑합니다~~
63,레아리나              ,"이 분, 진짜 소리없이 강해요.박경미국회의원님♥"
64,金㟣山              ,엄마가 마치로 부쉬는 것은 아들에게 더 충격이 되겠습니다.
65,테루미              ,우리나라에도 점점 사람같은 국회의원들이 생기는구나~ 박경미의원님 그동안 몰랐었어요 최근 영상보고 반해서 박경미의원님 영상만 찾아보는 중 입니다 사람이 논리적으로 옳은 말씀만 하시니  모습까지도 너무너무 예쁘게 보입니다~  서초을 인간 같지도 않은 동네에 이번에 출마하셔서 떨어지셨는데 더 큰일 하실 기회가 있을 거라고 생각합니다  박경미 의원님 화이팅~~^^
66,Hyung chul Ju              ,여자 국회의원중 진 입니다~~^^
67,노란장미              ,박경미 의원님 외모도 목소리도 고우시고 의정활동도 정의의 편에서 항상 잘해오신걸로 기억합니다 꼭 당선되셔서 좀 더 나은 대한민국을 만드는데 기여해주시기를 바랍니다
68,peace allways              ,이런 좋은 프로를 이제야 보게 되다니... 박경미 의원님은 천재였구나.
69,구름              ,몇장 사진은 간미연 닮으심 ㅋ
70,Shunzi Han              ,박경미 의원님 정말 예쁘시고. 목소리도 방울 울리는 그청아한. 목소리 바르게. 생겼고 미인이시다. 응원 합니다 똑순이 힘내세요 화이팅😁👍👌💖💔
71,My khe Beach              ,이번에 박경미의원이 떨어진건 정말의외다서초구가 이리 무지하다니!!!..박성중이가아파트값 올려준데? 올릴수잇을거같아? 세금이 확줄어드나? 한번봐보자..
72,개혁이답이다              ,참신한 박경미의원님 🤗👏👏👏👏👏👏👏👏👏👏💖
73,김상철              ,속상하네요 응원마니했는데   힘내세요  서초사람들 ㅉ  ㅉ
74,김종선              ,생긴대로논다더니만의원님최고입니다👍.반듯이승리하실겁니다✌.박경미화이팅✊
75,서승현              ,누님 안되신게 너무 안타까워요..ㅠ
76,이상한삼형제              ,노트북 망치.  ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
77,장재환              ,하나도 버릴 게 없는 말솜씨 속이깍찬 알틀한 정치인 지금까지 하던대로 국민을 위해서 일해주세요
78,김필선 소화데레사              ,기분좋아지는 의원님이세요~~ 응원 드려요^ㅡ^
79,ᄋ상재              ,박경미 의원님 잘 할겁니다그리고 믿고 있어요
80,Pro Saint              ,노트북 부실 때 보고싶다. 캉캉
81,정철윤              ,응원합니다.
82,전현정              ,저런 부모님이 계셨으니 이런 분이 나오시는 거죠.....나** 의원과는 너무너무 차이 나네요~~ 품격의 박경미! 화이팅!!
83,아수라발발타              ,망치로 노트북을 ...ㄷㄷㄷ
84,동기호테              ,21대 총선 낙선자 중에서 가장 아까운 분.꼴수들의 지역 강남에서 역대급 득표를 하고도정말 아깝게 낙선하셨습니다.
85,Pro Saint              ,공감능력을 잃어버린 채 뒤쳐져서 끝내 일베가 되고 조주빈 같은 괴물이 되지 않는 것만 막아줘도 공교육이 할 일을 다 하는 것 같은데 마지막 말씀이 와 닿네요.
86,강연석              ,인천입니다. 서초구 지인들에게 지지부탁했는데 모두들 벌써부터 박경미후보를 적극 지지하고 있답니다. 필승 기호 1번 이수진! 꾸벅^&^
87,동혁              ,누나 끝가지 가요.
88,쑥돌              ,박경미 의원을 적극 응원합니다. 꼭 당선돼서 서민들을 위한 강남좌파 의원이 되시기를!
89,소봉섭              ,멋있는 여자.
90,한수민              ,학원에 비싼 수강료를 내고도 수강생의 능력향상까지 책임질의무가 없다고 말하는 강사의 말을 들으면서 수강해야할때 너무 화가납니다
91,임정환              ,"서초.. 지켜보겟어.. 너네땜에 박경미 못보기만 해봐,,"
92,이선근              ,너무나 아름다운 박경미의원님  항상 건강하시고 행복하세요 사랑합니다
93,Thithuyoanh Tran              ,허경영 공약은 떳다방 공약이 아닙니다3..40년전 부터 내건 정책입니다허경영 국가혁명 배당금당 찍으로 갈랍니다
94,정대현              ,꼭 승리하세요
95,윤태승              ,본방송을시청하는초등생학부모님들꼭부탁드립니다거두절미하고자녀를위한다면이지성에이트탐독하시고자녀에게이해가가도록100번이라도
96,앙앙              ,"이세상에 완벽한사람 없다, 아구리 딱쳐라 .국개들 다 똑같다 ~~~~~~~~~~~~ 앵무새.구관조 똥개이다."
97,good비러브드              ,수학발전에 대한 의견 있으세요?
98,이선근              ,너무 예쁜 박경미의원님  똑똑하고 민주당에없어서는안대는디  너무수고하셨읍니다  항사응원하겠읍니다
99,Steve Choi              ,정말 잘 하세요 정치   인상 관상입니다   모당 보세요
100,져니              ,앗 똑순이 박경미의원님 반가반가
101,윤태승              ,아름다운장미꽃은가시가있나없나
102,j j lee              ,자한당에는 어떻게 이런 사람이 한사람도없냐?이런인재가 국회에 많아야 나라가 산다
103,돈미새              ,65년생이라고? 나는 뼛속까지 오른손잡인데... 저누나 져아...
104,Daniel Youn              ,This too shall pass.
105,오지마삼겹살              ,육성회비 못 냇자구 밧닷 맟앗는데
106,김완중              ,다음총선때 홍준표를 꼭꼭꼭 자한당후보로 추천해주세여 자한당을폭망켸해주시.ㅣㅣㅣㅣ
107,ssjjyy229              ,와 졸라 참하게 이쁘고 섹시하게 생겼네요몸매도 이쁘네요 목소리도 이쁘고 은근 다리라인도 이쁘네요
108,조화선              ,더불어 비례대표들은모두가 총앏받이들.?
109,Justin Song              ,에잇 재수없어. 너무 완벽해서....
110,simon yoo              ,사상이문제다..ㅉㅉ
111,채규환              ,더불당 탄핵해야
112,simon yoo              ,목에방울달고..적화대로들어가라...더불어공산당들..
113,팔팔공산              ,국회의원이나라걱정해야지뭣이학고ㅡ다닐때공부잘했다는자랑하는게야요
