,ID,Comment
0,햇살              ,대통령님 의 활짝 웃는 모습을 보고 싶습니다      총선승리~🙌👐~~~🙌
1,Chulkyu Park              ,갈수록 대구시장과 신천지와의 관계가 의심스럽습니다. 고인 물이 썩는 것처럼 수십년간 일당독재를 하니 비리가 얼마나 많을까 의심스럽습니다.
2,박제민              ,반드시 총선승리에 필승해야 합니다열린민주당도 지지하고 응원합니다 문재인 대통령님도 끝까지 지지하고 응원합니다
3,파란하늘joo              ,촛불이 승리합니다깨시민이 승리합니다반드시 이깁니다💙💙💙💙
4,RU              ,창당식엔 참석 못하지만 열혈지지합니다. 토왜박멸! 기레기 살처분! 신천지 색출! 썩껌 분리수거! 뉴라이트 추방!
5,SEMPRE 4U              ,민주당 지지하고 응원합니다!!! 열린민주당도 지지하고 응원합니다. 문재인대통령님 존경하고 사랑하고 지지하고 응원합니다. 고맙습니다~~~  건강하세요~~~~
6,namsangene james Nam              ,세계의 지성  대한민국 촛불국민 당신을 응원합니다 대한민국.... 짝짝짝.....
7,김길라              ,민주당 홧팅입니다.문재인대통령님 최고당 힘내세요 응원합니다❤
8,Sunny J              ,그 신천지 아파트건도 언론에 바로 알리지 않고 며칠 묵혀서 발표한거라 합니다. 이정도면 신천지뿐 아니라 대구시도 압색하고 수사해야 하는거 아닌가요?
9,Subura K.              ,"정의당을 열린민주당으로 대체합시다! 조국가족 인권학살에 침묵했고 또한 문통 탄핵이나 입에 올리는 심상정과 검찰개혁에 반대한 금태섭이 싫은 분만 열린민주당에 정당투표 몰빵하면 됩니다. 득표율 3%이상이면, 한 곳에 투표하지 않아도 사표가 되지 않습니다. 열린민주당이 창당 전 이미 비례 지지율 5%가 넘었네요. 열린 캐스팅 후보공천제로 직접 민주주의의 서막을 올린 열린민주당을 적극 지지합니다."
10,Stephanie Hwang              ,정의당 비례후보의 면면을 보면 절대 함께하면 안됩니다. 문재인정부의 성공만을 위해 앞만보고 갑니다
11,황희택              ,민주당 화이팅 제발 요번에 친일 없는나라 응원합니다 문제인 대통령님 화이팅
12,외눈박이눈              ,정의당 징글 징글 하네
13,와일드독              ,그냥 열린 민주당에 비례표를 몰아줍시다. 주제를 모르는 상정 아줌마에게 불벼락을 내려줍시다.
14,y쥐닭잡는 미니하운드              ,최태민 최순실 이만희집단 이번에 척결해야 대한민국이 바로설수있다 역적척결 적펴청산만이 나라를살린다
15,여단미              ,"지역구는 더불어민주당.비례는 열린민주당. 대구시장= 신천지, 간부 아닌가 하는 의구심이 가득 드는건 나만의 생각일까요?임대아파트 지어서 신천지교인들 걍 줬구만, 저런 아파트가 10여곳 된단는 ㅠ ㅠ"
16,Youngah Hyun              ,문재인 대통령을 지키기 위해민주정권을 유지하기 위해열린 민주 시민정신으로열렬히 응원합니다.
17,그입좀다물어라              ,비호감 정치인 1위를 달리는 안철수당보다 지지율 낮은 정의당은 이번 총선에서 5석 미만으로 망할게 필연적입니다
18,초여름              ,"문재인대통령님, 민주당 화이팅~!!!"
19,윤군호              ,우리문재인대통령님 조국법무부장관님 끝까지 지지하겠습니다 대한민국국민이여 끝까지 식으면안돼요 조국법무부장관님 가족분들 깨어있는 국민은 끝까지 함께 하겠습니다
20,이수리              ,모두 뭉쳐서 하나로 만들어 비례도 모두 민주당으로 와야 합니다 뭉쳐서 이겨야 합니다 이기자 민주당!
21,연해자평              ,신친일당에게 비례를 뺏기면 나라도 대통령도 국민도 뺏깁니다.
22,깨시민              ,정의당 대안 열린민주당👏👏👏
23,sky love              ,앞으로 남은 제 인생에서 자기들 기득권을 위해서 미통당의 도우미  역화을 하겠다는 미통당 개쓰레기 넘들에게 줄 표는 단 한표도 없을 것입니다.
24,박은경              ,월요일 스트레이트에서 윤석열 장모 얘기 방송한답니다  화요일이 기대됩니다  수고하세요
25,지금              ,지역구는 1번 민주당비례당은  열린민주당 결정했음💙👍415한일전 💥토왜박멸
26,JINiINi              ,언알바님 진심이 느껴집니다. 1개월 후엔 다 크게 웃을 수 있길!
