,ID,Comment
0,김경옥              ,이탄희후보님 더 많은 지원을 해주세요. 김용민님 나가주셨네요. ^^ 감동~~~♥
1,정코스모스              ,임종석비서실장님 연설 넘 감동입니다이탄희판사님의 간절한 마음이 느껴집니다 용인시민분들 훌륭한 이탄희판사님을 꼭 선택해주세요응원합니다~~^^
2,이루              ,임종석 실장님의 연설은 대박이네요
3,바람꽃              ,김엄마 결국 가셨군요 ㅎㅎ몇일동안 김범수 홍보? 하시더니이탄희 판사님 꼭 당선 되셔야 합니다.일베에게 국민의 대표를 맡길순없죠
4,smkoreapl              ,양승태의 사법농단을 밝혀낸 정의로운 이탄희 전 판사님을 응원합니다...
5,김광현              ,"임종석 전 실장님의 연설에 감동 받았고, 눈물 흘렸습니다. 고맙습니다. 이탄희 후보 지원합니다."
6,제이원              ,왜 임종석 임종석하는지 알겠네요 이탄희 화이팅 👍👍👍👍👍👍👍👍
7,dz piao              ,"이탄희 국회의원님, 나중에 검찰총장, 대법원장 하셔야죠..."
8,silkriver비단강              ,저도 우리가족 모두 두시간 전에 사전투표하고 왔습니다.아주 긴 줄이 있었고 차분하고 조용하게 그러나 즐겁게 투표를 즐기고 있었습니다.민주당의 지역구 150석이 눈앞에 보입니다.
9,팍스로마나              ,전대협의장출신..연설이 가슴을 울리네 ㅠㅠ
10,SA L              ,이탄희후보가 승리하길 응원합니다.
11,아침햇살              ,진짜 이탄희가 당선되어야 한다. 저런분이 의원이 되야지...
12,포도연준              ,"와, 임종석님 멋있다~~이탄희 후보님 파이팅"
13,정영수              ,김용민님.수고많습니다이.후보에게.큰도움이.될것입니다 우리.소중한.후보를.국회입성하도록.김용민님께서.10%이상지지율을.끌어올려.주세요
14,distworth              ,이탄희 후보님 국회에 입성 하기를 축원합니다 ~!!!!!
15,Indigo Ocean Lespo              ,이탄희가 일베 나부랑이한테 진다면 용인의 수치다.
16,Mia Kim              ,이탄희후보 정말 훌륭한 사람입니다. 우리나라 사법개혁에 선봉장이 될 것입니다. 용인 정 주민 여러분 꼭 좋은 선택 부탁드립니다.
17,정의봉              ,이탄희 꼭 국회들어가서 사법농단 사법개혁 완성해야 된다
18,이기원              ,이탄희를 국회로...사법개혁을 이탄희가 주도하길...............홧팅
19,이붉은꽃              ,김용민 tv 최고!~~이탄희 후보 열렬히 지지 합니다~~~
20,gumsukangsan eum              ,능력도 중요하지만 선한자가 국회에 들어가야 국민을 보살필줄안다 이탄희 화이팅~~~~~
21,장성민              ,이탄희 후보님 꼭 승리하셔서 왜구 똥버러지들 치워 주시길 응원합니다 힘내세요 👍💯
22,김lisa              ,이탄희 판사를 꼭 국회로 보냅시다
23,김lisa              ,이탄희 화이팅♡♡♡♡ 결코 물러서지 말고 압승으로 이기자~임종석 감동 연설♡♡
24,최선률              ,주옥순씨 고마워요 당신으로인해 세상정치에 눈뜨게 해줘서너님이 엄마라는게 괴물같아.그래서 나는 깨어난 시민이 되었지.
25,정성문              ,김용민 정말 믿을맨 ....이탄희 정말 오늘 명연설 감격하고공감되어 뭉클 해졌다  이탄희 승리를진정하게 기대합니다
26,hyejung              ,지역구는 틀리지만 저도 함께 외칩니다이탄희! 이탄희! 이탄희!이탄희의원님으로 국회에서 뵙길 반드시 바랍니다!!
27,mongi8016              ,꼭.당선되길 바라는 분  이탄희판사님! 김용민님 감사해요
28,함께사세              ,이렇게 진흙속의 진주를 구분 못한다면 용인시민의 한계겠지요. 조금이라도 현명하다면 선택하지 않을 수없겠네요
29,소노야              ,일만 잘하는줄 알았는데..연설 또한 잘하시네...
30,luv evergreen              ,이탄희 같은 분이 국회에 들어가야지...지고 있다는 게 말이 안됨
31,김인애              ,이탄희~ 마니 찍어 주세요~국회 국산화 합~시당이탄희~ 꼬옥 찍어 주세요~사법부 개혁 합~시당
32,김갑로              ,일베족을 국회에보내서는안됩니다 용인유권자들은현명한 판단을 하실것입니다사법부의 개혁을 위해서도이탄희을 여의도로 보내주세요
33,코코데이              ,적극적인 응원 감사합니다.   꼭 민주당 압승을 위해  사전 투표 해주세요.
34,주식창과방패              ,임종석님 연설 정말 좋습니다
35,아리랑              ,이탄희와 주옥순 파트너....도대체 이게 비교가 되냐? 그런데도 박빙이라니...용인 정 시민들!!! 제발 정신 차리세요. 그리고 이탄희를 꼭 국회로 보내주세요
36,홍현미              ,우리 정의의  이탄희 후보님   꼭 당선되어야 합니다
37,송재영              ,용인정 지역구 주민입니다.   어제 이탄희 후보님 투표했어요.  뉴스브리핑 잘 듣고 있어요.
38,김승배              ,이탄희 !이탄희 !지지합니다 !
39,김선아              ,이탄희 후보님도 통크게 이겨주세요~
