,ID,Comment
0,young lee              ,이탄희후보님 연설도 잘하시네요꼭 당선되실꺼에요
1,관상이과학?              ,"김용민 선생님!그렇지 않아도 이탄희,표창원,임종석님 ㅠ보고 팠는데... 고맙습니다"
2,비온뒤              ,타니타니 이탄희지지하고 응원합니다꼭 국회입성해 많은 쓰임 당하셔야 할 분이라서 기꺼이 한 표 드립니다화이팅 화이팅 화이팅 타니타니 이타니
3,배성남              ,이탄희후보님 꼭 국회로 입성바랍니다
4,pet shop boys              ,용인 시민 여러분 이탄희 판사는 무조건 당선되어야 합니다. 검찰 개혁 이제 조금씩 길이 보이는데 그다음에는 사법부 개혁 차례입니다. 이탄희 판사같은 분이 꼭 필요합니다. 용인시민들 밭을 갈아주세요 이탄희 화이팅!!
5,마리아              ,표창원 의원님아쉽지만 ᆢ고맙고 감사드립니다이탄희 후보자님 건승을 빕니다 🇰🇷🇰🇷💐
6,바이올렛              ,표창원의원님의 빈자리가너무 속상했는데훌륭하신 이탄희후보님이오셔서참 다행입니다민주당 홧팅!
7,ehubffjk yihg              ,이탄희 후보님의 지역구가 아니라서 마음이 아프네요. 저희 가족 9표는 이탄희후보님께 투표할수 있는데. 부디 힘내셔서 꼭 국회에 입성하시길  바랍니다!! 이탄희 후보님 화이팅!!
8,elvis072 kim              ,이탄희 꼭 일베를 꺾어주세요!!과업 입니다ㅋ
9,마리아              ,이탄희 후보님 멋지세요 👍
10,soeun pak              ,이탄희 후보님! 국회의원 되시어 꼭 사람 국회로 만드시기 바랍니다.
11,Jh Yang              ,검찰과 채널a의 개수작을 보고도 미통닭그네에게 표를 주는 인간들은  어떤 인간들일까?
12,힙합팬 이창민              ,표창원이 인정했다면 그런거다. 이탄희를 지지합시다!
13,은숙문              ,역쉬 더민주를 찍어서 국회로보내야 해.그래야 나라가 안정되고국민이 안정과 행복으로평화롭게 살수 있을거라는 샹각이다.더민주는 언제나 옳고 멋있어.더민주 홧팅.
14,1kyung2 Kim              ,내가 언젠가 대한민국에 다시 돌아갔을때 표창원같은 사람이 우리대한민국의 대통령이었으면...
15,sui zoo              ,이런 후보를 두고 주옥순이 웬말입니까!!
16,grace lee              ,이탄희 화이팅 훌륭한 젊은인재 국회로보냅시다품격없는 쓰레기는 아웃이탄희 필승 화이팅
17,kiki wai              ,용인정 지역구 정말 개 부럽다표창원 이탄희같은 사람이 연이어 지역을 맡으려 하다니 정말 복 받은 지역이네
18,hyngsu Kim              ,표창원 의원님 참좋습니다 고생 많이하셨구요  앞으로도 응원하겠습니다 이탄희후보자님 꼭 국회의원이 되세요 축복합니다
19,Jh Yang              ,이틴희 후보와 대결하는 김범수는 주옥순과 관계된 일베인데.  뽑아주는 인간들은 도대체 뭔 생각으로 사는지.....
20,Kim Park              ,민주당 일할맛나겠습니다모두 멋진분들만  출마하네요👍🙏통합당이랑은 너무 비교되네요
21,김미숙              ,이탄희는 우리나라의 보배입니다표창원의원님 너무 아쉬워요~~늘 응원합니다^^♡♡♡이탄희를 국회로 꼭보냅시다~~~~~~
22,관상이과학?              ,"김용민 선생님!그렇지 않아도 이탄희,표창원,임종석님 ㅠ보고 팠는데... 고맙습니다"
23,김지태              ,표창원형아  고마워요  아쉽구요 ㅠ
24,김또또              ,"이탄희판사님, 주옥순과 일베놈을 꾸짖어주세요."
25,Chryssalid              ,표창원 의원님 반성하는의미에서 열심히 도와주셔야 합니다
26,liberal values              ,이탄희 후보님 응원합니다~^^
27,Peter Schulte              ,표창원 의원이 국회에서 최선을 다해서 일할때 용인시민들이 자부심 넘쳤을 것입니다. 이제 이탄희 의원이 사법부 개혁에 최선을 다하는 모습을 보게 될것입니다. 기대합니다
28,장영진              ,이탄희후보 ~~멋지심니다 ~~사랑함니다~~응원합니다~~✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌
29,빛나리              ,이탄희 후보님  연설들어보니  국회의원으로서 자질이 충 분합니다  눈물겹게  감동받았습니다. 존경합니다 꼭 당선되시어 지역사회와 나라 발전에 크게 기여하시길  축원합니다
30,관상이과학?              ,"김용민 선생님!그렇지 않아도 이탄희,표창원,임종석님 ㅠ보고 팠는데... 고맙습니다"
31,늘상상              ,이탄희 후보승리기원합니다꼭승리하여 표 창원 의원의 아쉬움을 해결하고 더 나아갑시ㅏ
32,시민사랑              ,반민특위법정은 이번총선이다이탄희후보님 꼭 국회입성하셔서 국회수준좀 높여주세요^^♡
33,김대연              ,용인정 이탄희후보님 경쟁자 미통당후보 일베다 무조건 이겨야한다.
34,lee향초              ,이탄희후보님 화이팅!!!!!   표팡원의원님 꼭 이탄희후보님을 적극 지지해주십시요!!!!!
35,外国人労働者              ,자한당 후보들은 상식적이지 않는 사람이 너무 많은거 같다. ㅡ.ㅡ
36,이용수              ,이탄희란 인물은 손쉽게 입서하는게 맞다.하지만 힘겹게  올라가서 그간 정치인의 모습을 만들어가는것도 좋다고본다.개인적으로 좋아하는 표창원이 너무 중앙정치에 빠져 지역관리를 제대로 못한건 아쉽긴하다.
37,관상이과학?              ,"김용민 선생님!그렇지 않아도 이탄희,표창원,임종석님 ㅠ보고 팠는데... 고맙습니다"
38,sook w              ,이탄희 후보님 꼭 국회에 입성 하세요 이길겁니다 화이팅💙💙💙💙💙
39,이도경              ,이탄희 후보님꼭꼭 이기실꺼예요일베같은 인간에게 지지않으실것입니다
40,관상이과학?              ,"김용민 선생님!그렇지 않아도 이탄희,표창원,임종석님 ㅠ보고 팠는데... 고맙습니다"
41,김현숙              ,10일투표했읍니다!아들이표창원님 이탄히님광펜입니다화이팅☆☆☆☆☆
42,어머나              ,이탄희후보님 역시 정의가살아있네 국회로  보네지요 많은 지지 부탁드립니다
43,Jisoo K.              ,"양심있고 정의로운 정치인 표창원 의원이 ""탄액 반대 의원 명단 공개""로 촛불시민과박근혜 탄액을 압장 섰듯..이젠 이탄희와 단합된 시민이 함께  사법농단 개혁을 이뤄야 할때다.. ""법앞에 평등한 국민의 권리""를 위해 앞장설 이탄희를 국회로 보내자~"
44,강영희              ,이탄희판사님♡♡♡꼭 국회의원되셔서 국민을 위해서 일해주세요~~존경하는 표창원의원님  꼭 좋은정치인에 모습 다시 보여주시길 기도합니다
45,김영숙              ,가자!!가자!!이탄희!!!표창원 만세~~~
46,눈꽃              ,표창원의원님 아까비
47,Haemee Yoon              ,이탄희 후보님 응원합니다표창원의원님 함께 응원 해주시니 힘이 납니다아자 아자 화이팅!!
48,박류영원              ,용인정 시민 여러분~~ 이탄희 후보자를 국회에서 보게 해주실 꺼죠?~ 반드시 그렇게 해주세요~~ 용인시 뿐만 아니라 전 국민을 위하여~!!!
49,NO japan              ,"표창원 의원님, 넘 좋아요. 이탄희를 국회로 !"
50,사랑감사풍요              ,이탄희 후보님 꼭 국회입성 하시길 바랍니다!표창원 의원님도 화이팅!
51,기분좋은날              ,일 잘할수있는  이탄희를 국회로  보내자 일베를 지지하고 옹호하는  ×××를 절대  찍으면 안된다
52,소봉섭              ,"뇌에 구더기 벌레가 가득찬 일베충 옹호론자, 지딸을 왜구에게 바친다는죄옥순과 결탁한 김범수를 누르고 꼭 승리하세요."
53,이승철              ,표창원의원님 저는 당신을 기억합니다 경찰대교수직을 던지고 mbn방송에 나와서 권영진과 국정원댓글 사건에 대해서 강하고 논리적으로 얘기하며 답답해 하던 당신의 모습을 기억합니다 총선 불출마 선언을 했을때 정말 실망했었습니다 남겨진 우리는 어떻하라고 도데체 왜? 라는 한탄과 함께.... 그런데 지금 표의원님의 모습을 보니 의원이 아니더라도 우리와 함께 하는 방법은 많이 있겠다는 생각이듭니다 유시민이사장님 처럼... 앞으로 좋은 활동 부탁드립니다
54,김현숙              ,걱정마세요 빵빵하게열심히후원하구선전하구할깨요!화이팅 화이팅☆☆☆☆☆
55,조때부자조때부자              ,용인시 여려분 이탄희를 국회로입성하게해주세요 꼭승리합니다 이탄희 화이팅항상응원할게요
56,적폐청산              ,4.15 한일전 필승. 이탄희 꼭 당선되시길 기원합니다.
57,한진아              ,이탄희전판사님이자 후보자님 넘 좋아요 꼭 입성하세요 정의롭게 사람을 지역구 주민들의 한마디 말에두 귀기울여주세요 근데 저는 그곳에 살지 않지만 늘 응원합니다 화이팅!
58,minhee lee              ,김범수는 안 된다. 제발 국민 수준 보다 떨어지는 인간은 국회의원 만들지 맙시다
59,관상이과학?              ,"김용민 선생님!그렇지 않아도 이탄희,표창원,임종석님 ㅠ보고 팠는데... 고맙습니다"
60,이순주              ,표창원  의원님 방가방가요 의원님 같은분이 국회에서 일을 해야지 이건 아닌듯 싶어어요 다음에 꼭다시 국회서 보길 바래요 더불어 민주당 홧팅홧팅~~^^♥
61,snow flower              ,"이탄희 후보님 , 민주당의 큰 자산이 되실분이죠. 현명하고, 정의로운 일꾼이 되시리라 믿습니다. 응원합니다 !"
62,김은례              ,이탄희국회의원 꼭 당선!! 광주 광역시 에서 화이팅!!!!
63,초이크리스탈              ,용인은 복도 많네~정의로운 표의원을 국회로 보내더니 이탄희후보같은 훌륭한 젊은 정치인이 있으니
64,이진석              ,김용민이 작심했네 ㅋㅋㅋ 일베를 국회로 보낼 수는 없지.
65,박선식              ,이탄희 국회 입성하자
66,신현민              ,이탄희 응원합니다.
67,로스트              ,표창원 의원님 !!진짜 딱 4년만 휴가드립니다!!반드시 다음에 나오셔야합니다그동안 정말 수고했고 감사했었습니다ㅜ
68,McGuyver baek              ,He should be elected for the national assembly. He represents  his people for  the nation's future.
69,Dae seong Kim              ,내가 사랑하는 표창원 의원님. 감사합니다.그리고 청출어람 이탄희 후보님.일베한테 이탄희를 잃을수는 절대 없습니다.제발 이탄희 후보 국회로 보내주십시오. 감사합니다. ㅠㅠ
70,소봉섭              ,초대 공수처장 표창원을 강력 추천합니다.
71,LLKH              ,표창원 만세
72,최원석              ,탄희 홧팅
73,나비희              ,이탄희 뱃지타니? 국회ㄱㅏ즈아~!!!
74,당보리              ,꼭! 승리하세요.
75,coreano Lee              ,"이탄희 많이 밀어 국회로 보내고 검찰,언론개혁 꼭 이룹시다.좀 정상적이고 상식적인 나라를 만들어 후손에게 물려줍시다."
76,Lucky              ,표창원 의원님! 힘 보태 주려고 오셨네요^^  이탄희 후보님 힘 많이 받으시고 꼭 당선되시길 응원합니다!
77,방아타령              ,민주없는 민주당!시민없는 시민당!이들이 꺼리는 일은 열린민주당이 합니다.
78,푸른솔잎              ,역시 표창원의원님!!! 22대에 다시 나와주세요!!! 이탄희후보님 화이팅!! 용인정 화이팅!!
79,김에스더              ,이탄희  감동입니다 화이팅!!!
80,남순희              ,꼭 당선 돼야 합니다♥
81,신영희              ,표의원 보니 좋네요
82,k kim              ,표창원 불출마는 너무 아쉽다쫌만 쉬었다 다시 나오시길~~
83,김려원              ,이탄희후보님  응원합니다
84,Yg Kim              ,응원합니다.
85,m프레디              ,이탄희 화이팅조금 만 더 힘내세요~~
86,0라니              ,이탄희 후보님 멀리서 응원합니다.^^
87,정세희              ,이탄희 후보님 💙표창원 의원님 핫팅~💙💛
88,방아타령              ,비례는 기호 12번 열린민주당!
89,Su min Kim              ,응원합니다.. 표의원님 같이 ..일잘하시는 분이 또 출마 안하시는게 너무 안타까움..
90,1234 3344              ,둘이 닮았어 ㅋㅋ 존잘러들그리고 다음 선거때 꼭 컴백하세요 표창원의원님
91,굿다욧              ,표창원 의리있다♥♥
92,do it              ,용인 넘 부럽다~💕
93,seung hoon Jang              ,이탄희 후보님 지지합니다 반드시 좋은결과 있을겁니다.
94,snowman하얀눈사람              ,공직자가 갖출 품격있는 인물! 이탄희를 응원합니다 ❣🌼🌼🌼🌼
95,요조아              ,비례 더불당 찍을거에요. 이탄희후보님  화이팅!♥♥♥♥♥♥열린민주당  찍을까햇엇는데... 열민당 찍을분들  많을거같아서... ㅎㅎ
96,시나공              ,이탄희여~사법개혁 입법을  부탁 하노라.
97,J K              ,연설에서 진심이 느껴진다.
98,Kyunghee Lee              ,일베한테 추격당하다니이게 용인인가 싶어 화가 날 정도입니다
99,Realistic Optimism              ,이탄희 후보자님 꼭 당선 되세요~!!! 화이팅!^^
100,권현이              ,이탄희 후보님 진정 꼭 승리하시길바랍니다~~
101,돈사냥              ,보내기 너무 아쉬운 표창원의원님 지원 유세 감사합니다. 이탄희의원님 꼭 당선되시길 바랍니다.
102,별**              ,두분  ~반갑습니다~~환영합니다
103,ghdi ghdi              ,"이탄희 후보님, 화이팅~!!정의는 승리한다!!!💙💙💙"
104,Nicole              ,표창원의원님과 이철희의원님은 다르네요~~ 표의원님 감사합니다.......  부디  자연인으로 돌아가셔도  만사형통하세요♡♡♡♡
105,Hyunhee Kim              ,이탄희 후보 힘내세요!!!   사법부 개혁의 선봉 이탄희를 국회로 보냅시다~
106,Sungsook Sung              ,표창원 의원님 곽상언 후보님 부탁합니다 👍😀👏👏❤🐣
107,조동혁              ,민주당화이팅..
108,빡시              ,그렇다고 나오면 답있나?그럴수록 남아서 싸워주셔야지 난 이해를 못하겠음
109,Gyunghee Kim              ,"이탄희 후보님,제발 좀 이겨줘요."
110,Wari gari              ,의리남 표창원 💙
111,깐순이와 깐돌이의 여행일기              ,이탄희 후보자님반드시 승리하십시요 응원합니다
112,김소영              ,표창원의원님 이탄희후보를 도와주셔서 감사합니다 이탄희후보가 표창원의원 처럼 일하실분입니다
113,h yoo              ,표창원의원님 꼭 다시 국회로 오시길 기다리겠습니다!
114,이효성              ,아름다운 모습 기억하겠습니다----
115,녹색하늘              ,캬...뭐하나 빠지는게 없으시네요...감동적입니다..
116,앵두이뽀              ,표창원~~홧팅
117,Sandra Kim              ,이탄희 국회로 갑시다. 표의원님 감사합니다 👏👍👍😍😍😍💙💙💙
118,Jihyun baek              ,이탄희 후보님!!!!  화이팅
119,배인철              ,"이탄희(판사님), 꼭 승리하시기 바랍니다표창원의원님, 반갑습니다~"
120,김숙자              ,우와!! 표창원 의원님 감사합니다  우리 이탄희 판사님 도와주세요 비례는 열린 민주당 핫팅!!!!!!!
121,박만윤              ,이탄희  홧팅.
122,Jeho Chang              ,"존경하는 표창원 의원님 반갑습니다!이탄희 후보가 당선될 거라 믿습니다. 감히 일베충이 대한민국의 국회의원이 되면 안 되니까요.이탄희 의원님, 사법개혁(그것이 곧 국민을 위한 것)을 위해 열심히 일해주세요. 화이팅!!!"
123,ᄏᄏ설탕둘프림둘              ,이탄희는 꼭 국회로~~
124,JUNE KIM              ,이탄희 후보님 꼭꼭 국회에 가시길!!!꼭오꼭 그렇게 될거예요!!
125,orgarnic cotton              ,제발 제발 제발..이탄희 국회의원 꼭 보고싶습니다!
126,shanti shanti              ,이탄희 반드시 국회들어가 큰일하자 사법개혁 이뤄내자
127,h yoo              ,이탄희!이탄희!이탄희!
128,한결              ,적극 지지합니다 꼭 당선 되어야합니다 표창원 의원님 다른큰일로 곧 뵙길요
129,김용현              ,표의원님 나오셨음 나이스하게 재선 하셨을텐데 너무 아쉽다
130,k august              ,이름만 들어도 미음이 따듯해지는 이탄희 후보님 화이팅👍👍
131,nameda2011              ,용인  타니타니 이탄희 타고   가즈아~~~
132,박수아              ,와~~표창원 이 못 된 인간.저는 정치 안한다고 불출마를 하더니이탄희는 정치하라고 지지연설 응원을 하네.이탄희 꼭 당선돼서 표창원 보란듯이 검찰개혁 잘 해내면 좋겠네.표창원은 21대 국회 잘 하는거 보면서 배아파 떼굴떼굴 굴러라~^^
133,하얀눈꽃송이              ,이탄희 화이팅.....응원해요꼭 국회로~!!!!!!표창원의원님 불출마 너무 아쉬워요다시 돌아오세요....
134,안쏘영              ,이탄희 후보님 기대합니다
135,vida an              ,4년전 표창원을 뽑았던 동네가 어딜 가겠어요? 용인정을 믿습니다~
136,ky j              ,지금 비상 입니다60대 70대 투표 하겠다 90% 입니다지난선거에서 60~70대 여론조사에서 투표하겠다는 분들과 실제 투표율 거의 같게 나온 반면 30~40대는 20%가 실제 투표에 안나왔습니다  투표 꼭 해야 합니다
137,hannah leehan              ,이탄희후보님을 꼭 국회로!  가자!💙💙💙💙
138,봄가을              ,용인정 시민들 부럽습니다~이탄희후보 당선 확실!!!!!!!!!!
139,김포일              ,코로나초기 미통당말을 정책으로 받아들였다면 지금 어찌됐을까요 끔찍합니다 미통당은 정부운영능력이 없다는것을 이제 우리는 알게됐습니다 문재인 화이팅! 민주당 화이팅!
140,그날은온다              ,우리지역구 이탄희 후보님 지지합니다
141,삥 콜              ,민주당의 선봉대 표창원전의원님 국민을 위해서 어디선가 힘써주시길 바랍니다
142,강연화              ,😭
143,Choi단테              ,이탄희후보님  무조건 승리!!!김범수씨는 극우에 일베 그런 물건들은치우고 가야합니다
144,okiiiii03              ,승리하세요
145,Amy K              ,표창원 의원님 고생 많으셨는데...정직한 이탄희 후보님 꼭 국회로 보냅시다품격있는 두분이 민주당 정치인으로서 저희를 대표해주셔서 감사합니다 😊☝🏼💙☝🏼💙☝🏼💙
146,아싸라바아그라              ,더불어 공산당은 북에서 나오면 100% 당선된다
147,권세훈              ,이탄희후보님의 인성과 진정성...정말 훌륭한 분이십니다.용인시민분들 시민을 위해 일하시는 분을 국회로 보내주세요.
148,갱년기할매              ,이탄희 후보 간절하게 응원합니다
149,이영주              ,이탄희 지지 합니다
150,정업섭              ,꼭이겨야 합니다  힘내세요   홧팅!
151,리베카              ,이탄희판사님 꼭 꼭 당선되셔야 합니다. 괜히 눈물이 나려고 하네요^^
152,양숙경              ,이분은 꼭 국회로 가야합니다. 간절히 소망합니다.
153,임동심              ,표창원 의원님감사합니다우리정의로운 이탄희후보님 꼭  국회의원 당선되서서 국민에 대변인이되주새요
154,장세례              ,수원이지만 사전투표도 했습니다만꼭 끝까지 힘내셔서 승리하십시요!이탄희 파이팅!👍👍👍👍👍👍👍더불어민주당 더더불어시민당 가즈아~~~~~
155,k.h j              ,표창원 의원 목소리만들어도신뢰가 팍팍..!!
156,준쓰84              ,이런분들이 모인다는데에 민주당의 가능성을 봅니다. 꼭 당선 되시길 바랍니다.
157,조국사랑              ,이탄희 후보님 용인정 시민분들  꼭 투표해주세요. 간절히 부탁드립니다.
158,안쏘영              ,용인 좋겠다  부러비
159,k kim              ,이탄희 후보님 화이팅입니다반드시 입성하시어 사법개혁 반드시 이루어 냅시다
160,신학샘              ,아 한국 가고싶다
161,가윤 asmr              ,이탄희 후보님! 꼭 국회로!!!!
162,DoubleIPA              ,"한발짝 멀리에서 힘을 보태주신 김용민님께 감사드립니다. 정말, 늘 감사드립니다."
163,이성훈              ,용인정 주민분들 반드시 이탄희를 국회로 보내야 합니다.
164,Tedd Kim              ,용인정으로 이사가서라도 이런 분 밀어주고 싶다! 진심으로~~
165,김민선              ,이탄희전판사를 존경합니다
166,Kevin Lee              ,일베 김범수 뽑아주는 것들이 말이 되는 것들이냐? 이탄희 떨어지면 이번 총선 과반 어렵다고 본다. 끝까지 더불어 더불어 뭉쳐서 꼭 압승 가자.
167,김하늘              ,"이탄희  의원님  꼭 승리 하십시요 .  민주당으로  떳떳하게  승리해서  돌아 오십시요 ,"
168,나그네              ,이탄희 표창원의원이 지원한다표창원이 있는한 무조건 당선이다
169,binbanjin              ,용인정은 좋겠다... 질투가 날 정도네.
170,앵두이뽀              ,이탄희후보님~가즈아 국회로홧팅
171,개혁이답이다              ,이탄희 후보자님 ᆢ꼭~국회 입성하셔서  표의원님  몫까지 잘해주시길 바랍니다  응원또응원합니다 🤗👏👏👏👏👏👏👏👏👏👏💖
172,brilliant so              ,이탄희 후보 꼭 국회로 보내 사법개혁 완수하게 해주세요. 이탄희 후보 앞에 탄탄대로를 깔아줍시다~~~
173,박정아              ,법원 개혁하려면 이탄희가 필요하다!!!!
174,정재민              ,후보님  지지하고 응원합니다.용인 시민 여러분  꼭찍어주세요.
175,정Maria              ,이탄희홧팅!!!!!!!!!!!!!!
176,h yoo              ,이 탄희를 국회로!= 사법개혁=공정한 재판=건강한 판사
177,김숙자              ,확바꿉시다 나라와민생을위해  일할수있는  지역구 더불어 민주당 비례는 열린 민주당으로 우리에 문대통령님께 힘을    실어줍시다
178,문신자              ,이탄희  화이팅  당선꼭됩니다표창원의원님 감사드립니다
179,김소영              ,용인정 이탄희 국회로 보냅시다
180,무무              ,용인 시민들? 미통당 후보 일베라는것은 아시나? 제발 일하는 국회좀보구삽시다 용인시민들 미통당후보 일베라는것을 다알아요 제발 똑바로보고  찍으세요
181,나만의세상              ,이탄희 입성하자~~표창원 다음 국회에 꼭 다시 나오라!!!!!
182,Cho Bingo              ,표창원님 역시 멋있으십니다진정 나라를 생각하시는분이런분이 있어 다행입니다 저도 한표라도 더 얻으려고지인분들께 문자로 호소하고있습니다 간절합니다
183,조진연              ,이탄희 이겨라  꼭!!
184,Ssuny KT              ,"이탄희 꼭 국회에 보내야만합니다.문재인, 조국에 버금가는 정직한 인성과 인격 정말 귀한 정치인이 되리라 보입니다.인간이 할 수 있는 것은 자기 인격을 제대로 닦는 것일뿐. 제 자리로 보내면 나머지는 그  결과로 옵니다. 문재인대통령이 보고계시죠."
