,ID,Comment
0,jack john              ,오늘날 침묵하는 목사들은 그래도 상관 없을겁니다. 복음의 전파가 다 막혀도 자신의 수입만 보장되면 달라질게 없겠죠.
1,이재민              ,이인영???돌았나???크리스천이  어땠다고???헛소리와 헛다리짚지말라!!!개소리말고  그  입 다믈라!!!하나님을 대적한다고???
2,le d              ,이인영 지금이니까 대형교회들 인정하는척 하지만공산주의 달성되면 모두 죽이려고 이를 악물고 있지 않은가김일성이는 인간이지 신이 아니다 태양신으로 모시면서하나님을 대적하는 너희들의 말로는 모르고 있구나
3,한명숙              ,반중친미가 진짜 보수.박원순. 이재명.  문재인.  이인영은 매국노.
4,이정은              ,교회를 향해 칼을? ㅋㅋ인간이 신을 향해 싸우겠다고? 하나님과 싸우겠다는 소리인데 어디 해보시지 누가 이기나. 이제 당신은 멸망에 길에 들어 섰습니다~~~ 잘가시오. 안녕~~
5,HS K              ,이런 상황인데도 분별 못하는 목회자 교인들에게 화가 난다. 그런 목회자와 교인이 아직도 있기에 민주당이 정신을 안 차리는 거다.
6,TRUMP NOW              ,이인영이 생각하는 건전한 교회는 동성애 포용 교회인가?
7,주상국              ,공산주의되면 목사님들이 숙청 1호 2두번째는 기독교성도님들 아닌가요 제발 정신 차려 주세요 목사님들 당신 가족이 총맞아 죽습니다
8,Youngjun Kim              ,"종교재편 이라니, 말도 안 되는 소리죠.그들에게는 심판이 남아 있을 뿐 입니다."
9,H.Y P              ,이 지경까지 왔는데 이 정권에 대해 침묵하며 심지어 지지하는 대헝교회 목사들은 과연 하나님의 사역자인가 마귀의 앞잡이인가
10,소나무              ,전광훈 목사님 정말 존경하고 미안하고 고맙습니다  왜 욕을하는지 나는 이해하고 남음이 있어요
11,포투나              ,한없이 교만하고 오안방자한 사람!!!교회가 일어서 교회의 목소리를 내야합니다!!!
12,한경희              ,주사파  이인영 건방이 하늘을찌르네~~너는북한으로가는게 정답이다~^정은이하고  잘살아봐라
13,권현택              ,"인영아?넌, 언제 뒈져도내손에 뒈질줄 알어라. 세상이 네손에 돌아갗줄아느냐?"
14,한미래              ,"이렇게 공개적으로  종교 탄압을 말하면서 적화를 추진함에도  불구하고, 아직도  이 종북주사파 정권에 동조하는  교회인들은 생각을 바꾸기 바랍니다! !"
15,김j.y              ,온건한기독교?몇몇교회 목사들 양심에  찔림이 없다면 가짜아닌가?
16,서춘식              ,공산국가나 사회주의가  주장하는더블어 잘 살자고 돈벌어서  국가에 세금을 많이 내면평화롭게  나눠주겠다는 정책이 이런것인지 궁금함니다동일임금 동일노동대통령도 국민도  동일임금 국회원도 동일임금 장관도 변호사도 동일임금외국인근로자도 한국인도 현재 동일임금화 되어가고 있고공무원모두는 최저임금으로  동일임금????
17,김샤론              ,크고 두려우신 하나님을 두려워하지 않는 이인영...주여! 주여! 주여~!하나님 우리 백성을 공산주의에 빠지지 않게 도와 주시옵소서!!!
18,Jasmine pearl              ,S교회서 예전에 이사람 교회로 초대했다던데 진짠가요? 친중 주사파 이인영이 크리스천이라니 😡이젠 대놓고 중국 공산당 종교탄압 따라하려고 하는것 같아서 소오름!
19,kpg ggp              ,대대손손 심판을 받으리라하나님께  도전하다니  너를 지켜보리라 하나님의  심판을
20,차용남              ,한국당 은 왜  입닥치고 가만있는가!   그래서 통일당이  눈물을   머금고   탄생된게  아닌가!분열차원이   아니라는걸 잘 알아야 한다.
21,김소망              ,이래도 교회가 안 일어날 건가? 이 정부 정말 심각하다. 이제 교회가 어떻게 하느냐에 교회의 존폐가 걸려 있다. 전국교회여 일어나자!
22,gsu irs              ,정신차려라 가짜 기독교 목회자 신도들자유가 없으면 종교도 없다종교는 사회주의 공산주의의 최대의 적이기 때문이다그런 이유로 악에축 시진핑도 교회 십자가를 불태우고종교 말살 정책을 펴는것이다
23,Jeshurun Kang              ,명백한 협박입니다. 기독교인들 총선 정신차려야 합니다.
24,조용수              ,저런발언을하는데도ㆍ교회목사들이몇만명된다면서ㆍ가만히계시는지평신도인우리들은도무지이해할수가없읍니다목사님들말좀하세요ㆍ왜침묵들하십니까
25,광야              ,자유대한민국에서공산화꿈꾸지마시고북으로가셩~
26,May Lee              ,나라가지금 지켜지고 있는 것도 자신들이 누리는 지위도 다 하나님의 은혜인데 하나님 앞에 인간이 이렇게 오만할 때 오는 것은 하나님의 심판 벆에없다
27,김성              ,이인영은 간첩입니다 교회는 간첩으로 위장한 지하조직입니다 문재인간첩을 보세요 천주교 다니면서 간첩중에 간첩 신영복을 존경한다고 했습니다 이인영이 다니는 목사는 주사파 목사입니다 북한이 총를 발사하면 도망가라고 가르친다고 합니다
28,산과눈              ,전국 교인들은4월총선에서민주당  후보들을 심판해야 한다
29,라다              ,"이인영, 이사람 참 이상하네? 선거 후에 사회주의로 간다는등,  그리스도 뭐 어쩐데요?이인영  붉은 사상인가?   요소요소에  빨갱 박혀 잇다는소문  헛소리 아니구나?  허기사 문,부터  종북주의라니?"
30,윤상중              ,적폐 !  더불어 민주당은 적폐촛불! 초심에 촛불이지 지금에 더불어 민주당의 적폐 는 국민은 원하지않는다 심판으로 결정될것이다
31,Paul Ju              ,"기독교는 교회가 나서서 뭘 하는 것인 줄로 착각하는 이인영,너희가 지난 2년 반 동안 한 일을 생각할 줄 알아야지뇌가 좌파라서 마비되었느냐너와 너희 집안, 민주당이 거름터로 변하게 되기를 바라는 모양인데그래 주둥이 놀렸으니 이제 그 거름터 모드로 돌입해봐"
32,말씀의은혜로              ,제 무덤을 피고있는 하만이죠
33,narrow road              ,공산의 영이 저들의 혼을 사로 잡고 있기 때문에저들은 젊을 때부터 평생의 일념이이 땅에 공산 사회를 건설하는 것이죠급기야 대한민국 온 땅이 좌경화되어저들의 꿈을 실현할 때가 되었음을이제 당당하게 선포한 겁니다저들은 자신들의 공산사회주의 이념이너무나 아름답고 공동.공산.공배를통하여 이 세상을 유토피아 같은사회로 만들수 있다는 환상영적으론 악령에 꽉 사로 잡혀 있지요스탈린.모택동.김일성이 실현하지 못하고실패한 공산주의를 저들은 아직도실현할 수 있다고 믿는 겁니다저 사람들의 인성이 나쁜게 아니라그 사상이 완전히 악령에 잡혀 있어서곧 죽어도 공산 이상사회를 제대로 실현할 수 있다고 믿는 겁니다그러나 그들의 실제 삶은 자본주의가주는 달콤한 꿀을 최대한 빨아 먹고있는데 생각이 바뀌지 않는게참 아이러니 합니다
34,여유거북이랑              ,현 구로갑 국회의원 이인영..너..동네 일은 하나도 안하고 무슨 일이 일어나는지 파악도 못하면서 무슨 원내대표냐..개가 웃는다.헛된 소리 집어 치우고 좋아하는 중국가서 살아라!
35,소나무하나              ,종교 탄압 생긴대로 논다 사회주의?니맘대루냐?이빨강것들아 하만 처럼 나무에 매달리고 싶은게지 니네가 하만이면 난 모르되개요 또애스더다 국민이 나라를 지킬것이다 ~
36,꽂수선화              ,똥만도 못한 마귀자식 회개치않으면 갈곳은 지옥밖에 없을텐데 불상한 영혼 이네요
37,김종길              ,북한에는 교회가  없습니다.
38,S.K Kim              ,좌파골수 진중권교수까지 삶은소대가리집단을 천하의 잡배라고 했어요
