,ID,Comment
0,진정필              ,"그래요ㅡ❤고맙습니다❤ 감사합니다❤ 응원합니다❤ 고생많이 하셨습니다❤""아름다운 승리""에박수를 드립니다🔊삼수+갈거=법...!!!언제나""초심=항심""변치말고 아름답게사세요.공감=100을 위한 ""THE BEST COMMUNICATION"" 응원합니다❤"
1,최영석              ,이재정님 국회의원과 변호사 천직인듯해요멋지십니다. 서민의법 많이 만들어주세요
2,조오형              ,"이재정의원이너무너무좋아요,사랑합니다,앞으로무궁한발전이있길바랍니다,이재정화이팅,"
3,는구름다리              ,"대구는 훌륭한 인물들이 참 많은것 같다. 하지만  자기이익만 챙기려는 썩어빠진 정치인들도 많고, 속아서 닥치고 지지하는 우매한 시민들도많고."
4,박수산              ,"이재정의원님, 항상 의원님의 부리평을 듣고 속이 너무 시원했습니다.  이런 분이 우리 민주당에 더 많으면 더 좋은 세상을 빨리  만들겠다 . 자주 생각했습니다.  이번에 심제철을 꼭 그 반역자를 정치판에서 쫓아내주시기를 심심 부탁합니다. 우리도 힘을 보태드리겠습니다.  이재정의원님, 화이팅,"
5,grannys92              ,우리나라의 희망을 보여주셔서 감사합니다.
6,paul yulee              ,부디... 초심을 잊지 마시길 부탁드립니다. 나이를 먹으니 자꾸만 정치인을 불신하게 됩니다. 그러나 또한 나이를 먹으니 사람을 보는 눈이 생기기도 하지요. 저의 딸 또한 그런 길을 걷게 되었으면 합니다.
7,ab cd              ,존경하고  응원하며 지켜드리겠습니다
8,RO SE              ,진짜 너무 멋져요.. 훌륭한 아버지밑에서 자라서 훌륭하신 정치인이 나온것같아요☺️☺️
9,박박기환              ,그냥 얼굴에서 다 보여진다 따뜻하고 좋은사람같다
10,임율리              ,이재정의원님   목소리도   더 좋아지셨고 화관도  예쁘시며  화색도  좋아보여요   꼭   승리하리라  믿습니다
11,황금초              ,저도 보면서 눈물을 흘렀습니다.개인보다 대의를 위해 일을 하시려는 바른마음으로 우리나라의 민주주의를  살리시는 의원님 감사합니다.
12,2029 love              ,정말 제대로 밥값하시는 정치인!! 앞으로도 응원하겠습니다.
13,장재환              ,"초심을 잊지마시고 국민만을 바라보면서 하는 정치, 정치란 국민을 편하게 살수있게 하는 행위라했다"
14,우동킬러              ,이재정 당선 축하드립니다!
15,tae park              ,정의의 화신으로 변치 않기를 언젠가의 청와대를 향하여.
16,장용찬              ,재정누나 여성대통령 한번 도전해주세요  나는 믿습니다 ㆍ항상 당당한 모습믿습니다
17,정상에서              ,응원합니다.
18,jaesigi simu              ,전에 박주민의원이랑 팟캐스트 진행하던분이 이분이었군요정의롭고 능력있는 이재정의원님 반갑습니다
19,김한진              ,천안에서도 응원합니다....
20,sarah c              ,해맑게 웃으면서 카운터 펀치 먹이는 모습 기억할게요! 잘 싸워주세요! 감사합니다.
21,유지안              ,당신의 미소에서 정치의 희망을 봅니다.
22,정용민              ,와우~~똑순이 이재정 파이팅 ~~
23,송병영              ,멋지게~나아갑시다!!투벅뚜벅 한발한발~이! 재! 정!
24,독거노인김여사              ,아버님께서 흐뭇하게 보실겁니다. 감사합니다 의원님..  열심히 일해주셔서 감사합니다😻❤💕
25,이건순              ,늘 응원하고 지지합니다 지금까지 보여줬던 모습 대단합니다~~~홧팅
26,김리얼              ,대단하십니다
27,eastwood kim              ,응원합니다~ 이재정의원님 화이팅~
28,김성열              ,아변호사 구나
29,BY L              ,이재정의원님 지역은 아니지만늘응원합니다 멋진정치 국민을위한정치계속해주세요
30,윤수경              ,이재정의원님!  넘 멋지네요..    힘든 국민을 위해서 일해주세요...  화이팅!
31,박종대              ,재정ㅡㅡㅡ파이터ㅡ
32,KILDON S87              ,국민을 위해 국민만을 위한정치인이되주세요!!언제나 의원님 응원합니다!!사랑합니다!! 화이팅＼(^_^)／
33,류재성              ,이재정의워님!사실에 기초한 당신의  시원한 말투 정말로 시원합니다언제나 화이팅 하세요
34,김종민              ,이재정의원님 팬입니다화이팅!
35,정동진              ,최곱니다 ~ !!!!
36,김지환              ,이재정 의원님 대박을 기원합니다
37,산사의봄              ,항상 지켜봐 왔지만오늘 부로 이재정의원님팬으로 등록했습니다!♡
38,김경웅              ,이재정의원님 늘 응원합니다
39,jum s ju              ,싸움닭맞네ㅋ
40,유빈              ,"눈물난다,, 완전 멋져요 ㅠㅠ 이재정 위원님 화이팅  응원합니다!!"
41,김효정              ,웃는모습 이쁘다네  참 특이하셔
42,peace allways              ,2020.4.8 시청.  몰랐네요 이렇게 따뜻한 사람이었군요. 이재정 의원님응원 많이 할께요.
43,Russell Kim              ,이재정! 당신의 진심을 믿습니다. 오늘부터 당신을 진심으로 응원합니다.
44,Julie Lee              ,아ㅡㅡㅡㅡ대단한 분이세요.진정으로 응원합니다.!!!!
45,Sunwoo Park              ,마 되쓰요!
46,JunHyeong Jin              ,내가 지지하는 1인
47,이응표              ,이재정 파이팅 최고
48,jessica k              ,"이재정 저분은 자신위 삶을 감동으로 이끌지만, 진짜.실체는 통진당 이석기를 변호한 사람 이라고 합니다. 보수의 가치를 소중히 여기시는 분들은 저분을 지지하시면 안됩니다. 사람들은 말을 감동있게 하면, 모두 마음이 갑니다. 그러나 , 말을 잘하는 사람보다, 저분의 사상과 하는일이  어떤것인지가 중요합니다.말로  진짜보다 더 진짜인것 처럼 누구보다 의로운 사람 인것처럼 얼마든지 할수 있잖아요. 말로 능력을 하자면, 사기꾼이 더 잘하죠. 이석기를 변호 했고, 비례대표로 국회에 들어 왔다면 한번 생각해 주시기 바랍니다."
49,JunHyeong Jin              ,이재정 의원님 짱!
50,상겸              ,성공하고 출세해도 저당당한모습이 되야겠지
51,onebo kim              ,항상응원합니다
52,Ya Ban              ,당선 인터뷰보고 찾아왔습니다. 정말 멋진 분이시네요. 대한민국 국민을 위해 앞으로도 힘써주세요. 감사합니다.
53,김상현              ,만일 여당소속이 될경우 지금과 같이 화이팅 할수 있는지 기대해 봅니다
54,이성호              ,포스트 문재인!
55,다회              ,"민주당엔 여성 인재가 많네요. 여러분 계시지만 그 중 이재정, 손예원 의원이 단연 발군입니다. 특히 설득력있는 그대들의 말빨을 진정 사랑합니다."
56,유진훈              ,이재정 의원님 화이팅~♥.♥
57,lee hez              ,멋지다
58,탁성환              ,응원 ㅎ요~
59,스파이더맨              ,왜 우셔?? 당신 사랑하게 됐네요~~~
60,깬다 자다              ,그  저   의원님    저는 의원님  너무 응원하고감사하는데요 솔직히  의윈님  내스타일야~~~~~~노총각    올림   ㅋㆍㅋ 아나 웬 주접이냐
61,JAY G              ,제2의 추미애가 되었으면 좋겠어요 승승장구하셔서 다음총선 늙다리 심재철이 꼭 낙선 시켜주세요
62,김종국              ,똑순이 이재정의원님 응원합니다 화이팅!
63,HO JEONG KIM              ,응원합니다..
64,김재은              ,선거승리뿐이다 건전한  정신개혁의지.심어주세요.홍보많이하세요 승리하자
65,yong kim              ,국감보고 찾아 보았읍니다.그랬군요 응원 합니다.그리고 희망을 봅니다 님이 있어서요.
66,S긴구름              ,예쁘시지만 멋있으시네요
67,정선정              ,항상 응원합니다~동영상을 수도 없이반복해서 들어도감동 입니다~이재정 의원님~홧팅 하세요~~사랑합니다~~~♡♡♡
68,고여사              ,보이는모습이 다..였음 하는 정치인중 한명입니다...초심잃지않고 끝까지 정직한 정치인 되시길... 응원하겠습니다...^^
69,정병진              ,그 아버지에 그 따님이셨네요 멋지십니다 진짜.. 의원님 아드님도 나중에 그런 사람이 될수있길
70,man김상경              ,이재정 최고 엄지척^^♡
71,Sspo C              ,민주당은 절대 비례민주당 안하겟다고 호언장담 하신분이네..
72,DS Kim              ,이재정 화이팅.화이팅♡♡♡
73,Goderm K              ,이재정의원님 최고 예뻐요!
74,조화선              ,재정아 니가안지켜줘도되니 조용히 살자....
75,Brian Na              ,참 좋습니다. 여러번 영상 봅니다.밖에 20년 살다가 왔는데.. 그동네 이사가서 자부심있는 주민이 되고 싶을 정도 입니다.응원합니다.
