,ID,Comment
0,마이클셈벨로              ,행정부 산하 검찰 저항도 이지랄인데... 사법부는 뭔 짓을 할지 두렵다.
1,정기자              ,우리 언알바 방송하면서 미소가  끊이지 않네요.좋은소식을 전하니까 그런거겠죠.이수진판사님 언알바 화이팅.
2,유하              ,"추장군님 역시 현명해요, 앞으로도 적폐 물갈이 응원합니다~!^^ 누구도 하지못했던 일이라 더 멋지네요"
3,박영자              ,조영찬 검사 구속하라임무영  검사 구속하라여상규  구속하라
4,김WH              ,대통령님 진짜 골때리시겠다 안으로밖으로 흔들리지말고 지켜주시길!!!!할일 다 해내시길대통령이라는 직업은 참 고된것
5,사법언론개혁              ,제2의 추다르크....ㅋㅋㅋ 오지다 민주당. 만세다.맞습니다. 모든 임명직은 탄핵가능해야합니다. 선출직의 손에 의해서...
6,엉우기야              ,우리가 할일은 반드시 총선승리입니다그래야 어렵게 이룬 검찰개혁이 제대로완수되는겁니다
7,박영자              ,이명박 고발국민청원합니다김학의  고발국민청원합니다김재호 판사  고발국민청원합니다
8,문구리              ,하나하나 이루어져 가는 것 같아요. 좀 더 살기 좋은 대한민국이 되었으면 좋겠습니다.
9,환희사랑              ,동의합니다. 사법부가 자신들의 삼권분립의 정당성을 주장하려면 국민들에게 투표로 선택 받아야 한다고 봅니다.
10,빨치산              ,"언알바,님도 알겠지만, 토착왜구, 친일반역, 자유한국당은, 협상,협의,대상이 아니라, 제거,대상이란 겁니다 !"
11,좋아용              ,역시  민주당입니다
12,nuwanda kim              ,사법개혁이 없으면 검찰개혁은 의미가 없습니다! 중단없는 개혁과 미완의 숙제들을 해결하기 위해서 사법개혁 반드시 해야!
13,정확한판단              ,추미애 법무장관님처럼 앞날이 밝혀지기를ᆢ나베의 어두운 그림자를 훤히 걷어주시기를 빌겠습니다.
14,Kim김              ,서울의소리채널이해킹을당했답니다그래서.서울의소리채널이사라져버렸나봅니다윤석열부인  .장모 에게 사기피해를 당한피해자와인터뷰때문에해킹당한것같은데걱정이네요.
15,양길동              ,김명수 대법...정신차려야
16,박영자              ,김성태 구속하라나경원구속하라류석춘 구속하라장제원 아들음주구속하라
17,박영자              ,윤석열  고발국민청원합니다주광덕 고발국민청원합니다곽상도 고발국민청원합니다
18,박영자              ,적패청산 토착왜구청산하라계엄령  문건작성하여   쿠태타  일르킨  일당  구속하라
19,김영규              ,추미애 법무부장관을 지지 합니다 :)
20,김은란              ,부디 국회에 입성하여 정의로운 사법부 수립에 기둥이 되시길 빕니다.
21,임진성              ,검찰 경찰 개혁 다음은 사법부 개혁입니다. 양승태 하나회 척결해야 합니다.
22,김경진              ,우리 민주정부들어서 인사 중 가장 아쉬운 두명이 있습니다 (윤석열은 곧 파면되고 구속될 말할 가치도 없는 쓰레기라 제외)한명은  이효성 전방통위원장이고 다른 한명은 바로 현 대법원장인 김명수입니다언론방송하고 사법개혁하라고하니 복지부동 직무유기  자리만 차지하고 있거나 아무것도 않고 돈만 충내다 임기 다채우고 나갔습니다 다시는 이런 실수를 하지 말아야겠습니다그래서 더욱 이번 총선이 중요한것입니다  총선압승으로 자신의 영달이 아니라 국민을 섬기고 편안한 삶을 누리도록 열과 성의를 다하는 정치인 및 관료가 되도록 해야합니다
23,이승우              ,이수진 판사님에게서 여장부의 모습이 보입니다.사법개혁의 두 축 이탄희 이수진 판사님!!
24,용가리              ,"김명수 대법원장님!!!!  진정""활명수"" 처럼 속을 좀 시원하게 해주세요~~~~~~~~~~~~~~~~"
25,003nirvana              ,"민주당은 검찰개혁을 토대로 사법개혁, 언론개혁, 재벌개혁까지 쉬지말고 달려야 합니다. 기회는 또 오지 않습니다!"
26,얼그레이              ,"Good contents!!LG전자,티몬 광고주님이 컨텐츠는진실을 알려주는 정의로운 컨텐츠입니다."
27,행복바이러스              ,김명수 대법원장  아웃 시켜야 합니다
28,SAN HA AHN              ,개인적으로 이번 총선은 과반이상을 못하면 승리라 생각하지 않는데 과반 할수 있겠죠?나라에 산적해 있는 사법적폐 검찰적폐 언론적폐 정치적폐들을 심판해야 할텐데그럴려면 이번 총선에서 범진보진영에서 과반~170석 정도는 먹고 들어가야 하고문재인 정권 후반기의 안정과 새로운 민주정부 창출 다음 지선까지 논스톱으로 갈텐데 말이죠
29,흐르는강물처럼              ,확증편향?    그럼 자한당을 선택하나요  ...선택의 여지가 없는 확증편향자 맞습니다
30,SY Lee              ,사법개혁도 시급하네요. 언론개혁과 마찬가지로 끈기있게 밀고 나가야 합니다. 깨어있는 시민 하나하나의 힘이 중요한 것 같습니다. 끝까지 개혁을 지지하겠습니다!~~
31,이옥순              ,아! 역시 굿 뉴스 !언알바 님 저를 똑똑한 깨시민 만들어주시니감사합니다 ~^^
32,박재환              ,와~우~민주당 인재 영입은 누가하는겨? 자한당과 너무너무 비교되네 ~국회의원 300석이 모자르겠네~~
33,뉴익타임즈              ,우리 정치가 건전해 지려면 정당 구성원들이 현실적이고도 다양한 과제에 관심을 쏟아야 한다고 생각합니다.민주당의 인재 영입을 보면 21대 국회에서 민주당의 활약이 더 기대됩니다.이수진 판사 영입으로 사법 개혁도 흔들림 없이 단단히 진행되리라고 생각합니다.
