,ID,Comment
0,김상진              ,정청래 컷오프는 지극히 당연한 결과다 민주당이  마포민심은 제대로알고있네요
1,Good Boy              ,정청래  관찰해 본 결과 결론은...남 애기를 오랫동안 듣지 못함 존내 끼어들어 ^^
2,taihwan kwon              ,정정래 위원 ㅡ 막말로 각인된 인사  컷오프에 절대 동의
3,노란우산              ,지금껏 민주당이 잘한  것이 없지마는 굳이 꼽으라면 이번결정이 단연  최고다
4,이한수              ,당을떠나서 나라를위해의원노릇 하려할텐데...당대표앞에서 딸랑이노릇하지말고 식민지근성부터버리고국회에들어들가세요의원님들부탁합니다
5,황칠갑산              ,정청래  이사람은  국회의원 으로 서 조폭발언을     일삼아  내 밷는  취미같은  성격 소유자이다
6,김현덕              ,청래  헛소리  졸라 하더니  팽 당했네  ㅡ 꼴 좋다  ㅡ 시골가서  인삼 농사나 지어라  자슥아  ㅡ
7,편창길              ,더민주운동권들은  뻔뻔하고 이중적이고 폐쇠적인 집단.
8,김영줄              ,"결국 팽 당했군, 그럴줄 알았다.이사람은 정치해선 안될사람."
9,김.              ,정정래 똑똑 한체  하드만 그높은데서 떠러질라면 수년이 잘걸니겠소이다 글세 국민의당에서? 자기 조국으로 가야할판났꾼!
10,송재호웰리스코치              ,이제 그만 가야 안되겠니?그간 떨은 주접이 얼만데혜원이한테 넘기기도했구
11,예언.도사              ,🐆청래두낙동강오리알됏네잘난체는.혼자하드니꼴보기좋네.박수.짝.짝.ㅋ.ㅡ
12,정삼환              ,좀 고만 봤으면 좋겠다
13,파면인              ,정/정청래의 막말과 트러블은청/청계천 오염수와 난형난제로래/래(내)세에 사람되긴 영글렀다.
14,이지호 TV Gil              ,정청래 정치떠나라 국민이 안알아준다
15,김상진              ,개버릇  고처지겟나
16,&B R              ,평소삶과 언어등을을보면인간의 미를판단가능할것같아요 그러나이판단은법관이하는것도안니고국민의 판단할것입니다
17,HOLA R              ,ㅋㅋㅋㅋ 토사구팽이네
18,구자호              ,이제 안봐도되는거 마찌요
19,허남득              ,고마버 정청래 컷오프된거 속이시원하다
20,정재우              ,정청래같은인간은절대숙회들어가면안됩니다누조권상대편은삐닥하게보는아주인성자체가삐뚤어진인간입니다
21,박영철              ,속이 시원하구나.그 쌍판들 안보게 되서 다행!!!!
22,꾸정물              ,정청래 벌써 떠나야할 사람 정말 보기 싫은 자 잘됐고
23,르네상스              ,좌빨기생충 정청래를 컷오프하는거보니 민주당의 빛이보인다
24,철이              ,국회의원 품위가 있어야지  컷오프 찬성  환영   막말 지구을 떠나야지  영원히말이야
25,바람처럼아름다운인생              ,민주당 지덜필요하면  경선 비민주당 나도 당원인데  요번에는 무소속 찍자  정창래가 한기얼많데 미친당
26,소남동산              ,정청래 컷 옾. 민주당 한가닥 잣대는 있었다..
27,이충성 필사즉생              ,인간다운 존재가 하나도 없는 기생충들 뿐이구나사기 거짓 쇼하지마  천벌을 받을 것이다
28,이승우              ,옛날에기구만
29,황영광              ,정. 청래정치판에 기생해서 사람구실 않하더니 결국 민주당 에서도 사람취급 못받고 쫓겨나네
30,김정식              ,정청래 집에서 푹쉬어라에이 밥맛
31,리우석              ,과거영상 올리믄 고발...////
32,그냥 지시받아 갖다자필준비하다는거가원형              ,청래야의원 떨어지고 실업자시절에 그렇게 그렇게 그렇게 한국당 씹어대더니 지금 뭐하냐?민주당애서 두번이나 컷 오프당했냐?무소속출마 해서 또 떨어져라그러면 봉화산  부엉이바위가라경치가 좋다 하더라
33,김진철              ,ㅋㅋ 안타깝네잘난척 무지하더만
34,남궁소림              ,에구잘됐네
35,영한김              ,생긴거는 멀정하게 생겨는데 주둥이는 돼지주둥이  정청래  앞뒤도모르는 무지한사람 그입제발 다물라 방구석에 처밖혀서 혼자 지껄혀
36,Y My              ,주승용 제발 나오지마
37,박용수              ,선배동지을 무참이짓밝은 발언을한정청래는 정치을떠나야한다
38,이희섭              ,그 양아치는 잘 쳤다양아치가 봐도 양아치겠지
39,별바다              ,정 청래 의원을 탈락시키다니 - 민주당도 다 됐구나  망할것들  이제 서서히 민주당 싫어지네
40,박재호              ,아니.....3년전 기사를 왜 지금?
41,edmond park              ,범죄형 관상
42,hyun chul ha              ,"정청래  잘되었다   인간사  세옹지마다  너무  ""상대를  모질게 하지마라 ."
43,소동파              ,인상봐라..개기름만 자글자글..탐욕에
44,유영진              ,헉!정청래까지
45,김재문              ,박성호 전시장 힘내세요.홧팅입니다~^^
46,우공이산              ,최규성이 김제 무안? 최규성은 전북과 전남 지역구가 두개냐?
47,충서.              ,"""민주당만 빼고"" 열풍이니 무소속으로 나오는 게 낫다.. ㅋㅋ"
48,박정필              ,언제꺼야?
49,창모이              ,이제 북한이 한국에 피해를 주면 우리나라는 예비군이 600만 이다 세계최고 예비군들은 국내 정치인 교육자 점치인 언론인 이 좌빨들을 오재도식으로 몰살시켜라 이것이 새로운 한국의 미래다
50,won you              ,지난건 내리는게 정상입니다
51,정용호              ,언재예기여   정청래
52,황영광              ,당연한걸 정 청래는 억울한척 하네 니가 사람같은 행동을 해야 공천되지
53,권권기전              ,이자슥컷오프 속이다 시원합니다
54,seong jin park              ,당선 축하합니다 좋은 정치 만들어주세요정청래 파이팅
55,민경원              ,청래 가  ㅡ국해 원을  ?  이제는 ㅡ집에가  ㅂㆍ 밥이나 ?
56,김영국              ,그래 편하게 사세요
57,노재인              ,용서하지않겠다
58,이재훈              ,또라이 집단이다
59,jongseok park              ,ㅎㅎ ㅎ 10년야인해봐라추후라도되면  입이포도청이라  청렴하고는 멀어지겠네ㅋㅋ
60,안종학              ,🐈🐕  들.  싸움볼맘할'거시요🐕🐈👈
61,김영훈              ,"언재일이냐,.이거 올린놈 잡아죽여?,"
62,이동현              ,양아치 놀이터가 정치판이네.
63,현종유              ,종청래 밥맛이다 이간이 겸손하게 살라
64,Murex Red              ,정걸레...꼬시다.
65,김철민              ,정청래 나와야지. 훌륭한 사람인데. 걔가 헛소리할 때마다 여당표 막 날라갔었는데....
66,윤벼락치는소리              ,"정청래. 다시는 그런일(막말.돌출발언)이 없을겁니다?  우리속담에 ""제버릇 개못준다,란 말이 있는데 과연 개과천이될까?"
67,Vincent Pak              ,막말대왕 정청래 전혀 자격없다 국회의원 뺏지 반납하고 집에가라
68,hs7797              ,제발좀 방송에 기웃거리지좀 말아요 진짜 역겨워요
69,권순덕              ,정청래 이런거는  궁상맞은 외모에보는사람마다거부감느끼는데민주당그거는잘한다이러거는탄락시켜야너들이산다
70,Kitae Sung              ,양아치 정청래 이런 것들이  대한민국 지도자라니 참
71,미선봉              ,김종인도 문제가 있는 사람 김무성이와비슷비슷한 사람 아니 ㄸㅗㄱ같으사람
72,김화원              ,정청래 토사구팽
73,설정의              ,정청래같은 양아치가 무슨 귝회의원 그냥양아치지 니가 문슨 국회의원 후보여
74,jongseok park              ,청래 은퇴해라걸레입
75,최대범              ,정청래 컷컷컷진착에 싹뚝 했어야지? 더블 못처럼 잘했네. 하지만 415는 자유대한민국 국민이 느기들 컷아웃 개발살 내것이다.그리고 느그들 힘 좋은께 정청래 TV에서 제발 없애줘.부탁혀
76,조덕현              ,결국는 입때문에 망했네. 조머시기도 입땜시 신세 망쳤는데.그놈의 입땜시 여러명 죽이는 구만.다들 마스크하고 다닙시다.
77,Hsan H              ,국가를위해이유막론하고희생를감수하라
78,안보영              ,민주당  실망  남은   사람들은  선비 들인가
79,Han Cheon Lee              ,아주 잘했습니다 정청래그놈은 인간도못되니 잘했다
80,이수열              ,정신수양많이하시오
81,잘받수수복              ,청래  청산되었네 인간이 먼저되야한다
82,Jaemyong Sim              ,추카 추카 저 걸레 이제 더 이상 쓰레기같은 소리 안들어 국회가 좀 조용해 지겠구나
83,주진위              ,정청래는 낭에 말을 존중해야 한다
84,OUT문재앙              ,방화범= 탈락
85,까마구              ,입이 넘 똑똑해서 안돼<<<<<
86,JOON AHN              ,"여던, 야던 당선가능성을 측정하기위해 경선이 원칙이다. 전략공천은 곧 자기사람의 등용으로 조선왕조 선조때 서인 천여명을 죽이고도 임진왜란과 정유재란으로 나라를 망 친 동인의 수장 송강의 짓이나 다름없다. 이는 국민의 대표를 외면하고 당을 사당화만드는 짓이다."
87,박재기              ,정청래.그따위.사고로세상살았으니.자업자득인줄알라
88,이글              ,정청래는국회의원아닌양아치수준!
89,정길채              ,같은종씨지만하는짓에늘얼굴부끄러웠는데잘되다.짝짝짝
90,박열희              ,나쁜놈잘됐다 월래수준미달이었다
91,싼쵸              ,정청래탈락아리고 알지  민주당에는마이네스지 잘했네
92,jongseok park              ,청청래는이제당도버렸네  영어  강사라며전직  그거나해라
93,서할매              ,또할라하면상대방험담도정도껏하고지식이있어야지그리시부려삿는대지편인들곱개보나
94,김성수              ,걱정하지말라심상정이하고 전라도에가면국회의원  할텐데
95,이지은              ,정청래는 국회의원감이 아니지 ~
96,꾼야수              ,정청례님   지지합니다~
97,김선철              ,안민석이도  짤라야 ㅠㅠㅠ
98,남자이병도              ,여기 뎃글 올린셰끼들은  다 개한국당 놈들갔네
99,허남식              ,당신은 상식이 무엇이고 몰상식이 뭔지 모르지. 당신같이 비정상적인 사고를 가진사람이 국회의원할려고 몸부림치고있냐!!!  당신눈에는 국민들이 우습지!!  쪽팔린줄 알어. 선거때 뭐라고하는지 지켜볼거야. 당신입에서 공정!  정의!란얘기를 자신있게 지껄이는지 지켜볼거야!!!!!!!!
100,허남영              ,국민밉상
101,철이              ,정청래의원 탈락 막말 저질 좋아요 .
102,현우정              ,"정청래.민주당에서나 정치권에서나 보석같은 존재,"
103,유영진              ,"민주당 너무 한다 정청래,정봉주를 제외 하다니ᆢ"
104,성대경              ,마포는 정청래
105,카네기              ,정청래 의원 응원합니다.
106,정진욱              ,말을잘하는국회의의원은입으로망한다 앵커출신 정동영 찌질이 유시민 미꾸라지 정청래이모든인간들은자기가최고인줄착각하며사는인간들이라서더욱그렇다. 참기름냄새가솔솔 나는구먼
107,정해동              ,대통령지키위해 온힘을쓴 정청래 탈락 너무한것같아 심히 실망임니다
108,삶은희망이다              ,이인영부터 컷오프 해야 민주당이 산다
109,박오즈              ,정청래  그럴줄알았다같은지역구 손혜원 너도 아웃국회에서 볼일없을것같아 불출마했ㅈ
110,남대호              ,이런X은 영원히 대한민국국회에 발도 못 붙이게 퇴출해야합니다~선배도 개떡같이취급하는 이런 ㄱㅆㄹㄱ~ㅅㄲ는 북한으로 보내버려야합니다~개정은이표 고사포맛을 봐야 주둥이 함부로 벌리지 않겠지~ㅋㅋㅋㅎㅎㅎ
111,이영근              ,정청래 무소속으로 나오겠지그쪽물 먹은것들은 절대 딴생각 안하는것 아닌감   어떤자린데낙선해  파산해바야 쓴 맛 알겠지
112,최용길              ,정청래.김어준.정봉주.주진우.손혜원.추미애. 조국.안민석.박지원.이런인간들 제발좀사라져라.
113,지리산              ,나라 곳간이 모두 비었는데 선거 비용이라도 아껴야지민주당은 선거 불참 선언하라
114,모든만사형통              ,정청래?저런인간은 국회의원 자격이 없다
115,김민주              ,정청래 유쾌통쾌한 의리남~큰일꾼인데 공천탈락이라뇨??
