,ID,Comment
0,Hyunjoo Rachel Song              ,역시 손혜원이다!!!! 망치부인이 함부로 무시할 사람은 아닌데....
1,fine p              ,새누리 매국노당은 빨간색을 택한것을 후회하게될거다
2,Senam namkung              ,일단 눈이 시원타.
3,mooncle              ,손혜원과 그 팀..... 천재다. 감탄스럽네~
4,강희원              ,새누리 저격 ㅋㅋㅋ
5,우르르르르롹끠야옹              ,잘 만든거같다
6,robin foret              ,역시 손혜원!
7,신조대협              ,꼬장한 아줌마 이미지라 별로 안 좋아 했는데... 손혜원 최고다!!!
8,김병순              ,더불어 민주당이 운영하는 행복한 나라에서 살고 싶습니다
9,괴산댁              ,잘만들었네..
10,we can yes              ,더민주화이팅♥♥♥
11,mixer kim              ,good~!!
12,halim              ,실력있네
13,M & A              ,30만원 어떻게 지급할지 언행일치를 위해 더민주 열심 뛰어주세요
14,Blue Train              ,실제로 바꼈다고 한다
15,雪斗              ,강한 진보정당이필요합니다
16,we can yes              ,손혜원의원님 수고하셧어용
17,공감BNP              ,돈 많이 들였겠네...
18,Kim대한민국              ,반드시 개누리를 박살내 주십시오.
19,정은김              ,결국 레드가 블루로 바뀌었지만 초록색이 의외의 결과를 내서 골룸해졌지.
20,엔티시드노엔              ,명작
21,DoHyun Kim              ,국민은 지난 총선에서 더불어민주당이 마구잡이 야합인 '야권연대'로 통진당 이석기를 비롯해 많은 종북주의자들을 국회로 입성시킨 것을 기억해야 합니다. 이번 총선은 더불어민주당을 심판하는 선거가 돼야 합니다. 야당으로는 야합을 않는 소신의 정당 국민의 당을 선택합시다.
