,ID,Comment
0,키티쌤              ,언알바님~~가시는 길 함께 합니다!!늘 기분좋고 설레이게하는 소식 감사드립니다!!! 힘납니다!!!!새해 복 많이 받으세요~💙
1,달님              ,광고주DB손해보험은 정의와 함께하는 유익한 컨테츠 입니다언알바는 새시대의 희망을 열어주는 건강한 컨텐츠 입니다GOOD  NEWS!!
2,겨울숲              ,저희가 감사합니다.좋은 방송해주셔서.든든합니다. 대세를 거스를순 없죠.
3,요지부동              ,Good.저두 소상공인이라 많이 힘들어두 끝까지 문정부의 성공을 기원합니다!!!
4,Jinho Ko              ,40대 인재로는 어떤 인물들이 있을까요???
5,Dempsey Hill              ,광고주 명륜진사갈비. 이 컨텐츠는 진실을 알려주는 정의로운 컨텐츠입니다. 광고주 명륜진사갈비도 사회의 약자를 도와주는 기업이 되기를 바랍니다. 감사합니다.
6,뚝배기 깹니다              ,민주당 최고👍언알바 최고👍정말 뿌듯합니다💙
7,김경민              ,민주당핫팅!!!!!잘한다!!!문통핫팅!!!!문정부핫팅!!!
8,마법양탄자              ,맞습니다. 우리 40대 화이팅~~
9,알지알짜              ,인재영입된 인물들을 보고 기대치가 높아지고 있습니다.  2020총선의  좋은 결과와 함께 훌륭한 국회의원들의 활동을 기대합니다.
10,박뜻대로              ,사람답게 사는 나라가 됐으면 좋겠습니다~
11,김미화              ,난 60대라서 그런지 내 주변에는 조중동 목소리 똑같이 내는 무뇌들만 있어서 매우 피곤하게 살고 있습니다.아무리 교육을 시켜도 안되네요.
12,김남왕              ,갑질 대장 박찬주ㅋㅋㅋ 1호  영입ㅋㅋ
13,Mi Bon              ,고맙워요... 40대 언급 해줘서
14,정희원              ,이번총선때 무조건 200석이상 가즈아~
15,김재희              ,세상을 바꿔 주는 더불어민주당 이 되주세요.
16,흔남̆̈팬              ,제발  제발  총선에서  제대로 된 선택을 해야하는데요...
17,이이쁜이              ,너무 멋찌죠. ㅎㅎ 민주당 파이팅입니다.
18,김프란치스코              ,"소식 내용에, 가슴속 깊은 곳으로부터 취~잉!, 코 끝이 시~큰! 눈은 습도 상승! 아~ 진짜! 사!람! 보살피시려 강림하셨었다는 환웅님의 사랑 가득한 숨결이 문느님한테서 느껴지는 건 어인 일일까요*.*"
19,마은주              ,문재인 정부를 지지합니다
20,Brad Music              ,대한민국 진짜 보수는 민주당
21,음악대법원장              ,❤2020총선압승❤
22,남호식              ,이제 얼마남지 않았읍니다 내년 4월이되면 나라는 새로운길을갈수있느냐 못하느냐의 갈림길이  될겁니다과연 노무현대통령이 원하셨던  민주주의를 완성할수 있을까요?깨어난국민들의 조직된힘이  바꿀수있다  꼭그런시대가  왔으면합니다
23,난조용히눈팅              ,"원종건씨 27살이라고 하던데요,,,"
24,Jinho Ko              ,"1, 2호 모두 감동입니다. 3, 4, 5... 쭉 기대가 됩니다. 압승을 기원합니다."
25,마은주              ,보편적 복지 중요합니다
26,이샤론              ,와~~~~~~!!!!! 기분 좋다!민주당!  ㅎㅎㅎㅎ   최고!
27,정의로운 사회              ,민주당 !!역대 이런 정당 있었나?총선 승리 예감👍
28,이은옥              ,잘자라주어서 고맙고  민주당에  와주어서 고맙습니다  원종건씨 !!!
29,fbn hi              ,원종건씨 보니  감동이네요민주당 용병술에  무릎을 탁쳤네요
30,ysyh7              ,올바른 정보를 주시는 젊은층들이 많아 감사하고 내년 총선 국민이 이길겁니다
31,조성희              ,민주당 대다나다
32,열린민주              ,원종건님의 😁일상소개서😁 유튜브도 시청하세요 좋은내용이 많네요 민주당 인재영입은 대박입니다
33,starry smile              ,"이 나라 보수가 저모양 저꼴이라 우리나라 사회가 발전이 더딘겁니다. 웃픈 현실이네요. 보수 유권자 여러분 정신차리세요.민주당 이번 총선 꼭 승리합시다. 정의가 승리하는 사회 ,더불어 모두가 함께 하는 사회, 이루어 냅시다."
34,이민재              ,박찬주 꼭 공천 받아라ㅋㅋ
35,마은주              ,자한당해체
36,윤디              ,"씀으로 라이브 보다가 정말 감동받았네요. ㅠㅠ 그당시 느낌표를 보면서도 감동 받았던 기억이 있는데,, 사람들의 선행이 나비효과가 되어 다시 사회로 되돌아오는구나 싶어 마음이 따듯해 지네요. 이게 잔짜 정치다 싶고요. 원종건 씨도, 민주당도 응원합니다!! 👏👏👏 그 와중에 박주민 의원님 진행 넘 잘하시네요~^^"
37,양원철              ,"꽃밭에는 벌과 나비가 모여들고, 똥통엔 똥파리들이 꼬이는건 당연한 이치죠. ㅋㅋ"
38,김민지              ,으이구 박찬주 바보
39,루시드드림              ,참 잘큰 청년일세^^
40,윤종미              ,다음  청년 영입 차례는 특전사 출신 언알바님 강추!
41,스투리stury              ,제인생 첫대선투표에 노대통령님 뽑았었네요
42,Erin J              ,"지금은 친일정당으로 인해 수준이 낮은 정치판이지만 열일하시는 국회의원들분들이 재선 삼선하시고 이렇게 좋은 인물들이 나라를 위해 정치판으로 들어가 더욱 발전하는 대한민국이 되었으면 합니다. 응원합니다, 문재인 대통령님과 더불어민주당!"
43,밝은침묵              ,문재인 정권 출범했을때 그 가슴  떨림이 다시 또 느껴집니다..내년 총선 반드시 이깁시다~~~~
44,류토지              ,암튼 민주당은 어떻게  또 보물중에 보물을 발굴해서  이렇게 감동을주는지  지지합니다 매우격하게
45,이정의리              ,자한당은 자폭당이 되버렸다.잘못을 팩트체크 해서 다알려주면 된다.
46,김인숙              ,진실하고나라와국민을  생각하며정치를 해야합니다썩은물당쌍욕당 패륜당시궁창당처렴세금만도둑질해서지금도 수천조재산만 불리고있다
47,물빛소녀              ,원종건씨보면서...저자신이 참 부끄러워집니다!열심히 살아줘서 고맙습니다 ♡종건씨가 청년들에게 희망을 줄수있는 정치를 할수있도록 응원하겠습니다 👍
48,hide              ,이번 영입은 정말 대박이네요. 내년 한일총선 단단히 준비해서 꼭 이깁시다.
49,김해진              ,대박~굿 👍👍👍👍👍👍
50,HolyIU              ,우리아버지를 정말 사랑하지만 정치얘기는 하지 않습니다 ㅂㄷㅂㄷ
51,Sungil Choi              ,좋은 징조 감사^^
52,오윤민              ,말 참 이쁘게 하시네요♡
53,도순강              ,아름다운모습입니다모자의 뭉클한 감동을
54,한상수              ,너무 구분이 선명하군요최해영 대 이진숙 적폐언론원종건 대 박찬주 갑질대장어떻게 표를 안줄 수 있나3호 영입 너무 기대됩니다
55,이영민              ,민주당은 진보정당이 아닙니다~ 진정한 중도보수정당입니다. 이제 우리가 보수이고 이 나라를 지킬 기둥입니다. 저 수구적폐 세력들 척결하고 새로운 대한민국으로 나아갑시다~ 그리고 조국수호!! 검찰개혁!!  다음 대통령은 조국이다~!!
56,홈패션쏘잉TV sewing              ,좋은소식 룰루랄라~~🎶🎵🎶🎵🎶🎶언알바님 영입발표에 신나보이시군요문재인정부정책넘좋아요제가생각해도문재인정부정책 넘최고입니다시청하는 내내행복했습니다좋은하루되셔요💕내일공수처 통과 아자아자 홧팅입니다
57,별빛사랑              ,👏👏👏👏👏👏저도 참 좋아요~
58,young joo              ,너무 멋진 청년👍👍👍너무 잘하고 있는 더민주👍👍모두 화이팅입니다👏👏👏
59,이승희              ,50대 문재인 대통령님 지지하는 1인입니다ㆍ이것은 세대의 문제가 아니라 옳고 그름의 문제입니다~~정의롭고 아름다운세상을 함께 만들어가요~
60,정수준              ,"자한당은 이제 이영훈,이우연, 류석춘을 영입해야하는 거 아닙니까? 개신교 불륜5걸하고..."
