,ID,Comment
0,강복숭아              ,문재인대통령님 고맙습니다.💓
1,kaymon              ,미통닭은 지무덤 판겁니다 ㅎㅎㅎ똥멍청이들
2,victory victory Jeon              ,독립군을!! 학살한 자들이!! 애국자로 둔갑한!! 현대사비극이 되풀이 되고있다!!!
3,행복한 세상을ᆢ선한 영향력ᆢ              ,더불어(열린)민주당 계속해서 고공행진ᆢ다른당은 쭈~~~욱 추락해야 하지 않을까요?
4,시라소니              ,곽상도와 기레기를 특검하라!!!!!!
5,신재훈              ,미통닭 지금처럼만 계속 해줘라 화이팅!
6,by lee              ,중도층 눈치 안보고 황교안이 극우로 갔다가 선거 폭망한것을 잊었나봅니다.
7,쟈스민오렌지              ,곽상도 좀 털어보고 싶다.   우수수수 딸려있는 사람 많을것같아
8,이다윗              ,곽상도가 나섰는데 게임은 끝났지 ㅋㅋㅋㅋㅋㅋㅋ
9,자비              ,상도없는 인간들이 미통닭이네
10,Dennis Nam              ,저 친구들은 정치를 진지하게 대하지 않아. 출세의 또 다른 도구로 보는 거 너무 티남
11,KIM경관              ,곽쌍도  장죄워니  등등등  비리통곡당  국회 선진화법위반  대법원  사보임 정당했다판결   ㅋㅋㅋ 국회의원직상실  100퍼~   내년4월 보궐선거까지는 결판나겠지요~푸하하하하하
12,Who ever              ,윤석열 사태가 약발이 다 되어가는데다 역풍 불 조짐까지 있으니 이젠 위안부 문제로 또 조작질. 참 애쓴다 애써 지금 국민들은 알거 다 아는데~~
13,Paul Moon              ,언제까지 70년대 수작이냐..쌍도를 언제까지 봐야하나ㅜㅜ
14,김기현              ,지나가는 소가  웃는다.ㅋㅋ.쌍또야.아베한테   가라.
15,류종성              ,아니 아무리 염치가 없어도 그렇지 불과 몇달전까지 반일종족주의로 무장한 전사가 갑자기 그러면 얼마나 위선적으로 보이겠나?
16,my k              ,그러게요. 에너지를 쓸데없는 데 소모하는 언론들이 너무 한심스럽습니다.
17,달처럼              ,순시리의남자 곽상도씨?그돈 어디서 난겨?먹었네먹었어.
18,sub zero              ,"어떻게든 주도권을 가져오고는 싶고, 인물은 없고, 그러다보니 전적을 생각해보지도 않고 임명을 하니 앞과 뒤가 다른 어처구니없는 멍청한 집단."
19,양현수              ,왜신들 아직 그지랄떠나 너무 후지다
20,김경석              ,요상한 발언들로 알맹이없는 기자회견을 한 할머니와 곽상도는 또 뭣이대유?감이 팍 팍 오네유.
21,장명수              ,상도야! 니 와그카노.. 세상에 어찌 이런 일이 다 있노?
22,멋진대한민국              ,똥묻은개가 냄새와 혐오만 풍기네...쟈들 제발 안 보였음 좋겠다.
23,Js Y              ,상도씨 학교(감옥)가자고요 이제 헌재에서 어제 20대국회 사보임위헌 대해서 위헌이 아니라고 판결 하셨다 곽상도 의원씨는 그냥 의원직 사퇴 하시고 정치에 하지 마세요 그리고 친구 데리고 가세요 윤춘장 .적페 언론들과함께 ㅋㅋ 그리고 트황상 때문에  이란과 중국과 관계가 않좋네요 ㅠㅠ 이제 문재인대통령님 께서 미국 눈치 안보고 북한 김정은 위원장 하고 정상회담을 했으면 좋겠습니다
24,방후영              ,요즘 국민들은 개.돼지가아닌데너희는 아직도 만만하게 보니 문제이지
25,very very              ,오히려 그동안 미통당이 위안부에 대해 어떻게 했는지 모조리 까발려지는 순간이죠~ 지발등 지가 찍었죠
26,octopustiger smh              ,총선전 일본언론에서 당선되면 안되는 사람중에 윤미향당선자를 지목했지 지금 이사태는 토착왜구들이 일본 지령받고 움직이는거라고 보면 이해갈겁니다
27,최재용              ,곽상도가  진보세력들이  더 뭉쳐라고  부채질 하는 구만..  고맙게도..
28,박빛나리오              ,X맨  총선에서  후드득 떨어져서 곽상도가  x맨으로 등극ᆢ상도야! 고맙다  시키야
29,박철희              ,상도야 상도덕 좀 지키며 살자하여간 개검 출신들야비한 인간의 표본이야
30,ys park              ,곽씨 쫌 고발 해 주셈
31,쌍문보리              ,- 이번 윤미향 보도 보면서 다시한번 생각하게 되는데 적폐 수구충 세력에게 이기는 방법 딱 한가지에여. 이자들은 약자에게 강하고 강자에게 약합니다. 검찰 .언론.재벌들 마저 꼼짝 못하게 하는 방법 딱하나 뿐이에여. 민주당에서 전부 상임위원장 가져오면 됩니다. 무리해서라두여. 전부 다 가져오면 수구 기생충들 적폐 좀비세력들 바짝 엎드립니다. 예산.법개정까지 할수있는 상임위 다 가져오면 저들 지금처럼 발악질 못합니다. 190석으로 21세기부터 1천년을 민주진영 승리의 기틀을 선전하는 겁니다. 하늘이 우리에게 준 처음이자 마지막 기회라고 봅니다.
32,woo yo              ,강기훈유서대필 사건의 공안검사인...곽상도 같은걸 국회의원으로 만든 대구중구남구의 수준....
33,오재희              ,한국위안부문제  정의연과  한 할머니의 두번의 기자회견 ?  일본의 아베의 지령에 따라 세반째 기자회견할것이다. 두고봐라?
