,ID,Comment
0,dongdong. kim              ,솔직한 박지원전의원님~ㅋ점점 젊어지네요^^정치9단으로서 바쁜나날 보내실텐데건강 유의 하세요~
1,김천문산              ,박대표님도 친문ㆍ인정합니다ㆍ
2,최양규              ,박지원 의원님!어울리는 직업을 찾으신것 축하 드려요.마음껏 소신대로 평론 하세요.
3,용호허.              ,박지원 의원님 아쉽게 됬지만 앞으로 명쾌한 논평 자주 부탁 드립니다.국내 정치인 들중에 최고의 정확도를 보여주는 분이죠.응원 하겠습니다.방송에서 자주 뵙기를 원합니다.건강 하십시요.
4,H엘사              ,박지원의원님 낙선은 안타깝지만 뉴스공장도 나오시고 더라이브에도 돌아오셔서 너무 좋아요~^^
5,박용수              ,낙선하시고도 밝으신모습 보니까 정말반갑군요 계속밝은  모습으로 방송에서 볼수있게 해주시면 고맙겠습니다
6,강태희              ,박의원님 지금의 모습이 좋으네요
7,더블비              ,박지원의원님 앞으로 20년은 더 방송에서 보고 싶어요.100세가되도 건강하시길요
8,Guybrush Threepwood              ,박지원 의원님 낙선하시고 오히려 인상이 더 좋아지셨는데요? 앞으로 사욕을 버리시고 그 정치감각과 경험을 민주정부의 성공과 남북관계 개선을 위해 써주신다면 훗날 평가가 지금보다는 훨씬 더 좋아지지 않을까 싶습니다 ^^
9,Dempsey Hill              ,"양승태도 불구속 재판을 하는데, 정경심 교수님은 구속 수사라니요! 이건 말이 안됩니다. 게다가 몸도 아프신 분이라 빨리 치료를 받아야 합니다. 정경심 교수님 구속 연장 반대합니다!!!"
10,jungin kim              ,박지원 어르신 그래도 묘하게 매력은 있으심. 옛날 으르신이다 보니 요즘 사람들하고 다른 표현력 지닌점도 오히려 재밌음. 낙선거사 이런 표현도 오랫만에 들어봄 ㅋㅋㅋ전라도 사람들 진짜 무섭다고 느낀게 이분이 다른건 몰라도 목포 지역구 관리 하나는 끝장 나게 잘하시고 최소한 목포에서는 인지도 처세 흠잡을게 없는데 떨어짐...홍준표는 이분에 비하면 대구 지역구 관리 100분의 1도 안했는데도 뽑히는데...이 으르신 목포에서는 김대중 급인데도 떨어뜨리는거 보면...전라도 인구가 많았으면 미통당은 이미 멸종 당했을듯....ㄷㄷㄷ그래서 전라도 박해했나 싶기도 하고...박지원 할아버지는 그래도 목포에서 당선 될줄알았는데본인도 이번에 경상도 처럼 정으로는 당선 하기 힘들다는거 느끼셨는지 선거 끝나자 마자 완전 태세전환해서 친민주당 친문재인 노선을 마구 마구 표방해서 벌써부터 이미지 메이킹 다시 하고 있음. 정치 9단은 확실함.
11,늘하              ,박지원님 국회의원일때는 가끔씩 싫은면이 있었는데 현재의 모습은 정치구단주 답게 지혜로와 보여서 반갑습니다.국가 발전을 위하고 인간적인 상생을 위해 있는 지혜를 주시면 감사하겠습니다.
12,Eun Choi              ,"정치 구단, 정치 평론가 박지원"
13,보라색 까마귀              ,"이분은 밉지만 싫진 않은...정치적인 능력은 진짜 뛰어나시고, 큰 그림을 볼줄 아시는 분..앞으로도 방송에서 자주 뵈면 좋겠습니다."
14,Dae Hyun Kim              ,"박지원은 정치적 길을 정해놓고 나아가는 정치인이 아니다ㅡ 정치는 살아있는 생물이라는 전제하에 상황에 따라, 흐름에 따라 정치를 하는 스타일이다ㅡ 그런 정치는 80~90대의 정치 스타일이다. 현재 세계적 리더로 부상하는 대한민국에는 정치적 소신을 정해놓고 스스로를 발전시키고 국민을 설득하는 정치가 필요하다. 박지원은 정치 평론가로, 방송인으로 남아서 정치적 판세를 재미있게 말하는 위치에 있는 게 더욱 적절하다."
15,더블              ,박지원 의원님~직업 전환 잘하셨어요 민주 정부 쭈욱갈수 있도록  도와주세요
16,강정희              ,김종인은 희대의 철새다부끄러움도  없고  권력욕은  대한민국 최고소문난잔치집   먹을것  없는것 처럼  김종인  무슨일을 해서  국가발전에  영양을  끼쳤는지  이자의  정체도  모르겠다  철새중에 철새라는  인식밖에 없다~!!
17,이승수              ,지원할배  유작가처럼 외곽서 문프지켜주세요 혹시 평양대사시켜줄수도 있잖아요
18,월남싸나이              ,좋은 언론 입니다!
19,힐링83              ,옳은 말씀만 해주시는 박지원의원님 항상 건강하세요❤❤❤
20,박만윤              ,김종인는 맛없는  출장뷔폐요리사.
21,changsu bae              ,이나라 왜구당은 국민에 봉사하는 일로 여당과 경쟁해라.네가티브 전략이나 지역주의로 승부걸지말고..특히 아베랑 편먹고 나라 망치는 역할을 버려야한다.
22,최한              ,맞습니다. 정치보다는 경제살리기가 우선되어야 합니다.코로나 잘 극복 했득이 경제도 돌파구를 잘 찾아냅시다!
23,순              ,정치9단 박지원 의원님 감사합니다~~
24,김민숙              ,박의원님 이 번 총선 안나오시고 후배한테 넘겨주셨으면 더 좋았을것을요 어찌하던 그리되었으니 지금처럼 티비에 나오셔서 힘 찬 말씀주세요 저두 박의원님 존경합니다 힘내셔요 🌹🌳🌲😄
25,정대훈              ,박지원의원님  얼굴 좋아 지셨네 ㅋㅋ
26,casa rosa              ,뭘 그렇게 종이니에 대해서 분석까지~~그 할배도 인제 정치생명은 끝나지 않았습니까?
27,강민성              ,박지원 의원은 국회의원시절에는 어느분 말대로 싫은적도 있었는데역시 박지원 의원의 지금처럼 정치9단의 논객은 환영합니다..ㅎㅎ영원한 논객으로 남아주시죠..^^
28,구자운              ,박지원의원님~그래도 멋져요^^
29,참살이              ,러시아 역사학자  왈 니들은 왜 자국역사을 축소하나  중국 과 일본은 없는 니들역사도 조작해서  자기들 역사라 말하는데 👹👹👹
30,유창준              ,이런들 어떠하리 저런들 어떠하리 한세상 어렁치기 얼켜진들 어떠하리..  왜구 좀비당은 변 하지 않을 것 이외다.
31,Woo Jeong Kim              ,박지원님은 사회봉사 그리고 농사짖는 모습을 꼭 좀 보여주세요
32,이화란              ,미통당은 원내대표가 태영호 하시면 되겠네요 무슨나라에 큰인물처럼 모시더니 당연한것 아닌가요 ㅎ ㅎ  ㅎ 또개처럼 물고뜻고 해야죠 본능이 이닌가?
33,을지로              ,박지원...  엄청 많이 나오네...
34,백금성              ,새로운 개념일제수구새력보다전두환 새럭을퇴치시켜야 밝은사회이뤼진다
35,몰라몰라              ,현실 정치에서 내려왔으니 이제부터 박지원의 말을 제대로 들어볼 수 있는 시간이 아닐까
36,이그              ,민주당에 가만히 있었으면 엄청난 영향력을 가졌을텐데 .. ㅋ 어차피 정치란게 이런거죠 박의원님
37,이명희              ,박지원의원이 저 정도 얘기하는 것을보면 통합당이 대통령 만들려는 누군가를 밀어주려는 꼼수같다 그게 윤석열은 아닐까하는 의심이 든다
38,백수교              ,박지원의원님. 앞으로는 김종인과 기타 과거세력들과 결별하셔서유시민이사장님과 함께 선견지명의명쾌한 해법으로 국가경영의대들보가 되어주십시요.
39,정정진철              ,♡안녕하십니까 수고하십니다 수고하셨습니다 감사합니다
