,ID,Comment
0,둥글레용              ,드디어 젊은분들이 나서는 군요이제서야 진심이 통하는군요... 대한민국은 저력이 있는국민들이 있어 이만큼 발전했다 봅니다... 뭉클하네요~~
1,호랑이              ,젊언이들이여 일어나세요!미래는 젊은이들의 것입니다!
2,현경자              ,변호사님 이번부정선거 싸워서 꼭 이번투표 제두표 해야합니다 화이팅!!미래를 이끌어갈수잇는대한민국으로 힘이겨내자 비리 뇌물 정직한 대한민국으로 이제 선거불법없는선거 이번에확바뀌어야합니다
3,Sung-gyung Kim              ,"김소현 변호사, 브라보우! 걱정하실 필요 없습니다.국민이 뒷받침 합니다.국민이 늘 기억합니다."
4,이동영              ,젊은이들이 많네요.부정신거 바로 잡겠네요.
5,백경              ,이제서야 훌륭하게 젊은이들이  불의에 저항하는 실천을 하니..대단히 감사하고 강력 화이팅  지지합니다!
6,박성도              ,정알 참되게 사는사람였네요 진실을말하고퇴출을당했다영광스런 퇴출이네요만인에게 축복받는퇴출이네요국가와민족을위하여아름다운 퇴출입니다
7,김장필              ,국민들이여 일어나세요 완전부정선입니다 국저항운동시작합시다
8,심연화              ,김소연 변호사님 진심어린 애국변호사 입니다......자유 대한민국 민주주의 를위해헌신 하는 김소연 변호사님 ~~~응원합니다~~~~~~~~화이팅!!!
9,한민족              ,더불어민주당은 벌써 독재를 실시하고있다 이것이 북한정치방식이다 정의를 말했다고 제명된다? 이것이 어떻게 자유민주주의대한민국이냐 국민이여 일어나라 공산독재 우린 바라지않는다
10,금금강야차              ,뿌락치 제거가 우선이다. 우리나라 국민은 불의에 절대로 굴복하지 않는다. 악마들을 갈아업어버리쟈.
11,이희중              ,아름다운 강산 대한민국 지키자
12,구상욱              ,지금이라도 정의의 편에서 활동하시는 모습 자랑스럽습니다
13,이sw              ,4.15 부정선거 묵인하면 김정은이도 한국 대통령 된다 그러니 철저히 파혜처 관계자들 골로 보내야 한다 국민모두가 동참하여 진실을 밝히자
14,HS L              ,젊은이들이여  감사합니다이제 주인인 당신들이 나서 주세요우리도 뒤에 따라 나설게요현명하신 변호사님의 말씀 기대하고 지지합니다 감사합니다이제 희망이보입니다
