,ID,Comment
0,뉴스타운TV              ,"뉴스타운TV 자발적 유료화 구독료 후원을 현금 카드 등 다양하게 결재 가능한 ‘해피나눔’ 코너가 신설되었습니다.해피나눔 바로가기 https://www.ihappynanum.com/Nanum/nanum/banner/bridge/ZADW35BNPZ.nanum?memPayType=null항상 뉴스타운을 사랑해 주시고 응원해 주셔서 감사합니다."
1,jh cho              ,이 나라가 얼마 남지 않았다. 그것을 막으려면 국민들이 깨어나서 일어나 나라가 망해가는 것을 막아야 한다.
2,이희야              ,공산주의로갈속셈인데총선에서 이길자신이있다는건지아무래도 선거에 무슨 꼼수가있는것같네요. 자유한국당은 정신바짝차리고 선거에 임해야겠네요
3,이태우              ,사전투표 전자개표 없애자 투표는 당일날 합시다
4,박영규              ,이인영이가 민노총애들한테 맞겠는데요 그거하려면 귀조노조들연봉삭감해야하는데 말입니다
5,김규식              ,더불어당이감추었던 검은 발톱을 이제는 서슴치도 않고 들어내고 있다이자들은 공산주의하자고 것같다어찌 급료도 똑같이준다는것이냐
6,강드보라              ,민주당은 이미 주사파당임을 드러내고 있었으니 크게 놀랄것이 없는것같다  더 놀라운 것은 야당이 아무런 반응이 없는것이 더욱 놀라운 일이다 김문수대표께서 새당을 만든 이유가 이것이다 문재인만 끌어낸다고 해결되는것이 아니라 확실한 보수를 분별하여 올바른 투표를 해야한다  야당도 잘 분석해 주시기 바랍니다
7,윤귀연              ,이인영당은 우리밥먹지마라 북한가서밥먹어라  대한민국에서농사지은것인데왜  북한편드냐????밥값지불하고가거라
8,이기세              ,하는짖거릴보면 공산당이라볼수밖에없게말을하고잇잖나요자유대한민국을 다망조시켜노는걸우선으로 신경쓰는꼴
9,한국사랑              ,아직도 많은 사람들이 잘못된 주사파 문죄인정부와 더불당의 잘못  된것을  모르는 것이 너무나도 개탄스럽습니다.속된말로 똥인지 된장인지를 모르고 있습니다.제발 국민들이여 잠에서 깨어나십시요 ~
10,영원한자유              ,더블어민주당은 빨갱이 정당이 맞습니다.예전부터 알고 있었는데 오늘 방송을 접하고 보니 더욱 확신하게 되었습니다.
11,한찬우              ,사유재산 몰수해서 최저임금 알바비로 지급하고 지도부 당원은 호위호식 무소불위정권
12,김종옥              ,우리국민들  정말  정신들 차려야  자유민주주의를 되찾을수 있습니다  깨어납시다 좌파정치  몰아냅시다 공산국가들의  가난을안다면 자유민주주의에 나라들은 어떠한지 4월총선 더불어찍으면  공산주의자입니다 우리모두 자유민주주의를 지킵시다!!!!!
13,유은준              ,이인영 이런인간을 국회의원  찍어주는 국민들이 문재다
14,성루디아              ,저들은  진보좌파가  아니라  공산주의자들일 뿐입니다.국민들이  진보라고  속고  있습니다
15,Sung-gyung Kim              ,"그렇소. 그 이유는, 한번 좀비 곁에 가면 반드시 좀비가 되기때문이요.일컬어 ""좌좀""이 되는 법이요. 말 그대로 ""더불어서"" 좀비가 되는 모양이오."
16,박옥희              ,이인영돌아이  총선후 심판합시다
17,봄인가              ,공 약1호공공와이파이도 중국과연관있다던데요파헤쳐주세요
18,김호익              ,라도당아닌가 역적씨앗
19,최성일              ,통진당 이석기처럼 더블당모조리 잡아넣어야됩니다
20,경사울              ,총선에서 우파승리후 모든 법을 3/2찬성이 있어야 통과될수 있도록 개정해야
21,남궁소림              ,제발문재인좀끌어내길바랄뿐입니다
22,soung P              ,이인영 하는소리 들어보세요 중국닮아가자소리 아닌가요 뺀졸이 같이생겨 갖이고 하는짓은?
23,조미나              ,그럼 이낙연 17억내놔라!!김의겸이 시세차익본 돈 내놔라!!
24,fhj rty              ,왜가  뭐ㅡ우리가 굳이 속에 숨은 것을 찾아내려 할것도 없이  그냥  노골적 공산사회주의 빨갱이구만요ㅡ이미   확실한   부정선거  기획을 짜놓았기  때문에ㅡ  이번 선거에서  민주당이  다시 잡는다는 자신감이 있기 때문에  노골적으로  떠드는것 아닐까요ㅡ
25,나임              ,서서히자신들을들어내는이들을어떻케몰아낼까?빨갔게물들고있다무섭다!이정권
26,쌍둥할멈              ,추악한자들  지들은갖은도둑처럼  하고 왜?   칼들고나서
