,ID,Comment
0,6B              ,"심상정 말이 맞지.자영업자들이 어려운 게 최저임금이 올라서? 그게 제1요인이 아니지. 건물주의 횡포, 대기업의 단가 후려치기... 그게 해결이 안 된 상태에서 최저임금을 올려서 부담이 가중된걸 이딴 식으로 법개정하냐. 을과 을의 대결구도를 만드는 쓰레기들. 각성 좀 하자"
1,nya ong              ,"심상정의원 참 말은 잘해.. 중소기업, 자영업자,  프랜차이즈 점주들이 어려운 이유 설명 팍팍 꽂히네.."
2,김혜진              ,난 정의당 지지해야겠다 더불어는 어느누구도 노동자의편이 아니네 슬픈 현실. 정의당국회위원님 넘넘지지합니다 한결 같은 맘 쭈욱가세요~~
3,B정의용기              ,민주당 잘한줄알았더니  그것도 아니고..정의당이나 찍을란다.오늘 야근했더니 더럽게 힘들다.허리 뿌러질라하네
4,박경태              ,문재인 최저임금 만원 공약이 이렇게 될줄 몰랐던 사람만 순진한거지ㅋㅋㅋ 이제와서    요술방망이 찾고 앉아있네 ㅋㅋㅋ  코메디하는것도아니고ㅋㅋㅋ
5,근육드럼              ,캬~~~정의당 살아있다!!!!!
6,john s              ,정의당이 집권당이 되야하는데ㅜㅠㅠㅠ
7,송현직              ,저러고 연금은 꼬박꼬박  빼가지..ㅋㅋㅋ
8,최건희              ,이번 총선에서 정의당이 제 1당 되라!!
9,엄지              ,솔직히 이건 아니야
10,James Jeong              ,미래가 안보이네 정말 ㅋㅋㅋ 그냥 이민해야겠다
11,Black Leopard              ,와..민주당 서민편 아니야?이렇게 통수 칠줄은 몰랐네
12,양파              ,결국 더불당도 똑같다 민주는 무슨
13,박건우              ,ㅅㅂ 내가 이래서 대선때 5번을 찍은거여
14,GT              ,국회의원 최저임금 도입 시급 합니다.주 40시간 연장 12시간 나머지는 자택에서 공부해서 왔으면 합니다.  보충 설명 아래링크 달겠습니다.https://youtu.be/IA1gE8O0p-E 유럽국가 국회의원
15,Lee Summer              ,진짜... 미췽거아니냐ㅡㅡ 이럴 거면 최저임금 왜올린거야... 자한당은 원래그렇다쳐도 더민주는 왜저런거야? 의원에다가 행정부까지 자기네들이 올려놓고 실질소득 줄이기 위한 큰그림이었나?
16,유상조              ,서민 정책은 정의당이 나음.
17,Howard E Gaudes              ,신보라는 진짜 옛날부터;
18,시바이누              ,환경노동위원회 간사 한정애의원이 찬성을 한다고? 더불어민주당은 잘한다고 하면 꼭 딴 곳 으로 가더라 정신차리자
19,찐영구              ,의원님들 본인들 급여부터 삭감하고 근로자 위한다 타령하시는게 어떠세요? 자기들은 아니라고 돈 막 퍼주려고하시네
20,B급감성              ,"민노총,한노총 노조의 저변확대에 총력을 다해야 된다는걸 다시 한번 느낍니다"
21,네티켓지켜라              ,더붙어 지지해주는 이유를 바로 알아라 지지율 높아지니 삽질하네 기업의 개인건 자한당이나 똑같네
22,Yaaa heee              ,1:45 ㅋㅋㅋㅋㄲ진짜 심상정 팩폭너무좋다ㅋㅋㅋ
23,송현직              ,더불어가 자한당이랑 더불어였구나ㅋㅋㅋ더블로 쌩쇼를 한다..ㅋㅋㅋ
24,Fcseoulplus WITH              ,"이법에 내용은 노동자가 받는 상여금, 복리후생비가 없어진다고 보면 됨실질임금 삭감이라 보면 됨자한당과 더민당이 야합해서 기업주를 옹호 한것이지"
25,좋아용              ,국개들도  최저임금주라  그들이  무엇을하고있는데?  일반국민들보다  못한  수준가지고있다  일도안한다
