,ID,Comment
0,정하소              ,중요한 1년 예산결정을 하는데 대낮에 술이나 처드시고 한심한인간아~~~
1,바람소리설보름              ,어처구니가 없다 토착왜구 당!
2,메뚜기              ,이나라 대한민국은 문재인 대통령님과 더불어 민주당과 특히 민주 유튜버 큰일해냈습니다  감사합니다 비정상을 정상인 나라로 아~흐
3,K코로나박멸              ,원칙으로 뚜벅뚜벅 진행하는민주당은 역대 최고의 민주주의당입니다 멋지십니다민주당핫팅 문희상의장님 최고의 정의로운의장으로 기록될 것입니다
4,안대기              ,자한당내년총선에서찍지말자자한당은삭발하고시위하고법안통과못하게막는자한당
5,Pelania              ,사리사욕은 자유한국당이다  모든것은  자유한국당 때문에 국민이 스트레스 받는다는것 모르냐 ? 지기맘대로 엿장수맘대로  국민도 안보이는지  한심한 자한당들  내년 총선에서는  전멸을  할것이다
6,김정곤              ,자한당저것들이 필리버스터을 걸어놓고 민주당이자한당저것들을 완전히 깨부수더구만 아마도 속내는 부글부글 끓고있을거다 괜히 걸었다고 민주당의원들이 아주잘해주더라고 이인영대표아주잘했다 민주당최고
7,K코로나박멸              ,의회질서를 처참하게 무너트린당은자유한국당이다결성해라 당만 만들면 뭐하남인간같지 안은 인격살인정치막말정치만 할 너희들의 당은어떤다으로ㅇ변신하든 너희들은망할것이다 이젠 패당하니깐너희들이 저지룬 일을 합리화 시키려 하느냐 초등도 알것이다 너희들의역사는 역사의 악의무리 최악의암덩어리로 남을것이다역시 예상대로군 어림없다
8,사랑감사풍요              ,"자한당,민주주의와 국회를 망친게 누구인지 곰곰히 생각해봐라.초딩들도 알겠다.문희상 국회의장과 민주당을 응원합니다."
9,내코보코              ,내년 선거에서는 이런 야비한 깡패들은 발을 못 붙이게 합시다.. 저런 양아치가 국회의원에 있다는게 우리나라가 창피합니다..
10,deugsoo ko              ,문의장님은 역사의 영웅입니다. 자한당은 아무런 일도 안하고 무조건 반대하고 뒷다리만 잡고 있습니다.  그들은 국회의원이 아니고 토착왜구들 입니다. 그들을 지워버립시다. 26일 엄청 기대됩니다. 민주당 화이팅!!!!  문의장님 화이팅!!!!
11,노용구              ,자한당 놈들이 어디  대한민국을 위한 국회의원인가 썩은 물이 줄줄흐른다
12,유영순              ,자당 이름바꾼다고?거기서 거기지걸레는 세탁하면 재활용이라도 하지 쓰레기는 별짓다해도 소각장이야⚡우리대통령님 👍👍👍👍👍우리민주당👍👍👍👍👍
13,김경자              ,더불어민주당  화이팅더불어민주당 흥해라 자한당 뿔뿔이  흩어져 라🧹🧹🧹🧹🧹🧹
14,jbh jbh              ,심자철사빨간거짖마로국민팔지마자한당망해라국민바램이다
15,가나              ,자한당은 할줄아는것은 고소고발 밖에 없어서 다른 일은 머리가 안따라줘서 못해~ ㅋㅋ  몇십년동안 부정부패집단으로 반칙만해와서 정당한방법은 절대모름
