,ID,Comment
0,사다드              ,"위기든 뭐든 오기만 해라..!!! 다 쳐부수고 이겨줄테다..!!!우리는 대한민국 문재인 보유국이다.🤗언알바님,여러분 모두 새해 복 많이많이 받으세요~~!!!"
1,아몬드              ,총선이 얼마 안남았습니다. 힘내서 꼭 대승하도록 해야합니다. 국민을 생각하지않는 개검과 자한당은 벌받을 것입니다. 명절 즐겁게 보내세요!
2,이은화              ,언알바님.덕분에 유익한 시간 보내요.새해복많이받으세요.감사합니다.👏👏👏❤️❤️❤️👍🏻👍🏻👍🏻
3,영대함              ,감사합니다.지난 가을 서초동집회에 다닌 보람이 있네요.
4,이초롱              ,대통령의지지율이70%가 되어야 안심인데요~왜!!! 일부국민들은 가짜뉴스에속아서 좌파라고 해대는지 너무속상합니다😥😥
5,김영주              ,"더불어민주당 최초조상 민주당대통령후보 신익희 공약이 참신했는데 지금까지 통하는 공약이었다. 현대적으로 말하자면 적폐청산,공정사회,평화통일놀랍게도 문대통령 공약중에 하나이다.진정한 보수 더불어민주당 최초조상격인 김영삼,김대중,신익희,장면,윤보선반면 자유한국당같은 가짜보수들은 박정희,전두환같은 권위주의만 내새우고 있다."
6,망구탱이망구탱이              ,언알바님 새해 복많이 받으세요 항상 많이 애청하고 있어요  그리고건강하세요 (할머니가)
7,열려라참깨              ,국민들과함께  국민의맘을 전달하여 바른여론을 전파해주시는  언알바님 최고입니다👍👍👍🌱🌱🌱
8,풍뎅이대원              ,언알바님도 새해 복많이 받으시고... 늘 건강하세요
9,kg ys              ,어지간해야 믿겠지~~!! 억지도 정도껏 해야지 믿겠지!!  언알바님의 긍정을 믿습니다.
10,정은선              ,언알바님 고맙습니다새해복많이받아요^^좋은일만 가득할거예요모두 힘냅시다
11,이성환              ,모든 적폐세력들 잘들어라 이제 판이 바뀌었다 모두들 대기하라 줄줄이 학교가자
12,S Kim              ,항상 사려깊고 차분하고진실하게 알려주셔 감사합니다 Thanks 😊
13,보문성              ,우리에겐 진실이 있지요.
14,김종성              ,항상 고마워요!새해복많이 받아요!
