,ID,Comment
0,kk uj              ,문재인대통령님의 국민을 생각하는 진심이 통한거같네요국민밖에 모르는 참된 인성을 가진 우리 문재인대통령님 존경하고 자랑스럽습니다~
1,박준영              ,대통령님은 역시 대단하세요!! 당선되셨을 때 예상했던대로 역사상 최고의 대통령으로 퇴임하실 것을 믿어 의심치 않습니다!! 끝까지 응원하고 응원할게요!!
2,김상운              ,이분위기 대선까지 쭉 갑시다
3,진또배기              ,나 코로나 검진 받으러 갔는데 또한번 느꼈다. 국가가 국민을 걱정하고 보호해주고 있다고 느꼈다 우리나라 개선진국
4,민주니              ,지지율 급등소식을 전하는 방송을 보고있는 우리모두 같은 얼굴이겠죠...너무 기뻐하는모습~^^
5,nico 3ja              ,이제 정.당이 제대로 일을 해야 할 시기네요.지지율 굳히기 해서 민주당 장기집권 프로젝트 가동해야죠.
6,몸살감기멀리              ,문대통령님감사합니다 사랑합니다 자랑합니다 고맙습니다 크 어휘의 한계가 느껴집니다
7,최인자              ,웃는모습이 차암이쁘네요 기래기 쓰래기 미통당 저질들 개검들만 없어지면 너무좋겠는데요
8,big burger              ,구구절절이 맞는 말만 하십니다.예전엔 혼자 속 끓이고 답답해 했는데 일케 훌륭한 스피커들이 있어서 넘 고맙고 신나네요
9,마이클셈벨로              ,그쪽 당은 그냥 이제 신경 끄고 제대로된 진보 세력 만드는데나 집중해야... 자꾸 보수가 쇄신해야한다는데 개소리죠. 보수는 민주당인데
10,진또배기              ,부정선거 떠들면 떠들수록 차이는 더 벌어진다.
11,정종관              ,대부분  임기말기에는  지지율이 낮아지는게   원칙인데  이건 머  도로 올라가니 ㅎㅎ    박수를 보냅니다
12,Kevin Kim              ,문통 하고 싶은 거 다 해~!!!다시 북풍이 불었으면~!!!미통닭 이제 어떡하냐 ㅋㅋㅋ
13,공써니              ,문대통령님~♡  넘넘존경합니다~!♡
14,정미자              ,힘이 있을때 그힘을 제대로 사용해야합니다 힘을달라고 해서 국민이 힘을 실어주었으니  해야하는일  망서리지말고 정의의 칼을 휘둘러 주십시요
15,Jaemin Ryou              ,이제 필요한건 로마가 카르타고를 무너트릴 때 처럼 언론과 검찰의 팔다리를 하나씩 자르는 일만 남았음. 마지막 저항이 있겠지만 힘내자. 적폐를 멸망시키고 그 자리에 소금을 뿌려버린 로마제국 길을 걷자.
16,와일드독              ,이런데도 미통닭+기더기+개검은 정신을 못 차리고 있습니다. 진짜 이건 노답도 이런 노답들이 없습니다. 이제 합법적인 절차와 전국민적인 지지를 바탕으로 적폐들을 갈아마십시다.
17,묘갈              ,대박!!  이쯤되면 막하셔도됩니다 국민을 위한 법안들 마구마구처리해주시구~  검찰청장 옷벗기시구~공수처장을(최강욱)의원으로 세워주시길 ~🙋🏼‍♀️👍
18,김영주              ,이제 시작이다. 차례로 검찰 언론개혁해서 가짜보수를 완전히 궤멸시키자. 적폐를 완전히 청산하고 친일세력을 싸그리 몰아내자.^^
19,박시형              ,언알바님 모처럼 활짝 웃는 모습을 보니 나역시 뿌듯하고 기분이 좋아지네요 언알바님 끝까지 화이팅
20,claireyoon              ,언론개혁부터 하자. 21대 국회 바싹 정신차려 징벌적 배상과 가짜뉴스 방지를 위한 법 통과시키자
21,김uycgjd              ,사전투표가 조작됐다는둥 헛소리해서 그런거지 뭐 ㅋㅋ 얼마나 빡쳤으면 ㅎ
22,김애남              ,언알바님웃음꽃이확~피었네요문대통령지지자모든국민도같은마음입니다기분참좋습니다감사드립니다
