,ID,Comment
0,김홍천              ,깨끗하게 영입해라.불미스러운  일이 샀으면책임진다는 얘기 왜안하나.내로남불  더불어민주당.
1,Deborah Park              ,지금같은 현실에서 더물어민주당 으로 들어 가는 인간이 정상은 없죠
2,Lkjh0987 Kim              ,가짜 수혜자 어찌 이젠 말도 제대로못하냐잉? 여자 손 너무 꽉잡는다잉?
3,이형우              ,인간들아 재발 인기투표 만들지마라 재대로 정치역량 보고 뽑으라고 그러니깐 민주당 인간들 전신에 거수기 노릇만하잖아
4,김똑똑              ,제대로된 청년을 좀
5,SH J              ,인재 ㅡ뭔인재야 ㅡ문재네 보통일아니다 개판인재 문재다
6,Gravity              ,담양피떡갈비 아따 임오경 줘패뿌러
7,최석원              ,자승자박
8,김사랑              ,감성팔이  시체팔이   선동팔이  거짓팔이  ㅡ썩은네가  진동한다
9,LEE크낙              ,촛불야음에 애매한 분 인형의 목을 잘라 발로 차고 다니던 불한당의 동영상이 죽어도 머릿속에서 지워 질까?
10,푸ᄒᄒ              ,껀수 하나 잡었네...
11,Christian Korean and Republican              ,해골찬 이젠 한글도 못읽네
12,조인트스타즈              ,청년 청년 창업가 ㅋㅋㅋ
13,개복힝              ,1:13 논물 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
14,이요섭              ,저거..치매가 온거같은데..검증하자
15,Dong Han              ,멍충이 집합소야.
16,ssar9613 0              ,존나 양면성 오지네 ㅋㅋㅋ 맨날 젊고 스토리 좋고 영향력 좀 있으면 다 데려가려는거같은데 지네 꼼수에 지가 발목잡힌거지 개웃기네 ㅋㅋㅋ 꼬시다
17,이수용              ,"원래 그런거 아닌가 . 민주당엔 주로 운동권과, 전과자, 종북들,이 주로 모인다. 원종건같은  파렴치 범을 영입한건 별로 이상할것도 없다.단 들켰을뿐이지."
18,金美花              ,해찬이는생긴것부터 더러워
19,김병준              ,민주당은 적어도 사기칠능력이 되어야 당원으로 뽑힐수 있습니다.
20,알쏘              ,민식이법만 봐도 얘들 감성정치만 할라고 하고 얼굴마담만 찾는다...
21,kk sean              ,@1:08 논물표절 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 논문표절로 정정
22,전원사랑              ,ㅎㅎ  햇갈리네  ytn....좇다?   쫒다...나도 햇갈리네...
23,이정열              ,"좇다=×  쫒다=○ 아닌가요? 아님 말고~ 🤭🤭🤭,,,   🤔?"
24,야호야호              ,감성팔이 영입 터진당해골은 사퇴해야지
25,김지용              ,야.해골추하다ㅋ.ㅋ.ㅋ
26,free wyra              ,놀물 표절? ㅎㅎ한글도 모르는 것들이 기자하니? 이게 현재 YTN 수준.
27,혜린전              ,와~~~YTN정신차려라
28,gotae Do              ,역시 YTN 세금아깝다
29,Dex The              ,"2020년에 무슨 감동에 스토리냐...90년대도 아니고...그리고 지금 정부가 감정으로 잡은거냐?일 똑바로하라고, 부패나 정의롭게 하라고 중도가 표준거지...정의는 개뿔 ㅋㅋㅋㅋㅋ 아직도 옛날정치..."
30,Haelan Shin              ,민주당 내에는 정치할 인재가 없냐? 죄다 외부에서 들여오냐...민주당 입당하면 그냥 찬밥되는 거?
31,Lock이              ,다 거기서 거기야인간이 원래 그렇거든
32,수수익              ,말로는 민주주의 현실은 특정인 98% 몰표하는 공산당 이게 민주주의냐  절라도여 이중성 으로 세상살지말어라 니네들은 공산당읻가
33,Gert Lykke              ,YTN도 연합뉴스 KBS 종편과SBS 는 형평성 없는 편파 보도 일색으로언론 방송을 망치고 있는 중그나마 mbc가 공정함.
34,드웨인존슨즈베비오일              ,정치나 똑바루 할 생각해라.인기투표 하지말고.  ㅈㄴ한심하네
