,ID,Comment
0,아일리닝              ,알고보니 더불어의 숨은 스파이였다- 이말이야!
1,최낙현              ,네 알겠어요 그렇게 너무 티내지마세요.
2,나무              ,사격중지!~ 아군이다!~😂
3,식객 이명철TV              ,더불어민주당 스파이 ㅋㅋ 할배 멋져요.
4,TheSpluskim              ,울고 있다.. 웃겨서 ㅋㅋㅋ
5,du jin jung              ,더불어민주당 ㅋㅋ
6,J JY              ,알았다. 원하는대로 해줄게.
7,replays 80              ,저건 진정한 진심에서 우러 나온 말이다 진실이다
8,두번째펭귄              ,위원장님께서 그렇게까지 말씀하신다면야 나로서도 어쩔 수 없겠군요
9,개굴이              ,트로이의목마였구나
10,황병철              ,본심이 나왔어요
11,레인저              ,아 ㅆㅂ 개콘보다 더웃겨 ㅋㅋㅋ
12,prime venom              ,나는 김종인 말대로 해야겠다~ ^^저렇게 바라는데 ㅋㅋㅋㅋ 국회에 많이 보내야지
13,BHC              ,이래서 늙으면 정치를 하면 안되는 거임. 피아를 구분 못하는 사람을 총선패배의 총알받이로 데려왔으니...추호선생 총알값으로 노후 잘 설계하시기 바라고요..4년후에 또 나오세요
14,최낙현              ,우리 민주주의 세력의황크에 이은 종크인가
15,TAI UNG YUN              ,"더불어민주당 지역구는 후보자가 마음에 안들어서 기권하고 비례 대표는 열린민주당을 찍으려다가 김종인 선거위원장님에 말씀에 감동을 받아서 (영감님에 소원을 들어드려야겠다고 결심해서) 지역구는 더불어민주당을 찍고, 비례대표는 열린민주당을 찍었고 내일은 우리 가족 20여명 전부 지역구도 민주당, 비례 대표도 민주당을 찍자고 통큰 합의를 봤습니다 감사 드립니다 김종인 어르신.."
16,함박산              ,또 봐도 웃기네요? 영혼 상실! 답이 안나와요! 가만 계시라 하세요. 모셔오느라 고생한 황모씨를 원망해야지!
17,Peter Park              ,ㅋㅋㅋ 무의식중에 저런 말을 했다면 진심이다.
18,高談峻論kim              ,더불어 사람사는 세상 나라가 나라다운 나라를 위하여~애쓰시네요. 교묘하게 비슷한 사쿠라를 매화로 착각하면 안됩니다. 눈가리고 아웅하고 주둥이로만 애국을 씨부리면서 날로먹고 사는 것들은 노답.
19,Guiltypleasure              ,이해찬 : 김종인은 우리가 미통당에 보낸 자객이다.ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
