,ID,Comment
0,계정없음              ,여전사 전의원응원합니다
1,자유시장              ,유시민이라는분자기뇌가 60대때 썩는다고한분 아닌가요??
2,양짱              ,그녀석들. 대통령. 모독죄니. 국회모독죄니 하고. 떠드는데국민 모독죄가 얼마나.  무서운지 뽄대를. 보여줘야. 한다~
3,효자동무궁화              ,유인민.낙하산가족사도 말씀하셨으면 좋았을텐데. EBS. 또 어디더라.공수처 출신인가 낙하산을 잘타. ㅋ
4,최소신              ,전대표님!쭉 지지합니다 멋집니다 확끈합니다 시원합니다
5,Byung Soo Jo              ,사이다~~~~~전희경 의원 짝 짝 짝~~~~~
6,신경식              ,응원합니다 이제 제대로 정신차려서 화이팅 합시다
7,홍성민              ,하나 같이 맞는 말만 한다.  인민민주당당 좀 정신 차려라...
8,장정우 원장              ,늘 응원합니다~^^동향사람으로서 참 자랑스럽고 존경스럽습니다~^^화이팅~^♡^
9,Michael Jung              ,"무대야, 니는 말이다 희경이 반만해도 국민들 욕 안묵는다, 희경이 옆에서 가방모찌나 해라 쪼다 자슥아~~"
10,아싸라바아그라              ,"전희경의 힘은 다른 곳에서 나온 것이 아니라 진실입니다.진실과 충정에 그리고 학습에서 나오지좌빨 정부와 교육감들이 전희경 의원들이 설설기는 것입니다,"
11,해바라기문꼴통              ,썩어빠진미친집단임다  전희경님끝까지화이팅하셔요
12,블루파란색종이              ,시민아?네놈이.지금하는짓은 지하에있는 무연이가섭섭하게 생각할꺼다.죄앙이가 네놈 섭섭찮게해주고 있는게 아주.의미심장 하구나.죄앙이가아무런 댓가없이.네놈을도와줄리는 만무 할꺼고무언지는 몰라도 아주 큰껀이 네놈들끼리 얽혀있는게 의심은 가는데..??시민아?걍.무연이나 잘돌봐라?거기서 나오는쩐도 만만찮을껀데.욕심이 과하면 일터진다.시민아?어지간히 해라.
13,ha one story              ,시원하게 팩트폭격과 정의와 진실로  깊은 지식의 칼날 정말 날카롭습니다
14,ha one story              ,전희경의원님 항상 응원합니다
15,최정수              ,전희경의원님  유시민 이사장을 논리적으로 이겨네세요
16,JD Lee              ,알릴래오 성경에서 나온 말인가요?
17,최수민              ,"서민,물가"
18,Geunsik Yu              ,정치인들이전희경여전사반만되도나라가망하지는않을텐뎨~~
19,김창              ,김무성  김성태 유승민 하태경 이런것들 천만트럭 퍼담아 와도 한명 여성의원발끝도 못따라간다
20,098 qaz              ,전희경 의원님 항상 반박을 못하게 정확한 팩트로 완벽하게 귀싸대기 날리시는 분ㅎ좌파들 내로남불은 진짜 세계 최고 수준 ㅉㅉㅉ
21,복덩어리 빵대              ,전희경의원님 화이팅 멋있습니다
22,kim클라우드              ,야권에  이런의원  10명만있었어도 이지경은  안됐을텐데 애석하다다음총선엔  10명이상당선시켜  나라구합시다
23,장지성              ,똑부러지십니다ᆞ전희경의원님 우파에서 더큰일    더 잘해주시기 바랍니다 ᆞ우파인적쇄신도 부탁드립니다
24,카롱              ,유시민 티비나오면 바로 채널돌림
25,개구라문              ,개시민이 끝장토론  한번 하자고해봐   우파의 여전사 넘버원  전희경님은 무섭냐? ㅋㅋㅋ👍👍👍👍👍👍👍👍👍👍
26,김경란              ,지구를 꺼질레요
27,오대한민국              ,당당함에 멋지시다!
28,남익대              ,유시민은 그냥 찧어진 아가리로 먹고사는 비겁한 협잡꾼일뿐이다 생긴대로 살지어다 간신상을 타고났으니 그냥 간신역활에 충실할뿐 그이상도 그무엇도 아니다 그냥 내버려둬도 이나라 국민이 판단할것이다 노무현 팔이 간신배 유시민
29,You나비효과              ,심상정이 하는 말이 연동형비례대표는 물어보니 국민는 알 필요없다 고 한다 어이없네 누가 투표 하는지 상정이 한데 묻고싶다자유한국당는 무조건 비례대표 없애는데 국민는 대 찬성하니 계속 밀고나가면 국민 지지받을 겁니다  전희경 홧 팅^^~~~
