,ID,Comment
0,김세환              ,아... 질문 수준 참.....
1,이광재              ,여기서 향후 없어져야할 방송 잘  눈여겨 봅시다.
2,sakurapcj              ,기레기수준만 나왓네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 99%는 쓰레기들이다...
3,Michael Shen              ,왜이리 질문같은 질문이 없어.. 아니 다른 사람이 이낙연팔이를 했는데 왜 이낙연한테 이유를 물어봐..
4,김재현              ,기레기는 기레기네.
5,쩡쩡              ,자꾸 의석예상은왜물어!!
6,무리뉴              ,질문꼬라지하고는
7,원만              ,기더기는 나중에 파리가 됩니다지금 질문자들은 기더기에서 💩파리 되어가는 중입니다~질문에 진동하는 💩냄새 역시 못잡아서 안달~
8,Vs Park              ,민주당과 문재인이 솔선수범하여국가 국기 국민을 위하여 직무를 성실히 하도록 국민이표를 주었다과연
9,김가을              ,기자는 어렵지않게 되나?수준이..........
10,김동글이              ,저기 기자들 느무 질문못한다답답하다
11,Daniel Kim              ,거짓말쟁이들만 불러놓고 지금 무엇들하는거야 웃기지 말라
12,유승연              ,판도는  다  짜놓은 것  개표만  기다린다
13,마이썬              ,기자들 질문 듣고 있으면 열불난다. 영원한 기레기
14,지용규              ,이제는 좌 우 없는 나라가 좋은것 같아요
15,김정환              ,한국방송기자클럽은 채널에이 기자에 대해서는 언급 없나요
