,ID,Comment
0,이수진              ,역시 이후보님 대통령감이십니다 👍👍👍
1,최유리              ,조근조근 말씀 너무 잘하십니다..역시 대통령감...
2,정진이              ,이낙연님 참말로 잘하세요  존경합니다  이번총선 화이팅입니다 역시 대권주자 이십니다
3,j j              ,이낙연후보님 응원합니다.
4,노희자              ,역시 진실성의 해박~ 바로바로 나올수가 있을까요? 희망이 보입니다. 힘 내십시요.
5,백운철              ,역시 절제되고 현명한 답변! 그리고 시대정신을 잘 꿰뚫어보는 식견과 해박한 지식을 바탕으로한 정치철학 !  참정치인이자 지도자로서 자랑스럽다 화이팅! 이낙연 위원장님!
6,소망믿음              ,패널이 쓰레기네~ 이낙연후보님의 격에맞지 않는 자린데 애쓰셨습니다♡
7,이명준              ,기자들 참 한심하다
8,김동배              ,이낙연 후보님 응원합니다 이미 따놓은 당상입니다
9,전북나라사랑알리미              ,라이브 토론회방송 잘 들었습니다.차분하면서도 섬세한 답변에 믿음이가는 맘 어쩔 수 없군요. 저는 그런 생각을 잠시했습니다. 책임정당으로 정부와 협력하는 숨은 노력이 바로 이낙연위원장님의 선두지휘아래 있었음을 생각하지 않을 수 없겠네요. 야당심판이 아닌 국난극복의 마음가짐 속에 진실이 느껴졌습니다. 문대통령님의 혼자만의 노력이 아닌 좋은 맴버쉽 구축에 있지 않았나 생각합니다. 그래서 뜻이 있는 곳에 길이 있다고 하나봅니다. 정직하고 투명한 토론회를 보면서 좋은정치는 바른 인격아래 이루어진다는 확신을 가질 수 있었습니다. 맡겨진 어떤 일에도 당당하시고 부끄럼없는 성실한 행함과 태도는 국민들에게 진실한 소통을 가져온다는 사실과 세계속에 자부심 있는 대한민국으로 부상할 수 있음도요.국민들은 바른 모습 본받아더 나은 미래를 꿈꾸며  무궁한 자원을 가진 대한민국으로 나갈것을 소원하며 기도하겠습니다. 더불어 민주당 이낙연 위원장님 사랑합니다...홧팅!!!
10,kyousang you              ,"이낙연 총리님! 진실성 있고 모든것을 완벽하게 할 분 같은데요, 화이팅!"
11,알파리포산              ,대통령감은 대통령감이다.
12,Paul Hong              ,이낙현 이분은 언제 들어도 믿음이 간다 우린 이런분이 청치인인걸 자랑스럽게 생각하고 지금 이 마음 변치 않으시길 바람니다
13,마루맵              ,방송기더기라 해봐야 한줌정도 되는 것들이..클럽이니 머니 만들어서..하는 짓거리라니..
14,이중권              ,친문대릴 사위라 했는넘 어느넘이냐 이런 인간이 페널이냐 말 세탁해 해라  이낙연 화이팅
15,Yhd Y              ,21세기  대한민국 을  주도하는  새로운 지도자.민주당은   175석   석권  압승  예측.대한민국  은   세계를  리드 하는  초일류  국가로  나간다.대한국민 만세.민주당  만만세;다★♥★♥★♥★♥★♥★♥★♥
16,Dutaek Oh              ,이낙연 위원장님. 알만한 사람들은 다 아는 언변의 달인이시죠.  오늘도 역시! 존경합니다
17,구독하기              ,딴건 모르겠고 황교안 과 이낙연 두명방송 다본결과 하나 확실히 틀린건 황교완은 미리 다준비해와서 대부분의 답변이 다 써놓은거 읽었는데 이낙연은 써와서 읽지많고 머리 있는말만 말조심해서 하내
18,한미완의꿈              ,기더기  질문하는 꼬락서니.수준 좀봐라
19,김은경              ,이낙연위원장님 저희도 존경하고 사랑합니당~🥰🥰🥰
20,Dust in the wind              ,"이낙연 최고  차기 대통령 될사람이다.  이낙연이 민주당을 승리로 이끌것..국민의 70%가 지지하는 이낙연 화이팅.  This is the man who will be the next president of KOREA.  Nakyeon Lee will lead the Democratic Party to victory .. Nakyeon Lee, supported by 70% of the people, is fighting and final victor."
21,이경희              ,이낙연 총리님. 사랑합니다.
22,susie H              ,선거운동하실때 마스크를 안쓰시든데 꼭 마스크를쓰시기를 바랍니다. 황교안진영 확진자나 신촌지 확진자가 계획적으로 접근할수있을수 있으니 항상조심하기를 바랍니다.
23,ᆢᆞ              ,역대최악 국회만든  자한당 경제 민심모두반대  뻔뻔
24,정숙이              ,더불어민주당~♥  더불어시민당~♥ 더불어 열린민주당~♥ 우리 국민들이 원한다!
25,이승우              ,답변 클라스가 다르시네 ㄷㄷ
26,무결              ,더불어민주당 정책질문을 해야지 참 진짜 저런분들이 우리나라 주도하는 언론의 장급들이라니
27,myung joo Kim              ,질문 수준 왜 이럽니까??
28,김현희              ,"요즘 마봉춘이야 잘 하고 있지만,기레기 소리 듣는 부류들이 뭘 알아서 뭘 질문하겠다고 뻔뻔스레 앉아 있는지 참.....저들이 수준있는 질문을 하겠는가?이 전 총리님의 인사만 듣고 끈다.MBC, 지금처럼 쭈우~~욱 응원합니다 으랏찻차!"
29,코로나 이겨내자!!파이팅!!              ,MBC가 돌아왔네요~~요즘 진실보도를 위해 최선을 다하고 모든걸 다 거는 것 같아 감동입니다만 조금 걱정되기도 하네요ㅠ이제mbc에대한  무소불위의 검ㆍ언권력유착의 압박과 공작이 가해 질꺼라는  생각이 들어 국민으로써 우리 마봉춘과 기자님들의 안위가 걱정 되어 마음 아픕니다ㅠ우리 국민들이 끝까지 지켜주고 힘이 되어드릴 테니 쫄지 말고 검찰ㆍ언론 유착의 검은 뒷거래를 끝까지 밝혀 주시고 진실과 정의를 위해 국민을 위해 탱크 처럼 밀어 부쳐주세요^^♥♥국민으로써 마지막 희망인 마봉춘에게 진짜 감사드립니다^^♥♥♥♥♥♥♥♥
30,양선화              ,아낙연 진정한 정치인!
31,샤론스톤              ,역시칠푼이교안이와는천지차이네요^~~이낙연👍
32,Creator              ,역시 이낙연총리님 토론의 격이 다르네요^^ 이번 총선은 한일전입니다! 토착왜구 미통당 청산합시다!!!
33,692              ,기레기 총출동..
34,유채순              ,"이낙연 총리님 앞도적인 승리로  쭈욱  갑시다,.화이팅"
35,김명호              ,이게 나라다🎊🎉🍻
36,리슈넬              ,대선까지 가즈아ㅏㅏㅏ
37,박순화              ,이낙연 위원장님 응원 합니다
38,권인영              ,재난소상공인 대출도 사각지대가 너무많아 줄서서 표받고 줄서서 상담하고 보름을 쫓아다녀도 대출조차못받습니다
39,Jakob Kim              ,WOW!! 듬직 이낙연 !!!
40,go go              ,화이팅!
41,만드기sunpa              ,"믈론 지금여당의 정치노선이 옳다 라고만 할수는 없는게 이치이지만, 현재 나라 상황을 고려해 볼때 여러가지 정리할 필요가 있는 현안을 보건데.....보수도 좀 이번 한번만이라도 좀 투표를 재고해 봤으면 좋겠다.... 여당 압승으로 좀 변화를 꾀한 뒤 다음에 다시 지지하는 현상이 발생 했으면 좋겠다....."
42,Antal              ,피이팅 !!!
43,대한민국힘내라              ,이낙연후보님 격이 다르시네요
44,율실장              ,말씀 참 잘하심^^
45,밤맘대통령지지자              ,역시 이낙연이다!!!!   역시!!!!!
46,김명환              ,이낙연 후보님 화이팅
47,NALGE WEB              ,이번 선거는 무조건 민주당으로 가야 한다. 검찰과 언론이 유착된 게 발견된 이상....ㅡㅡ;; 얼머나 이 나라에 비리와 부패가 가득하고 억지로 죄도 뒤집어 씌우는 놈들도 있다는거 놀랍니다.  유신부터 국정농단에 잔당들이 얼마나 썩은 놈들이 이 나라를 흐리고 있다는 것을 알아야 합니다.
48,김미미              ,"문재인대통령과 이낙연후보님은 환상의 케미입니다. 두분이 계셔서 마음이 든든ㅠㅠ기더기들이 이젠 정말 정신차리고 제대로된 기자들 언론으로 돌아오길.,."
49,jandi oksun              ,이낙연 총리님!  화이팅! 화이팅!
50,hay-jung Ingeniat              ,이낙연 총리님의 지혜가 대단합니다 더 열심히 우리나라를 위해 일 하시리라 믿습니다
51,서현주              ,이낙연 핫팅  꼭  승리하세요
52,Gee Youl Soung              ,역시 이낙연 입니다
53,김민정              ,역시이낙연 짱멋져요.든든하고 믿음이팍가는  절제된답변 이낙연필승!.💙💙💙💙민주당필승!
54,ᆢᆞ              ,교안  업적  머잇냐🎷🐕국회버리고 장외 졍치쑈
55,던질까말까              ,수준 떨어지는 황교안 나올때랑 토론 수준 차이가 크네. 답변도 잘하시고 존경합니다.
56,박Sun              ,다음 대통령감이다이낙연님 감사합니다
57,이ᄀ              ,질문하는 적폐언론들  먼저 뿌리뽑아야  합니다
58,Jung Hee Lee              ,MBC 광우병 개의수첩..
59,Jong Hak Lee              ,이낙연  전 총리닝  응원합니다   정말 말씀  잘 하십니다 ^^
60,영하이카차              ,품격 끝판왕!!!
61,lovely Julian              ,누구와 정말 비교되는 답변클라쓰...! 이것이 바로 대권후보 클라쓰..!! 이제 대한민국도 클라쓰좀 높여보자!!
62,이윤성              ,이낙연의 화려한 말잔치!패널들 정신 차리세요.당신들 보다 똑똑한 국민들이지켜보고 있습니다.
63,바사라다이어리              ,이렇게 토론을 편안하게 끝까지 들어본적이 없는거 같네요진정성의 힘인듯 합니다
64,희순주              ,황교안이는 있는 그대로...이낙연이는 구렁이 담 넘어가듯 스리슬쩍 국민 운운하며...
65,이관              ,한번쯤  죽고싶다했던분들은  꼭 허경영 강연을  시청하세요.😅🙂
66,김레이              ,사실상 대선후보 인증 아니냐? 우와 너무너무 놀랄정도로 넓은 사안에 깊이가 있고 품위까지 보인다
67,김민정              ,권수표기자님도 진행잘한다
68,이관              ,현명함과 지혜로운 사람은 누구나 허경영을 알아봅니다.🙂 충분히 알아봅시다.살고싶다면..
69,Ju Young              ,아니 여성의원 여성장관이 왜 필요해?!  똑똑하고 일 잘하면 여자고 남자고 무슨 상관인데...여성 30%등 그런건 정말 반대합니다..왜 그런 제도가 필요해?
70,창훈              ,정말 패널수준이 개 저질이고 왜 이토론에는 패널이 다 매국신문 매국방송으로만 뽑은건지요? 의도가 의심스럽네요!  그래도 이낙연 의원님은 충분히 압도하고 있어서 다행이긴 하네요
71,Gold블랙              ,토론 후반으로 갈 수록 이낙연후보님이 분위기를 완전히 끌고 가심...패널분들 분발하셔야될 듯...갠적으로 이러한 정상적인 토론 본지가 언제인지 모르겠네요. 잘 봤습니다.역시 이낙연!!!!!👍
72,이환              ,문재인에서 노무현이 보였다면 이낙연에서는 노통문통 두분이보이는건 몰까요 !!
