,ID,Comment
0,오트밀존              ,저는 다르게 생각합니다당사자는 바로 우리 국민입니다도둑놈들한테 더이상 지켜달라고 기대할 순 없겠습니다
1,최수민              ,빵시기. 핫팅 최고 바쁜생활속에서도 늘나라걱정하시는빵시기 최고👍👍👍👍👏👏👏
2,양선아              ,당선된 이낙연일당들 표 도둑질 들킬까봐 표정이 당선되고 산 송장들이네
3,415총선은부정선거다              ,지금 나서서 싸우지 않으면 우리는 우리의 미래세대에게 죄를 짓는 것 입니다! 우리 아버지 어머니 어르신들은 싸웠습니다! 우리의 사랑하는 아버지 어머니 할아버지 할머님들이 싸워서 우리에게 이렇게 아름다운 자유를 선물 해 주신 것 처럼 우리도 싸워서 우리의 아이들에게 그 선물을 주어야 합니다!
4,미스터소프트Mister Soft              ,이것은 진짜 부정선거 입니다. 선거를 다시하고 관련자들 모두 처벌을 해야합니다.
5,내로남불              ,"통합당 애들은 왜 가만 있지,  한통속인가"
6,바다해 * QR 투표지 무효 전국 재선거!!              ,사전투표제 대신 투표 시간 연장하고 투표함 이동없이 투표소에서 수개표해야 합니다..
7,능금꽃              ,지가선거전에.어디에선가.부정만없으면.우파이긴다고했는데.맞아떨어졌네요.미통당.당선자들뭐합니까.들고일어나야지.다한통속인가.국개쌔끼들.조원진밖에없는데.황교안때문에.조원진대표마져.떨어져서.이제어떻게될지.한심합니다
8,Lee Nicky              ,송파구 공무원. 박환옥. 빼박증거 나왔어요 !!선거 관리관 이름이. [박환옥]인데. 베껴쓰다가. [박찬옥]으로 잘 못 쓴 투표함 봉인지 발견됐어요. 빼박증거 나왔어요https://youtu.be/3qnhw4Wbkds
9,Hannah Yoo              ,"무슨 황당한,,부정선거를 다루지 아ퟋ으려 했다니,,무조건 규명에 총력해야지,,국민이 몇명인데 숫자를 맞출수 있나요, 척보면 알수있는데,,전 객관적 입장임에도 바로 알수 있었는데,,국민이 그야말로 개되지 않되려면 직접 국민이 해야합니다,,,대선도 조작 가능한데,,1의 낌새만 있어도 들고 일어나야 할텐데 희한합니다,무슨 체면세울 일 있는 사안인가요?"
10,정의              ,빚을물려받고싶겠습니까 이런거지같은 여당이 눈가리고 아웅하는데 전의상시로 보여집니다
11,y              ,"3류시민이 말한 180석은 이미 조작계획 완성품""사기조둑+3류시민""의 합작품조둑 인생은 모두, 위조•조작•사기 범죄 그자체조둑을 구속 못으면 세계최악사기국 전락된다윤석열이 처가 구속후 조작선거 신속수사=구국처가구속해야 윤석열이 당당하게 할 수 있다온국민의 전폭지지로 ❤구국❤ 실행하자🇰🇷사기더불당+사기미래당) out, 깨끗하고 국민위한 당은, 상식 국민의당 뿐!"
12,JK              ,"통합당에 그나마 합리성, 논리성, 전투력이있는 민주당놈들이 상당히 견제하는 후보들만 집중적으로 막판 사전투표함에서도저히 납득 안가는 몰표로 역전.아니 당지지도는 1등인데 지역구는 완패이게 말이 되나?어느 정도야지 말이지. 통계가 애들장난도 아니고.음모론으로만 간주하고 움직이지 않고말로만 씨부리는 사이비 우파유투버 반성을 하던가 아니면 남비방이나 하지마라.너희가 백날 말하는 중도론 지겹다.지난 3년간 뭐했냐?"
13,민들레하얀              ,그러게 어떻게 단 한석도 차이없이 163석이 나와! 이건 조작하고 시뮬레이션 돌려봤다는 얘기? 양정철이 이 새끼 검찰에서 무슨 혐의 없는지? 분석해봐줬으면
14,정원              ,"앞으로 사전투표는 없애고 자기고유번호가 적힌 투표용지를 받아서 참관인 보는 앞에서 본인 서명,손도장까지 찍고 투표해야 합니다"
15,kim shannen              ,선거직전까지 구글 빅데이타는 미통당이 압승을 말함
16,D MC              ,응원합니다. 미국은 감청자료등 증거가 있을겁니다. 아 결국 믿을게 미국밖에 없나요? 주체적일수 없나요? 그나마 믿을게 미국밖에 없네요 ㅠ
17,산책길              ,도둑이 제발 저리니까 투표끝나자마지  무섭다 두렵다고 하면서 슬슬 도망가는 양정철  무슨 이런 액션이 다있노ㅋㅋ 도망가서 어디에 숨어 있을까?
18,오해피한벗              ,"더불어 조작당은 시작부터 끝까지 조작만 해대는 거디어,,,,,!!!!!"
19,0124 K              ,부정 선거가 있었으면 국민 저항권이 있다.
20,대한민국만세              ,여기에 악플다는 놈들은 부정선거 한놈들하고 한통속그 밥에 그 나물이니  신경쓰지 마세요.
21,쏘쿨              ,끝자리까지 맞힌 당선자수에서는 프듀의 냄새가 승전장군인 양정철 유시민이 은퇴니 야인이니 하고 뒤로 숨는건 또 뭔 수작일까요?
22,양선아              ,백퍼 사전투표 조작 !  빵시기 욕하는것들은   저능아 아니면 기생충 일것같네!!
23,트리스탄              ,미래통합당 왜 아닥하고 있냐.
24,하리보조아              ,음모론 굉장히 싫어하는데 통계상 말이 안됩니다. 사전투표 일관된 % / 보수지지 연령층 높은참여 더블스코어 압승 / 비례정당 투표율 역행 결과 / 한국 노스트라다무스 2인 정확한 예측 .. 가장 말이 안되는게 본진 좌파 비례 우파 찍는다 적어도 정치색은 분리되지 않는데 이번선거는 어떻게 가능한걸까요
25,Happy              ,구독합니다.응원합니다!!
26,zoo lee              ,미래통합당은 게으른웰빙족으로 사라져야합니다 우파도이명박파와 바근혜파가 서로투쟁합니다
27,신남원              ,설마설마 했는데 양정철 중국아마추어  프로그래머 불러 작당해놓코 조작하고 이작품은 조국이 머리에서 조국이작품이라서 죽기살기로 조국법무부 장관 시킬수밖에없는 상황이며 양저철이 잡아서 전기고문시켜야됨.
28,김숙경              ,"한 통속 인가봐여,국민들은 숨 넘어 가는데 ..  안중에도  없네 ..   더러운  세상!"
29,김순실              ,양경철 더블어 승리하고도 두렵고떨린다고 자기입으로말하고 도피했다고하든데요 지구끝까지찿아가서 잡히면 화영해야된다
30,Inwang              ,양정철 넌 언젠가는 처절 하게 당 할 날이 있을것 이다. 너희들의 노후가 행복 할 것이라 믿으면 큰 오산 이다.
31,구름파란              ,"건곤감리 우파 유투버 영상보면 예전에 황교안이 부정선거 가능하다라고 미리 알고있다라는 발언한 영상이 있습니다. 황교안 총선 대패후 바로 튀었죠? 이놈도 계좌추적해야 하고 조사해야 할듯...황교안은 알고 있었을듯....선관위 70% 좌파고 선관위 위원장인가 높은자리 놈이 문재인 선거 캠프 출신...황교안, 김종인 두 스파이의 작품일 가능성도..."
32,Hannah Yoo              ,"그야말로 나라가 어려워봐야 그땐 이미,,우물안 개구리 국민 만들어가는 이 정권,,"
33,조영기              ,양정철 무섭다 두렵다 겁난다하드니 미리 도둑놈 제발저리다옛말이 딱맞는 구려양정철 자기무덤을 판셈 입니나
34,간디진짜              ,제가 아는분 같은데...혹시 예전에 배우쪽?분명 아는데.... 오래전이라 기억이 날지
35,남이야남              ,양정철 개표후 무섭다고 도망갔고유시민 180 석 예언 하고 정치 비평 은퇴 한다고?
36,Qqazws상만              ,민족의반역자양정철.매국노 이런말로만표현할수밖에없네.사실이라면자자손손 한국에서배척해야할놈들...
37,NvthinBut Luv              ,ㅁ주연구원ㅡ저기가 아주 조작질의 본거지로구만. .저 ㄱ셰이!!! 우리세금으로혹시 운영하나? 이런 ㄱ새키집단들진짜.어째야되냐.
38,해선마스크              ,양정철은 사형
39,김정철              ,양정철은   문정권 조작의  행동대장 ?
40,정대장              ,침묵하는 미래통합당은공범 아닐까요?
41,zoo lee              ,저런 서류가 남은 것은그 속에 또다른 적이있는게 아닐까요?
42,서향전              ,속이 시원합니다 하하하~~~~~~~~~~~~~!!!!!!!!!!!!!!!!!!!!!!!!!!!
43,박춘복              ,부정선거빨리잡아주세요.국민들은꼭알고싶습니다.
44,플라잉니킥              ,더불어사기단
45,bird kay              ,사전선거수 파악 후 당일선거 예측수 도출한뒤 다시 이기는 선까지 사전선거 표바꾼거 라면  양심고백 나올거다
46,우덕기              ,유시민 양정철 국민투표 사기꾼입니다
47,우성도              ,양정철은 반드시 사형시켜야 되겠네요!
48,sunhjuliah              ,"양정철, 유시민 등등등 모두 잡아서 심판해야한다!!"
49,송호진              ,민주당이 이긴 이유는 통합당이 무능해서 그런거임
50,박유석              ,양정철처럼 부정선거를 하면 나도 200석 압승하겠다.
51,w3ro 29x              ,ㅋㅋㅋㅋ욕하는거 너무시원하고 맞는말이네요 🤣
52,손윤자              ,말잘합니다    속이시원합니다
53,Jung Suh              ,양정철이놈 대단타 민통당 뭐있나 반 넘은수가 탄핵찬성파 배신자들 중국 에 비지니스 갖고있는놈들 맹박 똘마니들 무생이 무리들
54,seong rae kim              ,양정철 중공에서  배운게 고작 조작이냐  전자조작 조잡더라
55,신재을              ,희망의 민주투사!! 자유민주주의 빵시기!!희망!!!자유!!!
56,대한민국 국민들이여.공산주의에서 벗어나자              ,동물농장 다가왔다
57,하영수              ,21대 총선은  사전투표는  문재인이본투표는  우리 국민이
58,불독              ,옳은맔씀감사합니다~^
59,윤사브리나              ,안민영 판사님 국민들이 부탁합니다부정 사전 투표 서버 기각하지 말아 주세요...
60,Min-Suk Ma              ,미통당뭐하는거야
61,사라              ,좌파는언론플레이먼저 하고항시장난질해서의심을피해가려는의도다
62,이규성              ,민주연구원장 부정투표연구원장아니냐 지금어디짱박혔냐 쫄아서토겼냐 더러운협잡꾼
63,eunja lee              ,부정선거 밝혀내자 심판하자 국민이여 일어나자
64,윤영숙              ,우연이  잦어면 필연이다
65,남허해용              ,민주원장양정철그는민죽의원수다능지처형를해도국민은분이안풀릴것이다
66,초롱이              ,총살감 이다
67,정순애              ,청말소름돋네요 기계조작을했으니 정확하게 163석이 라고 정확하게맞출수가있지요
68,서향전              ,대전시통합당에서 나선다고 합니다 기다려보세요~~~~~~~~~~!!!!!!!!!!!!!!!!!!!
69,장미자              ,좌우떠나서 이것은 공영방송들 나중에비난안받을려면빨리 발표하세요!
70,문 씁쎄              ,양정철  사형!
71,0124 K              ,어떻게 그 것이 가능할까?
72,김혜경              ,사전투표했는데
73,uh l              ,양정철 스끼 공개처형
74,동심로              ,청맹과니 내가 봐도 100 완전부정선거!!!! 그런데 율사가 발에 걸거적 거리는 통합당이 입닥치고 있는 기현상!
