,ID,Comment
0,쌘규              ,진짜 대단하다 문재인정부 ㅋㅋ 까도까도 끝나지 않아 계속 나와 ㅋㅋ
1,박재홍              ,나라가 미쳐구나 ㅠㅠ   돌아가신 국군분들이 지하에서 통곡하겠다ㅠㅠ
2,빠밤쓰맨              ,역시더불어 공산당.(이댓글은 문정부에 의해차단되었습니다.)
3,Lenanana Jj              ,이제는 정말 나라가 걱정됩니다.빨리 정권이 바뀌어야해요저런 사람들은 다 추방해야 합니다.반국 세력이에요
4,3 xH              ,하...국가가 심각하게 좌경화 됨. 지들이 풍자할땐 언제고 대통형 일못해서 비꼰 전대협 애들도 색출한다고 하질 않나... 여기는 북한..
5,Gil C              ,"이제 좀 있으면 남한침투 간첩들도, 조선인민공화국 독립투사들이라고 하겠네?..그리고 도람뿌님, 저는 도저히 문재인 여론조사가 신뢰가 안가는데 이거 한번 다뤄주시면 안될까요..."
6,Turret              ,"서해수호의 날에는 가지도 않은 놈들이 적국의 묘지, 심지어 우리들을 공격하고 죽은 사람들의 묘지로 가서 추모한다? 이런 비상식적인 행동을 보니 어이가 없군요, 이명박근혜때는 가짜뉴스에 그렇게 선동당해서 개지랄 다 떨었던 사람들이 지금은 왜 아무 말도 없는 걸까요? 서서히 빨간 나라가 되어가는군요.."
7,csb2001              ,더불어 공산 빨당이죠..
8,관동김              ,적국묘지 천도제 간 민좃당소속 국회 시장 시의원 문제가 있지만 더 큰 문제는 그런 인간을 뽑아준  유권자도 문제가 있어요.....
9,하상원              ,도람뿌형 사랑해요 형덕분에 사회공부 재대로합니다!! 유투브 100만 1000만 될 때까지 보겠습니다~~~
10,미국유학 남수TV              ,"진짜 가지가지 하네요ㅋㅋㅋ 국군의 희생은 추모하지 않고, 적군의 희생만 추모한다면 저들이 적군과 한패라는 이야기지요."
11,임나비              ,저 의도가 대체 머냐? 얼탱이가 없네.. 국민 대놓고 개돼지 취급에 우롱하는거임!
12,신쇼당              ,이런 정신없는 시블넘들.
13,에딘              ,족가튼 나라가 대 가고이씀~~문제인은 역적임
14,신대호              ,이니 시키 비추 존나 빨리도 찍네 ㅋㅋㅋ딱 하나 찍힌거 보소 ㅋㅋ
15,NAOMI              ,파주에 대깨문 득시글한데 파주부터 붉게 물들어 남하하려나봅니다!
16,김동섭              ,하루하루가 너무 심각하네요.... 솔직히 이젠 무서워서 글도 못쓰겠어요.. 문재인동무 다 들여다 보고있잖아요.. 제인생 29년살면서 군대에서 걱정안했던 대한민국이 이젠 걱정됩니다.. 이리걱정되는건 이번이 처음입니다.
17,김우주              ,야당에서 이거 엄청 수면위로끌어올려야되겠는데?뭐 평화?북한이 지금 도발이나 극단적인 폭력적인성향  다 내려놓고세계에 협조적이라도 하나?지금 이게 뭐하는짓이야
18,숭의男              ,정권 교체되면 저 공산당 해체와함께 북으로보내야합니다~ㅡ.ㅡ서해수호의날땐 쌍판도 안보이면서... 기가차네요~
19,우익하니맘              ,숨어있던 간첩들이 다들 힘차게도 대가리 처들고 나오고 있으니 좌표찍기도 심플해~ㅋ
20,ACE COMBAT              ,자유한국당은 민주당이 연일 이런 좋은 떡밥 주는데도 받아먹지를 못해요 빙신들
21,박순찰              ,"절대 검열 아니고, 개인의 사생활 침해 아니라고 하면서, 불법 음란물이라면서 통제했다.그리고, 이제는 오픈카톡방도 검열하겠다고 한다.나중에는 개인의 카톡도 검열하고 통신, 집회까지 전부 검열하고 나설 것이다.어떤 나라가 “우리 정부에서 국민들을 통제 및 검열 할 겁니다.” 라고 시작하냐하나씩 내어주다 보면, 국민들의 감각은 무뎌질 것이고, 추후에는 그것이 마치 당연한 것 처럼 통제를 받게 될 것이다.위헌인 것을 국민과 국가의 안전 보장을 위해서 검열을 하고 통제를 실시하면, 그것을 반대하는 사람들은 국가 전복을 노리는 세력으로 몰아부칠 것이 아닌가?"
22,우앙              ,더붉어 매국당 당명 좋군요~ 이색키들 정권바뀌면  매국행위 분명 신판받고 검열해야됩니다.
23,성본성본              ,"이젠 이승만,박정희 이분들께 절을 올리고싶다...왜 반공,멸공을 그리 강조하셨는지 이제야 뼈속깊히 느낍니다.이미 우리나라는 사회주의로 방향을 잡은듯합니다.그러면 문재인이하는 모든일이 딱 떨어집니다."
24,김향기              ,미쳤어요.귀신들은 뭐하나안 잡아가고.
25,EM Jin              ,다들 나갑시다 이렇다가 진짜 ㅈ될거 같습니다.
26,나융              ,제 큰외할아버지께서 참전용사이십니다. 요번 대선때 민주당을 찍으면 나라를 팔아먹힌다고 친척분들한테 전화한통씩 돌리시더군요. 이런 기사를 접하실까봐 제가 되려 송구스럽습니다
27,케시움마케힘              ,이채널도 분명히 감시할텐데ㅅㅂ 무서워서 댓글도 못쓰겠다 남산부활할까봐
28,킹흥수              ,도람뿌님 새로운가면은언제구하시나요 가면없으니까 뭔가 허전해 ㅠ
29,음유시인              ,아니 CIVAL 뭔 양파야? 슈밤 까도까도 또나와. 대체 어디가 끝인거지?
30,임시연              ,예전에 88년도 때 간첩혐의만 있으면 그냥 잡아가서 고문치사시키는 것 보고 미쳤다 라고 생각했는데 지금 왔어 보니 왜 그랬는 지 알것 같습니다
31,김운철              ,더듬어 터진당 몽땅거기에 묻어주마
32,Dong Hyun Kim              ,이런데 대자보나 조사하는지... 진정 국가 보안법 조사를 해야지..
33,토사칸              ,치키치키 도람뿌 화이팅!💕
34,뼈때리는팩트              ,역시하니 더불어네지나가다 저거하는거 봤으면 여기가 북한인지 남한인지 해깔렸을듯
35,타찬카              ,한명제외하고 아무도 참석하지않았다고...? 심지어 문재인만이 아니라 전부가?..........푸틴은 폭우가 쏟아져도 우산없이 비 다 맞으면서 소련의 희생자들에게 추모했는데...
36,롸잇나우TV              ,더불어 북한당ㄷㄷㄷㄷㄷ
37,한빛              ,저역적놈 뺄갱이묘지  왜 두는건가 모조리 파헤쳐  없애야합니다
