,ID,Comment
0,Mago              ,누구의 지시도 없이 자발적으로 참여했던 촛불국민은 똑똑합니다.스스로 학습하고 있습니다.가짜뉴스에 쉽게 현혹되지도 않습니다. 현명한 판단을 할 것입니다
1,서문은자              ,민주당은 강경하게하면 됩니다   국민은  끌려다니는 여당은 보고싶지않아요  너무떠들어도  독주라고견제하는게 국민들마음입니다 좋아도 마음속으로 즐겨주세요
2,佛당신은 부처님              ,비례민주당(자유한국당 2중대 당) 이라는유령당이~선관위에 신고해서 등록을 마쳤다는 기사를 봤습니다더불어 민주당 표를 분산시키고 민주당과는 아무 상관없는비례민주당  ?이 당을 한번 짚어 주십시요진짜 걱정입니다
3,김용호              ,자꾸 민주당 압승 한다고 여기저기서 말하고다니면민주당계열의 독주를 막기위해서라도자한당쪽으로 표심이 몰립니다조용하고 은밀하게 이기고 봅시다 좀!
4,최진미              ,사진만 봐도 짜릿합니다예상이 아니라 반드시 그리 될것입니다살면서 이렇게 선거가 기다려지긴 첨이네요그날은 우리 모두의 축제의 날입니다진실은 더디지만 드러나기 마련이니까요
5,우짜노              ,자한당  하는짓보면    민주당지지자들은  지역의원은 민주당 ~정당투표는 정의당 ~  정의당은 지역구 노~  21대에  개헌가자
6,김미진              ,자만하지말고 끝까지 신중하게 준비해야합니다. 저들은 숨어있는 표가 늘 있습니다~~
7,kevin y              ,180석도 안된다니 정말 정신들 못차린 우매한 민중들
8,김섭섭              ,묻지마 새누리 35퍼센트를 생각하면 참;:
9,하세요              ,이 번 총선은 한일전~~국회에서 발목만 잡는 토왜들 몰아내고 대통령님 국정운영 하시는데 힘이 되어줄 한국인만 뽑기로~~very useful contents!!
10,smf bluers              ,티케이 민주의 성지들이 왜구에 점령당해서 안타깝네요. 국민밉상동네가 되다니 ㅎㅎ 일본우민화 정책이 무섭긴하네요.ㅎㅎ
11,조인순              ,자만하지 않고 열심히 노력 해야됩니다 총선승리입니다
12,BM Kang              ,"정말.. 150도 불만족스럽습니다... 180, 200 했으면 좋겠습니다"
13,Hornet              ,지금 조중동 한국일보는 자유한국당의 승리를 위해 여론조사 결과를 자기 입맞에 맞춰서 민주당의 하락세를 부각시키고 있습니다. 저 기레기들이 뿌리내리지 못하도록 20대보다 더한 민주당의 총선 승리를 이끌어야 합니다.민주당 승리는 애국!자유당 투표는 매국!
14,Leonardo Di Caprio              ,대구경북은 특유의 밥상머리 교육때문에 힘듭니다. 대구경북은 반포기하더라도 승산있고 박빙승부가 예상되는 부산경남울산에 힘을 몰아줘야 합니다.
15,O- rora              ,"끝까지 긴장하면서~ 저들이 저급하게 갈때, 우리는 우아하게!!!"
16,이로빈              ,오만하면 한번에 훅 간다.끝까지  비열하게 가열차게 영리하게낮은 자세로 국민을 보고 가자마지막 기회다. 친일 정당을 몰아내자!
17,불멸의이순신              ,지금 분이기가 예전에 부울경 이 아닙니다 자한당 잘못하면 공중분해도  가능해집니다   부울경에서 총선 참패을 자한당이 당할것으로 보여집니다
18,Hyeonjoo Lee              ,우리 교수님 살려주세요 조국 법무부장관 응원합니다
19,PAMONG BAE              ,끝까지 방심하지 않아야 됩니다
20,HyeonJin Gwak              ,그당은 없어져야 합니다 이번에 총선 대선 무조건 이거야죠
21,박영길              ,깨어 있는  국민이라면 좋은  결과  있지 않을까 싶습니다    지지하며 응원합니다
22,송덕근              ,호남 의석은 6석 제외하고 남은 지역구는 모두 민주당 당선으로  예상 해봅니다
23,대윤LEE              ,"선거에서 이기려면프레임을 잘  만들어야 함올해 총선은 한일전 프레임으로 몰고 가야하고, 문재인정부가 일할 수 있도록  확실히  밀어줘안 한다는  인식을 갖게끔 해서 사표가 안나오도록 해야 함"
24,쎈막강대한민국              ,촛불 시민은 박근혜와 순시리 일당만 정리 했은뿐 아직 자유바른당 토왜 국개들은 시작도 정리도 하지 않았지요 총선에서 깔끔하게 정리 해야 겠지요 한일전 가즈아~~
25,이승우              ,Informative news
26,박영자              ,세월호 참사 제수사하라
27,노자한노재팬              ,보통의 상식을 사진 국민이라면  자유한국당을 찍겠습니까? 어차피 시멘트지지율이 있기에 저 토착왜구당 30프로는 가져갈겁니다.중도.진보성향 소수정당들과 협치잘해서 과반수로 가는게 가장합리적일듯하네요. 물론 민주당이 단독으로 과반을 가져가는게  가장좋긴하지만요.
28,궁이궁이              ,전남ㅅㅊ!!!!꼭!!!공천 잘해주세요 여긴 당보고 안찍어요 사람능력보고 찍어요 지금인물은.... 혁신적이지 않습니다 희두님이 공천특위에 계시니~~ 알려주세요~~~~~!그럼 파란색일꺼에요21은 20때 빨간색...... 장지진단사람 어디갔니?ㅡㅡ
29,msc bae              ,대구경북 제외한전지역 민주당 싹쓸이 가자~~
30,shetf 684              ,3.1운동의 성지 대구가 지금은 왜구들만 찍고있으니 조상들 분통터지겠네요
31,werxcv werxcv              ,어제 광주 mbc 여론 조사 뉴스 보고 다시 방송하세요.
32,준성              ,이번엔 일본당 쓸어 버리지 못하면 그만큼 일본에 당한다
33,퇴출티비조선              ,대구 중심 경북은 타카기 마사오랑 제발 일본에서 살지 왜 한국땅에 살면서 토착왜구 짓을 하며 살까요?
34,정연건              ,이깁니다.확실히...조심히 진행해야하니  조용히 준비해나갑시다!!!
35,사이다              ,대구경북 윽 창피하다ㅡㅡ 이사가야겠당
36,LCS just_you              ,더불어 경북도당도 힘냅시다
37,Bruce Oh              ,당연히 압승입니다 자한당은 대구경북에서 몇석건지고 전멸합니다 겨우 교섭단체구성만 해도 잘하는것입니다
38,Love Moon              ,전투는 이겨야 합니다 깨시민이 당을구축해서 비례대표를 가져올수밖에!!!적폐들이 기레기와 같은 배니 움직여야 한다
39,이희정              ,너무 낙관적이면 위험해요 탄핵정국에서도 대선 24% 나온당인데 지지율 2배는 차이나야 안심될듯~
40,남태미산지기              ,이번에 개혁 실패하면 식민지체재를  영원히 벗어나기 어렵다는 생각이 듭니다
41,민들레              ,2020년 우리 민주당 202표  목표로 잡아봅시다
42,박경화              ,총선은 한일전이다 대구도 변해야ᆢ
43,Hyeonjoo Lee              ,왜진짜 아상합니다
44,조운용              ,설레발 치지 맙시다.
45,장진갑              ,응원합니다. 화이팅!!!
46,KIM경관              ,이번총선은 한일전입니다   무조건  이겨야합니다  사표가되더라도  더민주당에  몰빵해야됩니다  200석  가즈아
47,박영숙              ,1인이 1표씩 뺏어와야 해요항상 나오는대로 하면 장담 못해요
48,Zhang Paul              ,민심 다 돌아섰다.전라도 소수당으로 전락!
49,j해바라기              ,대구 경북 바뀌자 버리자  자한당의  꼼수에 속지좀 말어라
50,꼬꼬모링              ,저도 전남이지만  서로 민주마크만 달고 나올려고 전남 광주 쓰레기 의원들도 다바꿔야 변합니다 언제까지 민주당으로만  여기도 한심해요 한심해
51,김성옥              ,"압승?. 꿈 깨셔!. 총선일 까지 아직 100일 더 남았기에 어떤 변수가 대두 될지 모르겟지만, 특히 부산 경남은 난전으로 봅니다.정치적 소신이라는 것이 절대 중요하지만, 시대적 과제나 당면한 민심의 흐름을 무시해서야 정치인이라 할수 없을 것이라~~~."
52,reisende LEE              ,민주당이 지역구 최소 135석은 가져오고 비례 최소10석해서 145석은 될것으로 본다.
53,별자리              ,민주비례당은 꼼수로 보이기 때문에 역풍을 맞을 수 있습니다 반대입니다
54,전설의에러왕              ,이런건 설레발인데...자유당 그리 쉽게 망할 정당 아니다..그들의 집요함과 지역구도 재편은 민주당에서 쉽게보면 큰일난다.. 저들이 지금까지 존재한 이유가 있는거지..
55,서제시카              ,이 지도에 약간 오류가.......경상도도 많이 깨였습니다 경상도도 파란색으로 칠해주세요 ㅋㅋㅋㅋㅋㅋ
56,오기웅              ,총선에서 꼭 심판합시다
57,177001710 J              ,내가 기억하는 건 오신환... 표가 쪼개지면서 당선이 되었죠..
58,킹스맨pro              ,황희두의~눈동자는깨끗하다👍
59,노민정              ,얼른 선거하고 싶다
60,새벽별              ,어느분 말씀처럼 '국회국산화' 합시다 ㅎㅎ
61,배금용              ,전국민 이 함께 민주당으로 몰표.o.k        자한당 기레기 들 1도 없음.필패
62,Yc P              ,압승 원함
63,설래설래              ,위로는 되지만 세뇌된 늘근이들도 만만찮을겁니다.어쨌든 더민주 몰빵해 봅시다.
64,금대호              ,"2020년4월15총선,   국민에,현명한,판단이필요하네요"
65,WITH A              ,정말 좋은 기사네요. 이런걸 공중파에서 해줘야 하는데. 그냥 저번선거 결과로만 비례계산만해서 나오니. 그런게뉴스라고 ㅡㅡ
66,HELLO띵동              ,미래에서 왔읍니다 자유일본당 49석차지합니다. 그리고 지들끼리 니탓하다      당 해체합니다.
67,최정민              ,총선압승은 반드시  이루어져야 됩니다 그래서 반민족주의자들 과 토착왜구놈들 심판해야지요!
68,김창하              ,김도사가 점을칩니다 민주당180  정의 60  자한18 나머지 무소속 끝
69,박희동              ,토착왜구 이 땅에서 박멸해야지요.모두 투표 잘 합시다
70,:D날아라또치              ,꽃피는봄날 왜구벌레들을 박멸합시다!이번선거는 정말 한일전 입니다..
71,김송기              ,헌정파괴정당  개빨주사파 오마불순세력은 북으로 가서 살아나람망치지 말고
72,박영자              ,어려울  것갇아요
73,신똥파리를 박멸하자              ,이번에 개한당을 반드시 공중분해 시켜야 할 것이다 내 생각은 지역구로만 160석도 가능하다 본다 문정권의 성공을 위해 기필코 압승을 거둬야 할것이다
74,민주도리 71              ,무조건 이긴다!
75,windyand              ,황희두님..앞길에 정말 많은 행운이 함께 하시길..고마워요..♡♡
76,KH Lee              ,여기에도 웃기는  놈 많네~
77,werxcv werxcv              ,나이 어리고 경험 없는 티를 가급적 자제하세요
78,청파루              ,이번총선은 민주당 폭망이다길거리 여론조사보면 문통지지율 20프로 안팍이다지난 총선은 순시리덕분에 일당되었지만이번엔 서민경제 폭망으로수도권에서 폭망 일거다
79,이나옹              ,그래도 끝까지 마음놓지말고 2016때처럼 이 악물고 100할거 120의 힘으로 싸그리 적폐를 뿌리뽑읍시다!!상대를 과소평가하느니 과대평가하며 끝까지 긴장하는 자세가 필요합니다!!
80,추을수              ,희두씨 고생해주세요 응원합니다.
81,이쭈니              ,가능하지요
82,정의로의갈망              ,Good  news
83,박영자              ,티브에서  좋은  똑바로  방송않하니까 잘모를수도  있습니다
84,Last First              ,민주당이 압승해서 자한당 사라지면 향후 2~30년간은 한국의 다양한 분야에서의 발전이 보장된다.
85,장돌배              ,미친정부죠.나라말아먹은당
86,문두현              ,정치공학적으로 접근만 안한다면 160석 돌파할겁니다.  총선은 민주당이 압승입니다
87,김송기              ,나라망친 개빨주사파 꼼수집단 미꾸라지 오만정당 전지역에서 폭망이 예상
88,서진석              ,Good nrws!!!!!!
89,COREA대한민국 태극기              ,자유일국당 선대위원장인 윤짜장이 문재인정부와민주당인사의 편파적인수사와기소가 문제입니다
90,김제연              ,개가웃을짓 ㅡ탄핵이답이다ㅡ
91,정기다릴께 현현              ,꿈도꾸지마라 미친것들아 권력찾지말고 국민을찾아라 인간이라면 민주당은 입닥치고있어라 뻔뻔한인간들아
92,ms j              ,20대는비례표가 국민의당으로 갔는데 그게 민주당으로오면  과반은 될수있다고본다
93,TV이피              ,자만하지 말아야..
94,김태명              ,왜구광역시만 빼곤 압승!왜구광역시는 답이 없음.
95,Kraus kim              ,새로운 선거법으로 비례표 뺏기는것도 감안해야죠.
96,권영징징이              ,과반이 문제가 아니다...200석 넘겨서 헌법 개정해서 자한당과 적폐들 모조리 박멸시켜야 된다
97,Soungho Kang              ,민주당 황희두 화이팅
98,정우재              ,민주당 4ㆍ15  당선 가능의석수 -지역구 169석-비례 8석-총 177석 예상!
99,깨시민              ,시민들의 정보와 상호교류는 상상을 초월한다. 이세상에는  비밀이 없다해도 과언이 아니다. 그걸 알고 모르고에 따라 어마무시한 결과가 나온다. 수구들은 정보를 애써 외면하는거 같던데 그럴수록 생존이 위험해진다.
100,김재복              ,역시개소리
101,조성빈              ,원주는 왠지 안될거같아요 ㅜ
102,김소연              ,강원도는 아닌듯....
103,나님              ,경남경북 깨시민들 믿습니다.
104,지철기              ,선거는끝나봐야안다.
105,양인석양인석              ,이번에 자위당 몰아내야 나라가 산다  경북지역  한나라 새누리 박사모 까지한 내가  자위당은  답이없고 고인물들이 똥물이 되서 썩고있음
106,한알리              ,민주당 이번은폭망
107,잭팟              ,대구는 불가능... 저긴 나라 팔아먹어도 자한당 지지율 80% 동네라...
108,한인의열단go              ,틀딱들이 아직 많이 생존해잇습니다방심하지말고 딱200석만 확보합시다
109,MS1969 LEE              ,이제 대구경북 왜구들은 본국으로 추방해야됨
110,장비              ,폭망이기다린다 뭐한게있나?
111,Hyeonjoo Lee              ,절약아니에요저 믿으세요 괞은 사람입니다. 맏어주새요.정말 너무한다. 32대우리 삼촌  내가 처음으로 선조에 32댜 손 기국공파 이. 현. 주 나 아
112,SooJKim              ,시민들이 비례당을 구성해야죠!!!
113,박연희              ,개 풀뜯어먹고 있네
114,kiki              ,이번에는 왜국놈 몰아내야죠..내년 총선은 한일전!!!!!!
115,김명기              ,수면봉창이랑 일체유심이쫌 띨띨해
116,이종범              ,리얼미터 겔럽 여론조사 믿지마세요 길거리 여론조사가 정확합니다
117,soony Byun              ,민주당 승리 가자 그래야 울 나라 미래가 있다
118,무8907              ,압승을   바라지는 않습니다이기길  바랍니다
119,ms j              ,무조건 1번에 기표하면 대한민국은 정의롭고 공정한  상승국가가 될거다
120,송치재              ,"내년 총선! 민주당 200석 가즈아!아베한테 사과 해얀다는 주옥순, 대한민국이 망한다는 성령을 받았다던 전광훈, 국회를 전복 시킨다는 황교활. 이러면서 대한민국을 위한다고? 나라 망하라고 아주 염불을 외우는 놈들을 국민들이 잘도 찍어주겠다!"
121,김송기              ,상식과 기본되어 있는 저유대한 국민을 우습게 보지마라  맹목과 맹신 무식으로 상식이 통하지 않는위선자들 맑게좀 살자
122,Simon Choi              ,간보기의 달인 챨스가 돌아오는 걸 간과한 것 같네요. 순박한 절라도 사람들이 또 당할 가능성이 많거든요. 특히 관악구 오신환
123,Y.D Jeong              ,"2018년  지방선거와 비슷한 양상으로 나타날거라고 생각합니다. 과거 자한당을 지지했던 중도유권자들은 투표불참을 하지 않을까 싶네요. 유승민이나 돌아온 안철수가 대안이 될수없고 그렇다고 황교안은 민주당보다 더 무능한 상황이니.... 결국 자한당 지지 20%는 대구 경북 경남서부지역을 중심으로 표출될 것이고, 수도권은 처참하게 무너질거라고 생각되네요."
124,나민주              ,떠나라위기체포영장수감제발안보내드립니다!네
125,존드레곤              ,민주당 찍는사람 있을까요?국민이 바보인가요
126,이찬규              ,이것은 일제 잔당을 물리치고 언론 기레기 공무원들 곧곧에 숨어있는데.일베들이 아직도 많아요 그래서 우리가 끝까지 힘을합쳐야 합니다
127,김환규              ,맛좀 봐라......
128,아문재              ,뷰웅신들 ㅋㅋ 민주당 폭망이야 민심을 봐라 아직두 대깨문들 있구나 보나마나 ㅋㅋ  때깨문 정신차려라
129,김규태              ,"잘 해보슈,,,젓같은 나라,,,망하는 길로여당 아니면 전라노에서2% 이상 나온거 있냐?"
130,김제연              ,박멸시키자ㅡ청와대ㅡ더불터진당
131,KOREN              ,"지금 현재 현실적인 국민감정을 기반으로 한다면 자한당이 부,울,경,대의 47석중 잘해야 반타작할거라고 보면 25석...  나머지 지역구에서 10석...  비례 5석 ...   총 40석이 될거라 보는데,  심정적으로는 나머지 지멱구에서는 한표도 안되길 바람..."
132,이한희              ,개 돼지 국민들이기에 그럴 수도 있겠네요
133,박근수              ,"TK ,독립자유민주 공화국 독립 정부 축하합니다."
134,김규태              ,"87 석 나오면 잘 한거지,,,쑥막들아,잘 한게 있으며ㄴ 대자보 붙여바라멍청하기"
135,김송기              ,선동 여론조작 개빨정당 사라져야
136,Peirong Yu              ,이것도문빠냐
137,팔공              ,이번은저질정치인퇴출시킵시다
138,이덕임              ,당연히.압승.해야죠.총선앞두고.쓰레기들이.극성입니다💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝🎉
139,김인숙              ,"투표는민주당비례도민주당,오로지 민주당,,,후세에게학살자당범죄자당세금도둑질당물려주면안된다,,"
140,김철규              ,대구 경북은 자유한국당 텃밭 ᆢ???   대구 경북 사람들은  황교안 지지지자들 ᆢ???  대구 경북 사람들을 어찌보고 이런 예상이나오는지 ᆢ???
141,Muwie Dosik              ,오바스러울정도로 두렵습니다. 우리진영내에 그누구도 걱정하고 두려워하질 않아서 입니다. 용기를 북돋기 위해 긍정적으로 분석들 하시는거 일견타당하고 이해합니다만. 우리나라를 관통하는 정서는 안타까움 연민이지 오만함 당당함이 아닙니다. 이긴다고 지나친 과신이 들어나는 발언들이 투표소갈 발걸음을 멈추고 중도의 국민들의 마음을 돌린다 확신하고 있습니다. 조금만 부정적이고 조금만 덜 자신감있게 전망하고 발언하고 걱정하길 진정 부탁드립니다.
142,박영자              ,검찰개혁 정치검찰  이뢰내자
143,양성환              ,무슨 바보아니야
144,박영자              ,윤석열처단하라
145,혁이              ,민생경제 뒷전으로 미루고제밥그릇 챙기는 당은선거에서 퇴 시켜야겠지요
146,콘사도레              ,극좌파 딴따라 인가요? 란란란쇼를 하시나요? 절라도에서나 민주당이 압승할듯. 구독자 한사람의 의견이었습니다
147,박영자              ,검찰개혁  정치검찰  이뢰내자
148,EAST SUN              ,나라의 미래보다  권력욕에   메말라 있는   자유한국당 꼼수에 절대로 넘어가면 안됩니다!
149,Mago              ,반드시 민주당 과반으로!!!지역에서 압승하도록 힘모아야합니다.그리 되리라 믿습니다
150,김영희              ,이성윤 요놈을 연탄집게로 눈탱이를 팍팍 쑤셔서 정은이에 같다 주어라고 해야겠네요
151,찬어느바람              ,한일전 충분히 한국이 이긴다.
152,lee하늬바람              ,박근혜  너그들 생각처럼 더파헤쳐라그리고 노무현 일파들도 이제 파헤치자이명박 일파들도 다시 파헤치고지역 당을 떠나서 다한번 죽여보자
153,김아무개              ,자한당일본놈들는 지긋지긋한 무좀 이다
154,오드리될뻔              ,비례민주당= 자유한국당뭔거 하나라도 얻어걸리까해서그리하나요
155,7나그네              ,TK만 또 빨간 빨갱이지역으로 남는 거 아님?
156,조국문재              ,민주당 비리집단 국정농단 전과자민주노총 전교조 참여연대 나라개판 법을지키지말라
