,ID,Comment
0,동천동호랑이              ,"오만 이미지라니 국감때 문재인 비서진들, 장관들 , 최근 추미애, 박능후, 이해찬, 이인영. 오만에 뻔뻔하기까지 하다. 혐오스럽다.멋대로 국민 국민 들먹이지 않았으면 좋겠다.그런 명령 한 적 없으니."
1,송암              ,국민의 명령? 어떤명령? 조작여론조사의 지지 국민?
2,taehoon Paul              ,ytn이 이런 뉴스도 만드나???ㅋㅋ정신차렸네
3,Johnathan              ,왠만하면 ytn이 이런 기사안내는데 진짜 민주당 심각함 멍청한건지 오만한건지 구분이 안갈정도임
4,S.K Kim              ,그래서 좌파골수 진중권교수까지도 멍텅구리집단을 천하의 잡배라고 한 이유를 알겠습니다
5,별빛헤는밤              ,한마디로 입발린 소리만 하는 대깨문만 바라보다가 망했다는거네
6,조남석              ,오만방자한독재민주당은망해야정상이지
7,파이리              ,오만과 무능 그리고 거짓말과 내로남불이 합쳐져있는 미친 정부다 이정부는
8,KI AZu              ,YTN도 총선후 ㅈ될거 알고 슬슬 손절각 보고있네
9,이원근              ,국민의  삶 은 어디 에도 없 고  저들 만 살려고 하는 쓰래기들  태워서  없애 버릴 것들
10,바람구름별              ,Ytn이 웬일이유!정신차리려나?
11,Psychedelic rock              ,더듬어 공산당 더불어 강간당니들은 해체가 답이다
12,안소민              ,"내로남불, 변명, 언행불일치정치에 관심 없는 나도 느낀다~뭐 다른 정치인들도 도긴개긴이겠지만..."
13,이영호              ,더블당이인영!날치기당인 너희들이 국민 운운하며 오마방자하니  총선에서 반드시  모가지를 쳐줄거다.
14,쭈니쿤              ,더듬어공산당 다운 결과구나 어휴 오죽하면 조작하던 기레기들이 등을 돌리냐 ㅉ 자업자득이다
15,김kjk              ,추락하는구나  민주당 정의당  국민  심판 답 이구나
16,SK박건우              ,민주당만 빼고~
17,지피지기              ,"더블어 경제,외교,안보,국방,재해의 대한 ""무능의 극치""를 보여줬다~~~!! 절대 다시는 집권해서는 안될 집단이다~~!!"
18,지호              ,와 ytn이 이런 방송을 내보내네.아직까지 문제인 빠는 방송은 jtbc정도밖에 없겠구만
19,Black Kim              ,검찰개혁이 아니라 코로나부터 막아라 호구들아 중국인 입국금지시키고 신천지사이비 얘들 전원구속시키고 뭐하냐 니들
20,진행복              ,오만이 아니고 본 모습 보여준거지
21,ps              ,민주당 오만과 모순 거짓 그 자체지
22,김똘이              ,없어져야 되는 더불어민주당!
23,앵두              ,민주당  18일 이 인영 장애자 연금혹대 미친 발표세금폭망 질주하더니 ( 우한  )을 추경 탓 하구미친 정부 민주당 미친 정부 문 재인
24,바람소리              ,이나라에  민주당은 빠져라
25,샤론지크프리트              ,중국인만 막아서도 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ마스크지원 1번도 큰데 2번이나 게다가 ㅋㅋㅋㅋㅋㅋㅋㅋ중국이 한귝을 위험국가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋ
26,원후              ,이제는 외국도 못가네 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋ 국제호구 대한민국 인정합니다
27,자유한국              ,더불당은. 중공/북괴 편에서서 좌편향 정권이다국민은 개돼지로 만들고. 국민을 인민이라 하는 집단이다더불당 소속 장관들의 작태를 봐서 알겠지만 답이없는 불순집단인거. 이제 국민들은 알고있다
28,짱가              ,더불당들은 제발 말할때 국민좀 들먹거리지마라 토쏠린다.저거 비리 감추려고 하는기 어디국민이 원하는 이라고 입을떼노 속이 매스껍다.
29,h k              ,앞에선 정의로운척 쑈질 뒤로는 더러운짓은 다 쳐하니까 그렇지
30,양기석              ,이미지가 오만한게아니고 원래 오만방자 합니다
31,일기장PKM's              ,지들의 검찰이였지 오만방자하기가 아주
32,상톨이              ,응~~ 민주당 아니야.국민들의 명령은 너희 더불어간강당이 사라지는 거야.지구상에서 사라져 재앙이하고 같이
33,주찬휘              ,총선이 코앞이고 멀리봐 대선도 있는데 왜 문제인 이해찬은 함부로 말과 행동을 하는가. 뒷수습은 요즘 이인영이 열심히 하던데...이념과 사상을 떠나 선거와 민심을 보고 한마디 던져 봅니다~
