,ID,Comment
0,金淑              ,"김현종...보면볼수록 인물이다.배짱두둑,현명,거시적안목..크게 써야될 인물..그릇이 크다"
1,김혜정              ,김현종 차장님 힘내시고 앞으로 더 우리 국익을 위해 힘써 주세요!
2,큰강              ,카리스마 죽이네..... 밑에사람 후덜덜하겠네.......... 아니면 일부러 누가 엿먹이려고 저렇게 써놨나....그런데 알아차리네......
3,독한나              ,김현종 멋있다
4,b h.              ,차기대통령감..김현종님 당신이 나온다면 기꺼이 한표..가족들까지 말씀드리겠습니다.이낙연 국무총리도 좋으나 당신이라면 국익을 잘 생각하실듯 합니다.
5,박종민              ,카리스마 살벌하다...
6,전종관              ,김현종멋지다
7,sin써니              ,눈빛 작렬멋지다
8,그린마린              ,당연한 반응이죠 ㅋㅋ 응원합니다
9,진만김              ,남자답다...ㅋㅋ
10,수비빅              ,김현종은 서희장군이다
11,김노이              ,근데....귀여우시네!직원 잘 하세요.
12,김별쩔              ,김현종 차장 이양반도 물건 일세
13,멸치볶음              ,김현종 멋지세요.
14,man hee lee              ,카리스마~~ 쩌네요~ ㅋㅋ
15,S.H Park              ,이거 실시간으로 보면서 의아했음 ㅋㅋ
16,You IM              ,??? 이럴때 샤타소리 엄청터지는게 레전드
17,달이차오른다              ,능력에 카리스마도 장착♡♡
18,나어진              ,"0:33 ""이거 좀 잘못된 것 같다"" 이거 말할때 왜 멋있냐 근데 박지원이 언제 부터 무소속이었나?"
19,J가브리엘              ,ㅋㅋㅋㅋ  김현종 차장님 갸우뚱~  귀여우시다 ㅋㅋ
20,wonbo jo              ,박지원이 공식적으로 무소속이라는걸 처음 알았네요...
21,신혜진              ,"웃으시는거 왜 귀엽고 난리야...ㅎㅎ 이분 진짜 장군이심! 문통, 김현종차장, 김어준, 조국 세상 젤 멋진 네 남자^^"
22,ktpy sjy              ,직원 너무 혼내지마세요^^김현종 안보실장님 화이팅 ~~은근 호감이네 ㅋ
23,저기하지않아노력은              ,아 진짜 왜그리 멋지냐..카리스마 쩐다
24,Il faut tenter de vivre              ,"순간 정적...ㅋㅋ김차장님, 너무 귀여우심..ㅎㅎ"
25,jeanne jang              ,"김현종 단호박 귀욤 ㅎㅎ박지원은 창당명은 정치구당으로,,"
26,마르스준              ,시말서각 ㅋㅋㅋㅋ
27,49 ever              ,생각없는 국개의원이면 그냥 끝까자 읽었을듯.
28,ee h              ,차기 대통령감으로 찍었습니다
29,JiuJiteRonin              ,귀여워보이는건 나뿐인가~^^?
30,james lee              ,아이분 왜이렇게 귀엽냐ㅋㅋㅋ
31,낭그              ,김현종 차장님 은근 귀여우심. ㅋ
32,ever green              ,걘찬아~자유친일당에게 빌미  주는 실수만 하지말자~~~
33,졸라맨              ,민주평화당은 탕자가 망가트렸네
34,ya k              ,ㅎㅎㅎ살벌김현종차장님!!!사랑해요.
35,들불처럼              ,박지원 의원 민주당입당 하시나?ㅋㅋ얼마나 살떨렸으까 저거 써준사람 ㅋㅋ
36,순돌이              ,카리스마 오졌음 저 중요한 자리에 감수 제대로안한 담당자 욕은 먹어야겠어요
37,인간탐구생활              ,리얼 갸우뚱 표정 어쩔ㅋㅋ 왜 나는 귀여워보이지ㅋㅋ
38,Bryan Bae              ,빵 터졌어요!!!!! 힘내세요~!!!
39,geewoong lee              ,ㅎㅎㅎ
40,The Rose              ,김현종.조국수호. 문세종 정부!!
41,니누긔야              ,이분 귀여우셔요ㅋㅋㅋ
42,웃쨔              ,국가일을 하면 심한 질책을 받아야한다고 생각함 나라일을 하는데 허술하면 안되지
43,KO DONGJIN              ,현정권 가장 멋진분..차기 대선주자로 밀어드립니다
44,Keuihee Line              ,김현종 화이팅 ! 애국정치인  ! 최고 !
45,내목숨을아이유에              ,처음 인사할때 눈빛보셧음?? 완전 호랑이 눈빛!!!!!!!!
46,kjy30605              ,"김현종 차기 외교장관, 김종대 차기 국방장관이면 든든할 듯ㅎㅎ"
47,김지수              ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
48,김kim6609              ,"실수도 스무스하고, 남자답게~~넘어가네요!너무 멋있어서 몇번째 보는건지!ㅋㅋ"
49,정연우              ,대통령후보 할려면 차기 총선에서 당선되야해요~~^^
50,이똘똘              ,직장인이라면 이 영상보면 등줄기에 땀 쭉  흐른다
51,복조리부동산              ,멋지다.
52,sunny& puppy              ,김현종ㅎㅎ
53,SANG-HOON KIM              ,솔직하자. 박지원이 국민의당에 정의당 등을 모아 합해서 과반수 만들어 주어 문재인 정부를 뒷받침했다.
54,찌니              ,카리스마 쩔어요 ^^
55,허당철학              ,"카리스마 쩐다,,,,,,,"
56,John Kim              ,김현종 차장!!  능력자지요...ㅎㅎ 업무력 만랩!!
57,He song JUNG              ,은근 멋지네요!!!!
58,김정현              ,ㅋㅋㅋ완전  귀여우시다
59,Dr. Eve              ,볼수록 매력~~♡
60,GaemaMusa              ,시말서 일본식 표현이예요 인간아 !!! 경의서라고 써야지 !!!!!
61,장미선              ,구엽네요
62,yaek0523 kim              ,ㅋㅋ 박지원 의원님 고마워 하실 듯~
63,박상용              ,차기대통령 엄지척
64,진순조              ,ㅎㅎㅎ
65,최재형              ,ㅋㅋㅋㅋㅋㅋ
66,H LEE              ,김현종님이 워낙 머리가 좋아서 ...부하들이 따라오기 힘들겠지~~ ㅋㅋ
67,marc *              ,... ???
68,김상미              ,솔직하실것걑고 카르스마도 있을분같은데 좀 강해보이시네요
69,웃으면복이와요              ,저 사람 바보 아냐~
70,y k              ,귀엽다
71,삼행시ᅳ              ,ㅎ
72,김카멜              ,박지원 정치구당의원
73,북미              ,저 직원은 생각이 있는거임? 경질부탁
74,왕서방              ,한글 공부하는데 재미있음
75,이복남              ,김현종 무지하면 용감하군 지소미아 파기시킨 후폭풍 어리석은 국민들만 당해보면 알듯
76,yusu              ,좋은분인건 누구나 알지 당연히 큰인물이고 ㅎㅎ난 조금 걱정되는게민족주의가 강해서 때론 오해부를수있다는게 조금아쉽지 나쁜건 아닌데 여러말들이 나올수 있는 위치라 정치쪽에선 시비안걸면 좋겠다.외교는 국내 정치완 완전다른 영역이라 우짜든 앞으로 국가를 위해 잘하리라 봅니다.
77,말도로르              ,공무원 색히들 정말 일 좀 제대로 해라.이것들이 월급 도둑질이나 하고.
78,카카오              ,"""수구초심"" 이라는 말이있다....자기가 주도해서 탈당해서 국민의당으로 갔던지 안철수가 꾜셔 국민의 당으로갔던지이제 노욕을 버리고 다름 총선 불출마하고 더불어민주당 들가야야 하는것이 맞는듯...다음 출마한다면 안받아 주겠지만 다음총선 불출마하고 더이상 국회의원 안하겠다고 하면 고향인 민주당에서 정치마감 하는것도 좋을듯....그렇게 된다면 이낙연 총리 다음으로 총리자리 한자리 할수도 있을듯..."
79,Kim Kidari              ,기자다운 기자가 아쉽다이게 보도 꺼리나되냐?부끄러운줄 아세요들~
80,광어독도              ,얼마나박쥐같이 옮겨다니면 소속이 헷갈릴만도하지
81,icarus k              ,참 뉴스 꺼리가 그렇게 없나? 의미 없다 기랙이들아............
82,이로고스              ,정치 이하집산이 현실 언제 바뀌려나
83,gene young yi              ,"김차장도 잘못,한번은 흝어보고 말했어야지"
84,Situation Overwhelming              ,그래... 정장 안쪽 포켓속 사직서를 꺼낼때가 되었다!!!고 그는 느꼈다.
85,타맥2015              ,본인이 읽어봤어야죠
86,명품인생              ,아직도 써준 원고를 읽냐? 그러니 국제 문제 제대로 해결한다면 그것이 이상하지...이제 Show 그만들해라!!!
87,대_한_민_국              ,가짜 뉴스 = JTBC
88,우짜노              ,사전에  한번읽어보지도않고  브리핑하냐?  정신나간  인간들  많다  바로바로내보내라
89,유선균              ,너무 뻔뻔스러운 좌파들지능에  의심이 든다.
90,이종복              ,같은 부류니까그렇게 말했지. 원래 청아대 거짓말대왕 문죄인이 있잖아. 아래에서도 똑같구만.
91,다크소울              ,정부하는짓이 한심하다..하나를 보면 열을 안다..얼마나 졸속으로 만들었으면...연설문을 검토안해보고 그냥 주는거 읽은건가 김현종 똑똑한줄알았는데 실망
92,sanghyeok lee              ,문통이 가짜뉴스가 불안감 키운다고 했는데  청와대가 가짜뉴스 발설자 김현종 ?   지소미아 종료 미국과 협의했고 이해 했다고했는데  자고일어나니 폼페이오가  실망했다고  하네요..... 누가 가짜 뉴스퍼트리나  조국살리려고 별 쇼다한다
93,강명숙              ,이정권이 전정권보다 더 악질이다   코너  몰리면 가짜로 매도하고  여론몰이로 친일 프레임 씌우고 적폐?  니들이   바로 그 적폐다
94,Bawi God              ,"[가난하고 권력없는 문빠] 이니가 시키는대로 열심히 하고있는데 이거이 아닌가벼~~~조국같은 부자문빠만 챙기고, 지소미아 포기하는 거 보니혹 이니가 원하는대로 북한식/중국식 사회주의국가를 만들게 되면조국같은 부자문빠만 챙기고 우리 가난한문빠들은 토사구팽되는겨 아녀 ?  ...  지금은 투표권이 있어 대접받지만....투표권 없으면 밥버러지 취급 ~~~후덜덜~~ㅠ.ㅠ"
