,ID,Comment
0,hyegyung rhe              ,제발 이완영이같은 무식한 놈은 쫌 국회의원 시키지 맙시다. 성주군민 여러분 !!
1,lee유랑이              ,주진형 사장 제대로 야지 놓으시네ㅋㅋ멋지다 한성깔 하시네ㅋ
2,alexandra jeong              ,안.했.습.니.다. 꼭 두번씩 물어보시는데...(뒤에 ㅅㅂ 정도가 생략되었다면 어울릴듯)
3,종헌              ,"민주당 당원하고, 최순실이 하고 뭔 상관이냐?개 쪼다같은 시키."
4,강태영              ,이완영아 지금 최순실 국정농단 청문회라는건 알고 나온거냐?질문하는 꼬락서니가 답답시럽다.저 지역 성주 사람들은 숨막혀서 어떻게 사냐 ㅉㅉ
5,Dumb & Dumber              ,"청년 실업률 너같은 국회의원이 있으니  당연히 높을수 밖에는 , 세금 축내지 않을려면 빨리 내 보내라 이완영 쓰레기"
6,하이로우              ,증인도 아닌 참고인한테 저러 쓰레기 질문을 하네. 진짜 경북 칠곡스럽다.
7,마스터젠              ,세무조사면제기대하고돈냈다고하면당장걸리는데..푸하..질문수준봐라..성주사람들은참행복하겠다..저렇게훌륭하니..
8,Ball4 k              ,국조에 이따위 인간을 올려? 개누리 이왕 맛간거 자폭쇼라도하고 싶은거냐?
9,임쭈              ,이완영 지역구 주민분들 김진태의원 지역구 주민분들처럼 시민의 힘을 보여주시길 바랍니다
10,쥐새끼와닭이없는세상              ,이완영 이런 쓰렉같은인간!!!주진형 대표 진짜 상남자다!!!너무 멋있다!!!
11,Jin R              ,이완용 이름값하네
12,KAGE-rody              ,이완용이랑 최순실 관계 조사해봐라 뭔가 나올꺼다
13,NO JAPAN NO JAHAN              ,조상이 이완용인가 어처구니가 없네 국회의원 자질도 없고
14,다회              ,이완영이 참고인에게 개쪽 당하네... 참고인 멋지네...당당
15,이빌죠공폭룡              ,이놈은 진짜 비선개입 조사할 마음이 전혀 없음. 그냥 어떻게든 물타고 시간끌고 훼방놓을려고 처음부터 작정하고 특조위 들어 간 놈임. 당적이 도대체 이번 특조위랑 무슨 상관이라고 저런 질문하는지 생방때 순간 채팅창 다들 기가막혀서 폭주 ㅋㅋㅋㅋ
16,그린헤티              ,저런게 국개의원이야
17,붉은라면사생활              ,주진형 저분 잠깐봤는데도 소신있어 보이고 멋지시네
18,프로컴퓨터              ,아직도 이런 분이 있네요 이완영우리나라가 아직 멀었구나...
19,Namhee Hnh              ,이명박이 서울쥐라면이사람은 시골쥐같다
20,엔딩크레딧              ,"이완용, 총수 청문회하라니깐 퇴근시키라 하고 참고인 조사하고 있네 ㅋㅋ 새대가리 수준하고는. 장학생인가 의심이 든다."
21,cjjcp79              ,이완용이는 저기 와 나갔노 재벌들 뺠아주러 갔구나!!
22,Dumb & Dumber              ,"저런 인간을 뽑았으니 사스가 그쪽으로 간다고 할수밖에 성주 고령 사람들 다 좋은데 우짜다 저런 무식꾼을 뽑아서 온갖 창피를 다 당하나 이완용, 이완영 매국놈들"
23,장정현              ,이름 따라가는구나
24,Won Snag Kim              ,이완영이 생긴 것도 야마모토처럼 생긴 게 완전 일본 간신배처럼 생겼다
25,판사님비트주세요              ,이완영 진짜 ㅋㅋ 동영상 제목이 살리네 참고인 데려다놓고 사상검증하냐 증인심문때는 물타기지리고 난또 무슨 일자리창출심포지엄인줄  마지막엔 허락하시면 나가겠다니까 나가래놓고 자긴 나가라한적없다고 우디르급태세전환 지리구요
26,Lucia              ,이름값 오지네
27,강내현              ,국조특위 멤버는 당 지도부가 결정하는거냐?새누리당은 국조특위 개판만들라고 이완영 저새기를 멤버로 넣은거냐????
