,ID,Comment
0,히휴              ,55:52 김경수
1,s요원              ,박주민 멋지다
2,s요원              ,내가원하는 속풀이 이해찬. 박주민
3,김현숙              ,해가 찬~~해가 찬네~~
4,카렌리              ,해찬으로 가고 50년 플랜으로 가즈아
5,mildstorm 2              ,엄청난 돈 퍼붓기에 엄청난 방송 시간 투자에 비하면초라한 조회수초라한 댓글들...이게 지지율이에요?
6,글쎄요              ,박수~
7,경원최              ,"민주당 의원님들~!뉴스타파 나경원 딸을 유튜브에 찍어보면아주 여러편이 시리즈로 나와있고상세히  보도하고 있는데ᆢ보셨습닙까?다 보고나면나경원 입시부정, 성적조작은정유라와 아주 똑같은 양상을 보이는데 민주당이 고발 않고 지나가는게 이해가 되질 않습니다그게 몇년 전인데좀 자한당 악다구니들처럼 왜고발 고소.  수사 요청 안하셔서오늘날의 나경원으로 키우셨습니까?아이쿠~한심합니다.조국 딸은 제도에 맞춰 모든 노력을다 하고도넘치도록 한 부분을 의혹만으로이렇듯 인격살인을 해대는데ᆢ답답들 하십니다."
8,해바수              ,우리아빠나왔따~~~
9,PROCOTRA              ,기분 좋다~
10,하눌타리              ,이해찬 당대표 이제 2020총선 대승 가즈아
11,김영              ,더민주당 추대표님이 그리워지네요 ㅠㅠ
12,topjjj jang              ,그 좌뇌만 쓴다는 그사람들인가?ㅋㅋ 김정은 꼬붕이 좌뇌들 오야지라지。ㅋㅋ
13,annv Ka              ,적폐 모임 인가요?
14,공치기좋은날              ,공산당 집합소
15,Yelina.K              ,"저도 이해찬당대표님에게 표를 준사람입니다 믿음이가니깐요진표는 자유한국당에 너무너무 양보하고 누가누구를 미는지 믿을수가 없슴진표는 그냥 자유한국당으로 가는게 맞다 친재벌이니까.,.당에있을사람아니다"
16,JayO Kim              ,"이해찬(노무현) vs 김진표(삼성, 친재벌)"
17,대전에사는성준이              ,2019년 사회주의 발전방향을 위해 힘을 한데 모읍시다.
18,김영자              ,민주당 폭망해야정신차린다비열한 의원들
19,무등산호랑이              ,이거시벌.여우같은눔이 대표가됫으니.정치가 한참후퇴하겟네.인물이그리도없냐.개가웃겟다.캥캥캥
20,정옥순              ,더불어민주당 결국엔 해체된다
21,marcelo park              ,민주당은 주사파 임종석에 의한 대한민국  전복을 지금이라도 포기하라. 그렇지 않다면 니들 특히 추시바뇬 김경쑤바 놈 이재명 안희정 이해찬 전부 북 부역자로 무기징역 또는 사형이다.
22,calanore              ,"여기 채팅에 이해찬을 음해하고 모욕한 모든 더러운 채팅내용들이 다 남아있다. 너희들에게 김대중 대통령의 1969년 효창운동장 연설로 얘기한다. [이 더러운, 민주주의에 대한 원수들, 이 용서 못할 조국에 대한 반역자들, 나는 분노와 하염없는, 통분된 심정을 금할 수 없으면서, 내가 호소하는 것은, “하나님이여! 이런 자들에게 벌을 주소서, 국민이여! 궐기해서 이런 자에게 철퇴를 내리라!”는 걸 호소하고 싶소.]"
23,ᄋᄋᄋ              ,더불어 나라망치는 당!! 보기 좋습니다^^
24,JayO Kim              ,선관위 뻘짓하는 거 아닌가?
25,이명원              ,이번엔 어떤쌩쑈를?~~
