,ID,Comment
0,박미자              ,아스팔트에서  가장 멋지게  빛나는  안대표님👍👍👍👍👍👍👍
1,자유대한민국              ,핵사이다! 우파의 투쟁력전사님! 최고이십니다
2,GOEMSOOK JI              ,"안 대표님, 든든합니다! 대한민국이여! 함께 깨어 일어납시다!"
3,박미라              ,안정권님 진심 감사합니다 이렇게까지 희생하시는모습 감동입니다 입으로만떠드는 사람들하고는 비교도안되는 큰일꾼이십니다 우리가 안정권님 지켜줘야합니다
4,Blue Bird              ,안정권대표가 일당 오천만이네요!대단하십니다!
5,한종수              ,안정권 대표님 감사드립니다 끝까지 싸워서 이기는 애국자님 응원하고 소원성취 하시길 기원드립니다 정확한 팩트로 전달해주는 안정권 대표님 거듭감사드립니다
6,진옥자              ,안정권 화이팅!정의는 살아서 나라를 살립니다. 안대표님은 이 시대의 용감한 민족 투사입니다.
7,이새우              ,안정권대표님 경호원 데리고 다녔으면 좋겠음
8,열렸네황금사과나무              ,안대표님정말수고많으세요~
9,arario7              ,역시  안정권대단하다  안정권국민들이 다 안정권처럼 깨어나야 될텐되...
10,Sq ki Xx              ,수고가많으세요.!!! 중간 중간 같이욕해주시는 분 추임새가 더해져서 너무 속시원하네요 👍🏻!!
11,힘내자              ,역시 우파유툽브!!배짱!!하나 죽여줍니다!!다시 뭉칩시다!!우파도 강하게 싸웁시다.왜??통합당!우파당은 왜??가만히 한마디도 못합니까?? 국민이 다 해줘야합니까?? 서울시민들 화가 안나나요??뭉쳐야합니다.
12,푸마              ,떠불어 강간당.. 정말 대단하다. 저러고도 당이 유지되는거 보면 이 나라 정말 큰일이다. 이게 나라 맞나 도대체
13,송도연              ,안정권대표 멋저부려 유트브대통령  인간답게  살라고 외처주는데  안대표 화이팅
14,younyjeny              ,안정권님의 수고로 대한이 안정권에 들어갔습니다~~~😍👍👍👍👍👍👍👍👍
15,NPC              ,민주당 담당일진 안형 👍🤪👍
16,박정숙정숙              ,나라꼬라지때문 스트레스받아병이나서 이나라살기싫었는데 대표님  대신해서욕하니까  속시원하네요 감사합니다
17,올에이플              ,안정권 대표님 언제나 응원합니다 !!!!!
18,j리즌              ,이시대의 불세출 안정권대표님..늘 함께하며 응원합니다.우린 끝까지 저항합니다.필승🇰🇷🇰🇷🇰🇷
19,흑진주              ,안정권 대표님! 제가  하고 싶은 소리 시원하게 내어주셔서 감사합니다! 계속 바른소리 내어주세요! 아직 알지 못하는 개돼지 국민들 정신 번쩍 차릴 수 있게  소리 크게 내어주세요!언론이 변절한 상황에 안정권 대표님 소리라도 듣고 제대로 알아차렸음 합니다! 문죄인 탄핵!
20,맥그리거코너              ,우파 중에 어느누가 이런 행동으로 보여주는 사람 있을까? 전부 방구석에서 유튜브로 떡밥 조회수나 처물고있지 ㅋㅋ 우파의 현실.
21,송도연              ,강간범들  비아그라  먹나 왜그리  더듬막당 하늘을 손바닥으로 국민들을 🐕🐷
22,Taein Kim              ,안대표님 옳은말씀 속시원합니다
23,갈매기              ,대표님맘이 아파요...그래도  역사가  말을 할꺼닙다
24,수정이              ,안정권 대표님 최고!!다시 집회 시작하여 국민들께집권여당 쓰래기한뎨 저항해야합니다 화이팅 감사  합니다
25,이슈파크              ,진짜 우리편이라서 다행 ㅋㅋ우리편중에 이렇게 행동해주시는 사람 또 누가 있나
26,솔이              ,뽀로노 회사 차려라 ᆢ더블터진당놈들아 ᆢ
27,불꽃남자봉춘              ,캬 입으로 이래 찰지게 후두려패시는 분은 안정권님 말곤 못봤습니다 ㅎㅎ 최고입니다 ㅋㅋ
28,인쎄이              ,안정권님 대단하세요속이 뻥뚫리는 같아서 좋네요더블당이 조용한건 다른 공작 하느라고 조용한듯~  은밀히. 치밀하게. 조직적으로 이게 더블당입니다.안대표님 몸 조심하시구요.응원합니다 감사합니다
29,안미정              ,정말  장하고 대단한 안정권 대표 진심   위대하심니다~~역시 안씨 대단 하심니다~~이시대 에 애국자 열사~~     이시대 에 안중근 ~안정권~~
30,광개토              ,안정권 한사람이통합당 핫바지100명보다 낫다!
31,Grace Park              ,안정권님    언제나    한마음으로   지지하고   응원합니다     전전말때부터     열심히     쫓아다니며    좌파들과    온몸으로부딪치며    몸바쳐    싸우시는   모습에사랑과     존경을    드려요님에게     전수받은    싸움의   기술로미국에서     좌파들과     싸우고    있어요ㅎㅎㅎㅎㅎ   언젠가    한국에   나가면꼭   찿아    뵐께요 ㅎ
32,솔이              ,속이 쉬원 ᆢ쵝오 ᆢ안정권 ᆢ화이팅 ᆢ
33,H연리              ,가오짱!  간지 왕중왕 안정권 멋지다!
34,전훈              ,그니까네ㅡ여의도에모아놓고빨개이불질러버립시다ㅡ
35,hh kang              ,이시국의 영웅 !   안정권 입니다!!   응원합니다^^
36,이유경              ,다속여도 나는 안속는다...이 마음으로 일어나야...🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇺🇸🇺🇸🇺🇸
37,정경숙              ,저런 짓거리를  하고있는데도   도대체  미통당은  뭐하고있음?   야당이 제대로  따져주질못하니  참개탄스럽네요
38,양수진              ,더불어 민주당 당 해체 하라! 는 국민청원 올려서 심판합시다
39,박정남              ,잘하고 있읍니당
40,동현김              ,작살납니다.아오 깔끔 시원 개운.
41,_dongyong Lee              ,속이다시원하네
42,Eodus Wjd              ,"안정권님을 대통령으로 추대합니다,,,짱!"
43,신세계              ,언제보아도 안정권 대표님은 든든해 보입니다ㆍ아스팔트 위에는 안정권 대표님 법조계에는 윤석열 총장님 이  계시기에 우리나라 자유대한민국이 빠른시일에 안녕과 질서가 바로잡혀 잘사는 사회가 될거같읍니다ㆍ 감사합니다ㆍ
44,Sungdae Park              ,응원 합니다 바른말 할수 있는사람 몆이나 됩니까
45,ju jean              ,안정권 에이구 고생 너무많이 해서 안쓰럽습니다
46,임순득              ,미쳐서 돌아가는 세상을 바꿀려고 목이 터져라 부르짓는 목소리 를 듣고있느냐?정치하는 인간들아!!!!!!!!정치를  아무나 하니 이모양이지!!!!!
47,권병일              ,애국  안정권님    화이팅     힘내세요    가열차게     응원합니다     홧팅입니다
48,Julie Kim              ,"안정권씨는 타고난 민중선동가...최고 분석력, 최고 머리회전, 화려하고 막힘없는 말빨...부디 국가를 위해 더 많은 역할을 하기를 바람"
49,김필자              ,잘합니다 나라세금으로 밥먹고 사는놈 자진해서 나내려놓코 나온느라 정치인 똑바로할자신 없는놈 다 내려와
50,애기논네              ,"ㅎㅎㅎ 안정권 대표 최고당,"
51,도도희야              ,이제보니 미통당도 죽엇네  박근혜 배신한것들 벌받나?민주당2중대라는 소리가 ㄷㄷ여성가족부는 조용하네 ㅋ 원래 거품무는것들이
52,김nk              ,저는 좌파고 우파고 다  국민들살리는 정치보다  기득권싸움하는거  꼴보기싫었는데  지금  정부나 민주당하는거 보면독재횡포뿐이 생각이 안들어서  앞으로 대한민국이 너무 우려스럽습니다. 그런데 안정권님  같은분이  저렇게  한번 질러주시면 왜케 속이다후련하지요? 화이팅입니다.
53,박말필              ,안종권 대표님 최고입니다안종권 티비보니 속이시ㅡ원합니다~최고!!!!!안종권 화이팅👍👍👍👍👍❤❤❤❤❤❤
54,최민이              ,유투바대통령 만세
55,나라사랑              ,선거참패한 통합당 밥그릇 챙기는꼴 보기싫어서 뉴스 안보는데 ㅠ모처럼 속이 후련 합니다
