,ID,Comment
0,Kim김              ,소병철전검사장님너무훌륭한분이시더라구요.존경스러운분이시구요민주당끝까지힘내주세요!언알바님도화이팅!
1,엔게디              ,민주당 당대표의 빅피쳐가 드러나고있다! 전적으로 해찬이를 믿으셔야합니다!이미 이기고 시작하는 전투!
2,JUA0608_주아랜드              ,더불어민주당의 인재영입을 보면 든든합니다. 4월 15일 총선에서 더불어민주당이 반드시 200석을 차지해야 됩니다. A true and fair broadcast
3,이작가              ,인재영입실방을 보며 눈물이 날만큼 감동적이였습니다.대박입니다.감동입니다.멋지십니다.기대합니다.
4,오드리헵번              ,대박^^//   인재영입 👍👍 잘되는 집안엔 웃음소리만 납니다 ㅎㅎ 일 진짜 잘한다  민주당 👍👍  이해찬.이인영대표  두분 정말 굿이다 ~~굿 👏👏
5,박한수              ,"정말 든든하고 믿음직하고 기대가 됩니다.더불어 민주당, 정말 정말 화이팅!! 사랑합니다!!👍👍👍👍👍👍👍"
6,시라소니              ,검찰 출신이면서 결이 완전히 다른 검찰 출신!!전관예우로 평생 풍요롭게 살 수 있었음에도 이 모든걸 마다했다는거 자체가 대단해요👏
7,made kooki 4              ,아니 어떻게 이런인사를 영입할생각을 했을까요 더불어민주당 진심 자랑스럽고 뿌듯합니다
8,백희순              ,든든합니다문정권에 힘이돼주세요건강챙기시고요  행복한일만가득하시구모
9,물빛소녀              ,진짜...오늘 영입보고..정말..할말을 잃었습니다 ~~~진짜 민주당..감사합니다 👏👏👏
10,버디 버디              ,4월 총선...토착왜구당 몰아내고 반드시 검찰개혁 이루길 진심으로 기원하고 지지합니다.2020 대한민국 화이팅~~민주당 화이팅~~~~~~
11,박뜻대로              ,요즘에는 유튜브를 보면 연일좋은소식에 마음이뿌듯 합니다!^^
12,박영숙              ,민주당 핫팅입니다무족건  민주당승리
13,오드리헵번              ,민주당 100년 정당  가~자~아 !!  민주당 총선승리 가~자~아!! 다함께 잘사는 대한민국 화~이~팅 !!
14,AI world              ,민주당 흥해라. 어떻게 이런 인재들이 다 민주당으로 모이나요. ㅎㅎ
15,홍유진              ,정말 대단합니다소양과 인격을 모두 갖추신 아주 훌 륭하신 분인것같습니다꼭 총선에서 이겨 든든한 민주주의를 구축해야겠습니다
16,LEDTV 엘이디티비              ,4월달 무조건  압승해야합니다.  민주당과 국민들이 힘을 합쳐서 토착왜구 정치검찰  아베 자민당 무조건 청산합시다.
17,쫌쫌마              ,인재 영입마저도 하늘과 땅차이~!!!  4월 총선은 프레스로 찍어내리듯~!!!  압도적인 승리로 국민을 위한 정치를 할수있게 우리가 바꿔야 합니다~❤❤❤👍👍👍
18,김영인              ,민주당 뽜이띵.못집니다.이해찬 대표님존경합니다 민주당...끝까지 지지합니다
19,Friend Yi              ,멋진분... 진짜 이번 총선은 너무나 기대가 됩니다.내가 가진 표가 1개라는게 너무 아쉬울 정도로 민주당이 너무 잘하고 있습니다.응원합니다. 우리 정부. 우리당. 우리 국민.
20,여단미              ,"Good & BEST News역쉬, 떠블민주당..끼리끼리 모이는 법입니다,문재인대통령님 👍👍👍이해찬대표님도 짱입니다"
21,hyun Hwang              ,민주당 인재영입 진짜 놀랍습니다👍👍👍 이런 훌륭한 인재들을 어찌 이리 잘 찾아서 모셔오는지 민주당 칭찬합니다💙💙💙 이런식이면 민주당 200석 가능하겠네요🥰😍🥳언알바님 기분좋은 소식 항상 감사합니다💐💐💐
22,오직              ,인재영입에 이렇게 관심을 갖게 될줄이야 환영합니다
23,SCAR AN              ,Good information!!4/15 총선 반드시 민주당이 과반이상으로 승리하게열심히 지지합시자!!
24,GᆞY HAN              ,민주당 잘하고 있습니다적극 지지합니다
25,무릉도원              ,진정한 보수는 문재인 정부다태극기 모독단들아~~~~~
26,공써니              ,역시~! 더불어민주당!  화이팅요~♡
27,이정옥              ,이런 훌륭한 분을 정치로 검찰개혁을 완수하자.숨어 있는 이런 분을 또 찾아서 청와대에도 검경수사권에도......민주당 화이팅입니다.계속 강하게 단호하게 밀고나가세요. 👍👍👍
28,이수리              ,민주당 최고 응원합니다 화이팅입니다 ~^^ 상세히 설명해주는 언알바님 감사합니다 ~
29,min J              ,인재 영입 소식이 들릴 때마다 혜안에 감탄하게 되네요.4월 총선 필승!!!입니다.
30,자유인              ,대통령님 민주당 의원님들 믿었습니다~😄👍언알바님 채널은 진짜 굿뉴스 👍
31,자비              ,소병철님이 좋은 일 하실거라는 믿음이 가네요
32,한진태              ,역쉬 굿 👍으음
33,moonchild. love              ,"전광훈 구속 안했다고 분통터진 민주시민들 많으셨을텐데 저는 오히려 전광훈이 보수앞에서 진상짓을 계속 해줘야 우리에게 유리하다고 생각하는 사람입니다. ㅎ 피해보시는 주변 분들께는 죄송합니다,;;;"
34,Hagml Kim              ,소병철님 격하게 환영합니다!
35,TH Kim              ,민주당 지지자로서 자부심이 느껴집니다
36,김에리              ,대박나겠읍니다~^^4월15일에 하늘에서 꽃가루가 민주당으로 떨어지겠읍니다.
37,sy1485              ,윤석열이한테 뿔나신 듯.
38,박마루              ,굿👍👍👍👍👏👏👏👏👏 민주당 화이팅❤❤
39,ChongHoon Lim              ,문재인 정부를항상 응원합니다.
40,Jae Wook Park              ,머리털 나고 인재영입 어느분 하는지 긍금하게 만드는 민주당을 다 보게 되네요. 훌륭하네요. 인재 영입하는 분들도 다 좋네요. 응원합니다.#現순천대법학전공석좌교수 #前법무연수원장 #전관예우포기 #前대구고검장 등등전남순천 출신이시던데...이정현 잡으러 온건가?? 이번 총선 탄핵정당 제대로 심판하고 촛불혁명 완수되길 기원합니다. #다다익선 (多多益善)
41,김유진              ,응원합니다
42,준민아빠TV              ,대박인재영입~ 대박든든!!!
43,이태종              ,역시 민주당 저런분을 들이다니 대단하네요
44,hee              ,오오 이해찬님 이렇게 환하게 웃는 모습 사진으로 첨 봐요 !!
45,에이레네화평              ,왜 mb 503 시절에는 저런 분이 안 보였을까요? 참 고통스러운 10년이였어요. 저는 10년 인사 참사 보고 이 세상에 인재가 정말 없구나 다 없어졌나보다 생각했어요. 그런데 없는게 아니라 중용이 안 됐던 거예요. 있었는데 그 정권에 협의를 안 한거죠. 찾으면 많은데 안 찾았던거고 또 찾아도 거부했던거고. 시대가 변하니 필요한 사람들이 알아서 찾아 오는군요. 사람 착하게 살아야 겠다는 생각을 다시 한번 하게 됩니다.
46,구미호              ,정말 믿음직한   우리민주당  정말잘하고 있는데요   이번 4월 선거에서 완전  승리를 희망하면서  민주당  화이팅
47,적폐청산              ,문재인 대통령 만세
48,Sujin Back              ,검경수사권 통과!!!!
49,이정희              ,"가끔 보는데, 논리가 정확하고 말씀도 잘하십니다"
50,성막시마              ,"정말, 인재다운 인재~'인재영입' 이라는 목적과 표현에 가장 적합한 민주당의 인재영입!적극 응원하며 지지 합니다.4월 총선 압승으로!"
51,ᄋᄋ              ,조중덩 자유당 검찰 달면 삼키고 쓰면 내 뱉는다 절대 손해는 용납이 안되는 집단들
