,ID,Comment
0,a forcebwy              ,헐 인피니트네 ㅋㅋ 쒼나~~~ 당이 젊어선지 유세할때 로고송?도 랩도 있고 우아 ㅋㅋㅋ 역시 다르긴하다.
1,갹갸갸              ,핵유쾌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ문재인 지지자들은 유독 흥이 많은 듯ㅋㅋㅋㅋㅋㅋㅋㅋ💙💙💙💙💙💙💙💙
2,쉬림프              ,잉피노래가 이렇게 쓰이다닠ㅋ
3,Amore Liebe              ,ㅋㅋㅋㅋ 아 개사 누가 했는지 잘했다ㅋㅋㅋ  선거곡은 픽미랑 내꺼하자가 짱인듯ㅋㅋㅋㅋ( 그와중에 완전 즐기시네ㅋㅋㅋ 우리동네에서도 좀 해주셧음ㅋㅋㅋ)
4,SH J              ,이건 돈 벌고 스트레스 풀고 취미생활하고 선거도 돕고 일석사조인데??
5,김도연              ,울 인피니트 노래를 개사해서 하는건 인부심 뿜뿜
6,e eed              ,이분들 지금 즐기고 계신거같음ㅋㅋㅋㅋㅋㅋㅋ
7,i i              ,곡이 워낙 잘 뽑혀서 지금들어도 전혀 뒤쳐지지가 않네ㅋ이 아이돌 이미지도 워낙 착하고 깨끗해서 선택잘한듯
8,레인다              ,이거 원래 노래가 다른 남자와의 이별에 힘들어하는 여자한테 남자가 그만 힘들어하고 내꺼하자는 내용인데 개사만 하면 이 시국에 유세송으로 쓰기 딱일 것 같았는데 진짜로 쓰네 잘 고르신 듯ㅎㅎ
9,xg 812              ,개사 진짜 잘 했네욬ㅋㅋㅋㅋㄱ 좋다 이거도 많이 틀어주세요
10,무한한              ,어머나 내꺼하자....!!!!
11,유윤제              ,두유힐미 미쳣냐고ㅋㅋㅋㅋㅋㅋ쿠ㅜㅜㅜㅜㅜ
12,Shizuka Minami              ,젊은 정당답게 로고송도 젊네요! 랩도 있고 ㅋㅋㅋㅋ 멋있어요 ㅋㅋ
13,알파리포산              ,미친거같아~ 최고!!!💙💙🎉
