,ID,Comment
0,호호마녀              ,요새 다시 좋아지는 노래ㅋ
1,Redcat L              ,뭐 이번 민주당 유세를 쫓아갈 자가 없네...
2,503 716              ,더더더송은 중독성이 너무 강해요 ㅠㅠ
3,주HY              ,이 노래 진짜 계속 생각남ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4,川村유키토              ,더불어민주당 정말 좋습니다 언제나 지지합니다
5,dittxixkg ixut              ,이노래 중독성 개쩔어
6,PAGAN VERDANT              ,더더더송은 언제나 들어도 신나네요~!! >▽<)/
7,부엉이              ,더더더송 짱 👍👍👍
8,meaki ko              ,더민주 화이팅!!!!!
9,레인보우              ,다시 보고 들어도 선거송 히트작입니다.총선 후보자님들 지금 사용해도 좋을텐데..  요즘은 안들리네요.
10,니지              ,보기좋당ㅎㅎ
11,hey201111              ,문재인 대통령!
12,Heebum Jung              ,더더더더더
13,シネイ시네이              ,가끔 듣고 있어요 내년 지방선거도 기대 할께요
14,Claude 彬              ,완전 신나요 ㅋㅋㅋㅋ 진짜 그동안 볼수없던 신박한 노래!
15,Jenny J              ,더더더송 베스트송~💕💞💖
16,김제니              ,와 배우자
17,Geon-i Singing              ,더더더송 안무 좋습니다 ㅎㅎ
18,방준식              ,나이가안돼서 유세도 못돕고 투표도 못해요 ㅠㅠ 원래대로면 98년 12월생이라 투표가능했는데...
19,apple be              ,넘 보기좋아요 힘내세요~!!!!
20,EUN LEE              ,이노래 진짜 너무 좋음
21,샤갈의눈내리는마을              ,추억이 될듯 .. 다시 듣고싶어서  듣고 갑니다
22,가을겨울              ,이노래 진짜 좋아 더더더더~~~~
23,백막수다              ,홍준표가 나 찍으라고 시켜도 안찍을 거임
24,동드윅              ,중독성. 쩐다. ㅠㅠ
25,조선일보아웃              ,중독성 씹오지고~👍👍👍
26,파울로스              ,수능 금지곡
27,아이언나르 원챔              ,학교 앞에서 이 노래 듣고 중독됨ㅋㅋㅋㅋ허대만이 날 중독시켰어
28,초롱이              ,중독성 있네 ᆢ 당 로고송이 중독성 있어 ㅎ
29,하하              ,더더더 미치지않게 더더더 살떨어지게 않게 몸조심하며서 유세하세요
30,최종익              ,중독성 있네요ㅋ
31,최미숙이              ,노래
32,김제니              ,엄청 신나요.♡
33,NO japan              ,“새날” 노래가 더 좋아요. 한번 들어 보세요. 강추👍👍👍
34,우동킬러              ,더불어민주당!! 4.15총선 압승!!
35,MINJUNG park              ,그때 추억이 떠오르네요...찬란했던 5월........하루하루가  너무 신나고 설레이고 기대되고...^^ 오늘하루도 이렇게 마무리합니다
36,곧 개학하는청소년              ,문재인 후보님이 대통령 당선후에 민주당이 승리하고 있습니다.
37,조유정              ,0:17
38,임큨              ,더더더더더더더더더밖에생각에안남네아놔 더더더더더그만
39,현정O              ,계속 나도멀게 흥얼됨..근데 원곡하고 가수좀 알려주세요
40,생각중미정              ,"님아👉저의 사진을 눌러보세요.😜문재인과 캐리비안 해적👩‍✈️유명인 방구동영상🏅이준석 코파는 동영상있어요🐓박근혜,조윤선 코파는 동영상도 구해볼께요.🐷김정은 똥누는 동영상 구합니다.😜"
41,jong park              ,좌좌좌 좌불어로동당
42,man park              ,"신 씨의 노래 '그대에게'를 무단 사용한 것과 관련해 ""음악 예술인을 존중하겠다더니 불법 사용에 심지어 저작권 인격권을 무시한 처사로도 모자라, 사과는커녕 엉뚱하게 출판사와 해결하라는 안하무인식 적반하장이 더 큰 문제.지극히 작은것부터 잘지키세요."
43,man park              ,사소하고 작은일 같지만 더불어 민주당이 신해철씨의 노래를 선거 유세시 무단으로 사용하고도 올바른 대응을 안해주는것이 무법과 무질서가 밑바탕에 깔려있기 때문이라고 필자는 생각한다.
44,YOUTIVE you              ,더더더 중국으로가서 살아야될 중공인민들이 대한민국에 이렇게많아 중공으로 가세요
45,안승수              ,김정은: 동무들 힘내시라요!!!^^
46,오성지              ,"민주당은돈을얼마나투자했노,이적폐들아,국민은.이제안속는다"
47,man park              ,세월호의 노란 리본을 달고 다니면서 약자를 위하고 대변하는 척하는것이 역겹다. 위선이고 가증한짓이다.
