,ID,Comment
0,그래              ,대통령 선거를 이렇게 재밋게 해도되나!우리 나라 참 대단하다.세계적으로 이런 선거는 없을 듯 .처음에는 많이 촌스럽게 보였었는데 이제는 정말 많이 진화했네.  한류와같은 속도로 선거전도 세련되고 멋지다.
1,love my              ,기분좋은선거국민의승리 축제입니다김광진 의원님열일 하시느라 수고하십니다!  으샤
2,김범수              ,정말  즐겁네요  화이팅
3,연이              ,외신  기자들  뭐하나?이모습이  대한민국이다.촛불을  높이들어  평화로운  민주주의를  이뤄내고  새시작을  위해   이토록  흥과희망이  넘치는  나라!!!세계 모든  나라가  부러워  하는대한민국.!!
4,김정은              ,슈퍼문~ 흥이 절로 납니다집회도 축제~유세도 축제~이렇게 흥이 많고 즐길줄 아는 민족이 지구상에 또 있을까요♥
5,ms k              ,청래형이 보인다 ㅋㅋㅋ
6,xxyi sk              ,너무좋네요딱딱한것보다참신하고보기좋네요
7,peace allways              ,"역사상 유례없는 신나는 선거, 투명한 결과를 더불어민주당이 만들어서 확실한 정권교체를 이루는데 저도 동참 하겠습니다"
8,짱꼴라              ,깨알같은 정청래 목소리 ㅋㅋㅋㅋㅋㅋ 너무 웃김
9,kang E              ,축제다와우~~~~~!!
10,川村유키토              ,아주 좋습니다
11,스윗레인              ,나도 춤추고 싶다 ㅋㅋㅋㅋ
12,적운              ,역대급 투표율이 보일거같은 이번 대선....5월에 파란을 일으킵시다
13,윤효준              ,아주..죽여줍니다..
14,김민선              ,이젠 춤 출려고 선거유세 하는거 같다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너무웃겨
15,너누구냐              ,슈퍼문 유세단 대박~♡
16,진짜진짜              ,완전신나네!  젊은이들이 지지하는 역동적인대통령!! 문재인!!!
17,leander              ,슈퍼문 재인 화이팅!!!
18,Yongsik Kim              ,넘 재밋네요 ㅎㅎ 모두들 화이팅 입니다^^
19,빵꾸똥꾸              ,이게 유세입니까?축제지ㅋㅋㅋ
20,김종춘              ,문재인 화이팅!!!
21,mt l              ,로고송이 모두다 가슴 벅차다
22,유관순              ,the  festival of voting Moon Jaein
23,zz              ,김광진의원님 아직도 카톡아디 loveletter 엿나 쓰시나
24,There Hi              ,정말 대박이다 .. 역시 더민주!
25,hyaang              ,재밌겠다...우리동네에도 왔으면 좋겠다...
26,happy day              ,신나고유쾌해보이니 절로찾게되는 슈퍼문유세단영상 ㅎ
27,tudo 913              ,"다시봐도 후회없던 선택 !!!! 탁월한 선택이였고 !!! 그이상의 능력을 가진  그런분,!!!"
28,오민아              ,앗싸 신난다 춤들잘춘다 노래선택잘했네  확~들어오네
29,Lida Eun              ,내적댄스 유발하는 유세 첨 봄ㅋㅋㅋㅋㅋㅋ수도권 지역들 문나이트 많이 와줘요ㅜㅠ!!
30,윤시정혜              ,앗사.! 이십년만 젊아지고 싶다...ㅋㅋ
31,뽐BTS방탄뽐              ,아 예쁘다 춤꾼들 ❤❤❤❤❤ 대한민국 팟팅!!! 꼭 투표해요^^
