,ID,Comment
0,김인숙              ,"자한당은100년동안국민생명바치고 재산 불리고 사는 부자들입니다.친일에다 미국에다제물로바치고  또 바치려고발악하고있고공수처에 끌려갈 놈들  80명입니다,"
1,조정일              ,적폐중의적폐 토착왜구당 이번총선에 반듯이정리합시다   반민특위부활하여 진정한독립을이루고 반민족후손들이 국회에서설치는꼴을보지말아야지요
2,최범기              ,동영상 공개채증해서 전원 고발해야합니다. 국회의원 자격이 되지못한  국회선진화법을 있는 그 대로  고발해서 처리해야합니다.
3,Sang Jang              ,"적반하장 , 기고만장, 일벌백계자한당은 반드시 처단해야지"
4,퀸빅토리아              ,옳소~~청산할 사람은 반드시 청산해야 합니다.불법과 비리를 밥 먹듯이 하는것들은 아웃.자한당을 청산하라~~~
5,Sonia              ,"이해찬님, 말씀 당연하시고 지지합니다! 그리고 만주당내 의원님들...도대체 왜 입 다물고 조용한사람이 그리 많습니까?  표창원의원님처럼 다들 나서 줘야하는데...두고 봅시다!"
6,이대임              ,대표님70년대80년대청문회때잊지않읍니다그때처럼당당하게멎지게마무리하시고정게떠나세요민주주의을위해서요넘멎지십니다
7,이대임              ,대표님꼭바로잡고나가세요평생을나라를위해싸워오신ㅇ해찬대표님존경함니다
8,정광수              ,국민여러분 내년선거에서 자한당 끝내야합니다.공수처는 꼭하여야 합니다..
9,`요엘`              ,자한당 모지리들 갖다붙이면다냐!!역시 우리 이해찬대표님 최고!!끝까지 가주세요~~
10,또롱이매빅이              ,예 용서하지마시고  반드시 정확하게 모두 처벌받게 해주세ㅛ한놈도 남김없이  모두 정리 부탁드립니다
11,한병현              ,친일파 왜구 자한당은 한국땅에 있어서는 안될 적폐중에 적폐다.친일파 왜구는 우리나라를 망하게 하는것이 주목적이다.법을 무시하는 적페중에 적페 자한당을 한국땅에서 사라질 그날까지한국 국민은 마음을 놓아서는 안된다.
12,김은경              ,자한애국당의 만행은 이제 끝내야한다.자한당기레기들 사기꾼 나라를 팔아먹은 인간들용납할 수 없다. 동의합니다.민주당의원님들 정말정말 고생이많네요.더 힘을 내 주세요. 이해찬의원님 존경합니다.
13,K독바른치즈              ,법대로 하라. 법 좋아하는 사람들  정당하게 심판받으라.
14,changsu bae              ,토착왜구 나베는 반드시 국회에서 쫒아내야 한다.절대 이번 국회 폭력사태는 협상이나 자비는 베풀지 말고 처절한 응징이 필요하다.담 총선은 한일전 프레임으로 가야함.
15,자몽쥬스              ,저런 모습이 대표지내가 다 책임 지겠다잘한다 민주당
16,70 CIMA              ,언론이 하도 기울어져 있어 민주당이 힘들겠지만 국민들이 뒤에 있으니 힘차게 나가십시요민주당 화이팅!!!!
17,changsu bae              ,"자한당이 외치는 독재타도, 헌법수호는 용서할수 없는 구호다.지들이 한짓이 뭔데? 토착왜구 반드시 응징 처벌해야 함."
18,siggn moon              ,헌법유린 후예들이 헌법수호 지롤 독재수호 후예들이 독재타도 지롤 이해찬대표 말씀에 공감합니다 한국당 불법행위 고발후 취하는 절대 용납못합니다.
19,changsu bae              ,이해찬 대표님. 용서하지 마세요.민주화세력이 지켜온 민주주의의 혜택이 자한당에게 돌아가면 안됩니다.
20,정지환              ,토착왜구자한당해체청원 추진해주세요!!  천만이상 찬성동의합니다!! 무조건 해체  찬성합니다!!!
21,김형은              ,그건 맞아요 지금 아니면 다시는 못합니다 독재가 돌아오면 꿈도 못꿉니다또다시 국민들은 국회를 모셔야됩니다 국회의원은 국민대신해서 정당하고 뜻있는일에 앞장서서 일을하고 국민의 진정어린 대신입이되서 해야되는데다시는 국민섬기는일은 안할겁니다 지금까지도 국민들을팔아 해놓은게 뭐가있나요?
22,백사              ,이해찬 대표님 저들을 용서하면 안됩니다
23,carol park              ,강한정부 강한 민주당... 선은 약하면 물립니다... 지혜와 법리로 강한 민주당!!!!   뒤에는 국민들이 있습니다.감사드리고.. 응원합니다..
24,코로나 시러              ,하늘이 백쪽나도이번만은 반드시처벌해야된다
25,오소리              ,갓!사이다! 이해찬 !꼭 건강지키시고    힘내시고 . 적폐 청산   꼭꼭! 감사드립니다.
26,자쿠자              ,자유양아치당은 진짜 사라져야하고 내년 총선땐 싹다 실업자가 되야한다
27,Jinxu Zheng              ,잘한다 어차피 협조안하는 인간들이에요 좌고우면하지 말고 직진
28,doreallyneedtodo hap              ,이해찬 대표님이 얘기하는 간결한 역사의 진정성과 적폐청산의지
29,Sean Kang              ,법을 어긴 개들에겐 강력한 법집행(몽둥이)만이 정답입니다!!!
30,킹왕짱              ,힘내십시요!! 반드시 법에 심판을 받아 다신 이런일이 없도록 해야합니다.
31,김경화              ,꼭 자한당 궤멸시키고 은퇴해 주세요 이해찬 대표님 은퇴하신 후에도 정치 큰어른으로 남아주세요♥♥♥
32,배명주              ,독재의 쓴 맛을 보여야한다.박정희식으로 밀어붙여라. 이해찬이여!
33,이나은              ,구구절절 다 옮은 말씀 꼭 처벌해주세요. 자한당 꼴보기 싫습니다.
34,Michael Kim              ,법대로 하지 않으면 나라의 존치 의미가 없다! 행안부장관 국방부장관은 명운을 걸고 할 수 있는 모든 수단을 동원해서 토착왜구들을 잡아 죽여야만 대한민국이 바로선다고 생각한다!
35,변승수              ,짝 짝 짝 이해창 홧팅토착외구  년 놈. 들 싹 쓸어버립시다
36,house white              ,자한당 자기들이  논올가미에 딱걸렸네! 국민은 안중에도 없더니 ! 용서하면 안됩니다 !👏👏👏👏👏👏
37,만세성남              ,싸그리 고소 고발해서 자한당 씨를 말리죠!
38,GANU KIM              ,전투력 100배 가자!!!
39,유관순              ,법대로 처리해야 합니다
40,Aiden Jun              ,반민특위 때의 좌절을 잊지말고 이번에는 정말 청산 할 것들은 제대로 청산하자. 언제까지 이 업보를 후대에 되물려야 하겠는가.
41,时雨林              ,해찬들♡대장올빼미 힘내세요!!
42,방사능 도쿄올림픽 복수하자              ,법위에 서려하는자를 그냥 놔두면 안됩니다. 기회가 있을때 때려 잡아야 합니다. 화이팅 입니다.안되면 시민이 촛불을 다시 들겁니다.
43,ᄋ콩지              ,고문과 옥살이 민주화운동할때 마음으로 또다시 민주화 선진화법에 후손들에게 물려줘야하는 우리의사명입니다 끝장내십시요~국민이 힘입니다
44,박소              ,자한당 해체 국민청원 합시다 우리 가족 모두 했습니다
45,Jaz H              ,불법비리공직자들 척결해서 깨끗하고 선진화된 국회를 만들어주세요.
46,yyooo k              ,자한당은 국민 대다수의 압도적인 열망이 담긴 법안을 위반하고 내년선거에 출마도 못할판이다..꼭 법대로 처벌해야 합니다~
47,정둘이              ,"이해찬대표님~끝까지 국민들과 함께 자한당을 소멸해주세요~ 절대,절대용납하지 마십시요~그렇지요~ 이제부터 분노 하자구요~"
48,이경애              ,이해찬대표님!존경합니다. 이대로는 절대안됩니다.이젠 저적폐들을 강력하게 처벌하고 몰아내야합니다.촛불 국민들이 명령합니다.울 대통령님과 민주당의원님들 끝까지 지지.응원합니다.
49,beomseok lee              ,도둑눔들이~ 몽둥이들고 설쳐대는 어처구니 없는세상~해찬성님~짱이야!!
50,이승화              ,개당은   그때  그시절이  그리운 겁니다  그들을   그냥두면   다시  그때로  돌아갈겁니다
51,안계현              ,국민이 동의 합니다. 자유한국당은 도를 넘었습니다 국회의 안정이 국민의 희망입니다 올바른 국회 문재인 대통령과 꼭 이뤄 주시길 바랍니다.
52,박승구              ,사랑하는 우리 이해찬 대표님 화이팅 이번에 자당한 작살
53,상식이 통하는세상              ,어이 자한당!!!거짓말 이제 그만하고 솔직히 고백해권력을 국민에게 돌려주기 싫은거라고...니들이 어찌해서 권력을 잡았을때권력기관을 니들이 다시 시녀처럼 부리고 싶어서라고..거짓말당 자한당 니들은국민이 우매하다고 생각하지?우리 국민들은 다 알고 기억하고 있어 니들이 독재정권의 잔재고니들이 518로 국민을 죽인 정권의 잔재고니들이 친일세력의 후손이고니들이 탁하고 치니 억하고 죽었다는 거짓말 정당이었고니들이 소방관국가직 전환 반대하는 발목잡기 정당이고니들이 통일보다는 전쟁위협으로 민족의 미래를 팔아 니들의            이익을 채우던 반민족 세력이었고니들이 WTO 1심에서 니들 이익 때문에 일부러 패소한            반민족 정당이고니들이 김학의. 최순실등 부정부패로 곪은 적패자체 라는걸우리는 다 알고 있다더이상 니들이 나라팔아 먹는짓 더이상 못보겠다국민 우습게 보지 마라 촛불로 니들 다시 한번 처단할수도 있다 반민특위 촛불!  광화문으로 모이자!
54,ᆞ천사 짱아              ,더불어민주당 화이팅! 이해찬 의원님 구구절절 옳으신 말씀 당연히 물러설 수 없지요
55,멸왜멸극우              ,멋진 연설입니다. 내년 총선에서 자한당 씨를 말려주시길
56,김거시기              ,반드시  이번 그 의지 끝까지 관철 해주세요 국민 한사람으로결과 지켜보겟읍니다 이번도 말뿐이면 국민당도 외면할겁니다
57,김성스러움              ,이홰찬의원님의 피눈물이 보이네요
58,오소리              ,"국민도   사람 아니고  법 없고  곡괭이. 낫들고 위정자, 다수폭력당    타도 하고  싶지  만 촛불정부이기에   노려보고  선거만 빨리 하고픈 간절함만   기다리고   있는데. 폭거당 해산 청원 했읍니다. 못다려요. 병나부렀어요.눈물나고 우울증 올랴고해요."
59,김신행              ,제2의 독립운동을 하는 심정으로 강하게 싸우세요 .그래야 추운겨울 촛불을 들은 보람이 있읍니다 .더불어 민주당 화이팅 👍🇰🇷
60,김수옥              ,더민주 이번엔 제대로 하세요.쫄지말고 법대로만 하세요.촛불시민이 함께 하겠습니다...문재인 정부 성공 화이팅!!
61,열반적정              ,용납하지마세요! 아량도 포용도 세번까지입니다.
62,황진희              ,"공수처=고위공직자비리연동형=다당제,민주적임이런것을 한국당은반대함"
63,시골청년              ,씀이 이렇게 실시간으로 국회 상황을 보여주는 방송으로 가야함
64,C홍연              ,지지합니다 크게 보고 정도를 걷더라도 단호하게 나아가십시요
65,Youngtae Kim              ,독재의 후예들 쓸어버려야 한다!
66,han sorry              ,국정농단 사태는 아직 진행중
67,넉넉하게              ,선진화법 법대로하라법을 지키지안은 자한당은 법대로처리하라.국민이 그들을 지켜보고 있다.
68,진운              ,이해찬 대표님 말씀 구구절절 옳으신 말씀 화이팅 하시길 그리고 절대 용서해서는 안됨니다
69,초이크리스탈              ,이젠 참지마세요~홍영표의원 머리가 다 빠졌다고 하지 않습니까  법적으로 강력하게 대처하세요  민주당 화이팅!
70,박주영              ,더불어민주당 힘내세요~~~
71,house white              ,ㅋㅋㅋ독제제타도 유신정권 유전자 들 !박정희 기억나드라고요 이해찬 님 !잘하십니다 당연 합니다👍👍👍👍👍👍👍
72,나만의세상              ,철저히 목숨걸고 국회를 바르게 만들어 놓아 주세요!!!!강력한 처벌해 주세요!!!!!자한당은 국민이 원하는 국회의원들이 아닙니다!!!!
73,Anemone Yang              ,민주당 홧팅! 힘내세요!!
74,sj nike              ,이해찬 대표님 국민이 지켜보고 있습니다자한당 반듯이 처벌해 주십시요많은국민들이 지지합니다국민을 무시하는 매국세력과는 협치필요없습니다제대로된 나라 만드는 첫걸음 입니다응원합니다 단호이 밀어부치면 됩니다문통 혼자 외롭게 하여서는 절대않됩니다이대표님이 힘이돼주신다니 든든합니다감사합니다^^
75,레모닝              ,"이해찬의원님ㅠㅠ 건강하세요😭💙🌙⭐️👍🏻 품격의 외유내강.. 냉철한 브레인, 따뜻한 어투, 유머감각, 대통령을 당선시키는데 힘써주시고 사리사욕없으셨던 분 존경하고 사랑합니다💕"
76,김영희              ,이번에   빤빤한  저 바퀴 버러지들 아주 확실하게 살 처분합시다~~! 법은 확실하게 지키라고 만들어 놓은것  법이 어떻게 적용되는지  꼭 보여줘야  다시 그런짓을 못한다~~!  하긴 뇌가 없는 저것들이 알아듣기나 할랑가 몰라~~?
77,눈탱e              ,독재수호 ㅋㅋㅋㅋ 헌법타도 ㅋㅋㅋ이해찬대표님 시원한 사이다발언이십니다.
78,황진희              ,"이해찬의원!!!바른말만하시네요  꼭 국회를 바르게해놓고 떠나기를 바라구요, 반드시국회를 바로 잡으세요한국당은, 박정희 전두환DNA가 남아있어요, 지들이원하는것만할려고 ,마음먹고있어요, 한마디로기득권을 잡겠다는것이지연동형으로하면, 제3당이될지도모르는 두려움도있고요, 다당제가 싫은것입니다, 1:1로만하고싶어하고있잖아요, 훨신 민주적인것을말입니다"
79,헤크니 j              ,이해찬당대표님 홍영표원내대표님을 비롯 민주당의원님들 정말 고생 많으십니다 지지자 모두 온 국민이 문정부 민주당을 짖 할 것입니다 상식이 없는 자들 과는 타협을 할 수 없지요 민주당 힘내세요 화이팅!
80,김복수              ,토착 왜구당 박멸이다.
81,푸른하늘              ,이해찬 의원님 화이팅  ~ ♡♡
82,虎淚              ,토착왜구 척결하고 매국당을 해산시키고  악의 무리를 지지하는 자들도 용서하면 아니됩니다.
83,정성문              ,이해찬 대표님 동감합니다 이사태 지속 되면 촛불 다시 들겠읍니다누가 뭐라해도 ... 그렇지요 과거 민주인사들고문 당하면서 혹은 분신하면서 까지 자유민주주의를 찾고자 살신성의 했지요...이제 시작입니다 깨서있는 국민들 다시 한번집중합시다
84,달나라바른해원              ,분노해야합니다. 어떻게 지킨 나라인데요! 나경원을 비롯해 나베당 모두 다신 정치 못하게 해 주세요
85,コロナ              ,국민청원에 자한당해산 30만명 돌파
86,YG L              ,자유당은   박정희타도  전두환타도라고  분명희 말을해나베는  주어를 분명히해야  국민들이 오해를  안하지
87,레모닝              ,민주당보좌진분들 중 누가보시면 전해주세용 해찬들 귀염뽀짝 존경합니다💕💕💫👍🏻
88,blue kim              ,이해찬대표님 화이팅~  홍영표. 민주당 의원님들 조금더 힘내주세요!  굳게 올곧게 나가시면 국민이 더 크게 보답할겁니다!   청와대도 민생추경문제로 골머리인데 자한당 깽판에 여러분도 고생이지만 국민이 더 힘듭니다ㅠ.ㅜ  법대로 강하게 해주세요~
89,nana Park              ,박수가 절로 납니다!! 이해찬 대표님!!홍영표 대표 뒷머리 이야기로 웃을 때 사진 찍는 기레기들~~ 이상한 데 또 사진 붙여넣지 마세요!!지켜보겠습니다!!
