,ID,Comment
0,씀              ,10:00 인재영입 발표식 시작15:22 최혜영 교수 소개 23:24 이해찬 당대표 환영사 29:53 최혜영 교수 - 기자 질의응답
1,Too Much              ,감동이 있는 교수님이네요.대통령과 민주당에게 힘을 줍시다.사표가 되도 이젠 비례표도 민주당!!
2,joonyoung              ,민주당은 역시 다르다 소외되고 제 목소릴 내지못하는 자들의 편에 서는 더불어민주당 강력 지지합니다!!!!!!!!!
3,Yumi Kim              ,모 당 1호영입과는 차원이 다르네요 아주 좋은 인재이고 품격있습니다. 국회입성하시면 잘 버텨주시기바랍니다.
4,Silverstar Jo              ,인재영입 1호 최혜영 교수님 잘 봤습니다!정치판에 들어오신 이상 상상 이상으로험악한 곳이지만 잘 견뎌내시고 승승장구하시길 응원합니다!!! 화이팅!!!!!!!
5,다사랑              ,누가 내 휠체어를 밀어주실 분 계신가요? 더불어  함께 살아가는 사람사는 세상! 사람이 먼저인 세상! 최교수님 정치를 기대하고 함께 하겠습니다 👍👍👍
6,Anna Kim              ,대단하신 분이네요.파란목도리가 저렇게 잘어울리다니.
7,최종훈              ,더민주당 감동적인 사랑의 영입이다. 아름답다. 힘내라. 민주당~
8,koran yi              ,자유불한당 놈들아~~매일 쇼한다디랄만말고 이런 비슷한 쇼라도 한번해봐라~민주당 응원합니다~~
9,키다리아저씨              ,최혜영 vs 박찬주.....이건 뭐 비교 불가다...앞으로도 진정 국민만을 바라 보고 외유내강의 힘을 보여 주시길~~
10,김상진              ,장애인에게 더 많은 관심 부탁드립니다
11,김정례              ,바로만 가시면 됩니다!~꽃길만은 안이지만 그래도 바로하시면 보람할겁니다!~^^♥
12,김인애              ,최해영 교수님 환영하고 축하드립니다모두에게 문턱없는 더불어 사는 아름다운 세상 만드는데 큰 힘이 되어 주시길요
13,지지않는다              ,민주당!  이해찬대표!  최고!!
14,Neo Left              ,휠체어 장애인을 위해 앉아서 진행하는게 인상적이네요.
15,우리두리              ,더민주 파란을 일으키자 시즌2  화이팅~!!
16,솔비치              ,건강했던 사람이 사고로  장애를 극복하고 살아 간다는건  몇 백배 더 어려운 일 일겁니다 그래도 잘 이겨 주셔서 고맙고 이젠 세상 밖으로 나오셨으니  힘든 이 들에게 희망이 되여 주시고 친구가 되여주시고 법을 바꿔주셔서 장애인들의 복지가 조금씩이라도 발전되길 저도 지지 하겠습니다  축하드립니다~^^
17,YG Jun              ,참 맑은 미소를 가진 분이시네요 응원합니다!!!
18,junghoon Suh              ,제 아내도 뇌졸중으로 인해 보행 장애가 생겼습니다.휠체어를 탔을 때 도로나 건물 등 원활한 보행이 가능한 곳이 제한적 이었습니다.그래서 엘리베이터 있는 건물만 찾았습니다.국회입성하셔서 장애인-비장애인 편견없는 사회를 만들어 주시길 바랍니다.
