,ID,Comment
0,씀              ,영상바로보기-> 4:35
1,sunny& puppy              ,박성준아나운서 응원합니다!!!언제부터jt부터 안보이더니 이유가있었을듯!!!
2,해피JK              ,JTBC사건반장 애청자였었는데...박성준님 반갑습니다^^
3,황금바다              ,고민정님 한준호님 박성준님 박무성님...모든 분들 진짜 용감하신 분들이시네요~모두모두 당선돼 열심히 일해주세요~!!!
4,풀꽃              ,언론인분들 영입 환영해요 언론개혁에 꼭 필요한 징벌적손해배상제 도입 법안 꼭 만들어주세요 응원해요💙💙💙
5,박성남              ,참민주당의 인재영입은 타의주종을초월 했네요. 자한당과는 격이달라도넘달라요. 고민정홧팅 박성준홧팅  꼭 승리하시길 바랍니다. 적극응원 합니다 !👍👏💙💙💙💝💟
6,사사세              ,외모만 보아도 깨시민같습니다..훌륭하신 네분 모두 환영합니다..큰 역할 기대하겠습니다..
7,정기섭              ,가자~가자~더불어민주당 진정한 대한민국대표정당 나라다운 나라를위한정당 대한민국 국민을위한정당 깨어있는민주정당 화이팅입니다
8,so so              ,고민정 대변인 환영합니다.모두 환영합니다꼭 총선 승리해서 좀 더 나은 세상 만들어주세요.
9,용가리              ,"씀 구독자 50만 돌파 하길 바랍니다. 보수 유튜브 채널도 몇십만인데, 민주당 지지자분들 구독 좀 눌러주고 좋아요 좀 클릭해주세요....  연필과마이크로폰, 갓의 두수는 50만이 넘는데....씀도 꼭50만 100만 가길 바랍니다."
10,Bubble *              ,1+1지역구 비례도  더불어민주당  무조건  더불어민주당💙👍🏻
11,백승원              ,네분 모두 국회 입성해서 우리 모두가 간절히 바라는 '언론개혁' 이루시길 바랍니다. 응원합니다! ^^
12,최강시민              ,그동안 방송에서 눈여겨봤던 언론인분들이 민주진영으로 오시다니 무척반갑습니다!! 고민정대변인도 홧팅하시고 입당하신분들 모두모두 응원합니다💙
13,Giftyou              ,더불어민주당은 다들 인상이 선하네요~!!
14,Sandra Kim              ,민주당 최고최고 💙💙💙💙
15,Haylee Lee              ,한준호님 예전부터 팬이었습니다. 청와대에서 일하신지 몰랐네요. 응원합니다.
16,JI KO              ,품격이 느껴집니다! 꼭 국회 입성하셔서 품격있는 정치활동 보여주시기를 바랍니다!!
17,야생마              ,나의 '더불어민주당'정말~ 정말 든든합니다.똑 소리 나시는 언론인님들~열열히 응원합니다.♥
18,박선희              ,우리 모두 단합하여 한일전에서 꼭~ 승리합시다!!!!화이팅👏👏👏👏👏👏👏👏
19,서영일              ,"민주당인재영입 대박이야!정말로 훌륭한 분들을모셨습니다.민주당,  하이팅!"
20,유창조              ,한준호응원합니다바르고옳곧은사람
21,이덕임              ,박성준.고민정님.응원합니다.요번.총선에서꼭.압승해야.합니다.💝💝💝💝💝💝💝💝💝💝💝💝💝🎉
22,민자              ,이미 4분 모두 멋찐 정치인 입니다.자한당 대표 교활쫄보부터 눌러 주세오.
23,박**              ,지방에 살고 있기에도움은 못드리지만항상 마음속으로 응원 할게요~고민정 화이팅!
24,임종백              ,정말민주당  참잘한다 최고
25,야구짱              ,긴말 필요없는 민주당 👍
26,홍주희              ,한준호 전 아나운서님.MBC 시절부터 관심있게 지켜봐온 사람인데어느순간 tv에서 보이질 않아서(아마도 파업 때문이겠죠) 근황이 많이 궁금했어요.구글링해보았는데 TV에서 보이지 않는 와중에도 열심히 사셨더라구요.앞으로도 정치활동도 지켜볼께요!
27,토착왜구박멸하자.              ,왜  이렇게 뿌듯 하지?  정말  격하게 다시한번 환영  합니다 ~
28,토착왜구박멸하자.              ,환영 합니다 ~민주당과 현정부를 위해 많이 힘 써주세요 ~든든합니다~
29,허영종              ,이번총선 승리하여 자한당과 친일매국 반민족 기레기들을 다 청소해야합니다
30,노상기              ,민주당은. 왜이리 정상적이고 평균적인 사고를 가진 진짜 인간들을 영입하는지 참말로 이게 정상 아닌가?
31,해바라기              ,뭐가 편파적인지 모르는YTN 기레기 질문. . 요즘 YTN 맛탱이가 갔음.  이명박때 그렇게 당하고도 자한당  대변이나 하고. .
32,박영숙              ,반드시 국회에 입성하기를 기원합니다
33,luccia              ,고민정 입당 발표문이 참 멋지고 마음에 울림을 줍니다~ 고민정 화이팅~♡
34,모닝커피              ,민주당 입당 환영합니다 언론개혁 꼭 이뤄주세요 !!!
35,Welt              ,민주당 4 분의 영입인사들 한결같이 훌륭 합니다! 응원 합니다 민주당은 비리가 넘쳐나는 윤석렬 장모 처를 고소 하시기 바랍니다!!! 윤석렬 을 등에 업고 벌이는 부정부패 의혹 밝혀야 합니다! 총선까지 정치질 못하도록 끊어야 합니다 !!!
36,우리나라 최고 멋짐              ,민주당 압승 기원합니다!!!!!
37,정미라              ,박성준 아나운서 오셨네요.
38,Sj Lee              ,민주당 입당을 환영합니다 꼭 당선돼셔서 언론개혁에 힘써주시길바라며 기레기들의 질문 수준에 한심함을너머 개탄스럽습니다
39,재환킹              ,네분 모두  파이팅👍👍👍👍
40,나래              ,적극 응원합니다
41,김범수              ,박 성준 참좋아했습니다 더불어민주당에오셔서 정말감사합니다
42,true*I lee              ,와~~~~완전 환영합니다언론개혁 이뤄냅시다
43,심재원              ,한국 최고의 적폐는 언론 ! 언론개혁을 위해 네 분이 꼭 필요. 이름들이 다 좋은거보니 당선하겠네....
44,무릎팍깨진도사              ,"철수야 들었냐? 새로운 정치보단 ""필요한 정치""를 하겠다는 더불어민주당의 인재 한준호님의 말을?  이말은 안철수 니가 새겨들어야겠다..정치9년하면서 넌 뭘했니?"
45,이승철              ,여론이 편파적이다 ytn기자야 너는 모르니? 공정하지 못하고 모르는것들이 글쓰고 취재도 안하고 기사쓰고 사실확인도 안하고 검찰이 불러주는데로 기사쓰고 기사로 정치하고 몰라? 모르면 바보지
