,ID,Comment
0,HS LIM              ,더불어민주당과 딱! 어울리시는 분!국민을 위해 한 몸 불태워큰 일을 해주실 분! 으로 보이십니다^^
1,왕성숙              ,민주당 인재영입 최고입니다 이해찬당대표님을 비롯해서  너무잘하고있네요 민주당 화이팅  소병철님도 화이팅 좋은정치 부탁드립니다
2,김혁              ,민주당 영입은 최고다멋진분들만 영입하는구나
3,doo ri              ,"황교안,곽상도같은 쓰레기들과 명백히 구별되는 분이군요."
4,장성옥              ,전관예우를 포기하고 후학양성을 위해 남았다는 검사. 이거 실화인가요~~ 민주당의 인재영입은 감동입니다~~
5,김경웅              ,더민주당 일 잘하는 거 보소이 ~!!!놀라움과 감탄의 연속입니다. 내년 총선 한일전 승리 가즈아~!!!
6,상쾌한              ,민주당 인재 영입 최고 이해찬대표 최고 2020년 2/3 기대합니다
7,공기반소리반              ,와우.. 따뜻하고 강직한  또한분이 우리의 손을 잡아주셨네요격하게 환영합니다.민주당과 함께 같은 길을 걸어주셔서 감사합니다.
8,가나다라              ,"유능하고 이상적인 민주정당의 모습을 내가 보게 될 줄이야...ㅠㅠ민주당, 화이팅! 이대로 계속 갑시다!잘한다!"
9,이주니어              ,오~~~이런분도 검사에 계셨구나ㅎㅎ환영합니다ㅎㅎ 좋은 사람 좋은 정치 아주아주 좋아요ㅎㅎ민주당 파이팅!!!!!  끝까지 지지합니다ㅎㅎ
10,펭하pengsoo              ,검사 옷벗으면 다들 대형로펌으로가 연봉 수십억 받는데전관예우를 포기하신...첨 봅니다.4호 영입인사 입당  환영합니다.
11,홍나연              ,민주당의 인재는 한 분 한 분기대를 저버리지 않는 인재영입이네역시 민주당!
12,케세라세라              ,소병철 이름 기억 하겠습니다응원 하겠습니다민주당 화이팅👍
13,k쥬디              ,정말 존경합니다. 좋은정치하시길 바랍니다.응원하고 지지하겠습니다~
14,구현화              ,민주당 정말 멋집니다!약자에게 따뜻한 검찰을 이루어 가는데에 힘써 주십시오!끝까지 지지하겠습니다!!
15,Jkon lim              ,정의로운 소신에 적극 지지합니다. 훌륭하고 존경합니다
16,Stan Getz              ,"아니 이렇게 훌륭한 분이 검사출신이라니방송보는 내내 믿어지지가 않았어요.검찰개혁 이뤄내는데 다같이 힘을 모읍시다.민주당,소병철교수님 화이팅~~"
17,j.m kim              ,대단하신 분이네요뿌리치기 쉽지않은 대형로펌과 전관예우를 버리고 자신의 소신을 묵묵히 임해오는 보기드문 분이시네요훌륭하십니다...
18,걍토리              ,기자들 이름 불러주는거 첨보네.신선합니다.좋은 입당회견이네요
19,K미네르바              ,자한당검사들이랑 인품차이가  엄청나신다
20,Me-Sun Shin              ,"사람을 존중하는 법치, 인본주의!! 윤석렬 들었남? 오로지 법치만을 따라가며, 인간은 없는 당신에게 지금 쏟아지는 눈초리들을 제발 쫌 보시기 바랍니다."
21,윤맘들              ,민주당 총선 무조건 압승입니다!!! 격하게 지지합니다!!!!!!!!
22,땅꼬마              ,역시 민주당최고다  일베자한당들아 잘보고잘배워라
23,고맙지              ,소병철교수님 나라위해 국민위해힘써주세요 존경합니다 민주당 화이팅인재영입 최고입니다
24,백싸우제              ,역시 민주당 영원히 정권연장하여 이땅에 진정한 민주주의가 정착하도록 힘써주세요.민주당 화이팅
25,한상수              ,참신한 인재입니다 총선 너무 기대됩니다 국민이 응원합니다
26,김인애              ,민주당이 있어 참 다행이다민주당이 있어 참 든든하다소병철교수님 입당을 진심 축하드립니다평소 품으셨던 소신과 뜻 꼭 이루시길 바랍니다
27,yuu              ,요즘 민주당 뭔가요? ? 도대체 칭찬을 안할 수가 없네요 잘한다 우리 더불어민주당 힘내세요 💙💙💙💙💙
28,로리              ,토착왜구류 자한당류 전직 검사들과 무척이나 비교된다
29,Ma AKI              ,민주당 대박이다 진짜.. 일 왜케 잘하는거지?? 사랑해... ㅋㅋㅋ우리 부모님도 거의 설득했다 ㅋㅋㅋ기다려라 총선!!
30,나대로              ,기자들이 노통의 검찰개혁 내용을 모르니 계속 같은 질문맘 해댐.뭘 좀 더 얻고싶으면 검찰과 갈등이 있는 내용을 구체적으로 질문해야지. 수사권 조정 대놓고 물어보든가. 검찰딸랑이 기자들이 왜 몸을 사리나ㅎ검찰개혁의지 적극 지지하고 기대합니다!!!!
31,허정선              ,반짝 반짝 빛난다 더불어 더불어 민주주의  인재는 위대하다 자개당 인재들의 없다
32,보라안개꽃              ,민주당 인재 영입 정말 멋지고 믿음이 갑니다 항상 응원합니다.
33,Tae Ham              ,민주당...눈물납니다흑흑흑...해찬형님.  고맙습니다
34,로리              ,백혜련 의원님이 미소가 끊이질 않네요. 검찰조직 내에서 소병철 전 고검장처럼 후배들의 신망을 받는 분은 드뭅니다
35,그날은온다              ,어서오셔요 환영합니다 소병철 검사님 응원합니다
36,백연초              ,초심을  끝까지  국민만 보세요  민주당  인재영입  잘하고  있는듯합니다   이해찬  대표님의 노고에  박수보냅니다
37,수미성자              ,이해찬대표님 께서 더블어민주당에 계신다는게 얼마나 든든한지 모릅니다  4차영입 또한 엄청난 분이 오셨네요 민주당의원님들 힘내세요 끝까지 응원합니다 고맙습니다 감사합니다  화이팅하세요
38,심태봉              ,민주당 더부러 잘 되겠당환영 응원합니당파이팅. 파이팅.
39,아하브              ,"윤석열, 들어라! 국민과 조국에게 무릎꿇고 사과하고 선배의 길을 따라 가라!"
40,박영준              ,너무너무 기대됩니다   권리당원으로 무지하게 환영합니다
41,churl jeong              ,정말 멋진분 이군요.
42,LH K              ,강한 민주당항상 응원합니다. ❤
43,Woo Choi              ,멋지다 민주당!!  토왜당 몰아내자!!
44,태산명동서일필 한곳              ,민주당에  있는  현역의원분들도  그렇고  이번에  영입된  인재들도  그렇고  자한당  민경욱  김진태 곽상도 주광덕  그외많은  대다수ㅈ국개들의   꼰대끼와 더러운관상에  비하면  어쩜  저리도  선한영향을 얻을것같은 풍모를  갖추신분들만 모여있는지  행복한  민주당  응원합니다
45,리후리지아              ,민주당 인재영입에 박수를 보냅니다. 👏👏👏👏👏👏👏👏👏👏👏👏
46,조선이              ,와우~~~~~민주당 정말  각 분야에서 어쩜이리 인재를 잘 찾아 내는지 감격할 따름입니다.
47,A K              ,"매분 감동적이고, 이렇게 다음은 누가 영입될지 궁금한적은 첨이네요. 일잘하는 민주당 지지합니다! 부정부패 싸움도 잘들 하실수 있길 바랍니다."
48,박진희              ,제발 검찰 개혁  시민을 위한 검찰개혁을 해줘라  검찰의 방패짓하면  절대 안된다   일단  후보자와 시기가 인재 영입  잘하는듯 하네
49,폴드모모              ,더불어민주당 화이팅!소병철 화이팅!총선승리!
50,저기하지않아노력은              ,또 훌륭하신분이네민주당  역대급 일 잘한다
