,ID,Comment
0,안영이              ,문재인대통령 꼭 지킬거예요!
1,Gables Green              ,유작가님 김총수님 이해찬대표님을 따라서  더블어 시민당에 한표입니다!
2,솜사탕              ,더불어시민당 홈페이지에 비례대표분들소개영상 올라왔네요^^ 시민을 대표하는분들로 이루어진 더불어시민당 응원합니다💙💙
3,권현이              ,유시민 이사장님 설명 정말    논리정확하게  깔끔하게  !!!!  모두가 걱정하고 궁금해하는 그부분도 싹긁어주시고!!!    크고 넓게...대선까지 잘 심사숙고해 투표해야겠습니다.저도 우선 힘을 모아주고싶네요~  더불더불
4,곰과마늘              ,유시민 이사장님이 정확한 식견이 놀랍네요. 저의 마음과 같은 질문들을 해주니 속 시원합니다.
5,이런이런              ,"나는 이거고 저거고 간에 미래통합당이 1당 되는 꼴은 못본다.지역선거에서 대승한다고 장담할 수 있음??애초에 그렇게 대승한다고 장담했으면, 비례정당은 왜 만들었는데??1당 뺏길까봐 비례정당 어쩔수없이 만든거아냐ㅡㅡ 무슨 1당은 당연히 한다는듯이 말하고있네;;;;;;"
6,GTK G              ,"잘난 야당들이 발목잡고 시끄럽게 구는 지난 국회에 질렸습니다. 불쌍한 여당에 표를 몰아주겠어요. 더불어민주당, 더불어시민당!"
7,정미영              ,유시민 이사장님의 쉬운 설명이 저의 궁금증에 대한 갈증이 해소되었습니다.
8,Sangho Lee              ,유시민 작가님이 정말 정확하다. 내가 할 수 없는.. 단어가 부족해서.. 그걸 너무 명쾌하게 짚어주신다....
9,캐나다베이              ,확실히 총선이라는 커다란 이벤트가 있다보니 진짜와 가짜가 가려지는것 같네요...한편으로는 그래서 더욱 씁쓸해지나 봅니다.
10,정승준              ,언론.검찰개혁을 열린민주당에서 한다고 하면 바로 되는것도 아니고 결국은 민주당과 공조해서 해야 되는데 그 과정에서 어떤 일들이 벌어질지 참 걱정된다.
11,young joo Jun              ,고마워요 알릴레오~~
12,Matthew Attorney              ,이번 총선 절대 낙관해서는 안 됩니다. 미통닭 지지자 의외로 많습니다.
13,woki woki              ,"그래서...나중에 민주당이 1당 못될경우 열린민주당은 더불어민주당이랑 합당할건가요?기득권포기할수있습니까?매우중요한 문제입니다.대답해주시죠.봉도사님,손고모님"
14,김경리              ,"더불어시민당 지지한다.손혜원 오바하지 마라당신은 너무 오바한다.민주당원 배신하면 국민의당 꼴 날 것이다. 사람은 다 좋지, 열린민주당만 좋다고 하지 마라"
15,건국신안교회              ,1당 되어서 국회의장이 대통령의 당에서 나와야 합니다.정치는 생물이어서 나를 따르는 국회의원이 있는데 어떻게 민주당을 따라갑니까 국민의 당처럼 다른 당이 나온건데요.공장장 말대로 한사람들이 섹시하고한사람이 인기있다고 해서 안됩니다.정치는 조직입니다. 우리는 정기 국회 내내 똑똑한 한 사람이어처구니 없는 억지스런 당에게 아무것도 할 수 없다는 걸 봐 왔습니다.압도적으로 1당이 되어서 조직적으로 이뤄내야 합니다.더불어 더불어로 가야합니다.
16,김선희              ,유시민이사장님의 관찰력은 절대 그냥 넘어갈수없지
17,김재현              ,"나중에 개기지 않겠다고, 확답을 받아놓으신건가요?"
18,로니아              ,너뎃사람이 나라를 확 바꿀거같이 말하네ㅎㅎㅎ
19,유어소 뷰티풀              ,나무 보지 말고 산을 봅시다열린은 엄연히 다른 당이죠1번5구
20,ᄋᄉᄋ              ,그리고 손의원님. 선거는 마케팅이 아니에요. 주권자는 의외로 자기 이익과 상충하지만 대의와 신념을 위해서 투표해요. 노무현 대통령이 바보로 불렸지만 우리가 노무현을 그리워하는 이유죠. 마지막으로 스타 플레이어가 아니지만 시민당 비례분들 면면을 '유권자 이익에 부합하지 않는 사람'이라고 하지 마세요. 난 이 기회에 그분들 살아온 삶을 봤는데 '이익'에 부합될 인생이라고 하는 건 오히려 모욕일 정도에요.
21,jarlsfre              ,두분 갈 길 가시라 여전히 좋아할 수 없는 분들 ... 역시 유시민 이사장님은 믿을 만 하다
